url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/KangaGames/posts/1708327522565632","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579427376,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/KangaGames/posts/2376239662441078","1565001480","🎉甜美又心機的《為滋瘋狂》嘖嘖集資正式結束嘍🎉

 這次集資非常的成功
謝謝大家對遊戲的支持和給予我們的鼓勵🥰
Kanga Games未來會繼續帶給大家更多有趣好玩的遊戲

接下來我們會傾盡全力💪開始投入這套遊戲的製作生產
期待送到大家手中的那一刻🍩
若有任何問題也都歡迎私訊粉絲專頁或是LINE我們喔^0^

📣加入Kanga Games的LINE@專屬官方帳號
即可掌握最新遊戲及活動資訊
http://nav.cx/fJZnfjW (或搜尋：@KangaGames)

 #甜美又心機 #為滋瘋狂
#感恩對我們的支持🙇‍♂️
#期待下個新遊戲","1571689623","/KangaGames/photos/a.269588906439508/2376232812441763/?type=3&eid=ARDCCNfRmHbNK73i1XL2Ntj_AgqBZVYSWR_6MtUpB0RfIrS-E4FioCAw4fxaRthiiSpj9t3k4LhvefrM&__xts__%5B0%5D=68.ARCIaNwTZBfLQub1n-gds2QTQ8NIOtv-rVmD3A4sxtMLnS5OkSap8cubxGoRzK1BeO3ChKp_3JxSND-eh9eTb2RceDyieCWdsmfilxtTEYllzOgwWANphV-NjJ1KoVf0TfmZbAHwpU5jdUkKLHcKb2TTFjCO-znpxGtlbeqbSiCNL3PhyPbiRKNbHqyyVOPjPh-N0mDROe_lq4rgWdAH4MFLOFV8KT0L6vfbD6BDyTZ7oP5ASzWbS7J6WuC3LVhsdrGlZDYql-vkzlEqBvIJIntrGpdrB0D8jP5EIj4J588G23X2UcqG6zDac_Z_iMIO7jx9Y4nhYvF5udNhpRYdpj400Q&__tn__=EHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p526x296/67818410_2376232815775096_9081837479878721536_n.jpg?_nc_cat=100&_nc_oc=AQnOpEtakTOYJh7yM5-vDOfzvr9CXpQOxRP3FkufzyU_tJHFXJ3oIBT2IdsSg7-ZXCM&_nc_ht=scontent-hkg3-1.xx&oh=b34e92a1ee701f0f8c076986f0db225c&oe=5E577D39","undefined","",""
"https://www.facebook.com/KangaGames/posts/2471232842941759","1569499200","【2019師資培訓課程】
未來人才解碼
#影子陣 之 #三視圖 的能力養成 師資培訓班👩‍🏫

 💥報名只到9/29號💥
💥報名只到9/29號💥
💥報名只到9/29號💥

 ✅想要知道幼兒階段可以用什麼方式或是遊戲來建立相關的能力或是啟發孩子的經驗？
👉👉報名就對了👈👈

 ✅想要知道這前前後後有些什麼概念是連貫的？
👉👉報名就對了👈👈

 ✅想要知道講師又會帶來什麼有趣的內容，身為鐵粉的你...
👉👉報名就對了👈👈

 🎯高雄場
👩‍💼授課講師：#王湘妤
🗓️授課日期：10/6(日)下午13:30~16:30，共3小時
🏢上課地點：勞工教育生活中心-獅甲會館305會議室
💰課程學費：原價$3,000，早鳥價每人$2,700，舊生報名享早鳥優惠喔。
課程詳情暨報名連結：http://bit.ly/joinkf2019

 #講師認真備課中
#三視圖不是年紀到了就自然會
#空間概念是可以訓練的","1571689623","/KangaGames/photos/a.269588906439508/2471196152945428/?type=3&eid=ARAofdVJAEYP-qrrT3uHfWAwbVolRd12K4hp7c6R8I4tBs2lLQVoHKnPz-TpHvcajxGcvcphJ3c4JEZp&__xts__%5B0%5D=68.ARBi-JaE35JwWx_mZwYPjBoUBTXOe9Ds2-fx4S5SRKSCdXShCGJUU5f7J7y9ShuRmo_ebzwJ2hV6KoSdtq4AeA02m4QMHuNtADZhJ9nPo0bpwFLZ4p3XAWx2mhhvXNTo5K-Eq9ukFxtxgPKpcoDRxOajpc8JMXsxhQB0MP1grQwoX6YeCLAsNCPg855Dh8iZgddpaO9iCqpeaA2QeRW0I4i8g4FhW1R3jzGCrTZQ0f61R9RrmYHttY9ylG5lToAPfj0FFWEGrgaKssAI2Dj7CrSjcyJcW9WczURVHcQqDU7b5Wp3V1eJipmQbSGyEDhN2Ghl8x4AoTX6VKRGjKo3YuMusg&__tn__=EEHH-R","https://scontent.fcgk5-1.fna.fbcdn.net/v/t1.0-0/s640x640/70258833_2471196159612094_991689922668658688_n.jpg?_nc_cat=105&_nc_oc=AQmOFrU9pnwPkHMjna2-LRnS9eCXc4MrqASn9QGZwaVSNaBdq0v4NtnX3RNnM6Q8dJw&_nc_ht=scontent.fcgk5-1.fna&oh=5c7356169139a65a9b9e72a84e24ae9b&oe=5E16BA70","undefined","Kirim Pesan",""
"https://www.facebook.com/KangaGames/posts/2159550830776630","1553695801","We are having fun with Sushi Go! 
https://www.facebook.com/youandmetaiwan/videos/412421022879935/",1579427378,"/watch/?ref=external&v=412421022879935&__xts__%5B0%5D=68.ARC5RfvFfgQdr3tvUTliG_eHxl_GRudI_NQhJ8XwaDMi72fFUdv6MZohRX60R7vPGGHJ7lYflsFXASjGaLqIUDFv4_XFxNaINOoHOCRIBfZi59AVFEEJqEzkdo_IY7ImF1Z5iZGx9Xl-Nmp34SJ2gFlWv75fO3mAtL56buVWiDMWLx0PEUTldX6yq6WeVNomHbM-l780WZGDTq4TnzIvoP1gtRHL7h7FHJ91AZ9hHhSlmIriZ2iZgJALMKbu7wAqni79_lU7rrdNzuDOD0IJK5-OOkJBTwI_zghQtlfxpdtKWD69qYcQexve0uGTneRv2nxbbBoM2F_rooO0vAH-_TItJhpQ7t6kwWSa3ErO4N2UE1ix9HXpF3YE4nfWOWox765-zleursbe6usP1m_lK0vRlJrA-0sJmWe8g6a3imM0uDjKkFLJyUKbaUzxBJBYEPLZIbFEXgQQKejiMTreHRVtixuYLV5SRyq388amDJ47IpgfYCV6oYF0VLnoelaU4MCtoO5Yrg&__tn__=kFFHHH-R","https://scontent-yyz1-1.xx.fbcdn.net/v/t15.13418-10/54246818_791870861212652_8839308506398982144_n.jpg?_nc_cat=104&_nc_ohc=YdWr_BlWY48AX9MRs23&_nc_ht=scontent-yyz1-1.xx&oh=bda3ba52fd19f36ad351b3ed20edaa1c&oe=5ECF8B99",undefined,"Sushi Party","Posted by You and Me"
"https://www.facebook.com/KangaGames/posts/2495682623830114","1570600800","【2019師資培訓課程】
未來人才解碼 影子陣之三視圖的能力養成 師資培訓班

 高雄場精彩落幕了，謝謝來參與的每位學員。空間概念的建立真的有好多教具和遊戲可以運用。湘妤老師的傢俬實在太多了，而且都好有趣喲，看得大家眼睛發亮。

 
影子陣是一款訓練空間感的遊戲，『空間概念』的發展是循序漸進的，從嬰幼兒時期藉由對環境的探索和生活的體驗開始，學齡前是空間發展最重要的時期，哈佛大學心理學家Howard
Gardner認為空間智能是生活學習的基礎能力，更是藝術、科學、數學等領域不可或缺的能力。

 
眾所矚目的108課綱已經上路了，重點之一的三視圖更是引起廣泛的討論，課程中講師將從影子陣的實作開始，進而延伸到學齡前孩子空間概念的建立。三小時的課程，內容豐富，精彩可期，就怕你在課程結束時還意猶未盡哦！

 台北場的課程，聽說會更精彩耶，對空間概念的能力養成有興趣的老師和家長們，都非常歡迎報名我們的課程哦！

 🎯台北場
👩‍💼授課講師：王湘妤
🗓️授課日期：11/3(日)上午9:00~12:00，共3小時
🏢上課地點：新店崇光社區大學

 💰課程學費：原價$3,000，早鳥價每人$2,700，舊生報名享早鳥優惠喔。
課程詳情暨報名連結：http://bit.ly/joinkf2019tp","1571689623","/KangaGames/photos/pcb.2495682623830114/2495669140498129/?type=3&__tn__=HH-R&eid=ARDAgspvVJtFz_2fW3YQll7WpH4OOheBxXinLIcH2bWibCsj1Fq0o3slpcVijC61gnl13HNlC0WS2AlH&__xts__%5B0%5D=68.ARAfni_bHC6yj4qS0ftaPR9-TKd7XOx-U3tn93h4bepgY1g3B-3LQwaZUapv3lz-nOQ7xpm-OMhkgseVqhWnoCezDlSROwiH_gIyFDXQp7G7YVuGrYApZdVqVj0wbywRoMWzmQ1eMy6GKr8fL7gbobTuu2jUAUp11QuaeM-e9Q7VMR3Gq9qQU7llj7mt2eu270_nwJYmT_HO1-dMR4KYXhUulnLyZTjkr8eM1J1T8PRt8KyqF-JaCpsuO9pOILd7HWHr5i4we9ukNwbpmpvuQbMREB4WLa_72GlP2zthqyzkF8XnUGfBQRQSKpaCvZ-psLjO9Otrm46SEck3YQGo74Gezw","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p370x247/72212324_2495669143831462_3440429019261042688_n.jpg?_nc_cat=108&_nc_oc=AQm75VACWRoQIRy_SDd6upfw3XmU1Dv_ZZTlchbq5_V4qmGfYq65MIxLc4HmRrc6jpg&_nc_ht=scontent-hkg3-1.xx&oh=9f9523ef97c5e4ac1e8cd5560d3438b4&oe=5E62F88C","undefined","",""
"https://www.facebook.com/KangaGames/posts/1479781095420277","1504850997","有興趣的可以參考看看喔^0^","1571689624","/KangaGames/photos/a.269588906439508/1477550335643353/?type=3&eid=ARDfwfG0mK2FgCpHj0RuM1rVncuaobPTPGIho7rmNReP-P9Oxpccnd2yDwtkmA-pT4_IWTORg2CBHjjI&__xts__%5B0%5D=68.ARBk5BYMFb7iW7_EfdHqY-Y-bz0ACnT4jzGmxbKYl09cZ8246yop58LP-P255FVESVv_3iHM7mE3qau0nPIuHAoFxveIuekXqhP1HkPsJn3Pn9RLrFaf3D4MZ8q0l90MBkM9GRZveuQVMlNAomBic9RlH3iNDNWAhas4_yxKEHCKcxSHCugnyS_KooKn-xSlZ3Rj-DZDfIhYhBWznjjUlMNIMtsBlZtF1WQqY7mlX1fCjeqjrIIL_sYY4s9BMgROYLJdBc65MFSJ4b-PFZ8rCI_QY2rnERnCQXLs12DeG7aQ1TrKX-6ooG7F-s_tUVP6VYJIVVgbwuZtZe-7jnJ-qndWiw&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t31.0-0/p526x296/21414661_1477550335643353_1311007575786798924_o.jpg?_nc_cat=108&_nc_oc=AQlblY-Mc2KtdUXljXZzxWums4_RRJaYjEqcz2ziAvCzDR-R-MAN9MrG5VGKitCEJlA&_nc_ht=scontent-sin6-2.xx&oh=b6f353e1913464c99b050462a4b8ddd2&oe=5E5D1552","undefined","Kanga Games",""
"https://www.facebook.com/KangaGames/posts/2332403103491401","1562898600","【限時預購開跑】

 🎉《影子陣》🎉❗️開❗️放❗️預❗️購❗️

 Kanga Games自去年開始推廣《影子陣》以來
不僅受到各界的關注，也不斷湧進相關的詢問
這波熱浪🌊持續到今年
也使得六月初到貨的影子陣不久即熱銷一空🥡
大家紛紛來詢問『還有影子陣嗎？』『還有影子陣嗎？』
這真的是一款很棒的三視圖遊戲👍
非常感謝各方的大力分享和推薦🙇‍♂️🙇‍♂️🙇‍♂️

為了不讓大家錯失擁有好遊戲的機會
我們決定再次開放預購囉！🎆
限時總是很殘酷的⏳⏳
平時訓練有素的手刀快拿出來用吧

 預購連結：http://bit.ly/kangablocks4
遊戲資訊：http://kangagames.com/shadow-blocks.html

 加入Kanga Games的LINE@關注更多新消息 http://nav.cx/fJZnfjW 
(或搜尋：@KangaGames)

#108課綱重點之一的三視圖
#空間感弱是可以訓練的","1571689624","/KangaGames/photos/pcb.2332403103491401/2332401363491575/?type=3&__tn__=HH-R&eid=ARBVQrfw4XU75NT3m-y-eBow-8mg-EdBScXJLKBt08_7uTGI3lZ3cTZxMvqsni_bXBXqWXxE9rXnvoSb&__xts__%5B0%5D=68.ARDw1hgvXm_c13YvHpIt3CYhCvP2MsQ3wmH6MEAMcFigWFRbBJqv71DoEQuqF7SZ6Bs96A7kLRr4mH4Z87EBuyxwfd4DDcHDgU-qFGmctXl7OKVvQHNSFd06dYhhjb63BJL-229VoLyuX4VcbiODto035DEac4Ld8j2RIC7lenm6LKQlQn_33NnyUo80RtolHwDZlmVCS06xwXzlTJ3c-2xgmaH3SPjOkL5VUa0YUbmoTpeLCiU1J3lvdS-llC4N96hTOPi7Q8xai6EJtNnF7KcH5nW1RxSE7FSWlCp8K9s_z1U7W9S_A1TXd2stcGm7FgOHRwK5jY616K4M0QtMqF46zw","https://scontent.fcgk18-1.fna.fbcdn.net/v/t1.0-0/p480x480/66421606_2332401366824908_8277127596936790016_n.png?_nc_cat=105&_nc_oc=AQn2pG80wPF-OgLPTfLlBjCQ5CYo0bFAFtj7bFLpxjgk7G2sq0T84HZ5f3GwEe6Mm0U&_nc_ht=scontent.fcgk18-1.fna&oh=774f0bd8c7c131528ecb1485925558dc&oe=5E5BCF0A","undefined","",""
"https://www.facebook.com/KangaGames/posts/2517229891675387","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579427389,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/KangaGames/posts/2433197553411955","1567764000","📕📕#遊戲報報📕📕
【瘋狂農場】

 🐶你是…你是…你是……
🐸汪汪汪~我先叫了ＸＤ
🐤唉呦，他是青蛙啦，呱呱呱
🐍快告訴我蛇要怎麼叫啦!!

是真愛牌💑快 跟我握手🤝

一時間房間內充滿著動物的叫聲，不知道的人還以為我們家是一座農場呢🤣
當妹妹掙扎地想要憶起爸爸代表動物的叫聲時，媽媽在旁邊忍不住出聲說出:他是青蛙啦，但爸爸的汪汪聲已經出來了XD
這是一場每個人都會狂笑的穀倉之戰！K小編笑到流淚地推薦給大家😂😂😂

 #聯絡簿要請粉絲們幫小編簽名 ✍️
#不然袋鼠老大會打打

 官網遊戲介紹：
http://kangagames.com/kanga-games/snorta.html

#別分心 #小心他又換動物了
#蛇的叫聲是?
#K小編不想再只會ㄟㄟㄟ的叫不出來啦","1571689624","/KangaGames/photos/a.269588906439508/2433216930076684/?type=3&eid=ARDmqlLY5nv0zrrsZc49jIe3KastNqZ7jEjEqRKjjmnn1Bncwemq4G9xPam2HpmhNWrZpO0CmeSrciM9&__xts__%5B0%5D=68.ARBERmvoy1jmEr3SW3oTPMsN08kyjv01gIsH5aTlPRG5Vf54QW8HG21HMdPmUW18BEc25IFuvAVljYJF8tN_3Yq-LzI5IvMk8Kv_w6w35AvMNKDKyyfAOQwzfsO30kiiKeUWRXi4YQBsbm9u96FXVJ36qI8Nwl63gaw4rd9iwhIP5DWn9cjzUvJjG10qttvxIED4HhJ05xEaQTilqubumIADqrD4drJ3XNdPnt39wcJy6UlTsOCPQK5PLWHPVgIDXmissuV1RwCe32dC7BotDp1mRSqAPBiIEqLz4FvjPItN3IVzDB5JY10OMT3BZ3KALetMk1OqCZFxiY2WSae_X6RM9w&__tn__=EHH-R","https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-0/p403x403/69666741_2433216940076683_2483886046631165952_n.jpg?_nc_cat=101&_nc_oc=AQl3BCW7vmj_PSLsbJ90ZZVx0svDo0JntoSRYGHfJDCVvGASPaJm_rRKRaZLLdJRLwQ&_nc_ht=scontent-icn1-1.xx&oh=84dd285bef31401d0d08d0a2b048f591&oe=5E190C9B","undefined","메시지 보내기",""
"https://www.facebook.com/KangaGames/posts/2438930772838633","1568027100","這週就是中秋節了🎑，粉絲們是不是開始準備烤肉啦🍖
晚上烤肉，白天就到 #新銳桌遊博覽會 找我們玩吧🥳
先來猜猜看🤓袋鼠老大精選哪幾款熱門遊戲帶給大家👇

新銳桌遊博覽會
日期：2019年9月13日~9月15日
時間：每日上午10:00~下午18:00
地點：松山文創園區-北向菸廠

 加入Kanga Games的 LINE@專屬官方帳號@KangaGames
即可掌握最新遊戲及活動資訊

#多款好玩新遊戲
#驚喜活動價
#許願花車商品
#陪大家一起過中秋","1571689624","/KangaGames/photos/a.269588906439508/2438919049506472/?type=3&eid=ARAnyWAGPen8Zg5B_kH_i1faU3eJ51-n0uPZj-CwtjMXDxCZat6pxEfp_CjMz3cFWI71uyyrNNqSPnzz&__xts__%5B0%5D=68.ARADrk_0wtR0Ig7tdk0-CayYAiVAGavqg2kBM7CUiUbOKNpqX13BeUHjS7wyocK7CnL8NQ-mDp7sjeFNia813jRXnEeYQUTFUlCXFgcZlNChrZeDLhYysEWhLN5_szM-Q4CjRaGaihg4mC2nJqtHYntTt_K9jAv4nhxoXmGM_5ALK5Oqm8y2s4DogsZYK6ZPhYobx40GM5GCBn-b-ZPfcxGY20fsT_lecgwxDSnmms7qn0azMatdEmlPLedZ-HUbsyzfu-ZPNsC5oCPDu_-gifXZC0L5JapTPhfYXBKjW4SIOY6WWW63LQ26LPOLMljM9e5oYgjUeg983VjFYL6mRfFt8Q&__tn__=EEHH-R","https://scontent-syd2-1.xx.fbcdn.net/v/t1.0-0/p526x296/70648794_2438919056173138_2874560060036481024_n.jpg?_nc_cat=107&_nc_oc=AQnJDCq9XLimOiQFfX1cEzNSAgGCDqogV2cm04bUV9TLNxf_aRe_oeojdYxmoxeoNkI&_nc_ht=scontent-syd2-1.xx&oh=57b86847c9610aa1ac52975d1320517f&oe=5E587274","undefined","Send Message",""
