url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/twdsconf/posts/2179718788916897","1530235053","台灣人工智慧學校 #台中分校 報名即將截止 ⏰

 💼 針對高階主管設計，給予人工智慧全面概觀
經理人週末研修班 >> http://pcse.pw/7KN4G

 🛠 由淺入深的扎實培訓，還有企業題目實戰操作
技術領袖培訓班 >> http://pcse.pw/856ZS

其他招生資訊 >> http://pcse.pw/7RJ2D
#打造AI軍校 #快速培育台灣AI高階人才",1579431885,"https://www.facebook.com/aiacademy.tw/?ref=nf&hc_ref=ARR_k2DoOLhxCGANjTqZAmV3QleGObki0ognr4iWjddzqLkzt-9jZsbLOCf5rcR9MNI&__xts__%5B0%5D=68.ARAv-2syy_s-CA5xtQ2wo2iWhY3JI0XW57mnL_mGo3i5xEoFzoI7LFMhYd_6luXpXG3TCys3DFKQZ14_T5iDhUMfAzUPgFCYC6WWWZ36aFTEWU5Bn91ezQHML_mQ9qZ4uoH4a8Q8yw-KBI9r3LWM19Urc__V-3qlojhjf-krYYTOdpi0qba9lP4U9MeicpNxmqeN7pTiNnKm7aQomcFiXNu32UFLkFzh0PJp4BwtPhOMp-NLJoe3pA5goPNneiYN1eP71sVcAaSvsT1LVezgFIddEH0seRGwUIoRAfQFLl-EbAR4sENLKNxR6e3gizdcXUthzAqdX1zrTkNwdZAQMwq2G6_eihOTAPAy7QOt7YghVf81Jt6pz39bSTx0y6XjGdgO4b4_feU8BYrHjF9efMUbkZrixasgt5_Ta1-b6aXjOKkHAsP97kkUmzcxFRv5qtx2EgflNBPH2UOW0asaVzQRYx6NgbGW7xVn8bNvXv18SLLBX0UdgKTMMb8k7g&__tn__=%3CH-R","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-1/cp0/p32x32/52136248_1659983650770072_3656482470003474432_n.jpg?_nc_cat=110&_nc_ohc=9H_-fJ3LEikAX_5QT__&_nc_ht=scontent-cdg2-1.xx&oh=2b8adfb849ce429aba8475791981fe92&oe=5E9C3D15","台灣人工智慧學校","台灣人工智慧學校",""
"https://www.facebook.com/twdsconf/posts/2054344984787612","1510885359","【何謂生成對抗網路? 聽聽頂尖研究員怎麼說】

 要是你還沒聽過「生成對抗網路」（Generative Adversarial Network，GAN）這幾個字的話，別擔心，你很快就會聽見。

 深度學習領域最熱門的主題 GAN 一如其名，有機會打造出在減少人類幫助的情況下，學習更多知識的系統。

 只要問問在2014年提出 GAN 概念的 Ian Goodfellow 就好。當時為蒙特婁大學博士生、現為 Google 研究科學家的
Goodfellow，上週在 GPU 科技大會對一群入迷忘神的聽眾們介紹 GAN 的研究成果及研究它的原因。

 GAN 去除了推動人工智慧發展的最大阻礙之一，尤其是在推動深度學習方面，也就是需要大量人力的介入

 看完整報導 >> https://blogs.nvidia.com.tw/…/generative-adversarial-netwo…/",1579431897,"https://l.facebook.com/l.php?u=https%3A%2F%2Fblogs.nvidia.com.tw%2F2017%2F05%2Fgenerative-adversarial-network%2F&h=AT15QW5BpX77i8gIoN_QWKk1Dk8Q5_BfjIF8IjpRukSIf7Td_msOnTC93GXZOyewJlcVTvHPMTItmm9lE2weXK8rZM-D215IOHSK1K-cfW7jvOIl7KufrE9TsOLKf3vt11n7rbzAy4Q5cAKOi5bgyLsfe3A_rXG5j3N5_SCEnQgik3yo8HoVTQqP_weWxP50k5CDczmaPk3IzpIXYW0gLOzyYvIrnOyTMPLFP2d85iVe1mK62uL18NR8JHz-ci3XRGAp-Fv3xfnemHtUfEwrIHdw9G60_XBQQX9teRZrrRb49838ih1no5LLXKTC-aboXpNKioP7Q2zpzZqLqoXsl5wzYdH8jqOwb-b6szEUlbydtIh12RHdMVX8PiJ25Ja6Ig9JX-jz-CLEihcnNYVAH0i7XQwy2MNO7mO4RLqMwjt0E9Tg5u8g5nhyWvGMrov0kEjueQU8hgfhVvz0cwXKft8QMcdAn8fUbRaaP2pVGZX086yBQEGCsYYKrfh0ZoQeeTgIqKLIDbxW3kZULZZXfnWy2uQRS_Xf8WuT3vXEJbBQt1BkvmO-wmNURFNMrT1Rv7ijnN0CAqtPPJdZIkMrgGjsttDOTGnT52xlhkke7K-oNV_XDSlXCRVZR7wF6r6CuXYfRMhro-vwDXjlYtM","https://scontent.fdac14-1.fna.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c29.0.573.300a/s526x296/23657801_6080574835270_2223348270984331264_n.png.jpg?_nc_cat=102&_nc_ohc=mLf5FP1ksAAAX_bKr_-&_nc_ht=scontent.fdac14-1.fna&oh=0eb24e3fbdfcfd6f1b9b6e2c96811dff&oe=5E970CD2","No photo description available.","<p>要是你還沒聽過「生成對抗網路」（Generative Adversarial Network，GAN）這幾個字的話，別擔心，你很快就會聽見。 </p> <p>深度學習領域最熱門的主題 GAN 一如其名，有機會打造出在減少人類幫助的情況下，學習更多知識的系統。 </p> <p>只要問問<a href=""https://arxiv.org/abs/1406.2661"" target=""_blank"">在2014年提出 GAN 概念</a>的 <a href=""https://gputechconf2017.smarteventscloud.com/connect/speakerDetail....","blogs.nvidia.com.tw何謂生成對抗網路? 聽聽頂尖研究員怎麼說 | NVIDIA 台灣官方部落格<p>要是你還沒聽過「生成對抗網路」（Generative Adversarial Network，GAN）這幾個字的話，別擔心，你很快就會聽見。 </p> <p>深度學習領域最熱門的主題 GAN 一如其名，有機會打造出在減少人類幫助的情況下，學習更多知識的系統。 </p> <p>只要問問<a href=""https://arxiv.org/abs/1406.2661"" target=""_blank"">在2014年提出 GAN 概念</a>的 <a href=""https://gputechconf2017.smarteventscloud.com/connect/speakerDetail....<p>要是你還沒聽過「生成對抗網路」（Generative Adversarial Network，GAN）這幾個字的話，別擔心，你很快就會聽見。 </p> <p>深度學習領域最熱門的主題 GAN 一如其名，有機會打造出在減少人類幫助的情況下，學習更多知識的系統。 </p> <p>只要問問<a href=""https://arxiv.org/abs/1406.2661"" target=""_blank"">在2014年提出 GAN 概念</a>的 <a href=""https://gputechconf2017.smarteventscloud.com/connect/speakerDetail...."
"https://www.facebook.com/twdsconf/posts/2067355533486557","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579431885,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/twdsconf/posts/2471413383080768","1565065578","",1579431890,"https://l.facebook.com/l.php?u=https%3A%2F%2Faiacademy.tw%2F&h=AT11FJk8mXDLyYHzzyO9yzGq-CPR86qTpxIYaaJmeWqxm4S-0BDUVmUOD4hjg2HbcOXvb2RUELg_SnLAb2Q7rHF3HDml9mg7zYpciGU7rORKTUPjT0ViFrKwMjULPzI4tNfSUrC2V8YQ8A2rkCdkbVg8O9hY0Fjr7LNON7yAV3kE0qNHgBlIgK_tAnchsAzhYkxLBBcA7ZGM-UedI7Dd-Z2K5MdT_RiXh24evNISVx9w69QSGoSIK_dTYKlOxuaEx_3WCGneTRKL04ZpDYrpqa7pAJO0pgyrDLdPJA0dDGZFZKcELpDqJv2upxMDgMg_gmiBOYvzPHYaUev-juYacPkg7XKhynGG0bmnKgzqTbPhosUBzzHrthXSVsqQQ5OyB08SzfSA5fItvu_IgB2ORS8VJBr1EaXxcl04LX86rwqahm-7FN0PiGchlJJcrkUALglSQGZLJOHFjjTblEPZFRVB03qn1tavVov_bfx8mLPLFSpV0ddxlfb2hJKI8n2ttCo_FukCF-Hf-tGmpQf2jTV6SrfkXPs95fXKi6xy98i6naBsdhiKt5WbRwqF_zg-RNvdCX6KTKCY5j_tlUD_zS816dOM7bSc1jPWUya5rNcmyDZdy3SnHNreWzNFOpXGvyzFA0XHE4JIw9ZrvDI","https://scontent-eze1-1.xx.fbcdn.net/v/t1.0-0/c513.0.2361.1237a/s526x296/82827869_2616591631896275_160879587893444608_o.jpg?_nc_cat=104&_nc_ohc=vaTXfFDu0tgAX_ZCtah&_nc_ht=scontent-eze1-1.xx&_nc_tp=1003&oh=bcf2f110db76d7567fea063e91f932f0&oe=5ED0A3AC",undefined,"台灣人工智慧學校 - 舊稱：台灣資料科學年會 updated their website address.",""
"https://www.facebook.com/twdsconf/posts/2421242801431160","1559207923","",1579431884,"https://www.facebook.com/twdsconf/?__xts__%5B0%5D=68.ARAxIS9KjVhRT0Yz7TgtKOFVizWSoBWVchbc79T-0hLIa1ZQSARUWBS8Di7Vn3ZUXBLUYJ_HX_T9c0r4bf2D_Gzf77lkMpUhRV8Its2gE7iYHKCRhG06H3pukBtUOHC8hCCCSqgYQrmT8dI_Uwc18CU1miFIz2Y05zE12D_m08f6an2Sl31wbM26p7V5XFM3oVepkt0xrnuX-XBSqFbCr0ZeXWWWYnkHFro0CaICBmcmbrJcStQGkrhr2nEY3xPHjZPc5GL-4fBh7wd9jzPcqGvoiHUvMEq8GMscMhdYAFzEaol0uqzDl1lXdNkLQu5H3lNpASaqcZKCypwfWzS2Dl6f31Jd&__tn__=HHH-R","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-0/c513.0.2361.1237a/s526x296/82827869_2616591631896275_160879587893444608_o.jpg?_nc_cat=104&_nc_oc=AQmIMtxQfLUW52p-8R76JnAgOqrMQ_kasqv_pKZwxuGueBlujYhXGL9qYr90ELSSMCE&_nc_ht=scontent-cdg2-1.xx&_nc_tp=1003&oh=95d5c963bd7e9b25ea4683cf6fa46148&oe=5ED0A3AC",undefined,"台灣人工智慧學校 - 舊稱：台灣資料科學年會 updated their phone number.",""
"https://www.facebook.com/twdsconf/posts/2078125502409560","1515040566","【轉貼】中研院資訊所的免費演講喔(灬ºωº灬)

 今日廣為人熟知的語音技術當推 Apple 的 Siri 或 Google Home
等類似產品。它們都可以聽、說人類語言，回答使用者的不少問題，或與使用者對話，或提供其他服務。

 
本演講將由這些技術尚未誕生前的若干背景(前世)說起，並設法涵蓋今日的各種努力(今生)。「芝麻開門」是人類的千古大夢，希望只要開口說話，無盡寶藏的大門即可開啟；在今日強大的軟硬體技術及人工智慧的環境下，這種夢想是否又接近了一些呢？(✪ω✪)

 #座位有限 #請提早前往搶位",1579431892,"/iis.sinica/photos/a.191847044290070/999237466884353/?type=3&eid=ARBsB5SUABMPIBW9BreSFXHa90zoBAcLaqzP9w39jlW04-mQOtmRU_guiyXL9onn4ZOyYGsZVl8pSR6e&__xts__%5B0%5D=68.ARDaYQdMe8ECnWl7fGHgyvuArjL1elaMqunap66WW1QixNu7magg5fSb2ty3eepIg9JMX5Z2sy0iVS8lSdzycwFi1ocxy80gCqreTWdvAlq-Mmg1ObpfHxjPE5dE6jGkceOWunEuz2OrZcubffbK0ycNLF3SywVwNpvPLC4Fv3KuczPNmVJ-V2x3ct8OHbEn0qGF_BYhAoY7uyJL0QBFF29wc7xx4zBlQizmffbhhLD8x9EIcQiA9LKJ6IYNXYaAu8UHYQ9XK1NZWCyAZjeO0ClLzorA3KE-HFV-wGlzP0VToOMzy567Rr01RpCpahzT_M7sV1EJBzxu912LLysdRFnHRLBpQwcC-_zAcH_E6w_q4Vw48PxOc-CBQ8hfFF8cvOJ4djVLelqOMMGnVZ8vvvsWKrGmz-xvSxZqbuZNw2NwirKLTyeCjwxXhK1-mRLN60VxETrmpg3HnvF774Agco1GysTnRtCkWhY3p6-3_sw2fv0_9htbsxxIAg&__tn__=EEHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t31.0-0/p526x296/25734231_999237466884353_1397022282996647017_o.jpg?_nc_cat=106&_nc_ohc=B_66w3A6CBwAX9FaKhi&_nc_ht=scontent-sin2-1.xx&_nc_tp=1002&oh=4f669ef0fc69e11b6047673e05540328&oe=5E9FBC7A",undefined,"中央研究院資訊科學研究所",""
"https://www.facebook.com/twdsconf/posts/2053929391495838","1510806882","😊😡😭🤩 Emotion-AI: 運用人工智慧實現情緒辨識

還記得之前大學教授發明的「看臉色神器」嗎？
用人臉辨識技術就可以點名及分析學生是否覺得上課無聊XD
想了解更多人臉辨識相關的知識～
你一定要來參加由 #李祈均 老師帶來精彩的課程！

#情緒 的知覺與產生是人類的重要演化工具
藉以強化自身以及同物種成員生存的機會 (・`ω´・ ●)
對於仰賴 #社會互動 與 #溝通 以促進繁衍與生存的人類尤其重要！

 本課程將以運用 #人工智慧 實現 #情緒辨識 為主軸
希望能讓大家更快速整合相關知識與工具來開發情緒辨識相關應用😎

立刻前往報名 >> https://goo.gl/5GMth4

 --------------------
#台灣人工智慧學校 https://goo.gl/4wA5wJ 招生中！",1579431885,"https://l.facebook.com/l.php?u=https%3A%2F%2Fgoo.gl%2F5GMth4&h=AT0PIn7mklFd21xjuBQVPTcNGCnW3BVA44FY1V2E7uftrc0Qt5G91-lj-1_agaQYrUzN1FYv57Wq4a3celZD_hZDZ2aWjsJKmnyqBAHDBo5ricr6GLE08vkHCzSkqc0ZdXbD2x94FmYN_LiDIEthFdSBBU1FoJ9Rci1DeFY1JVVchQx9yaARrNp7tNf7fNleh0vv4aiZxEYAFKV1fnfo8K_YcObnqtt160b7e5lC5MYemULS0oaXRsQpedkPBI8EK72R36KivTEqEoxdj6M99C4gNI1HvrVu8PK_SNnoBjFFHym_JkyQ7flejbIwGEVkAD488ungUZeQ1YwuY_j0eyzkt_f_hidm2wvjB_P5kySmg6QlUYcB1vLr4eyx8e9xE2vdwKQjojL9YsaEoJBU5J10-aNxSXoqT5txVcXelELROCQ-YFPPSClCUeJLbbTU8CIEhNR-EDSZGZOAzx7CuWx4oIzywzSKvNlcrpFQLpMhiLfzOmoDdk1FGCNs0hc9MBKDN2rPzuYX-zu1NJXTbt-3JI2FixgPDZ-lIVPQknpZcKeIu2AaIm5RxwQQJCQSeq1Ow_E6Y15i42D4fbAvbwZB74uYI-voCCz3IavsO88moKXL-3GMrwYFJMsXE2jyB5PzfXmo2qqS73CN7TU","https://scontent.fhel4-1.fna.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.5.516.270a/p280x280/23588038_6080502112070_9214150273918828544_n.png.jpg?_nc_cat=108&_nc_ohc=wLA1E-6DgxYAX9_04vJ&_nc_ht=scontent.fhel4-1.fna&oh=e77088010fe8fda77001b7889d18a8c3&oe=5ED3F58A","No photo description available.","情緒的知覺與產生是人類的重要演化工具，藉以強化自身以及同物種成員生存的機會 – 對於仰賴社會互動與溝通以促進繁衍與生存的人類尤其重要。人類互動中的情緒訊號與內在...","lnk.picsEmotion-AI: 運用人工智慧實現情緒辨識 - 台灣資料科學協會情緒的知覺與產生是人類的重要演化工具，藉以強化自身以及同物種成員生存的機會 – 對於仰賴社會互動與溝通以促進繁衍與生存的人類尤其重要。人類互動中的情緒訊號與內在...Book Now情緒的知覺與產生是人類的重要演化工具，藉以強化自身以及同物種成員生存的機會 – 對於仰賴社會互動與溝通以促進繁衍與生存的人類尤其重要。人類互動中的情緒訊號與內在..."
"https://www.facebook.com/twdsconf/posts/2471403503081756","1565064209","感謝大家對於台灣資料科學年會的持續關注，2017 年我們舉辦了第一屆台灣人工智慧年會，2018 年初我們籌辦了 台灣人工智慧學校 
，希望延續台灣資料科學與人工智慧的能量，並在台北、新竹、台中、南部四地都設立了分校，智慧醫療專班也於 2019 年 8
月陸續開學。台灣人工智慧學校成立至今一年多，已為台灣培育 4,700 位產業 AI
人才。為了更專注於台灣人工智慧的人才培育目標，我們已提出申請把「台灣資料科學年會」與「台灣人工智慧學校」的粉絲專頁合併，將所有的資訊統一，期待我們能成為所有人工智慧人才、產業與創意匯集與交流的平台。也期待各位粉絲持續支持
😀😀

 ==============================
台灣人工智慧學校 報名去 http://bit.ly/2K52VpF
智慧醫療專班 點此看簡章 http://bit.ly/2VCyRnF
==============================
《人工智慧在台灣》新書上架
博客來網路書店 http://bit.ly/2W0n4oe
天下網路書店 http://bit.ly/2K9jVes",1579431885,"https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F2K52VpF&h=AT1wrwhCtidO3X3DdHaJuGDgrhSLNsAcgZLYK2PrSZYoI8j3AhL4DKEJvvWlj0YE0vMPBc1kwLgnWPS1bPC1FPN01bnk49vycwK186vGhUVkrBJt9s-7oYyl4LlQRxq86-Cym14YEcNuet5si3tYQtxA1L-7RZigqHOguG89Sfx5KPRCiGirALO14Pjb7vWkvoEym8CzDhIORTZ-R6XXuqDnBg625CV0NTYR0yWHQ_eOMumXSBPECZDSGHjNNrKIvSlGsqWhvXYQ_ixtxV9jYWViraVECyo5zu8OY3PPWXywYUI5Pekpsw3z1q9shKLKtKTHMSsnW8iOVhPZhqeckyRJhVF--C56dzycaKgevvtQO-iRcWRArUx5_KUx5rJ3EE6qIc-bZ-1CRo-CiOXcKIKUTSDo6SGrB9cBQLllN1RB7xjayyuph6s0oJnQbQhrfwpt86r14xSknZWRK0yGU49yQ75QJyJbrzf-ce_TqQfHhEoNH8GiwmSg7OK9uAXa4rE-89YC3NsBvgRc3OdbvQxNtyDQU3mE-XrSXPxltsuMouBo05Y5OXofLVnfL0QMnMgARAN9SAcltTD6_pR8971wkOlHiwT3brmJlO4hA_6YEI33Y6bXfZr6WZO25HG9YnDo7htY8LbgKaoTaQE","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQDc7vrVJT9AKOqp&w=540&h=282&url=https%3A%2F%2Faiacademy.tw%2Fwp-content%2Fuploads%2F2019%2F06%2Flogo.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCFrGJjdTZrMWNg","網路考試資訊 台中分校技術領袖培訓班第一期","台北總校第五期 經理人週末研修班 上課時間：108/07/20 至 108/11/23 止...","aiacademy.tw四校招生中 即日起開放報名—台北、新竹、台中、南部分校 - 台灣人工智慧學校台北總校第五期 經理人週末研修班 上課時間：108/07/20 至 108/11/23 止...台北總校第五期 經理人週末研修班 上課時間：108/07/20 至 108/11/23 止..."
"https://www.facebook.com/twdsconf/posts/2056461734575937","1511247600","【全新課程】#手把手 打開 #Python 資料分析大門 🤲

Python 是資料分析的當紅程式語言 ლ(･ω･*ლ)
然而很多 Python 資料分析主要套件並不全然那麼直覺
使得不少人學了基本語法之後，一直無法進入資料分析的領域

 本課程講者將以多年教授 Python 的經驗
幫你破除容易卡關的地方 (ᗒᗨᗕ)
更重要的是，我們學習到的不只是這些套件的語法
而是瞭解整個資料分析的概念！！！
可以更深入的學習統計分析、機器學習乃至深度學習😍

立刻前往報名 >> https://goo.gl/wCxkTd",1579431891,"https://l.facebook.com/l.php?u=https%3A%2F%2Fgoo.gl%2FwCxkTd&h=AT1U6izueY8nOBrazaWHqjj7HUhSUHj4vjs10ENRKdjrU3gFLp7t4MyvmjfEUbzD5oEAF4el1dl8FjIR7xJh8F7v1emXHg3dkxLU7ejNPNoBPpnAVyhQmSn_qw1-BfyNYcmw99AkfbjZSiGDYZlj59eqOpA7JWi03o0lhX2Ji4F00XovMR00BDqv7myXdTpEXNeOc7BIaIt6IglQf8vKxYmLNeYWOzNVBIF73ZdUEs_Q6rMn71mQ9RLiJDJjx6meIp6qr0fk4CNrkuFI8j5NIufOr2D7m8PcgTt39bqSxXYM-QOJFdmsf9Z89lbQcbCvl8m6xfSr21vZsEHuaWFRBw9rE-nhDBW2MPnRLNAmuuOI0mNPfpZry1GEym5iflV49SK-LVqGuBxojEhsuE6tT5OYPuK3rRPJxE9LUtNK0wTrkzHVf1igyVpUgISJ5dowEefzn5f25gW_es8bBkPgJGiyjyLORUDcCn5A7e5bfHETdoeUmGJPRuK9R-GUROOLZZtN8IxO1zxzS_KyEynUSlndGr1TAGOccetIh12bmU1q-6CGU4S-CYBCW8OGguker9gfb4CfkccG5t16r1z9OjyVk98ulC_M_42n1HEdhZh5N2BdLfWoH2FgHwncX-N7DfM2XHvbUaNaPw_-NqE","https://scontent-cdt1-1.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.5.516.270a/p280x280/23841986_6080776547870_2282300884715044864_n.png.jpg?_nc_cat=106&_nc_ohc=Ndxf4PS8gYMAX9LDZFG&_nc_ht=scontent-cdt1-1.xx&oh=1d50c72b378090fc501005a2889c67cd&oe=5E9DA921","Aucune description de photo disponible.","講者以多年教授Python的經驗，幫你破除容易卡關的地方，學習到的不只是這些套件的語法，而是瞭解整個資料分析的概念。在本課程之後，可以更深入的學習統計分析、機器學習乃至深度學習。","lnk.pics【新課程】手把手打開 Python 資料分析大門講者以多年教授Python的經驗，幫你破除容易卡關的地方，學習到的不只是這些套件的語法，而是瞭解整個資料分析的概念。在本課程之後，可以更深入的學習統計分析、機器學習乃至深度學習。講者以多年教授Python的經驗，幫你破除容易卡關的地方，學習到的不只是這些套件的語法，而是瞭解整個資料分析的概念。在本課程之後，可以更深入的學習統計分析、機器學習乃至深度學習。"
"https://www.facebook.com/twdsconf/posts/2052670284955082:0","1510581601","今年年會圓滿落幕～非常感謝大家的支持！
<| 台灣人工智慧年會 ╳ 台灣資料科學年會 |>
我們明年見 😍😍😍

感謝今年辛苦的工作人員及志工們 (*˘︶˘*).｡.:*♡
#報到組 #食物組 #公關組 #場控組 #場佈組 #活動中心組
最重要的是有 #攝影組 幫大家拍美美的照片 ε٩(๑> ₃ <)۶з

快TAG自己或你/妳們的好朋友 ლ(´ڡ`ლ)
讓大家知道我們一同參與了這個盛會 ❤❤❤

--------------------

 #12月系列活動 即刻起開放報名 >> https://goo.gl/i6yZht
台灣人工智慧學校 招生中 >> https://goo.gl/LUK8Zg",1579431886,"/twdsconf/photos/a.1508837806005002/2052670284955082/?type=3&eid=ARAoGGCxt9rBjmjvzV0PVj9t0vX6aegKRq4mz8q5FuMHTvp-_nAOYtGtWkQx_MyScYI4Rm_Evpqrqgkv&__xts__%5B0%5D=68.ARArAWNkCw4EUuUXuHwS53tNPW74487Ak0SxQDkRsPuy6o6y8k0nd5cSJ76yh7_AcqGSRJFMRxS-P27jgcONN4euLL_-ztgrPL8B6NyMM8loc29KSfiwHV9ZIa2whAbnCmDL9OaQpdmHvTiyJBg-IJcKsYDHLvjKTma48VdLdTW2D1pZs0SePgaoWy2UJ7TNEU6RgLZYoEdE7YwMwJoHbwRJ557iJpTzXljW4FePG8TqHP6DZ43gYZefx1iGBFAY25l1w_ukYj7OShLKTF21aK6c9m_XD4aid10OXiYATvKbAWD6sGlYpW9MHat_SP0zK1iMIAWCTM6ztTQiLN3YKe0HWpLa&__tn__=EHH-R","https://scontent-waw1-1.xx.fbcdn.net/v/t31.0-0/p526x296/23631958_2052670284955082_6836538839978105788_o.jpg?_nc_cat=102&_nc_ohc=KA64YQ_D9K8AX-Cj098&_nc_ht=scontent-waw1-1.xx&_nc_tp=1002&oh=062778489e0ae02e00af022203615a3e&oe=5EA06EFA",undefined,"",""
