url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/BabyDiary/posts/10156697376821270","1568093400","如何杜絕惱人的腸病毒、流感？
醫生這樣建議....

 ＃對抗病菌有方法","1570933444","https://l.facebook.com/l.php?u=https%3A%2F%2Flife.tw%2F%3Fapp%3Dview%26no%3D978317&h=AT1lPubBOo2zHj0eXvFiyPhD3Hr2b30z_Hh2TDsMDfHfIl5Ps-pvLrQjEvfg2N-8jsQ5pIiugGp1WP2f8zoclPpiTEOm45MTfmYb2CghZP4jt7y5vwawk0Yq4JWAco7xkmPJloxDm6OOQonQ3HkYqmuEwV62nmlX89MsMp7uxfQOQowthrKQtQkFYA5Zm9pGQTz3oaMk5yqHJO9MP3wEmxrQeolX9cU8ia2r_mMdefQJglHMHe-fWHDZEPfhnRFBt4CzvHkB2lKFt7rrwoQ5EwE51nZBH-d_EBtfCSMwXbYr3MZ5XCCr95daM580UQhZhhha-m5mzSO0nQSFn6LGvxYi9zGD1ugXCK5T9cbn4Dk_u_99FaQBPKUgAfZ1pehBN_XN8IDS-e-ot6wcY5bnHFPYOJv_IcJqqrTGATXNqwsKgdzbdXAo5IUs5e5b0hTAXCQYWe-XDtkK5QqcHQSni0EQFA2LR8OZKmgAk5-g1uNfcqNnSfBt5GBPbBqbQbB08KMbfSGKI_nf-atoEBFhCmMMZWFy_GBTwpPKekv9MxBlyNQn6KLZVSsIhrrMtmxstxSrAksxu5gMWSHM0tt7Nrizklcu7ZrXpmyXtXO-A3eFKxCuzHOOHfA-FVbjF5xyLudN2neZ","https://external.fhan2-1.fna.fbcdn.net/safe_image.php?d=AQBJMDbmjR2zmDQ5&w=540&h=282&url=https%3A%2F%2Flife.tw%2Fproxy.php%3Furl%3Dhttps%253A%252F%252Famazon.life.com.tw%252Fproxy.php%253Furl%253Dhttp%25253A%25252F%25252Fhealthnews.com.tw%25252FimageFile%25252F201909%25252F2fc097ba10e80db9b842bcf576d06ff1.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBwT5M-tdFz9yLW","兒童腸病毒、流感out　醫師這樣用抗病菌產品","兒童腸病毒、流感out　醫師這樣用抗病菌產品","【健康醫療網／記者曾正豪報導】夏季腸病毒，秋冬流感病毒，潛伏四處的過敏原，讓台灣孩童危機四伏，市面充滿各種抗病菌產品如何使用？耳鼻喉科診所專任主治醫師林益弘指出，拒絕病毒細菌進入口鼻，常保持手部衛生乾..."
"https://www.facebook.com/BabyDiary/posts/10156776462801270","1570843800","節目意外抖出余秉諺當年「沒有求婚」...
有沒有讓老婆吃醋，答案竟然真的有？！
＃大老婆氣度
＃如何維持夫妻好感情
民視娛樂","1570933444","https://l.facebook.com/l.php?u=https%3A%2F%2Flife.tw%2F%3Fapp%3Dview%26no%3D988893&h=AT0qx4Y8nGPiVy1a6IyouzXF34wuTBnSOD5LB0R8qdTWZWD7eV3ycF06MmRrZlUZA_SBPsPsJgPwUArhbK04jyEgiuqZg6ut6KkzFsI3UfsNz86gWz-wK_5QEp59Ul9udYLXmVMD-nd1LEOnParzs0vbDyGfAwB_KbEI2OisSI5ETCJhjjTBdU2o7slsOuAWyJIJEInkpNxNtg7BFT-JbkHWMMkoJki4xJB3YPgurbmt7kM3HPsFdqU40IwomPh-Q56puigst9uIxRi0MC4VYTzXE9MT6A-dQKRR7RexJXdAgEnzXWDQnEi0yiB-mk7ntQOm2BsJWvGmignteUA31bebLsk9nlcJvzjmIuAC4qhDoWgQ48beBPuPZggZx5hn5dxc5xfENZyQomzj3UmYJUP1mpYf8OETHmzDYZ2peE-PXR2fYvSm8iarHRs-9L74EEyf2R215bKvLg0c5ESfGm_xHItIc0xYJJg3MonPdfvDk-YFvpBsWR_mdXVGV7hFe96MyHqHLmZjM5j_EYZsjmIOwbqee-hxDZ0dA2jOYIjdA3jkg3l3HCfjepeln4eI7JpSEDjJFuF6EThw2bQT9aPsb29IPZV5-Nlef2UnGUxILtytZwQ2LGFzG4WPDrMtIsuQ7tN9","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQB9EMnVzqod9cP2&w=540&h=282&url=https%3A%2F%2Flife.tw%2Fupload_file%2F51%2Fcontent%2F2111ae16-5da0-bc6c-879f-670b2e0733a3.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBeXVlLlfFKizML","被問有沒有對同劇女演員配合動心過　余秉諺勁爆答案冷汗直流","影／被問有沒有對同劇女演員配合動心過　余秉諺勁爆答案冷汗直流","阿甘、小路主持的民視週五網路節目《娛樂超skr》邀請到在《大時代》表現精采的余秉諺與老婆王依蕾Joanna來到節目中，余秉諺一開場就不斷先替老婆喊話宣傳「王依蕾Joanna」臉書服裝直播平台，也在雙十國慶連假期間陪伴老婆..."
"https://www.facebook.com/BabyDiary/posts/10156776458841270","1570809531","孩子真的太可愛了！
大叔李瑞鎮吃不消了 🤣🤣🤣","1570933444","https://l.facebook.com/l.php?u=https%3A%2F%2Flife.tw%2F%3Fapp%3Dview%26no%3D988755&h=AT0RxdkMzVB3IckQqsWmwOxfFNR5DG2cvJ_Q_kq23MVLUg6RY0U2msmiT-PWLRj8JIsdQq6omUCKAmXsejZrgxkQ4dSko6AAj9SeQDH7Uce07yu7Fnf4VqFvSjpgPUY52JPj8jCsqeSfu0w3jNLJkNCRrvvWAq17xhaC-3V9W9BCgIIoJRpc-IpTzAUPq8Z4-Qm8km-vupzpMybP3xe2ITahB3O3fCT69EKEDAUBIr2Q2kaSa9B7wnbREyV7rxVWspkkpKRt2XLTFY3pbkGnfrZS9nvmqnA3lEXLjcPVZpqx2U3xscPmhNMfOqKncqffzEM0MU08dzZAh2ga2NKJ_wFcXpiF7jI9OdeJUaVmdTBarDRLcnNATa99aN-O-h4rDNm5pKfor3r4oGzGPalB8mMszGIWzsx6faiqeFhwT5mj3BQWKuhGYaqF1dSasn4bHhRHcBFhJenj1E3u_1dWzfqMkEJjsitKUeyIPcZL5S7NiNExQdawdIZzDNbOx2ayIQ2NgBTrXz25PERPAxuhBYhnVzDx0R2AY3zc50-qcTATGW4hl40o7MvoyQgdujNT1Ok0b8X8FP7JduHM6cLAellxH8yNUAw3d7wGkFWo2HQv_Si8jHvhbNTPktmcbLM_PITWdR88mgNoFlw","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQAosztK-SIH0RUE&w=540&h=282&url=https%3A%2F%2Flife.tw%2Fupload_file%2F51%2Fcontent%2F3437fc13-5d9f-ffb9-a60f-b39e9093f636.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCm07yTdXzDoFlF","影／五歲萌娃童言告白：「我愛你」　李瑞鎮迎來入行最大挑戰","影／五歲萌娃童言告白：「我愛你」　李瑞鎮迎來入行最大挑戰","人氣韓綜《小森林》7日於韓國播出最終回，李瑞鎮、李昇基、庭沼珉及朴娜勑精心準備小森林的「畢業式」，不僅全員出動料理惜別宴的餐點，親手繪製獎狀，還設計「樹精靈」的橋段引導年幼的孩子們說出內心的秘密，其中....."
"https://www.facebook.com/BabyDiary/posts/10156722155291270","1568954502","大家的爸爸，會不給女兒穿裙子或比基尼嗎？
＃女兒是前世情人
＃辛龍爸爸佔有慾好強","1570933444","https://l.facebook.com/l.php?u=https%3A%2F%2Flife.tw%2F%3Fapp%3Dview%26no%3D982083&h=AT3c9cdfGKEOtrpX1wp9mtGi9BPU24CKcxqem6bNUkBdzOOsjI6IatimpKzJormKRv7bZtTo_8yxGa85F8OCXSg3Wx0BHTyfW0O4BgpestThf9CySfV803AleuT9Mcvbj-NFCVw8KIuKdT6ksRvIhWPd7Z0PIsvEhcXX66wJpOf3WGyKE57XluChTRpsQnOOmCNIhH__iMVyVJvCdc1cq99OwX9wdefU2-6lOIygWFCZOkyXE4yp8eV3ae2M2DIbd4Lu4i6Y-CxT4cvKH0W_UrsOFJXImGH1sQ5-V-zp2ynEsmFNCqKCme8WwPAAeXxH54d3JFdpmLXNEHXpIHLndW3gYUtEq-FiugRNCXbA67GCsukJaYCPglazte-j_vz0mwd-osSbP1dZSm0_2QmdEJ0zKnrQ3ZKf8VBhvqO7KoYGFRoJcRuL593EysSk15T9Sia4IFsfltoT-dp1nxK5VjuQBNUI-gSXlYeAPUJTZf5bNEVovxpiziO4K5oQD16jKUp0GBC_Gnc4bYHpVRv5jjUcTycKQmVHaQ5NnImAQPVMU4efsHS564fcW26Pycqomzxnbg_fFDMX71MIPbjL3KYhBuySYvKJZyZ260eiZ9NDN3MT55Yl4rqmF2n6kp1ORI7uxPJs","https://external-gmp1-1.xx.fbcdn.net/safe_image.php?d=AQBj9zU5BfDMWtQk&w=540&h=282&url=https%3A%2F%2Flife.tw%2Fupload_file%2F51%2Fcontent%2Fb2b55c46-5d84-d365-ddef-97f1575ba0a8.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBq3O9vnvXpPcZj","辛龍女兒控！不給穿比基尼：「他的兩個女人只有他能欣賞，別人不行沒得商量！」","辛龍女兒控！不給穿比基尼：「他的兩個女人只有他能欣賞，別人不行沒得商量！」","華視周六晚間八點強檔綜藝節目《超級同學會》本周邀請到一對閨蜜兼好友檔金佩姍與辛龍合開同學會！傳辛龍有女萬事足，還是個女兒控！主持人黃子佼猛虧辛龍，老婆劉真身材好不給穿比基尼就算了，連女兒也不給穿這未免..."
"https://www.facebook.com/BabyDiary/posts/10156734296336270","1569407400","爸爸帶娃系列又來了！爸爸帶娃花樣多，都太有才了吧

 #媽媽忍住
#媽媽不能森七七

 男人帶娃…只要不哭不鬧怎麼著都行","1570933444","/watch/?ref=external&v=587034625164696&__xts__%5B0%5D=68.ARAOwC8GVNCXUqYOUOxV-G206KDcrW4VWVuj6AXIxHqAZMsqJQZHIO9dY4B7RF-9dZJgzbc7WlMMXYiL3gRN3-2Ejb7EL-c_GyrPaJ0ecVlZSbhQqpriobO_ivyH8ifSMagTx5MhGxyL2PZCxLgyDfFpT-D3PHdAchxlpR4gg8Wzc6pZYPX8ForejlG7kImaNkE4j6DDM1zeZs2I0G5oSFkupHmm2G2BRzF4Wi0uzbu32AiIA4hsBTM70qSKrql2j4PIFqckndtZGy3bLtC-Fq4sX4JywpYXPZkfQzcQ0pt8K0YQtFyE-oRVMmhg2JeQdNGKVZat5OaBylMEfnQD4Buw1_IcMnul&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.13418-10/70234718_2462432874000829_360877982731993088_n.jpeg?_nc_cat=109&_nc_oc=AQlHb4wAIdqxihpUxEJkNrFQdaB4BO1t6CVE7_oG9qt6ZflRE1KMiY38gKCnFbErTgs&_nc_ht=scontent-sin2-2.xx&oh=9149e0eb742334b7d2d2627e4a988bc5&oe=5E395134","undefined","爸爸帶娃系列又來了！爸爸帶娃花樣多，都太有才了吧","Posted by 寶寶日記  BabyDiary"
"https://www.facebook.com/BabyDiary/posts/10156749463106270","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1570933444","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/BabyDiary/posts/10156759549701270","1570278600","對孩子吼叫，也是有學問的！
如何對孩子正確的「吼叫」，2大原則...","1570933445","https://l.facebook.com/l.php?u=https%3A%2F%2Flife.tw%2F%3Fapp%3Dview%26no%3D987255&h=AT0CEqoDEWImvmSvdikOJWAWnrO3wj1ssQ9e2kDpttL-m3IylMxr3SGHYC7kytaYxaOApRsgbotrb5j0Zf8Xqrhlh5jSRLPoSYP_3LaGTrJfQQLgbX74ufkmjOBLqCbwgTrcNm9T6NfIMqQ03STBKM9SeubyARTOtJnAKeEMtO_k0Pr7UjScEZ7EQRcAA1Ozz6ZU8KIjLBOZ-eU0jaVhAHVTpsfZPgGkAvEjDvZ4QPHNaB-rKgOpg734uJhGXQDLm7A1JsH4Sf5jwvlJe87Xo8Owo6sfls5HhdxjtV-XQeOxRyybyEZ8b7H-OESFTNWStm2Bi7N1RZ8zMMWJkft_4lqUDFMJvW3aYHt0qYKcbFwM2LU5w0faVfKR8SWRGV0oqNUrXWkCkINijv0yOSUQgr9qYecUNF8VzNttBxG_Nb3X0yGq2mzrGqRV8fZs320ujPG0I5-nGdxXwhn7iemi0gbVxRUU4rHzQeTVk3BPuJfgKkzfbHD9SCpywVbakacJ68AVJDOt2iG_WHV98cDTtV87YIk7D7PQIee0ZgQIelrDvne73a_vj9bmwAUF98bBfxFV00nvWv59kXRz6x-IJspEzCgn_2EzjMfUdrylB7gW3g06J5kCPqp9_l-4l4AsMXQ1Y8Mz","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQCDecbOjE80mag4&w=540&h=282&url=https%3A%2F%2Flife.tw%2Fproxy.php%3Furl%3Dhttps%253A%252F%252Famazon.life.com.tw%252Fproxy.php%253Furl%253Dhttp%25253A%25252F%25252Fgrinews.com%25252Fnews%25252Fwp-content%25252Fuploads%25252F2019%25252F10%25252F130424154523-angry-young-woman-horizontal-large-gallery.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDIiMvNgdxbPNHi","如何對孩子正確的[吼叫]","真的不是媽媽愛當吼媽！如何對孩子正確的「吼叫」？","草根影響力新視野(琪拉編譯)因為資訊流通迅速，加上社群媒體的推波助瀾，現代的父母都處在教養的焦慮中。隨時害怕自己做得不夠好，害怕自己的負面情緒會影響孩子，害怕自己失控下的吼叫會造成孩子一輩子的傷害。但是...."
"https://www.facebook.com/BabyDiary/posts/10156724679426270","1569049693","疾管署公布，#腸病毒 單周就診人次已破2萬，創下五年同期新高！！
---
萬一中標了，跟著這樣動，活躍肝經、開脾胃
#小小免疫功
#內有影音","1570933445","https://l.facebook.com/l.php?u=https%3A%2F%2Flife.tw%2F%3Fapp%3Dview%26no%3D981600&h=AT1-tajRJINfkm-BVQU-TFTgZkHTkWVbK5f6JWsdc3lHKFfDgfwymEBlneo9Gn91_xciSzoITnikUQ-IuSUdC6wBAiPl8FLT3qRlXOK5t6bxKkT6zDl6ovzfGZLkWLkiq2t41lyxH5WI4a8GJyw4WLms8F2jV0eG1appZv_8M4hveNxDzyzh3QbA9lIboNMMGA97TR1ePcwred-Hhi1fmYI22eEVpxn7y6qkGctqqUuohVU8rX8b080cjnO_S_E0LqNL5aLg0b491HoKxZ-kMOUHw-gnGnd4mjT17Db5ZjOMjoInv5rIa2OGkS1gRe0MYivNrqrCm_jH_3xQ-4IXDbRD6sS2hgbf2tH-Ut630v4XR_NKjiprEHxP_8fogbN1ZG1cx1aN0jdSNqGosgeRzOeTbl1gRbjOhoSSRqjOWnE4gW8QbGvvSA4t6nWJkzQeBH7UDjSdnEcDzgS_33heZpBMB0jqSgyFJ56Z-9RKrO2PQE1Gf16KV7fqQXAHW2LQc16qK4iGem6xrs-ZMZ1LKMUtwUXrBY3WYCFfPDJc26zc5okLuppDQm1ru3LIEz2-XlBsmohm22yPWPyw2r01CbV3ZI1B4C0KLoAzws352CMzAntg7X2jaRII0S1S5od0m_Jw3WYe","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQDhsKgKj9_gNaGV&w=540&h=282&url=https%3A%2F%2Flife.tw%2Fproxy.php%3Furl%3Dhttps%253A%252F%252Fcnews.com.tw%252Fwp-content%252Fuploads%252F4-42.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCckd18OgCTuxwV","4-6歲防腸病毒成關鍵 專家教免疫功鞏固自癒力","4-6歲防腸病毒成關鍵 專家教免疫功鞏固自癒力","匯流新聞網林風／台北報導腸病毒進入大發燒期，嚴重疫情造成停課的班級暴增！據疾管署公布單周就診人次已破2萬，創下五年同期新高，幼兒園停課班級尤其多。養生專家白雁提醒，腸病毒最令人擔心的併發重症，而且小孩....."
"https://www.facebook.com/BabyDiary/posts/10156636688856270","1565935702","想求子的看這篇！！","1570933445","https://l.facebook.com/l.php?u=https%3A%2F%2Flife.tw%2F%3Fapp%3Dview%26no%3D969366&h=AT2oo51dMkPh6iIF8up19SWe9ZXjirAJOGyFzcmve9Yx8wz5OdjvAcVaYuLweZij_3rUHDjxQoVeCUsnkw5O-6XGgcMl1KapYs35S7YCCbfTeBYHK60Ae8fqu4mRW7_yf17yPiHJtOPUdUPSwhUsSoGm33CCNbvd96lj-LkDdeeLG0VFDIahwhOOK1h2Qk7MV1Kj92UKzk_dbG1QYwWyMjgTEaWsaTvevYZOgQnJ0a8aFF3tO7BDFHaA9A54nuReZ2faNj2ToA9GpiEhluC3xxj-WZyUxjIbyfa4gFfDDFWra_4XKinfrlwyVPPFSlf_e2R57IunZNha-B2P3-0XWBnb5KVfhFshiUHvCc6BOHCnnugAj3ojPInYlkWgM13soHsfWck84htjDwEABXKJV40hYZ-TxbYpvV3G9a9MJQS6FeDyDuhrMtDq6rFQs3ospTy64jHBjjfZT7yeNdZvSiZLEt_dwjp33Ux9iniDd3WXaRUbDPEWPyLfqKJ1LhLD75TYh3cE-lLFC9rs_cEVrRMGAH8MVaL2vsxo1-mZFWLBos28DopzPGRjfGM70FvzhUceSlP1N24efiyLsLGHJ2h7DQRK1zEux5gma0O9tY6EMD3we8Sk3edSUfA31tA3u3V2bFEw","https://external.fbkk7-3.fna.fbcdn.net/safe_image.php?d=AQBfR-cUbs56Lli2&w=540&h=282&url=https%3A%2F%2Flife.tw%2Fupload_file%2F51%2Fcontent%2F8c67c174-5d56-1782-6aa6-2a8277547e30.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCeOMQO3qiCuQ58","改變床位可以提高好「孕」機會！詹惟中指導蕭淑慎：改善居家環境有一套！","十二星座魔法物語",""
"https://www.facebook.com/BabyDiary/posts/10156765136051270","1570417408","懷孕期發現惡性腫瘤，怎麼辦？
---
👉李璇：「現實生活若遇到，未來孫兒與媳婦我會選…」
👉愛家好男人修杰楷：「你愛的人身體健康最為重要！」
LiTV線上影視 #天堂的微笑","1570933445","https://l.facebook.com/l.php?u=https%3A%2F%2Flife.tw%2F%3Fapp%3Dview%26no%3D987602&h=AT0cJ7eTIS4YKX-PpySO8ElUJm_x6a4rRMjwWbGO2J11Q7qqsrkoAgjNluKjD8HYSjq8ZINx3DF1n47kFKWUYz_gez0lvNNs6dCoE0L8cuB4RhsI_jVOXky69tgYKL0W9oNpkn1MqZjMgmcoofZwtfIFJiX0Nxl9Da41-63cA0p31gNW5J_ry062UAJxxIHGqUiRqFnobBxm_yfe-quvPMBjMFgMJnq8pG4tNWkuXssVeEh6Eyvjs8eMTHJ3Xk7cgsweTfM0RielLSCk8RYcg8CClwL0Ec-PAM83U-wZOqG1ktXgXyz_2J9hL0HFW-vKwlAkteK8O7kDNt-AhwFCcGNfljKqjyoRwdGbSkJZw1nu3vfTCcKcaGnbeBWhyoX55ygvTVJXo5pl8EcvWxAJwg53CcT_HdZvnkCtMCzlNX5ACsj0NWIjD0k-NZYa_uhENZI_HsSQFKuBGieaJsVaw1L_BYYiTuxPXSe-tcS8sH5p9VJFCL_5nHOLpe8XLUtJ_JGwnQn2PUz9aFWNhpIDTiIwaSHU852Ge7yLDBQec3q6LJ0s5XBH1lHdZbmJbdKrnVEE1cThj30HSXh4TNqCfueVWDl0Z3qiKp9bK0jqTVeQcwCnCQ2plKRXAfuUXHKs9S2qav0G","https://external.fnak1-1.fna.fbcdn.net/safe_image.php?d=AQBj3jQV_JMDRseg&w=540&h=282&url=https%3A%2F%2Flife.tw%2Fupload_file%2F51%2Fcontent%2F5eeb52c3-5d9a-0567-54d3-4f1d9d457bba.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCwdYbZ2I6HRGt3","當懷孕期發現惡性腫瘤能否生育？國泰生殖醫學主任為《天堂的微笑》做出說明...","當懷孕期發現惡性腫瘤能否生育？國泰生殖醫學主任為《天堂的微笑》做出說明...","「天堂的微笑」林予晞飾演癌症孕婦完勝！粉絲淚腺崩盤「準備採購大量面紙追劇！」拿到劇本悲喜交加，李璇：「現實生活若遇到，未來孫兒與媳婦我會選…。」護緊緊！愛家好男人修杰楷：「金錢、地位都不重要，你愛的人..."
