url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/GreenBox.in.tw/posts/1844996585601275","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579117909,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/GreenBox.in.tw/posts/2039774946123437","1570714201","【貼文有禮包碼─甜柿小猜謎】

 看圖片猜四個字，正確答案可在會員中心兌換小禮物~

 此禮包碼使用期限至10/11 23:59

 #知道答案的農粉可以留言給大家參考
#要是原詞的正確用字才行兌換喔
＃用信任連結產地到餐桌
-
❤️無毒農官網：go.greenbox.tw/2pcczMV
❤️無毒農line：go.greenbox.tw/2prUwDv","1570986519","/GreenBox.in.tw/photos/a.699548393479439/2039771949457070/?type=3&eid=ARBZVKBz5dpHHgYn15VuoSVXvGpqzN8Z_46amV-QC_0jmYrPTR4WUBZT4XD4XHCzOBGyI5smensht_OQ&__xts__%5B0%5D=68.ARC6dGbQQfiPuRYIlCcq4Ox_KGWVwphiKfZnubleSRdCt6MGw1cU3gyundLY41Oph_8ipoIjJiWGsJqrkRAFQkybFeCX5v7DkjG_Zrf_c64lk_Lp3hAAmTCeOJ5NQtiSzcC9sSouyoNoqDhAwlpuFncVy6qPihO-NMjfn6vTUKSXKeaJ-q9tNMVBbdKZW2no1p7dKHnVRrLkaU7kDDsL83ZdjX_PMgoss26y9mMDvHOZ60qUCHe7LQ20tKiUBP3-TA-VNfSTVvCJid1J7UbSVai8vwZTdOjMS4Gkm-5d7uI36kxSBxjErNUhIG3_3AMo3akl8Fwcnv1xIVfpvyjPnjxaRw&__tn__=EEHH-R","https://scontent.fhan2-4.fna.fbcdn.net/v/t1.0-0/p526x296/72184149_2039771956123736_8721871039530795008_n.jpg?_nc_cat=104&_nc_oc=AQm-lGd6XgoLQxc3fuIAyw-RuTiujNMXn0tslDjqIjAFU0GQzbqQ8TzQbbqS-5X_Voc&_nc_ht=scontent.fhan2-4.fna&oh=8132af9cc37f9b20d311e93b3cadc43f&oe=5E63C631","undefined","",""
"https://www.facebook.com/GreenBox.in.tw/posts/2041824735918458","1570541402","【生蟹、熟蟹該選哪一種】

 不知道大家買螃蟹是不是都一定要買活蟹呢?
食物越新鮮，越能吃到食物的原味；想要吃到最美味的螃蟹就是直接把活蟹蒸熟來吃了。

 但海水螃蟹的存活力比一般淡水的大閘蟹還低很多，海蟹離水不用一兩個小時就會死亡，因此我們再配送時，會將 #活蟹直接裝箱並用冷凍宅配
，讓螃蟹慢慢凍死。因此您收到時雖然螃蟹已經凍死，但因為是在低溫的環境下，螃蟹還是很新鮮的，但還是建議您 #收到當天就先蒸熟或是料理。

 或是我們也有提供 #熟凍的螃蟹，在螃蟹回港後，先將活螃蟹蒸熟，再用冷凍的方式出貨，讓您收到貨後只需要退冰，或是稍微用蒸的加熱就可以吃了。

 #螃蟹開賣倒數
#用信任連結產地到餐桌
-
❤無毒農官網：go.greenbox.tw/2pcczMV
❤無毒農line：go.greenbox.tw/2prUwDv","1570986519","/GreenBox.in.tw/photos/pcb.2041824735918458/2041824385918493/?type=3&__tn__=HH-R&eid=ARBPBzW3QSGP3RcpfpvkDW0m2LkrwAJ_yBkNJdccKuegNKCYbresu8KsV5iSjX5QWXOHA_cNDVnVl22M&__xts__%5B0%5D=68.ARDvh7Dz3CsLBMIovfQj199trt7Rh6ZZtiptjVerczYw2qC7ZnOFUcR3F6dg1cwd1C_I8CDiB6_aiY6BG5c2xiEfuMZutdpGmrq0EmXLy8Y6bGotzZlL6fysFgie83hYiw4fCeyldyBj2FFJpBUCqBtpKlLq3R9wmG1PYn_iaRr25sWj66UoJoQu1Cw5hgb1ENbeIfdC7CGW2-sAScVDJNo-RrENU2r0S_ROFJp9IVkQ36tnODl3R-IGH0zqJULHGGd3DHPHK6NIzPpCSFQnTjgy6CGXHmCaoRbNzqM_Mk1ExO9Las-IKvblczV_pTdZo2pzS49O_Y63k6q6aKG_Cqob9w","https://scontent.fbkk5-6.fna.fbcdn.net/v/t1.0-0/p526x296/72410207_2041824395918492_585698389438496768_n.jpg?_nc_cat=101&_nc_oc=AQkaskJcovtm7SeAyTvpWDy3dmijnIlYQZQ7jRzAZOX0vUplBDy46O3axhWQ5Fy8ess&_nc_ht=scontent.fbkk5-6.fna&oh=f32bba5c5725a7f820b8088d9da5abc2&oe=5E6489A5","undefined","",""
"https://www.facebook.com/GreenBox.in.tw/posts/2043629395737992","1570707002","【鹽中之花正式開賣！】

 📣盛重跟大家說，鹽花正式開賣啦！📣

 慶祝雙十節，#鹽花限量5組買一送一，鹽花產量很少，所以搶到真的賺到！

 ⏳鹽花限量五組買一送一啊啊啊
https://go.greenbox.tw/2OwHaBr

 ＃用信任連結產地到餐桌
-
❤️無毒農官網：go.greenbox.tw/2pcczMV
❤️無毒農Line：go.greenbox.tw/2prUwDv","1570986519","/GreenBox.in.tw/photos/a.699548393479439/2043578732409725/?type=3&eid=ARBdt0CtNZJ_G2XO0n1QaQf5JwBUub-LEdGidXctb0AiOwAlVUBKA8kGJ7eyfdYBCQWED-soLJDu2_MZ&__xts__%5B0%5D=68.ARB4sL2kek6l23DNdWX3ly6UJ3GmA4mzqyxmQvqJRITohP7czJZDMhuTOQnb8lL0bsgMy4tFwMvmnMEFdSKGJuGtHX7kdcdVASnteZ5ZFHn5R3TrC85pOURd-hzf79kMhZbECXEK2ytwQth6qORHrA5vfoBji430-3Zad6sZ7YEtQXUzuIeOfXUAXp2rQJm52NfFn4wj6v7_nd3WSlbRqge3yc26eXy7Jr17jlhtMZlfB8DK9oWX1zimXCXW9YOSzRZoCEfMLZmRRgkp_4zJX_CfQESXmKVxhEF3PGTaYFa2tYb7LeQXprTu2JG8j9rtDVdD7UbJ1HdLTuNvLDl_T8cWEw&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71742615_2043578735743058_3351770844048130048_n.jpg?_nc_cat=103&_nc_oc=AQmWSDnGuyOErM82soDcXUOTJpa0iLRoZgURqI5SJ-Iyd_eF9T7IZpCNptS0knJb8_M&_nc_ht=scontent-sin2-2.xx&oh=21c88ff0eff90d5d43b9495be53828e6&oe=5E38991A","undefined","",""
"https://www.facebook.com/GreenBox.in.tw/posts/2046846635416268","1570887120","【螃蟹控你一定要知道！五種螃蟹秘密大揭露】😲

 說到秋天，講到海鮮，實在很難不聯想到，我們台灣本地的萬里蟹。 秋季吃螃蟹，是許多老饕和吃貨們必排的美食行程。

 台灣的螃蟹種類百百種，紅蟳、三點、花蟹、大閘蟹、處女蟳等，都是秋天吃蟹的主要首選。

 但這麼多種到底有什麼樣的差異和優點呢？統整螃蟹懶人包一次大公開。

 🦀螃蟹百元折價卷「生鮮肉舖」限量加購中
https://go.greenbox.tw/313Mpez

 🦀萬里三點蟹搶先看
https://go.greenbox.tw/2ID8OsD

 ＃用信任連結產地到餐桌
❤️生鮮肉舖最安心：https://go.greenbox.tw/2nxqbDY
❤無毒農官網：go.greenbox.tw/2pcczMV
❤無毒農line：go.greenbox.tw/2prUwDv","1570986519","https://l.facebook.com/l.php?u=https%3A%2F%2Fgo.greenbox.tw%2F35mPZ6U&h=AT2nepG9vNZRA2B3Lqn_a9OKqs6pQX_RJ3AOhlpZtfTl6Ed_i-GqRKrlokzce2iUguBk2pSpG77xpr6LA-ovvtxfIaz0EOgLk3mcZqec86WfC73Dzq_Nt4LRNoxr8OQ-oBXIHsqQcXjwpPamQvHjQHi4jlD_NJzYop2d-u9KP-VAfN6R93WL1xxay104G3GNP-w10Q_0sNGzZzedyUWfKuYmPox1Ki95dToXer4j_Q0g0K5eQ9DEtX9XjRq7hk31AHndvBcBYd4Fd7Or0u8Gq5YEgum6LAMKts31VTqzFBrF1UXDA1RjPka--1iytEZ-bVUS_7Hm64yHE1sq8VzaRE_Ie0WsfgiiKeRiCCrih1Kd49c_9bUR7HwcY9mE3sDCWIe9dEVRmzWoCzjQjiaFpNn_KFymWkEy05-hYnsp7KPle1oiwkDw1oBeM-gPlFt906TgCPr4iL4UCcreolVpETrPWgLMBYYbigBmR82QoWgT7XZE8zeyt-xYHHlP5eD57GeVmlV7kodqIIFPABspryQ3KL9jVlTxUoZgOiKmm2oM4CgB2oaAOCG6NVo3vedwOl_YfEe_e-Sn3_9zPHwPEmSwg1KVH0qrbHXFzF00Bnb2ofdWoC_qoPbukxLDjsjHfr8ivYaXDOi3Vozj","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQDwYA8NgnMGOEL6&w=540&h=282&url=http%3A%2F%2Fgreenbox.tw%2Fupload%2FNews_3032%2F201910020416031.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBkadk9gaCglWSo","No photo description available.","螃蟹控你一定要知道！六種螃蟹美味大公開｜無毒農 - 友善環境的安心水果","說到秋天，講到海鮮，實在很難不聯想到，我們台灣本地的萬里蟹。 秋季吃螃蟹，是許多老饕和吃貨們必排的美食行程，雖然螃蟹一整年都有，但秋天因為氣候環境的關係，這個時候螃蟹的蟹膏蟹黃都特別飽滿鮮黃欲滴、肉質....."
"https://www.facebook.com/GreenBox.in.tw/posts/2006313129469619","1568857380","【中秋節過了，柚子還是吃不夠😋】

 每年中秋節前後不免俗會收到各式柚子禮盒，柚子多汁的白色果肉和鮮甜的滋味是許多大人小孩的最愛，但除了最常見的白柚子，你有沒有嚐過紅粉色果肉的柚子呢？

 🍐為什麼會有紅柚子？
紅柚子是從白柚子偶然變異所產生的，經農民栽培後，現在已經是超過百年歷史的自然變異種了！紅柚子的果肉之所以會呈現漂亮的紅粉色是因為含有番茄紅素和胡蘿蔔素，所以下次撥開柚子看到紅色果肉時，不用再懷疑柚子是否壞掉，或是擔心是基因改造而成的了。

 🌟紅白柚子誰比較營養？
大家普遍認為營養價值應該會反映在價格上，所以價錢較高的紅柚子，應該會比白柚子營養吧？
事實上，紅柚子和白柚子的營養價值差異並不大，兩者皆含有維生素C、維生素A、蛋白質、鈣等等。但是紅柚子比起白柚子少見，物以稀為貴，所以才造成了紅柚子比較高的價位。

 🙋🏻我還沒吃過紅柚子：https://go.greenbox.tw/2kPYHYY

 ＃用信任連結產地到餐桌
-
❤️無毒農官網：go.greenbox.tw/2pcczMV
❤️無毒農line：go.greenbox.tw/2prUwDv","1570986520","/GreenBox.in.tw/photos/a.699548393479439/2006292439471688/?type=3&eid=ARA8mB4xMYmU4D3GFYrKIHEuTOV3fJxdf6tbpjnFzIqF01byorKFJ2IS4fSvP3t_9Q2b9VURTzzQ0EE6&__xts__%5B0%5D=68.ARBxa3gijmtyH5noB5hsSgK71OfIdm_89PrzrHB6HdSaPugq6pQvCwhyuCqoMuYHT1q7ywXTxVHyGx_2PwXWTXw5IpAINa6ur1Wb6duit87Jzcdqkcz7y-BgYqDb9xEDD6S_BUo5v5RxqNPnuCznuHJAr2skCQSd4rLOBL0vTmDI6FCDBKbgALWTZSRkrucaRAYlG5DzENNs-cu7uwpFTx-zW_j07-wL_VqfT40okNf47jS-LULEoMDwwICCrTXcdHMmHwPM0KBl7AkIbwnry8so-JdEZ69j19EWqMPHFb7ienuXy9HqsvlZYG4YClJisaQ6w5ezlMnnZN5LWPXl5aOIuQ&__tn__=EHH-R","https://scontent.fbkk7-3.fna.fbcdn.net/v/t1.0-0/s526x296/70849322_2006292442805021_1522514332464709632_n.jpg?_nc_cat=105&_nc_oc=AQncFtLT-bMcij9QWvD9lgJZebyZ_ruJbnpqdasGrZd1lazQvMoCrMqUnmybo8XuKeA&_nc_ht=scontent.fbkk7-3.fna&oh=c8a15520bc04aaae97d9665fc8113d57&oe=5E2BAA7E","undefined","",""
"https://www.facebook.com/GreenBox.in.tw/posts/1790842034350064","1557274276","給我們無毒友善環境按百萬個讚拉，如同我所看到的一篇好文，對友善環境平台與願參與的大家更充滿感謝與愛....幸福的女農生活！(連結請按這：
http://www.taijimen.org/TJM2016G/TJM365/365_page.php… )","1570986520","https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.taijimen.org%2FTJM2016G%2FTJM365%2F365_page.php%3Fcid%3D12944&h=AT2pD7G0pCf_YITXwE63_C5zQjNQiab5ggxZI3UbwXE3IGxTtHFxoLhazlTODGjlj5jbjdhwnqevfAuOH7XRh6MzuHXNPu87Vos5IwUVmv_BLVjCLjtVg6zI9mytM5ksQ5dBmAXZvax7U-YpgTGDZSI9mEZk-lCAU57xUqbcMc8shA","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQBSqV1W0dB3ixce&w=235&h=350&url=http%3A%2F%2Fwww.taijimen.org%2FTJM2016G%2FTJMNews%2Fphotos%2F201510%2F20151007-2.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBdb1iaMdT-23x9","Image may contain: one or more people, people standing, tree, outdoor and nature","幸福的女農生活","我是個國中老師，當初會提早退休，其實是因為有一些退休夢，想要去世界各地走走，看看不同的景物與文化，開"
"https://www.facebook.com/GreenBox.in.tw/posts/1994297997337799","1569211380","【國境之南．牛．開賣倒數一天】

 黃金部位，沙朗，吃過，就回不去了。

 #分享留言抽好禮

 📢此貼文活動時間📢
即日起～09/24 12：00

✨活動方式✨
按讚留言【國境之南牛，支持在地農】，並公開分享此貼文

 ❤活動獎勵❤
沙朗牛排 1名

 ＃用信任連結產地到餐桌
-
❤️無毒農官網：go.greenbox.tw/2pcczMV
❤️無毒農Line：go.greenbox.tw/2prUwDv","1570986520","/GreenBox.in.tw/photos/a.699548393479439/1994295624004703/?type=3&eid=ARB0E76ks0P1avDJgzkCVdNueuai5ETdxBRw_q5oKkeDjLENJCCApbvKrEoDN34o0bvhGSfey4AsJ26Z&__xts__%5B0%5D=68.ARBCFOrLnYrQF8T8b_KdqzygHHaL6y39uB7Jx_Pb8CFSTu_gekvTJYMjW2PAjOSBWvdv_PfjHsyKAuqA77C41o15rI9zvSjAzGDpI5HN_048CqlEkz73HEi3nGCUADPpytjLD_E14p-X6Ek2mPAB8LwrwWHQS7bsoYs1eqSa20tyqbhS0pUe80wNNrH85XVAXGqfphI58ZZOHzSnSPnILd9xa3UrC9Ry1_9PJQL2I518kOtYMrhM1OWJ_t65qq16h3dwg49Y8ghNBexBL3nJ3WSXVdxZnaIFF4L3E4QhCpvog1VbtWGz5IwwEMvvzkBGEwpAmLK2dCvrNLh76EOKEK-35w&__tn__=EEHH-R","https://scontent.fbkk21-1.fna.fbcdn.net/v/t1.0-9/70250612_1994295627338036_2529107903319638016_n.png?_nc_cat=110&_nc_oc=AQl76o65eNcEcSzgTUm6BDlvGMsXtCF88cMRm91rAptQcg3X_AkvVLTbVwOHpn_LyjY&_nc_ht=scontent.fbkk21-1.fna&oh=794561a12615b8d5001b836dab89ce95&oe=5E356D88","undefined","",""
"https://www.facebook.com/GreenBox.in.tw/posts/1982745295159736","1567603800","【豬肉各部位料理方式大全】

 最近無毒農的豬肉非常熱銷，K小編這邊整理了各部位的一些料理方式給大家參考喔~

 豬肉各部位適合料理方式請點擊~
https://go.greenbox.tw/30WkldJ

 #用信任連結產地到餐桌
-
❤天天登入天天送：go.greenbox.tw/2ZpIMQ4
❤無毒農官網：go.greenbox.tw/2pcczMV
❤無毒農line：go.greenbox.tw/2prUwDv","1570986520","https://l.facebook.com/l.php?u=https%3A%2F%2Fgreenbox.tw%2FHome%2FBlogPostNew%2F6299%2F%25E8%25B1%25AC%25E8%2582%2589%25E5%2590%2584%25E9%2583%25A8%25E4%25BD%258D%25E6%2596%2599%25E7%2590%2586%25E6%2596%25B9%25E5%25BC%258F%25E5%25A4%25A7%25E5%2585%25A8&h=AT1EANS4DTNVHQmKxJ6MS6EGZEosGEePdHn_DDgrR4EEkUJDcVXXqToMplYg77BA3XlxZn1bRTlHUqVsDT4Vpl-E7rJWMawaRd-461TwH9q6BmdtwKkhv8OIjdkREgu6Wc1t94LyJXwWuFgNybjXgTiskjeMJ7VTNV7RoJSu8Y3-YxcT8pkhm1DAXa9d7M-iwlGuSZ7Al0RhfMdSaHTmukc07LXU_vCsBXAws52ijjr4NzR4kdLZ6oEBHGkCfbIp0t_2-Kt_3HU3kVUttpEZczX0xcBuIemRm25F0mIvzZP5jLn9YDIxonz9TUEQrQKEAh_C4MET16Epsg7SNGoesGqvJx6s9u6EJaouHXN6Q-0hq3X4hAY_bFL-10jgSVjhRdx1Wcbr42C6ea54R8mrwIuBB9dPDA9nu25pNpGw6I3KE8VEXpsqYeXJsMUxT_hBv4oJz7WB17G11G2lIwIFLMQ27llZ48ayO6ztcByvF7OlX5xkP6hd7fKQye-iW5Vvp2ppz1JbRCYxeOasUNgb42-CqZqV1ej4MMnvsJAmvsEg3XkVroPWUaRNuy6Aidxb1Q-xo24rOr8U_Zf39A6Ijt-6hARA1wnmlAxcZmxwx4GYuLAgDN_5Ubo6rpSEVTwoRDKZjobNislzTWD8","https://scontent-sin2-1.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c12.0.1011.530a/s526x296/70172512_23843852970630614_7317386385499881472_n.png.jpg?_nc_cat=110&_nc_oc=AQngtjXKe4W_ekjcO7TDBRM3qtFzv0tlaFGcyQq0y_Y9s7O6ZS5kjqY1DBgIYo1mXt4&_nc_ht=scontent-sin2-1.xx&oh=a362e4070d69b66c010b86187ab4e745&oe=5E36DC5A","No photo description available.","豬肉各部位料理方式大全｜無毒農 - 友善環境的安心水果","豬肉每個部位口感、特色皆不同，很多人不太知道這個部位要怎麼吃，那個部位要怎麼料理。這邊整理了所有豬肉部位用途，以及適合的料理方式，讓大家更能發揮食材的價值喔。 梅花肉 梅花肉及豬的上肩肉，切面瘦肉佔90%，...."
"https://www.facebook.com/GreenBox.in.tw/posts/2030968753670723","1570500120","【無毒農水果箱－開箱試吃🍊】

 照片裡可愛的小男生是不是很眼熟！
他就是微風廣場年紀最小的代言人－伊萊，旁邊則是和洋娃娃一樣漂亮的妹妹－伊菲。兄妹倆的生活日常和童言童語，還有各種萌力全開的照片，總是融化大家的心，台灣媽媽和英國爸爸的教育方式也深受大家喜愛
😍
無毒農週配水果箱每次4～6種水果，適合家庭的份量，讓你不用擔心太多吃不完或太少吃不夠，如果當週有不喜歡的水果，無毒農也有提供更換的服務。看伊萊伊菲吃得那麼開心，有沒有讓你心動也想試試看！
💫

 ❤️每一口都安心的水果箱：https://go.greenbox.tw/2p9lK2E
＃用信任連結產地到餐桌
-
❤️無毒農官網：go.greenbox.tw/2pcczMV
❤️無毒農Line：go.greenbox.tw/2prUwDv","1570986520","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2Fp%2FB3E2ZimJbM6%2F%3Futm_source%3Dig_web_copy_link&h=AT3t4H1Q44dCb537CSzcyJxn2IzrLdwLAiYn09sxtSiI5p6KSYJ6MLCdk-qBszagDT1scwLyb2_TTGXhM56Bzd86SIPsACHI-HqKN-FPQlwwej_fgdJ1JHEVMNcM_7boLnt92B9hjAQt2FmoYM1Gt17SURgKzCE2dObd2NC_uSxNmfw62SUH_q6C1B2eXKpCAhVllDZq1vOnSqN2yNXUMxeyJXhAOgxgCq0ANqEkoJ043Lvlawzmwm0aGEwVVuqamv_QLy7aV6HXOAhsQGutXC6y_Xj3Q4WwC6qmkNoPm4TincXyGYLbcudSiWlH2VzP84fdOUAjbVwdcrMLohTntzMghm-ProRNVQr254WGz2zxgo_GyYH7XiaDOqi3r02rBItee6yqfUvwGsopTTExyc5MhvcSb0aqBUojNrmj_AzkhOL5hDTGwL5KrI4UqDFTDB2EkgtpJlalg9jlNr_FYD3qQcmmLqS-3EPgKgNxQTp0FCo9Jta8IPQFPG1vJZ6Y-L4cI8ni5WFtChErBCryd3V5tYxy5iycE_QthMO4eiXBzY4BSlrun-xqkkhqI-ofYbzVBD_rhbyXEEqm5sdw2sNUBtZA4lSDfwfCnxVgzdxEvxDDzickdZyO7PaoMZg9X-vJ5ckDrJT8hP8LkBDgcZPmrIwUsbTqI_Cobl7M","https://scontent-lax3-1.xx.fbcdn.net/v/t51.2885-15/69524170_163211541536274_1088567165376531349_n.jpg?_nc_cat=102&_nc_oc=AQkoL6oh39-9sncEea7NzfAMluoa24jcDW-36KAvoIZqm3h72pH903EgLszKhHpD3TA&_nc_ht=scontent-lax3-1.xx&oh=3e45a119e8b6ae835d9272c77edd2f33&oe=5E653D2E","undefined","",""
