url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/subway.tw/posts/2615619595129155","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571525052","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/subway.tw/posts/2763709730320140","1566470065","享用美味Subway就在彈指之間☝️😜😜
即日起在台北、台中、高雄
粉絲們都可以透過UberEats訂購Subway😋
#SubwayTaiwan #MakeItWhatYouWant

 ⚠️限指定餐廳
京站店
健行學士店
健身工廠店
光復南店
光華數位新天地店
北醫店
南港車站店
南門店
博愛店
台中三民店
台中站前店
中興大學
台南東寧
台電店
嘉義站前店
士林劍潭店
大坪林店
大安捷運店
天母東路店
威力廣場店
工學復興店
師大店
彰化中華店
復興和平店
忠孝復興店
忠孝重慶店
惠文河南店
成大店
承德圓山店
政大店
文心崇德店
新北投店
新北投店
新竹站前店
松山火車站
松德店
松江南京
民族店
永和永安店
永和頂溪店
汐止雍和園區店
洲子美食館
衡陽店
逢甲店
高師大店
高雄站前店
高雄醫學院店
鳳山青年店",1579339471,"/subway.tw/photos/a.364287953595675/2763709546986825/?type=3&eid=ARD8FVT5fnsBtx9Tb9wJrGzDviTQYH91qF6ZHllocBgNUCguA-7R5VGRFZoRwEYXbKVh13PTtwDvNEGh&__xts__%5B0%5D=68.ARBvJr_uHaOfzgyGUnM_NjfmTHj0PcZlFRR7QhUlud2uGwOBuUhNh8mygRgjmXjPTbSctCKJvKeUQqxLnM6bS70gYdpv69W30a0swXuWzgzOpJHsXAyJMGuzOD4a5JFeb0p8nC48pbt8PQba5-08eqChoDNbIkU-aqNOoEWDkXU6w29YQMDc9idSPJWMfPvdaH38H6dfG31dhF0vYmHKrGjp0q9MBfnaAZ5mSZeGT1aYu1lUkjptn7M00DBTNq8nlPKdtJ-Vh7Avxn95re67ayHm_Da12ODliFJwMjAIHdQ5VxD4FGcSx7eECELci2uydqVOSx9J7zo9qYnsomeVtaXXxQ&__tn__=EEHH-R","https://scontent.fmia1-1.fna.fbcdn.net/v/t1.0-0/p526x296/69340842_2763709550320158_1309316313419612160_o.jpg?_nc_cat=108&_nc_oc=AQkf11SrLAsLUKlhDN2TONaINnGYNSDQbot3X_KWI2i9LF8HsxXe802UtDy4DDFPA5Y&_nc_ht=scontent.fmia1-1.fna&_nc_tp=1002&oh=03439cf339cf340fc6ce24ef1a71ca5e&oe=5EA2048D",undefined,"",""
"https://www.facebook.com/subway.tw/posts/2721558407868606","1564917060","🚨Subway限時買一送一🚨
#Subway宜蘭中山店 為慶祝二週年慶，
2019年8月5 日 下午2點至6點，
凡購買一個6吋潛艇堡+35元以上冷飲，
即送6吋潛艇堡一個。

 ⚠️注意事項⚠️
1）每人最多可買兩組
2）買一送一需選擇同口味麵包與同口味肉料
#SubwayTaiwan #MakeItWhatYouWant",1579339479,"/subway.tw/photos/a.364287953595675/2721558297868617/?type=3&eid=ARBBk4XKtnP6mxbTHhOFV4MsAVR9sagaTexKWEEOIA6jDC-n1HTohRYf2sZ2NOS6NAM2fJ1xdEwjADeD&__xts__%5B0%5D=68.ARA-ItFTPtNxuEgCDfdNQn8JxlijOkgEB0cxy0h4moY27v_fn_FXd4gnkNaxZrOk-Dhglag8gnbcaXURL007gNgIllnUSLzOZiAh7o4HUX_-HIQ200B3g6SiAVCZxxzOUaU7SGi--nGCs95hX6cmXqhldezDKsYOtICeiBZuDL7E3GtaP6zW3e7FpNmpnxxI6aIVwbRjqFjE18iXOpkMCw6vCdwQks7May41a47UpU8p-0fbmApkyWBuWFKoMn7woGxwRZvHs7D3C-1RJY5joCYrkUtv6EVlGnrlpRlIgg_NrGu8OAxomBWCTtOegN_T0IpE7i6Sdg3um4SCbKJn0zIRig&__tn__=EEHH-R","https://scontent.ftia7-1.fna.fbcdn.net/v/t1.0-9/s720x720/67495203_2721558304535283_38393717681291264_o.jpg?_nc_cat=101&_nc_ohc=LOD2NV_HjhwAX_SmbVY&_nc_ht=scontent.ftia7-1.fna&_nc_tp=1002&oh=ef4725a5b2063777993ba07bc8db58a3&oe=5EA5A12E",undefined,"",""
"https://www.facebook.com/subway.tw/posts/2774002559290857","1566900000","抽萬點Line Points 活動最終回，
👏🙌恭喜以下幸運的童鞋獲得7月唯一一份的10,000點Line Points🕺💃

 🎊得獎者: A0000
購買日期: 7/16
店家:Subway 逢甲店🎉
*小編同時也會用Line通知得獎者喲～
#SubwayTaiwan #MakeItWhatYouWant",1579339468,"/subway.tw/photos/a.364287953595675/2774002442624202/?type=3&eid=ARBR07NLxJ7qP2tIT5dCbTqWynR5mU1IDVEOmkl7GmOJM-981i6hhGqr0YnxOiqTHukRowb85GABBfkp&__xts__%5B0%5D=68.ARACf9NE5EcPi6yCX-raKLBW1S4MW86fyv02jjQECiBSI81RiivjM84OkRkra0FN2ge8mbGjEPp6Z7k_d534-2NhFTctb_lvhvK8MLCnC7xC8_vlQcl_gpHQEWnyrKnsgIzFiTYaCCjPyvRzlLpFGJn6DjV3oczKno9uThZUxtZAT9Oeqz3xJQObNudUadFZW6dw-fVMpNqiBB0ywyXURNjggBrKajMjVUW9Cbnl9Co6GjNzmKEy92TMW9qcjJPIzzIiBl1mIioUZfQqqmG0-2RQXqotqVqLIGof7Iq89-q7zYZzIdJ_jL05XS-ZfogIGJ6TbksQ40sZlqOUH7gzO6Brjw&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/69422549_2774002445957535_3940356894618550272_o.png?_nc_cat=102&_nc_ohc=Ush4UgZX8okAX-FpjrM&_nc_ht=scontent-sin6-1.xx&oh=4d3898c2c03e1a02b612de6b0e8e3acc&oe=5E9A5A0F",undefined,"",""
"https://www.facebook.com/subway.tw/posts/2889532831071162","1571412608","😘凡事吃好堡 好事來臨門 😋
11月1日 早上11點~晚上八點 ，
買一送一又來了‼️‼️
凡購買一個6吋潛艇堡+一杯冷飲，
免費送一個6吋潛艇堡😝😍
#SubwayTaiwan #MakeItWhatYouWant
#GOODCOMESBACK

 ⚠️注意事項
(1) 每位顧客最多可購買兩份買一送一優惠，共4個6吋潛艇堡。
(2) 贈送的6吋潛艇堡須與購買的潛艇堡相同口味及相同麵包。
(3)冷飲限30元以上冷飲，恕不提供更換成湯或咖啡機飲品。
4)12吋潛艇堡、沙拉、香烤起司披薩系列和早餐不包含在本次世界三明治日活動內。
(5) 套餐組合、每日超值精選、艇新鮮集點活動及其他優惠恕不與本次活動併用。
(6) 本活動不適用於預約及外送服務。
(7) 新竹高鐵店、台中高鐵店、左營高鐵店、桃園機場店、松山機場店及指定門市不在本次活動範圍內。
(8) SUBWAY®品牌及參與店家保留不經通知終止本活動的權力。
(9) 加量或加料之品項(例如:酪梨泥等)不包含在本次世界三明治日活動內。",1579339469,"https://www.facebook.com/subway.tw/?__xts__%5B0%5D=68.ARDZpB1NUdHooqPA8y-u-Um-RLDCDcFbrPAqWrMdf5fDaYuq1bwvsEnzpOfD9R0IVR2kscWiIF7GOjrC-CS-XbmQ_HqX5sCrmCCDxEKplLsxZOxI4DNODGnjkydJbxnK9EMT0-3wa_fuGcr5j3v7KiP3gpTld0GFQNfTBUJQ6y_bSfrtXVZgRXw8HDDvBrWhrs4PxOwCy3JVhlpMHAS2lhy59yrE1tyWAh9P0d0Mw9dGl3DPxgosiXjUignnbxonltFFRWNpj3D66EkRJnb45W4fbHTcBQqlFvPs_1t4q--3pZf2BChqphLhAEjK1x7SVW7-qBh0B7WtVDGsHQf5SQx9uhoYjtpr6GIHCw&__tn__=kFFHHH-R","https://scontent-lga3-1.xx.fbcdn.net/v/t15.5256-10/71083855_516274438933278_330856148448051200_n.jpg?_nc_cat=106&_nc_oc=AQmmpariFj3atm-z8ol0MmpD7orDIyhzzk5GLOoJezFEgkcit4dXE5pmlYLh3esaZtk&_nc_ht=scontent-lga3-1.xx&oh=efa5140eac6475b89d4b1757283a74a1&oe=5ED7710F",undefined,"Subway Taiwan","146,911 Views"
"https://www.facebook.com/subway.tw/posts/2742236685800778","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579339475,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/subway.tw/posts/2407003349324115","1551097314","2019年2月27日，從早上9點開始，到晚間9點整，
南京三民店買一送一
Subway讓你用🎉🎉最狂歡的💃🕺方式迎接228四天🙌👏連假！！

 ⚠️注意事項‼️
1)每人限購二套，共四個６吋潛艇堡
（必須購買飲料，飲料可補差額換取瓶裝飲料，包含水，不含換熱飲及熱湯）
2)潛艇堡可選擇不同口味，價格依價高者計算。
限同一種麵包。

 #SubwayTaiwan #我的美味方程式 #FormulateYourFlavor","1571525053","/subway.tw/photos/a.364287953595675/2406980885993028/?type=3&eid=ARApXVtBGufdJBnPER-tD40_l9olMAqZVAll7MZ5lLO9yUZTLQvVDc_ljRvX-tANtr7Bb3oxO7Cg22iK&__xts__%5B0%5D=68.ARClsDT_vjvByu57tvr0l80QgTbxXJIUB14qw_LXB5ppHgpEFmXppsF4OQW7UOemE-qI9LWeE173QuJlcFhX78hxytZVotPzcET9p5Ns_vMMIOP176fUZWi54Xj6dCvT01AQ7jWMvZONOmYt9tKeNu507iuByb-QyuKtMnjpX6tLhAfnWy7c0bJ1Ot2BCoSjSEOvxgfsqqk0FNYgNLsfnNVn1X7DTlK6An1S54Alh2o3Qh1xVn100oY_BVQ0B3Ms_901DXszbSidmilrZlQqx_oC3swyvllO7A2nzhrtDlpoh5TkWxGATdEmie88NF1G5LJr5my2HGNKQsNJWuy_KsaBgg&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/52596037_2406980889326361_6961155437123076096_n.jpg?_nc_cat=110&_nc_oc=AQn9qcpEKQsCAA0OaDkn2ed2qikMq7J2pq1_gndHAcwaaA1M8WK4kTTjO6_M8sQO5lc&_nc_ht=scontent-sin6-1.xx&oh=7a1c1181e7a4f135dd40b8ae1c5504e1&oe=5E645FE4","undefined","",""
"https://www.facebook.com/subway.tw/posts/2795362020488244","1568022300","Subway創始人媽媽的獨家秘方，
濃郁鮮美的義大利🍅番茄醬，
搭配彈牙可口的經典牛肉丸，
週一就把義大利牛肉丸大口吃起來，
也把藍藍憂鬱一口一口吃掉😋😘
#SubwayTaiwan #MakeItWhatYouWant",1579339468,"/subway.tw/photos/a.364287953595675/2795361537154959/?type=3&eid=ARCNIRSPSbT1wICofOYcChDZCxE5NGcyqhLa0hS42oZsNpi2OAg7BnJBtz5aeLHjsPi8YmhYN3FdnLhd&__xts__%5B0%5D=68.ARAmHtUfFV55mWXWypOEtS1ez6pbebac5iITQjINEqpSAOzYMJmL_Im1TpLSjOFZuLVjMinHe5YEUrgoHDxjgQpNQg0uOZG020TxKjtIWeuymd2HT8Pzgl4j6SYt-cDxAq5I1UY_BF6NqgF7LTSz7Z80wWRShMlrKuQhAWtEM4INqrx6b10PQ1gjJXrwGbuggUna70-bHstmPxcnQQFNQxd4fiUezoneFto2wOwStdKyunQ4M0SdyYON4nmNK63e25fBtqi-lDogiIgMY0HFvT_I-75EQ-cRYovDDv2O_0e9DeDoXRDDXmjrHZ0gqmJ85GSJCQO1xoaeZzD8SjU8m88QVg&__tn__=EEHH-R","https://scontent.fhan2-3.fna.fbcdn.net/v/t1.0-0/p526x296/69991672_2795361543821625_6630429567918014464_o.png?_nc_cat=108&_nc_oc=AQk5g4vW_BDz3gvylNC32e4vP7zprsFsnxDf9KaUJiCHuIyg6k1astZbgsgYYqwh_9o&_nc_ht=scontent.fhan2-3.fna&oh=521a1102b8cd43f6795ee5b2d9204d45&oe=5E91C711",undefined,"",""
"https://www.facebook.com/subway.tw/posts/2840644299293349","1569492000","😀您的意見，我們都聽見👂
感謝所有粉絲們對Subway的支持與愛戴，
如果粉絲們對於門市或是購買餐點有任何疑問或回饋，
歡迎掃描下圖QR碼，或到此鏈接告訴我們您的意見👉https://global.subway.com/
🚨凡填寫的朋友都可以在下次消費潛艇堡或沙拉時免費換取餅乾1片
#SubwayTaiwan #MakeItWhatYouWant",1579339485,"/subway.tw/photos/a.364287953595675/2840600185964427/?type=3&eid=ARClMddaesus-Nu_XWpdTx9mGAeV_lYHCt3P7OOH4ZGnrNmnV6tTxzqlI_s5-QFE1c0EXdlBuVygIZUf&__xts__%5B0%5D=68.ARCTB4hA-47F73hADSEQUl3cGszIcFPT4uiFQYxW7qrECdWJHGhJ6y9ASAxwyD64LHResOHhNI7UpwgFqflFeR0Ja4gfiamn4GC2RZ6vXA5fuHwY0_4fOCp0iwima9gfKhSMctbPniijHONlROj9Tmfpq7eVj_EFJlVTnY-YPY2OYNbz8OrLVqIBOHy6uiRM3HdaT9DslFzD8bxGYAuD8Gce47VolqLt_r7zNi-CSyO-moKau0GtYgWT_5y0mVDikbYgUscFiQbsVmD30Zlv2jKbLpSXOxBGDYesGbQx0YksjojKYjYq2VUc9C79WnRqm_GreLY7CAXDdfuHN1P9FNK_CA&__tn__=EHH-R","https://scontent.fiev6-1.fna.fbcdn.net/v/t1.0-9/71007784_2840600195964426_2475366562387722240_n.png?_nc_cat=111&_nc_oc=AQnKtNIpaGnnUNZz7Zcr4cX6NN7AIrtF0yWPLtVQyhOKsiPzx4AVnXiXOqxyFvQ1Qdo&_nc_ht=scontent.fiev6-1.fna&oh=0a7b7c64659694f5f58c7a7a929941e7&oe=5EDA5006",undefined,"",""
"https://www.facebook.com/subway.tw/posts/2552653384759110","1558323181","🚨🚨萬點Line Points等你抽❗️❗️
即日起至到7月31日，
凡消費滿100元，便可1點SUB Point。
1點SUB Point 為1次的抽獎的機會，集越多中獎機會越大

 🎉🎉第一重🎁1點SUB Point 抽10點或50點Line Points
🎉🎉第二重🎁每月抽出一個最大獎，獨得10,000點Line Points 
詳細參賽規則👉 http://www.twsubway.com.tw/tw/subway_news0501.html
#SubwayTaiwan #MakeItWhatYouWant","1571525054","/subway.tw/photos/a.364287953595675/2552586391432476/?type=3&eid=ARBcTweM9GewbaT2CySn_Xk91_x1Tzy2KwKOK77cJR3VwQzcrv_Llmgtt-X4nQjDujJC2jlgDm23qJ2D&__xts__%5B0%5D=68.ARBkvACMnv3wFgycKtttFCJ0Djnl8CxKJYTPf8HJuunhw4BKq6P7VeERqNhXWIOMlBLj6e9DKFhkOKTuBUwRn4qDtTrjFmfgErVpZXXT1F2jP-daAKpLY70Aq0fO5hznar1jOXTpsJ44FMxPQVZWTlHA6TDUNmtkrM-LpQnqBd730BYWrLSnBXEX7wUvJgBiBkQCrR4_6lOZjbauV06ePauJMKWBkaRt6aJ31OUybKOakRkihyf0jN1RrVCpKycdrwjcnIhCd-OcoEw6po_zoOtMzVX-AVjfqIzTm_Q8FFLrwLq8BlfI82FjVxgifVul5WmO2sxpvj8NKigtudPcgxJNfA&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-9/s720x720/60213403_2552586398099142_6347910811075215360_o.jpg?_nc_cat=109&_nc_oc=AQm3EP8TBy8F970e0cOtHRpnBLD2ppDljwMoEhxtmE0Uw_YXkuNQrPRG085yxIACCt0&_nc_ht=scontent-sin6-1.xx&oh=83ded064a3e48c66b44ea2e95560541e&oe=5E1FF601","undefined","",""
