url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/pttbgov/posts/2014236555326548","1546149623","請提供107年重大欠稅公告
(貴局網站查無是没有?還是已經下架了?)",1579459147,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/pttbgov/posts/2483782621705270","1571011200","【遠距視訊二部曲 光輝再臨】
#這次體驗禮讓你亮起來
#就是要你親身感受的便利貼心服務

 108/10/16起，
攜帶身分證到本局各遠距視訊服務據點，
前10名完成申辦財稅資料，
填寫滿意度調查表後，
即可獲得「露營照明燈」1個喔~
每人限領1個，數量有限，發完為止！

 詳情→ https://reurl.cc/yygLgy

 #光明的未來需要一盞明燈
#輕鬆申辦後心情都亮了","1571753958","/pttbgov/photos/pcb.2483782621705270/2483778521705680/?type=3&__tn__=HH-R&eid=ARDNZ8lVAxpxRaQxHIC7sHFcCpZkFLkZC5ANsK2-VTTdFdI9B61gDsfO65Z64X1IE4QWI8Frvs1z8sak&__xts__%5B0%5D=68.ARA20GmF-Eqlb023Yr-3z35GGDTIo24opQ97BwtLUk2mcxIUflmt9CRKnEUH6wqakW2bVxaXRJIWf54kv_v_F-45ghYuEYbH_R_qGHms5AL5_Pz_eVgTQjl2MDKa3JS4eWOD9HTFsV1agyc0dPtc086zBJjvRE20lyaOg2j2qYJ7mLtG6D4UP0xljJG-cFAG9Mrc5EWdmqXissfRwyJga61gkFhPoh79klGBSNE35P0-1ppoL-9ZRV2LRkknRp4SCZ6nCgJFz2cOVLdPDDb32EXpnNpKO48benBjfw-yp7M01qg1vVnCxZy95jQ3ENB4syZK4w-HJsOhj7fwh36EYIoEyA","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/s261x260/72672622_2483778525039013_4508156334268481536_n.jpg?_nc_cat=106&_nc_oc=AQkiwbGNjmyptu15gCtBZQfngsvc_5JTDogTOhcUpd6Gn6iq3lJYE7Ma5QaPtAK_KDw&_nc_ht=scontent-nrt1-1.xx&oh=83501effa765e09c47973bc2cb2137e6&oe=5E2CE912","undefined","4",""
"https://www.facebook.com/pttbgov/posts/2461745007242365","1569803400","【得獎名單公布】
嗨!感謝您的熱情參與，小稅猴已經選出咱們財稅局最美的微笑禮貌之星囉!快來看看您是否中獎了呢？

 一、獎項：全聯禮券300元(20名) 
中獎名單(FB帳號)如下：

 二、提醒中獎者於10月15日前私訊提供「真實姓名」、「聯絡地址」、「電話」及「郵寄或親自領取」給小稅猴，逾期未提供個人資訊者，視同放棄中獎資格哦!

 三、領獎方式說明連結： 
http://bit.ly/2nH465R (官網) 或 
https://contest.plus1today.tw/smilestar108 (活動網頁)","1571753958","/pttbgov/photos/a.158634567553432/2461746757242190/?type=3&eid=ARDqPtwJodXg3Ya--wcZ5SAP9qJRTIOXp__EY4ZkODOJL5oevIjCjzrxxL5B6GMYdcdbhkYWz3xB1NbI&__xts__%5B0%5D=68.ARCaNidtCpuTgCm_b9JRxkjZNu8qYBtZa0sbqdmYKLMMy431CmW03P1cBRlfHIagC61b0hk-UZPpFei4Ku-xPmiWEHMMIPKzUS5CZeIYVAxCvG5cn7V1OCa7GWJiy9bJCCZy-CkeOmK7nuJScDEyr4WW0d496XNcfHemINHPdAo1yEFs60fhpZOCpvzq5VDLnursYwZdDRc7QYF-aX4rV9Oqct5trLnK_zLnieaHBTyJ5fgB9Z5plJkbaWIefiY3JFNH-kXOFDSaj5gWYi_g8CSnihmVFffkWMQr8KTW_6CHt4wAu35pfT-pXtOQhcPj4vIHPGEf4Bk9qMw46DaaUtuF2w&__tn__=EHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-9/s851x315/70820158_2461746760575523_5696717249864269824_n.jpg?_nc_cat=102&_nc_oc=AQkAGuAtuIw3EsLoOg6BqLjOflz92NHpttkzCThfCqEoM2yfXpFmKt9py5WlnZ4GG-M&_nc_ht=scontent-sin2-1.xx&oh=f9c143136bf42482792e3e973336d1c2&oe=5E2B5767","undefined","",""
"https://www.facebook.com/pttbgov/posts/2469924379757761","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571753959","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/pttbgov/posts/2421072951309571","1567758601","💥小稅猴雲端發票好康報你哉:💥
即日起到108年10月31日，🌾🌾嘉義市政府財政稅務局🌾🌾舉辦🎂🎂""雲端發票線上捐 愛心公益拿大獎""🎂🎂網路推廣活動，歡迎大家前往參加喔!
活動訊息網址https://app.code-desire.com.tw/CITAX/eInv2019/index","1571753959","https://l.facebook.com/l.php?u=https%3A%2F%2Fapp.code-desire.com.tw%2FCITAX%2FeInv2019%2Findex&h=AT05Y3CLPnqNpGqHrMhFsRJMD8WM1X9tvoS72YAqFBTpnSorVSxijOdbvwmLPqr5q1pEp50kNvioMy0_vTsUvWZgdz_5azXQEIgQm7rVbyZjQs6HxjkUVKBmxNdqiwzyGle0ZXglMjaAlxuZtbfhRnBrcECkHe_Wn4cfequzQIddPXLVGIPasHY2QjWOSkWtMm4-nd4Jv7oIu6lpbpYXpYR992sHEUfK0nxzca4QaoOH9slOqOvpHz_cQjoBU-Muq6V7ERRPzUI0WJK-2gnjhtCqWlNzusvELu_wSxyv04mbVsCRxrDqb0Knu1P3nGe2mR7E7s7mMgiZlUBaCOeuVzf5dE-X21YkeCsB6PeWrAn_iiMTjFI1zu3UlcLqQjNGBf0yaa3E20LYtQGsdRDKyPVOhhKBEK5nn0FDd44YEUJj647ohUPM8YiZouR9q0p9bZRfUH5FQ_MamyJmGUigW9uG7siKK728FEM1DOZJBgNfW4fEBnNn8N4r1EVyIonbgir3xF_WC1qpSpMljhVD7-KA4nlAX7WGfbRjadYVv_4hlPKH83PedwFtuGXcf-Bs89_x951AU-mdDU9hMUb-yc_TvV_zIgMCtE5kTR6a-N1HCgRbrbOw5vtBlklBzAstWH4cCoIkzM9bmccs","https://external.fbkk6-2.fna.fbcdn.net/safe_image.php?d=AQCQOXZu2AK85J-z&w=540&h=282&url=https%3A%2F%2Fapp.code-desire.com.tw%2FCITAX%2FeInv2019%2Fimages%2Fslider.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQC6Txw4WD1NXta9","ไม่มีคำอธิบายรูปภาพ","嘉義市政府財政稅務局 - 雲端發票e起投球趣","為配合財政部推動雲端發票政策，培養民眾購物消費使用載具儲存雲端發票之習慣，藉由線上捐贈雲端發票累積點數換好禮活動，鼓勵民眾發揮愛心、幫助弱勢團體，無形中響應節能減紙之環保愛地球政策。"
"https://www.facebook.com/pttbgov/posts/2479626235454242","1570263600","【📣賀！小稅猴成立IG🎊&活動預告】
哈囉😘😘😘各位粉粉，
小稅猴已經正式成立IG帳號囉!(灑花~🎉)
想第一手得知本局的活動好禮，
快追蹤IG搶先看喔!

 在此預告😎
最新一集「千稅萬稅噗嚨貢」即將推出，
預計於108/10/6上午9點在本FB進行全球首播🎥，
要一一解析您不可錯過的發票兌獎心法~

 想看看這次影片的抽獎活動好禮🎁是什麼嗎?
嘿嘿，公佈在小稅猴的IG裡，
快來瞧瞧吧~😘😘

 歡迎追蹤→ http://bit.ly/屛財稅IG","1571753959","/pttbgov/photos/pcb.2479626235454242/2479670222116510/?type=3&__tn__=HH-R&eid=ARC1U5SKXwtMMQ5j2zX69aS6HQSH59Q72q2pyxwYV4gs7CRB4JQmMY4H3tPBghjdIm515-Ix7XTW_J5p&__xts__%5B0%5D=68.ARAZt3dHH9Q69Ff3Zi0ydMLmtb-5vRUxE5CSN8ttROEXt-vHgy80XaajSknQxP5V2cKQ1xAydvoKYWCWzbi_Le5XfxpwelCskE9r3yuxnUQgmirhFQrCWPrDkEcWCg2t-0RwjKzTSXL04ovnr9N4HwR1oUcT_uqfCMLucztOonj2YMw88D5DMH0Fr20FbESPc2kjfsXaT57-1tbkQpKVUA7IrQc0ddyAm8iPtRRjw4XyDRlCEzklicT95U1j3YjtuMoOlb1bCqGmgAbaiNEVS1OGWIHLhaGFXfGNBqOkfDq-LYu2E70ni2wTUo-KENLczVBmk7lJnSQNWe3xxJqlscJ94Q","https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-0/s526x296/71489521_2479670228783176_8389787123141574656_n.jpg?_nc_cat=106&_nc_oc=AQnsjruoEIJcvSC4_IpExuJUiqmIn-SH3mxihWCO3MZ7Isx4tB2TYm3QxQDRgFSMW-E&_nc_ht=scontent-hkg3-2.xx&oh=8b3ab58cd0199d330ec8720b6953698e&oe=5E2DCE48","undefined","",""
"https://www.facebook.com/pttbgov/posts/1686924558057751","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579459154,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/pttbgov/posts/2027245024025701","1546845375","屏東縣政府108年度自學進修國民中小學畢業程度(含身心障礙國民)學力鑑定考試
報名及考試地點:中正國小
報民日期:108年1月25日至1月28日
考試日期:108年3月17日","1571753959","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/pttbgov/posts/2479344232149109","1570246678","營業用車輛下期使用牌照稅10月份開徵囉，
請在徵期內繳納，
以免逾期受罰。

 若還沒有收到稅單，
可以到便利商店補發使用牌照稅稅單，
輸入車牌及統一编號，
即可列印稅單(小白單)繳納。

 #使用牌照稅 #開徵 #營業用車輛 #便利商店 #補發稅單","1571753960","/watch/pttbgov/?__xts__%5B0%5D=68.ARBvRpEjcfOd06tbVnIBDCj8hqt-OP_xIMkig08hSrcl5bxOsF7J0TG3zD26Z7GDjVdabTe1g7-tgZqonKHSK5vciJnf0toq4SJGG91awB439EsQx1pfE1xoa-dQPzpS2dobgWfpDcAn0hsZhNx_RseLbCHmFjuLzjdCG2-38Cfs3Yzxf3DOkd_hCssTq3x-Xg34r4E3ekc1nZWWj1-v61fveBdjsf90AQm07UXXcS5bTgJJL7QJl-53b4qd_8p8y1JPozV4if-YCNdzkrBg8-YHfnlNe-ApTXRbbXvO4iumYVnpC0qDNJt_OFvpjSJtWlXh9v17iCoIe1Mqp8fTJEYw8U_o71OptrVDig&__tn__=kFFHHH-R","https://scontent-frt3-2.xx.fbcdn.net/v/t15.5256-10/67783021_419704298687528_3219676895771623424_n.jpg?_nc_cat=108&_nc_oc=AQnaXk5BzMudV2vbraPLr4PyPKjYKztX1ChMlDaVQ4D8_6xmUCI5O4Ut_koAzUv0xPqXnH-NF8FxKCBR5LT69hso&_nc_ht=scontent-frt3-2.xx&oh=5db5137eeb9b5e0aeaa4f9160ef2c346&oe=5E218E94","undefined","屏東縣政府財稅局","338 Views"
"https://www.facebook.com/pttbgov/posts/2469557793127753","1569813951","「甜蜜時光─臺灣糖業檔案特展」
展覽期間及地點如下：

 (一)新莊展次 １、展期：本年10月23日(三)至109年5月29日(五)，星期 一至星期五 上午9時至下午5時 (逢假日停展)

 ２、地點：國家發展委員會檔案管理局 展覽廳(新北市新 莊區中平路439號北棟1樓)。

 (二)高雄展次 １、展期：109年7月13日(一)至109年11月8日(日)，每日 上午9時至下午4時30分。

 ２、地點：台糖公司橋頭糖廠社宅事務所(高雄市橋頭區 橋南里糖廠路24號)。","1571753960","/pttbgov/photos/a.158634567553432/2469580533125479/?type=3&eid=ARAv1_ORnGhNT-v2N18s5Ad47Ce_8wW6G4BBXzuCcpiQwsdS3eHLRXCJWthu2RcosTTbfjE_JTtc1YLW&__xts__%5B0%5D=68.ARCnAjzrlXF6-HEZTTw_h4qlQuR8U9U2Jv-av32XaN2qshFGBNmcdtrMv_ruL9ppxI5_K3FLriyxoQsjCK9eS_vgaVVTY-COKZ9GbxNinAdeC6TjMcX9AuCkrAD1wqCvxsscVyVzg-FBNe0rhTUWEGcUKTM-sx0xx08Bp_1x-b4YW3OCf7NE0O02Twp4A9F20yy5i4BSm8X8IEd8vcodv62P8JwiKEvaaX_Uwl4M4ZCCTGq_I6rA0eQ3aCBFNgmM3SOW3njgfEINM5RKJE7excTg_L2W-HVz15aed3x7pU70MTNI4ww7g6GSSgMM8SCQbeSS9QAfFXnQ1yPOcayeq5l87A&__tn__=EEHH-R","https://scontent-ort2-1.xx.fbcdn.net/v/t1.0-9/s720x720/71668422_2469580536458812_4067667250054692864_o.jpg?_nc_cat=111&_nc_oc=AQl-hVyL4iPr7IQu0AFvOJnC5WhkhquMnrXapTqS7wZ695bQG43VsDECtDHpL9WkUp8&_nc_ht=scontent-ort2-1.xx&oh=9da8f997c388c08d15646409a83365e6&oe=5E25FAE1","undefined","Send Message",""
