url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/niceclinic/posts/10157566455527368","1570860001","【分享】專業修眉師揭開眉型「黃金3點」視覺顯瘦3公斤

臉小點 更精緻點~除了認真按摩之外?
還有甚麼方法呢? 私訊了解喔🧐

留言回覆【#瘦小臉＃周年計畫】","1571538659","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.elle.com%2Ftw%2Fbeauty%2Fnews%2Fg25734783%2Fbenefit-eyebrow-tips%2F&h=AT19ofCmCgcCLkY3tO9g1JT0Cn5xdgge7ILs93XAbUU_OIot3bOd4uRRWrIo-XfMyDYpbCXU3xXA0oyx_ny8851Q6_4OFRNpGTW8Yl4iQaD8DvKYSL7jKIKm3O2EqXqwXahK_iXECI-iOn0Mjvj8jasNObIIqODpwxmJtjd0fjaBu9Kv-KQdTxeRqPd2WldowVHr0GakgNEOL_kHrZlRvMWBrWYvm1gvwuhmRwwq2GjKFKmzfh59iqFgp2mM8B942iiEfreNzVyrK4R0YPl76nTIvvBNdgSDeKXlPTgnUyQ6AqOFJFTopBcTginrC-jWA-DledATkmmNFop-tLiW8CkwnW1UxP0igy19poJflVXetnFUDfY0v3HinexWQOepunC4-TBnXpMcKMvw-hx5F7UUzPJAQd9GNRYMJc5vC2UK6CrYeLcZuJcIu-_3-lkOKs8ELWEs4ZxqynluZpmKL5UjsF2St-1H0Foirr2lxFJLFTCyH80k0P1VCEYqfNSep4hc_i1Bf0N8nvChyUZewEia0KPvNjBHZF3MepeSljt8uJAvSnONZI5qrRQY8ANl9GFsyXLq_F1LFPlo-Opv9Cy-XYuv6huttL-E2hbXvdxiJciS7CWjeJoD7BMgkrEctERODvzA","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQD3KGcB-93HFtV_&w=540&h=282&url=https%3A%2F%2Fhips.hearstapps.com%2Fhmg-prod.s3.amazonaws.com%2Fimages%2Fcliooo2-1546960531.png%3Fcrop%3D1.00xw%3A1.00xh%3B0%2C0%26resize%3D1200%3A%2A&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDGyJU9i5myi5gi","Image may contain: one or more people and closeup","開運又能小臉！專業修眉師揭開眉型「黃金3點」自拍立刻視覺顯瘦3公斤","眉峰、眉尾位置對了臉立刻變小！！！"
"https://www.facebook.com/niceclinic/posts/10157304429337368","1562392801","【分享】維密超模Romee Strijd 私房9招練美腿😍
.
編編最近逛街時，看到好多女孩大方展現美腿
有沒有人跟編編一樣，因為小腿肌的發達
遲遲不敢挑戰衣櫥那條短裙呢?
.
「魔塑® Musol 美腿」😎
①與蘿蔔粗腿說再見
②打造纖瘦勻稱美腿
③術後即可下床行走
④微創針孔好照護
⑤局部麻醉輕鬆舒適
更多資訊 http://bit.ly/2JaBN6C
.
👩‍⚕️留言回覆【魔塑® 】","1571538659","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.vogue.com.tw%2Fmobile%2Fbeauty%2Fcontent-47751.html&h=AT1YLDWUCE9R6LeNkozqLHsRJ3hVY1VmsgDEhsmRMTfwriZFlkpujW8r5UQHns1PYKyrt9jBfIQZxkADCliTOq3Mc7TncvgRlpTWRTqV7CJYT2GareYrWwUyKTQZYd7hZaIblw3NBhqxNmYoV3YXeqfcKZQfQuIvLgw3qNIuZPFcUSiNp_h6dVkiWVHtR4pozUEwJXHhhC4lUSFtqq19ZX3F0sANyxYa4QSm2nBmcTycKpOrQaKmeaJMpM8xAHTkVzvR0lPYrymtauqy5zKT4sJhwJQtzJzgqO-0dSnVB-SykYGAFj2xpMEOmHjuUrH3cGILsKvltZX2-ghtmJ_C0NyrO_WXlCt0M5vGfQxP0G2LqQz0taGtEs3oJyZV3TChJo6Jyi_BUDAz4uCZphNCqsepU9tzKQbnTh_0Lq26S_k38_mldriMkTG3PchP8_WH4LJpFfLadYFBCUzeZmvG3-hEsqAFyTYEXrcwj2PFciuNRQigkj1zqqZ3PvUbHRaSd5G5IgDas6vPv0Jfg35lXaRcMcihBC9BVkH9_zshjLR7Tuy-IWJPhRxQhODItLQbifjOK-zsw8-noHJLxVoiA8Q6Gm9GMxw-3nokWODBrcWLpb768MR3GbYaJxo_9od8CgGRo9EW","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQAq9ACmtUlYjwbs&w=540&h=282&url=https%3A%2F%2Fimg.vogue.com.tw%2F_rs%2F750%2Fuserfiles%2Fthumbnail%2Fsm1280_images_A0%2F47751%2F2019060552714613.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCPPDpKSqc-rOVt","Image may contain: one or more people, sunglasses and closeup","在家就能做 15分鐘腿部訓練維密超模Romee Strijd 私房9招練出緊實美腿","夏天來囉！為了穿比基尼、短褲、短裙好看，是不是該瘦身、減肥、瘦大腿、瘦小腿這些念頭，多多少少總會在女孩的腦中出現過。但體重真的不是問題所在，有沒有持之以恆的訓練鍛練肌肉才是重點！別擔心大腿肉肉不夠緊實..."
"https://www.facebook.com/niceclinic/posts/10157446571762368","1566885601","第一印象很重要
偏偏天生『擺臭臉』嗎🙄

累老衰 你中招嗎🥶
『淚溝深』看起來累
『法令長』看起來老
『臉頰凹』看起來衰

自然微調好形象😍
『蘋果肌』好青春
『眼臥蟬』招桃花
『微笑唇』好人緣

👩‍⚕️留言回覆【＃微整】","1571538659","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/niceclinic/posts/10157495816237368","1569045601","#叫你阿嬤來囉 73歲阿嬤Joan表示：「我真的很努力改變，我可以你們一定也可以」😎

Joan俏皮的分享：「我其實很早就想過要做雙眼皮手術，讓我可以真正的睜開眼睛（笑） 我的天啊～我為什麼要等那麼久才去做！」🥰
自然擬真雙眼皮案例http://bit.ly/2JfDobz

👩‍⚕️留言回覆【＃雙眼皮】","1571538659","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.elle.com%2Ftw%2Fbeauty%2Fhealth%2Fg28933357%2Fjoan-fitness-beauty%2F&h=AT2lM1m7Kn47eyQxATmEVjCyl4-9FcmoDCaqYBd_Cwi5p-BBbTt4qxHXAfz1hCoqgi6xM2J_RCIbmZD9KbXk8jtozgyvKgoe_zz4tsSYXVxDkrBljCEmm_pe_MC7cVP-P847VdKIqplySsqXTnyoowNxJ1HC5fUw_rJYb74Zv8ou8mEKCQo1hBzvZ2PcRDTYE3BZDtSU5gnBmqTvFwb7lU-DDLZlqQAffKLHnpNowYOWa_IZ6L5a_kypfV1RScwgpYBgdCpC_vL0CBrLhT2-SJvCiWGdTEH04P4f_yPeDDM_qs0C6Rxk6-eDmtTYUn9CensrwmvFKjq-pmdJ4_r3YLskZRWOHC_CsxAv0aHWaI3eFVxipv3GBXmMrGRp0InyzBKVRbO9OHPRrl7DV7yK2yMzkOVDW6ohcMOEq5i354uJKCVbhibtwdvY51fN8zVoL4eSaeZdcsSM73QjyAJCZRGN9A_tY07xthfCU0POtLtoI21WmYK9kTxZxyozl4y5lYr7hH_pP35FhQfNj_s1RvF3N1hsDQv09C8tCZWOZ_qi8GSkPsmKNa9iueWgs9mQLEbw5CRs_s-TFUNm2PFKZUXeEDdFvAJ6fAm-mCNXS0rObE_uZH1KBv1Qp7s9UHfYCpEpbnFKMaOZ-Tueb0W07MnW","https://external-sin2-2.xx.fbcdn.net/safe_image.php?w=540&h=282&url=https%3A%2F%2Fhips.hearstapps.com%2Fhmg-prod.s3.amazonaws.com%2Fimages%2Faaaa-1567762945.jpg%3Fcrop%3D1.00xw%3A1.00xh%3B0%2C0%26resize%3D1200%3A%2A&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDsfz4oBPmfQ04m","Image may contain: one or more people and outdoor","2年瘦27公斤！73歲阿嬤天天上健身房重訓：「我真的很努力改變，我可以你們一定也可以」","看完阿嬤Joan MacDonald的IG健身影片，我不敢再找藉口不運動了..."
"https://www.facebook.com/niceclinic/posts/10157545644317368","1569996001","知名部落客媽咪 經驗分享💁‍♀️
生完孩子後 回不去的少女身形
與親餵寶寶 ㄋㄧㄝ ㄋㄧㄝ變得空洞
勇敢踏出這一步後，發現真的『＃太值得了』

 #專科醫師很重要 #麻醉醫師很放心
👩‍⚕️留言回覆【＃手臂抽脂＃大腿抽脂＃脂肪補胸】","1571538660","/minamizaleski/photos/pcb.2475340629213684/2475337709213976/?type=3&__tn__=HH-R&eid=ARCfixPUSbVVLwKkR4UgkqQ6-K8SBLnd9ijsxy9HfdZm5u-U1Oiy6Q5mvSQ3tyHxK6MlWV1Rl1iUwpJw&__xts__%5B0%5D=68.ARCZtVf-sUP6fHQv3GFOiaJjeyknvSEO6Qpcc_89uZIru24r0_q_tqZJTQSm8HiUiXUcCIy6fxJgSVMBeL-73RTKkDVNGTfFJW59s0LsdjgjIRkNUt_83cWmDR3zLYMk_tpMJqMYLSRTTIRMY67jhu-6DsaNM1IFtpSdZ3uI-7O8vT4qbaViTUqUvypCVn4lZOZeuN5JN1coTmjgsT3Ziuv-uowD2XaDsjTMgZUTOCJkK7qQQyxx39_RhZxQSf17XXPpbFhpLhENA8KGMArZqf0Wwe6QxlF70X79Gy__K6f07syXjy6soH_9IoJJhOJhgMJL1UQnPvcJO3uMpK-w6NCmvBTtO3uADA0EFI_TbYaxigKb9diE3VSTO-6Pd_V0PwmUTiDO-FjWWizinpSs0SMQ8xnprq0q1C0hOOp6PQ8GwJ27FUHeTqM5oCa6Hf4B1kLMU7I4_2K0pvzgmhXYye3Y51-ZLmDEBMy1s4-M18zXSlY","https://scontent.ftpe7-2.fna.fbcdn.net/v/t1.0-0/p403x403/71671859_2475337712547309_2119261173084848128_n.jpg?_nc_cat=111&_nc_oc=AQnvyOloSOvikXXcYkLwSy1WOoW1SWYHGD41oSHsSyVH8YHz_yfMo-eF9Rgt49Mij4U&_nc_ht=scontent.ftpe7-2.fna&oh=6781c6a4f3c25eec6ef2a2f920df8bcd&oe=5E27E912","undefined","還有 2 張",""
"https://www.facebook.com/niceclinic/posts/10157537504317368","1570514400","你是哪種眼？『單眼皮、雙眼皮、內雙眼皮、下垂眼、蒙古折』
每種眼型雖有不同的特色，但倘若不喜歡自己的眼型，就無法展現自信的一面😭

曹舒淳醫師＿美眼整形手術案例
＃微創＃深邃＃自然
出發看案例 ↳ http://sc.piee.pw/L3GAS

👩‍⚕️留言回覆【雙眼皮、提眼肌】","1571538660","https://l.facebook.com/l.php?u=http%3A%2F%2Fsc.piee.pw%2FL3GAS&h=AT0fXq2R81pOu2MnwikX3G89tUBZYdaqkMHnKGzc55lCbEYzIXTgIUnwHD6HGGWUA6jnQaFzUlVcI7-vaDueKsiW_LSGPbQWKE9nUd5TaKHq_bNoBubpUnpkEANVmHLwvVY0VZVb6dhDTxqontm167FK4FBYXzAwtdMMWLSIGjkLWvvVSqvAbXK9atkhcsv23XCqZkHgAIMdb-iaHAFySyjcDhTwkdW0Ew4_SZJ48dGucFjuPXfmThdH_FWsAamAXvdiQLQWPVoY71KxQeIOWqLug6hdggqNybFyk_fL0DICLQT1ShZm8AVe4XMAQqWGKZwR4VLmxufaQdcaNCWv1VqIGyD5Rtn1Kx4YJzmMCO6jhT6pnbRSZ-JxclCspA05eBMyUgb9QxwDwTww5dv-G0uUrPiM-Ag1njiHsbCxSIPckeZUBUVuYWYFEHTY5rP2Dho_Zw0t1IQpsx87l5TAx9SsGCz3I06Gbmr68eOWLm_t36g6grDuEKWv3pxMfynVbDgq4QSQlXyMhdCeotT0N3Km7CFotBRIn6LFmvFnwGI0WEq9kmqPEbSJwCafJsT9TAYvBomDh0X3HyxHeIK4UOZw89om9Gr-vVsZzRphJPY16KkCqCFAXt5K7VkYm215VQ3EWRX4","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQBYH7bmcDn6EvOo&w=540&h=282&url=http%3A%2F%2Fcdn.illu.es%2Fstatic%2Fimages%2F98CA40FE-C59C-6C39-0D0F-F952C0B0FD28.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQC4z1QadowVmImG","美眼整形經典案例","美眼整形經典案例","眼型好幾款，粗略可以分為『單眼皮、雙眼皮、內雙眼皮』。每種眼型雖有不同的特色，但倘若不喜歡自己的眼型，就無法展現自信的一面，無論是不滿意天生的眼型，如 : 單眼皮、內雙眼、蒙古折，亦或是隨著年齡、臉型、外..."
"https://www.facebook.com/niceclinic/posts/10157513006102368","1569477600","臉色總是暗沉又蠟黃，視覺上整個老5歲😭
保養的差異，就在於同齡之間的比較~
別等到老人一大截，才想起保養的重要性喔😏

👩‍⚕️留言回覆【雷射】【美白】","1571538660","/DJDiDi0213/photos/a.819341614746956/2898911293456634/?type=3&eid=ARCyEs5BzSopr9OIyOTvUCXUDWWuLSMoBEBuOjGfBHG8gJ_Gq7UVy6BqW-lYrEdmb6ORvdHGrapFA-Qq&__xts__%5B0%5D=68.ARCzkfyuwZTMgMKewrhakxTlb9LljwUtG-tQcjEPj8F40j5cuy1yc9iDaAskARigWbBXhTHkDEm2yZQZfCPh2aM-YXR9HShlApdJHRQXof8HvTi8zY5wX20WK5KFZE0HpcMHP6t5K8EL7WbElQFbZWPL1Zx2-mc60NIMSbUVU7zf95kVRLrxv30NapmFuHNIOGud79Zne2PFAlWsKkQZ0Am6vfSHOoLSyWZ3i8iKiH7K4_rrEYdNpNcE1qoElubSuImevYMQyZLL_bZYFBBvoKNujHKX3KMZMEMEobwfFCo2BdUomROEMoBvYbM3kIOsUjsfvxz13tlH_zDRtCoVPWkidk_oZb2s8Z-JywIh0CEbb-6VZuvJkeoyzg-J68qOsOScXGPjRDR7zF50EeGt-rupbdZzTQ5RrGKA5C32nkAQ47sc16x5hELLf_sHr9sg_BGRsbCuCK6EC4ZryjW7o_iqf9mI75zRdMj4Lg8sw5DMi4WtX9cRR41WCoWJPN0f8-H5W4I9h_82Bf7fNB_ScXpfJS1_fOBjLO60IKj2whxGNeCQYg8nNcOFPzD3O1Wn&__tn__=EEHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/69215644_2898911296789967_1545793708044058624_n.jpg?_nc_cat=100&_nc_oc=AQls7YX1O4tb6Zs8fV_gIBJ4-pY11hBjifKjrg1wApFFtvBKuegWNy1j310CqZw-Rbk&_nc_ht=scontent-nrt1-1.xx&oh=b93b13ac3bf6271a5cd67776758eba85&oe=5E5C7B1D","undefined","DJ DiDi 娣娣","Amuce Plus 時尚夜店"
"https://www.facebook.com/niceclinic/posts/10157406391672368","1566712800","【分享】約會隱眼指南！每一眼都淪陷
把心儀的他電得不要不要的～😎
.
連女孩也會多看一眼🌺
混血指數激增，花瓣形雙眼皮 
出發看► http://bit.ly/2YL74mJ","1571538660","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.popdaily.com.tw%2Fbeauty%2F378281&h=AT0MZbftPwMqVP1BpN4FAbUoeazez1naxivtUqLYcWySMUhuT6SN09_nGnUsCiAG9n5h-Z1CCBOI4dUH0aoscVMjHcQfrdOtkuGCxnTlueCKJ6uLSkNi4GvfiflyFq1wFW3JQrkddJj1zXdYZXZ-ZW1QzLMtiYi2NVUlqa0CK_VVJEiCp-GD2icP_eqhkutkVLFOxOHHmxyPs6uuy8XpNmyhSmYZfY8coHXqAq3Oo-c0BQKGIBltY0GLd_tDjqH8_twOWZaKu1FUaJgZeF4Q8cpfZobN4KQI_Qvy-Eyry1GucCFGN109SZtsmCMxrhbV2_ij-H46CBKfggRnsxwzCyyPk8HrHeE6dyLY_2dboyB0DpZob0gjadpo2WPsJHEj8RQWcVo7FVxqNBmxoqjoM34REVsS54rw_7N381RSEvopcWlf1nhGm-JEYSz1BFrGxIEmihb4aa3d7KyxPz95k_X8uIbcuSlKW30XzuroqcOZzjFrIcCbv5r4fFV3aiFmCsKRLkWcaLNkC5jP5201y7nFWRy3n02VU48TfrAqmB2Rl5MzH3T_brX3Gke0txK22dk7WsPRpki-SxNhXdZC592Y0LNHvyZLeWbztpNbDcvYA-JZ3SgKs4IZx_jLGFiapOAhisCq","https://external.fbkk7-3.fna.fbcdn.net/safe_image.php?d=AQA1exK6wh8SDGpy&w=540&h=282&url=https%3A%2F%2Fwww.popdaily.com.tw%2Fu%2F201908%2Fb655f139-5570-4a85-b72f-47689989a644.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBLJ8P6eDTBwmAc","ในภาพอาจจะมี หนึ่งคนขึ้นไป และผู้คนกำลังนั่ง","約會必勝隱眼指南！每一眼都淪陷，把心儀的他電得不要不要的～｜PopDaily 發現女孩的生活靈感","一轉眼再沒過幾天，就是七夕情人節啦！對女孩們來說～這可是頂級重要的節日！女孩們當天一定要完美地出現才行～不管是曖昧期、剛交往或是老夫老妻，在七夕的這天每個眼神還是要讓彼此有怦然心動的感覺才行！今天這篇"
"https://www.facebook.com/niceclinic/posts/10157446668352368","1567144801","『術前的她』朝天矮鼻很自卑，拍照都用貼圖遮鼻子🤬
『術後的她』自然擬真挺俏鼻，讓她更大方展現自己😍

#goretex隆鼻 + #自肋鼻頭雕塑
擬真隆鼻，給您自然美鼻型
客製雕塑，依臉型客製比例
http://sc.piee.pw/KFULE

👩‍⚕️留言回覆【#擬真隆鼻】","1571538660","https://l.facebook.com/l.php?u=http%3A%2F%2Fsc.piee.pw%2FKFULE&h=AT2dzqP4s59ygsqk0Qaezrt6kH3luYQBMUl1WLqVm46l26WP2BbUbSem93j5bB9wECykLamjVgzVTkEkcMglt7tLvlr0Z_fiUl2AfEc_PKt5qMuPlFF7PxttlKhub_8U3xIlbZQvPaVGrtGtoGX6CHlDI-eKeggMkSNaZ7BKGERDgNf9ijMSEdfFpk8QzWvmZ91_7QMrf5rCjNDpE4ZlRkRwIp7ytEVMekwvDAClx7VsEhgg9V0MqSS459AU8c765ylgiY16i7UMmElwsTZfrVcd6cJ5xoedxbHzdIlKMOyqcRCxRQtA6EbeCpU4N3kuVpOcSx0bfVzTNpLxIH1frxji7c8EpkRN-MRpNic3PCotikKpmonwM66Y5IfPJFJ9iaSRRjZEf5AvEqcEMiAA0U2Z46MNOQecVFD0tJimfsIhDKIUBSZCr3PpZBEhxVZWC7bgNzYlSTpbJpuz68wDl2_tcEKtInz5UW9JEkGeOGIH-aj2xn9syt6xqYGqGnXon0HcP0wjcMGFLdtemAT1UmHvaGkrbi5oCje1hh-hFEM-4ouxgOHGcJUZ-bXMXSiEo-Km6H5PPCeKYJJ1kfAierx3Ev__PcT-UPbpbcU1zgl_aVnMqx5QsWc0Zk5WKe44SK8RDVmZ","https://external.fcgk18-1.fna.fbcdn.net/safe_image.php?d=AQCr5XpQxdZK5bfr&w=540&h=282&url=http%3A%2F%2Fcdn.illu.es%2Fstatic%2Fimages%2FAF786CDA-A35B-D9A3-60B4-E37AAD1FEAD4.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQC16ZU1qjLW0XDD","吊眼矮鼻哀怨妹 變身氣質千金白富美!","吊眼矮鼻哀怨妹 變身氣質千金白富美!","雙眼皮/Gotex隆鼻/自肋骨鼻頭雕塑"
"https://www.facebook.com/niceclinic/posts/10157418500367368","1566972000","填補一小步，精緻一大步🌺
每一個人都有屬於自己的美麗
微微調整一點點缺憾的部位，就能更自信why not?

👩‍⚕️留言回覆【#玻尿酸】","1571538660","https://www.facebook.com/photo.php?fbid=3066244733392882&set=pcb.3066247123392643&type=3&__tn__=HH-R&eid=ARA91vrqnkt_vsgchRE3Y6D4LdAudsenh6HzwGqUxnh8bGlao7-0DDXdV_6MMMI6OvJSQFcJPkoxE6_r&__xts__%5B0%5D=68.ARBBSuFV5k1GPYueNfjPF2UcxY1nLP5ikmfJVrL1685Xw-kSdiKd3Zf8tvLrZMbHWtd1Hz_ZPBPambBEHTQaeySuCFKq6cV2c3_4xm8yQrV1zUDVNtt-wXOVj1fGq_nNEHEBcbu5ZsFmAb_RwioRDDSmICAUcN47caGwbt1MCfxv9MZDmd4DLjTqcPIq8X7NM8Gj7jCCsXKbvuypnTsuhZpJNEqumcUcOWe3-co_M2xXVI414My8y-g44uCDhsYYgjvAe2Zp7JrQmc6jeJLOqHXZgTLo9gLHxwpt0vFc-36Ssreqtbvya3IaU5GD0zu9sbX7ey5zp-sJ9kXvGyU6yGQCB9-yELQ3o1mdi98AdUVU2pQ6Xrhpu4RIjJkrNsBvLZmoKNlEbGkKaoRNNl1LiYqBIxYzF-bB3Q","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p403x403/67724985_3066244740059548_752944261325914112_n.jpg?_nc_cat=101&_nc_oc=AQlLTs-3DoG8vlr5KrzIpo1iEkAJQRhcuF_MNcbxPlfAHXbxUttZvWIuYGR5oQZJCVU&_nc_ht=scontent-sin2-2.xx&oh=2d4458083a10e50983f5518e0c569534&oe=5E2A8F66","undefined","黃瓊儀","米蘭時尚診所"
