url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/teachersblog.tw/posts/2396831943939931","1562752800","【教育家部落格｜典範教師大募集！】
在第一季收到了許多溫馨好作品，感謝各位參與者的投稿！
🎊 第一季獲選作品公佈 
◆ 〈用溫暖戰勝恐懼〉> https://bit.ly/2xHyeQ0
◆ 〈我們不一樣〉> https://bit.ly/2XEEORQ

 第二季也開始徵件囉~
即日起至9月25日，只要將師生間的溫馨互動故事，化作文字、照片或影音寄至教育家部落格信箱，就有機會在教育家部落格網站曝光！歡迎參加>> 
https://cplink.co/EF6SMmFl","1571677015","https://l.facebook.com/l.php?u=https%3A%2F%2Fcplink.co%2FEF6SMmFl&h=AT0fOsC-1em2mmgOcX7xZlObDQK2uYudTNVF3rPVVfTraTzU7cZBGicQF-kvm3HjpgthrxwGbwYBtA3e-d2QLiXpNHwxnCRS9CxJ6NTWZ6UA_ecb1xADwXirOossFEcqsdAHw8z2NPv_4hVBcs6K_ZbdDQoELst3JzQx5qJOmxHy3UIxMuoHhBFnUpQzAjlTjOUFtGXdbPuR9RHm3hqODZ_vJZA6bwkkhGz67ihsqeZUoDoz26iwApFIrgwlAdPI9roDJ-QocY8k-pwyUz2XnGTa6D-grRZjleSbBYuWnpAuPXjuAGoVo2KXGk5gNLQwckIHU1hKb5NyCEcvzpdR70h2Z_TpHa2-mKOz4uA_gMzE44dfGja8dKl-Garl9zoQ_vq758OFrznCMMV-T4n-2Hlo1LAdLoLwgEYQbsD5fh-p5fFiSV13qEHY6MbchgaW-MqwY_k7WLGzwC0FQwtVutzvV9ZKJQQ3N0VfJ4He5L8Y337WibwCZ4FZiNwXrC5jk8Y4AgcyKev84G2whVYwk-svpcsE12eplUMOZ32O6vuIcBl1YH6_2wUolWSU48ztdtGSjdJhipuClmbM-hdn93spSq9Lhb__Z5pk4v99Eddj_JOYuj6ZiAv9EU3Khqr7-p5R-LGOh5OMObUzs09ac8VK1g","undefined","undefined","教育家部落格－典範教師大募集！","老師們的付出，成為學生心中重要力量！總在教學現場位居第一線，不論是在課程設計上的用心、對孩子的聆聽與同理、對教育的無私奉獻，堅持著個人理念與熱情，老師幫助孩子朝著自己的目標，成為更棒的人！如此志業..."
"https://www.facebook.com/teachersblog.tw/posts/2392595867696872","1562227200","原斗國中表演藝術老師吳蕙君小時候個性內向，曾在英語學習上，因受責罰與而變得畏縮不前，「怕出錯，乾脆不講了」。如今她也成為老師，知道在學習上受傷的孩子，若要得到醫治，再次跨步前行，必須從受傷的地方重新出發。
 ↘
🎈歡迎訂閱教育家部落格電子報 http://bit.ly/2mZhLRR","1571677016","https://l.facebook.com/l.php?u=https%3A%2F%2Fteachersblog.edu.tw%2F806%2F808%2F1805&h=AT2xKXGz6V2d5IdPya5B50oGHqz4XHdXCFdGlQHwunVcMu8s-9BhAKNYCaMNT5sXaxVYPGYc0hmeq2-eIIVku9bYBbchjd8uHw3q1rtlmBrAQELKe2rVHo7y3FfxiEWf1FE4vloLhxZjDYTeS3L935Z4MS5FCuF9AyCh47MMrUusLqzQh9664UnCQN3s1gdllhJRG2r3vRp7c0s0Jpn8Lq0VCs4s7OJfqgc1gt_5S53qIzk_BcFUD1EeS-OSUna3jcXBdyD4dieYHN-RUB9AhK682WciGVE_f7bAhLOt_zyGtZThACL0co1qnl4_nnjKEgZT1_E42kmuxX8oJQ4u5e-zgJQXhxSPEdq-Zm8GxUSAL1pK3ktVvxzRjS6GZdzeFz3DNBxIOYn4v1FwdK2L9AhtdGrLy_PxWSzELMgLR73JzF_dnbdrzHOt3OgFK-MbffvlifWcMB8VKg9pcKgq8qHzzPmuH0CiurgcOApg3lCug4uqDRBAYsUtVe8cws4W-8MUumByPntK8r2GgzCcWUhavXJoNnQPzU8fgLjCCkXn4_WP7rGvmNNS13Oq5WtxiVDAcEFWbmO23LZi3RH--mdUAbg9glDn_DOtUKAnsDKi45QtCbBkZlhEhNs914i5dP0S41VMkCAYn-q-COI","https://scontent.fhan2-3.fna.fbcdn.net/v/t39.2147-6/c0.77.540.282a/p540x282/66427257_658993537910503_7221448627267305472_n.jpg?_nc_cat=107&_nc_oc=AQkre3YpfDIMOJOST0NWwFNZuso2tyKyyuc1-uamQrk2yq1F4xOQLGQvuBaXrUpuaUE&_nc_ht=scontent.fhan2-3.fna&oh=dc2165686b77f934034bafbc30d3d10f&oe=5E63EAB1","undefined","彰化縣立原斗國中吳蕙君 讓英語學習曾受傷的孩子，重新得到醫治","吳蕙君把自己當成撫平學生英語學習傷痛的治療者。 「把自己當成撫平學生英語學習傷痛的治療者」，國立臺灣師範大學教育學系郝永崴教授的一句話，深深觸動原斗國中表演藝術老師吳蕙君。小時候，個性內向的她也曾在英....."
"https://www.facebook.com/teachersblog.tw/posts/2472601786362946","1571385660","108課綱上路，素養導向的命題也成為大學入學考試的趨勢。為了讓高中生更了解素養題型，清大副教務長焦傳金邀集19位生命科學院的教授以自身研究出發，出了30題的生科素養題，免費提供高中學生及教師下載使用，未來還將加入國、英、數、社等學科素養題。
↘
🎈歡迎訂閱教育家部落格電子報 http://bit.ly/2mZhLRR",1579421363,"https://l.facebook.com/l.php?u=https%3A%2F%2Fteachersblog.edu.tw%2F22%2F1901&h=AT2JmpQgwluzStFwdk41XE7eg0WQN-OcaBXXe-2VbgFUxsCDHMnUJFw5grVzqv_BpfLFpfWZOBH-zQLP2XKUWpmlDIgVAfSPSEPzAskhn9enmNK-W38mNAIjMGTfL-FkZ5Q0lcJ9IHIpoJkOCiN-eM-sWwHMXuy2w1dmzG-uPeXXFxV82t47shBdm-kvIXUiGjtwG5z4wqz4HuhZa6DcAG5PW6WuZ5RpTTU_80LY5GVsB9dmPJ6kp3be4d3Fr9mXALApENfbdpn648tf2-1vIzGAVfWKLmSKA8vB8Wz3p64DZMVoNdcQjJrUWAvYei5dq3uhSK1KI6JTcbNpXhEEhTqHZZ4fASRb9QUpTLfBRD6ur3pwwWrdkcLTk2teFSp7gso3dX4I_X8mRVyN8w6uRfkHeVGIjlsxklmeywpNy_Xasj54bG6BHZaLJ9A7pXwJCeioWwMiQuwZL19CqFv61hJqNN4Y_VHUM91q0hLhTBADs7wK__o_-WCMyFeim7t21ZZIhXpLBS-9-c_I0zm4s-43Mc7m-Amg_h4grDQqQ0MzR8r8jxOr5HvB3DCQ2Xme43ZlQPyDm4X-L8SFGQUGcV0n2m3WYWmPYBMYF9_qlH2AxW3PI3eD9h_y_uEzZQmyrPqqTZ8_H0t_yZO6noA","https://scontent.feoh1-1.fna.fbcdn.net/v/t39.2147-6/c0.11.540.282a/p540x282/73472084_2312744595704084_3610363197078372352_n.jpg?_nc_cat=111&_nc_ohc=YUPTeheRCawAX9o3-IH&_nc_ht=scontent.feoh1-1.fna&_nc_tp=1003&oh=0329342640b17e4eadf1a5e39b0e66e2&oe=5E926FE7",undefined,"清華大學「讓素養飛」題庫上線，學生可免費下載。 108課綱上路，素養導向的命題也成為大學入學考試的趨勢。為了讓高中生更了解素養題型，國立清華大學副教務長焦傳金邀集19位生命科學院的教授以自身研究出發，出了30題....","teachersblog.edu.tw清華名師出題 「讓素養飛」題庫上線清華大學「讓素養飛」題庫上線，學生可免費下載。 108課綱上路，素養導向的命題也成為大學入學考試的趨勢。為了讓高中生更了解素養題型，國立清華大學副教務長焦傳金邀集19位生命科學院的教授以自身研究出發，出了30題....清華大學「讓素養飛」題庫上線，學生可免費下載。 108課綱上路，素養導向的命題也成為大學入學考試的趨勢。為了讓高中生更了解素養題型，國立清華大學副教務長焦傳金邀集19位生命科學院的教授以自身研究出發，出了30題...."
"https://www.facebook.com/teachersblog.tw/posts/2463425027280622","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579421359,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/teachersblog.tw/posts/2475899749366483","1571644812","大學招聯會公布「大學參採學習歷程項目內容草案」，從招聯會首頁連結，即可依學校及系別點選參閱，提供學生了解大學各校系參採學習歷程項目重點，及提供老師輔導學生適性修課的方向。
↘
🎈歡迎訂閱教育家部落格電子報 http://bit.ly/2mZhLRR",1579421354,"https://l.facebook.com/l.php?u=https%3A%2F%2Fteachersblog.edu.tw%2F23%2F1882&h=AT2fssgpMYvokiL2LNOJ6PqeRf4lDIyTEr5VHHHPlaIpzy4w5y4uy_liAXGrok1o9FR3YS2X8og4X-XZ7z3AEMOLLXcWSJRi7UivLtEFWbKLIUY32OU7bRfsvkVvU8UCYRw01GQYB5sO3emVgBLb-Yvm8U5nNWED9LRQEurDMPLls4nuRMpVBWfz2uDKg8wfoM1iCclabF-XQag5bf1tWyvHtXSlRr9j_GIxwc1A-R6GD-pdwDnmsueebA_yT3oR928f0mGocU7gVb7qLYanA-eHic9qyKoC4GJEdRY4cJhqcci0FCvsRgw-pVcY6bq8i0JJtBkpUpq3RjC-gzdYjEzvo6ehpPCFtA_VM1GXeFfcyUQmz0UxQL_WIWXvVR6D3jUZbFzoXTrbwoSmYqcWNkU83nbQ_sX-8jsqRAJYH1x7Ae-AQXBzPZ6k9Kg6Xy1OAH7WbFLhRAFsJK8KAVnVGc9SClHQ_jz3gzJUTb7EB1h5uUnnolopLrG1YMkHqtKBpAii1QTFIT1Pn-6CYwsf4g9mn93i6Rb6Lm7eEmfX4yvbS8_yQcfc9TG9cTkUQ1_mPIOiVLn1tQPzGo2asJOXTZ5u9AfurmDVw8VKvj-ZzJnwpsvUdjwLJYkoukGn7OhyVxN_5txG9BC5jcsKhW8","https://external-lga3-1.xx.fbcdn.net/safe_image.php?d=AQANUW4LSLVDiPD9&w=540&h=282&url=https%3A%2F%2Fteachersblog.edu.tw%2Ffiles%2Ffield_blog_image%2F20191004-3-1.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB06ruM9SAe8gGG","Image may contain: people sitting and text","大學招聯會31日公布「大學參採學習歷程項目內容草案」，從招聯會首頁連結，即可依學校及系別點選參閱，提供學生了解大學各校系參採學習歷程項目重點，及提供老師輔導學生適性修課的方向。 學習歷程資料等於備審資料「...","teachersblog.edu.tw大學參採學習歷程項目內容草案公布大學招聯會31日公布「大學參採學習歷程項目內容草案」，從招聯會首頁連結，即可依學校及系別點選參閱，提供學生了解大學各校系參採學習歷程項目重點，及提供老師輔導學生適性修課的方向。 學習歷程資料等於備審資料「...大學招聯會31日公布「大學參採學習歷程項目內容草案」，從招聯會首頁連結，即可依學校及系別點選參閱，提供學生了解大學各校系參採學習歷程項目重點，及提供老師輔導學生適性修課的方向。 學習歷程資料等於備審資料「..."
"https://www.facebook.com/teachersblog.tw/posts/2469040876719037","1571025600","金山，有一塊地主與企業共同打造的環境教育基地，有幼稚園及小學的孩子穿梭其中，親手插秧、收割，種下筊白筍，觀察候鳥。這是春雷環境學社與當地小學一起進行的土地教育......
↘
🎈歡迎訂閱教育家部落格電子報 http://bit.ly/2mZhLRR",1579421360,"https://l.facebook.com/l.php?u=https%3A%2F%2Fteachersblog.edu.tw%2F20%2F1883&h=AT0t9ZMPi8W4dokZ2Fu4PfjGjp0th_NJokgUFm1yaWFaL8wYco25mVHmhq6SEfRheeNOHjS1A4m7WgncNrg9egIwBq3gTxyHucDmnX4EddiS1zLYwf00E11TK-A2ZOkZlkwI9MELQbRib0IvSIGg6C9wmiBSB7svAeCdp1L5E2AKR0sqGRRuWWtayATgKCqG4MDkizDS33KhooNwYzLrF11zmGIR3EB2Xl7Bba7q84yvVWICV14J-u-b0CbtlgyiNc2URK7N9LA7uxV70pdIHY1d3lA23cu8wi03dpuuMtVQz5JoqTaWAkPDKEQDlEllR20s69JIDEQXeGLjvoDbryMhzPhRY3DwOxdn77OKHtT_o39mwqzXZq8cb854totPfkktJ7EfTBL53pwyeFZHwZMd2GeA2PtV6ELu8KAdH9oFmG1EKNWOMSyLHTgxpbnqlce09LufRI_D8NcnMpqR-iHUbRgg6RQNkzoEsKMRaQ8Ie4qGQmd4WG_MccU2BMpj5h06d-krQ2eF3ASJRKwfU3g4iNRo-PJ_f772wd0PtzV0dKDgwATd4rBicuMCwfl1JfRWn4-O-DRyZdAy-0dHM5wQbY7O-nm_FzdRL6YaWwcrpoIqXM-N3llDEOOvIJcle2IPUX_3HtFgfdUn3KA","https://scontent.fifo4-1.fna.fbcdn.net/v/t39.2147-6/c0.10.540.282a/p540x282/74149007_795885297494651_6788608231267631104_n.jpg?_nc_cat=106&_nc_ohc=btSUfPI9MNsAX876KPn&_nc_ht=scontent.fifo4-1.fna&_nc_tp=1003&oh=944e5e69b9f8784b26f262ac7f29b432&oe=5E9FCB14",undefined,"在春雷環境學社的課程中，生態課程要認識濕地動植物，食農課程要認識水稻與插秧收割烘碾等實做，並且認識筊白筍與料理課程。照片：春雷環境學社 在金山，有一塊地主與企業共同打造的環境教育基地，有幼稚園及小學的.....","teachersblog.edu.tw以大地為師 春雷環境學社為孩子心中播下愛農種子在春雷環境學社的課程中，生態課程要認識濕地動植物，食農課程要認識水稻與插秧收割烘碾等實做，並且認識筊白筍與料理課程。照片：春雷環境學社 在金山，有一塊地主與企業共同打造的環境教育基地，有幼稚園及小學的.....在春雷環境學社的課程中，生態課程要認識濕地動植物，食農課程要認識水稻與插秧收割烘碾等實做，並且認識筊白筍與料理課程。照片：春雷環境學社 在金山，有一塊地主與企業共同打造的環境教育基地，有幼稚園及小學的....."
"https://www.facebook.com/teachersblog.tw/posts/2395457170744075","1562576089","「要怎麼樣才能讓我的孩子讀這所學校？」無論是實際參訪，或在網路、書上看到照片和文字介紹，是最多家長們第一時間對新竹關埔小學驚嘆和提問。這是全國第一所按照108課綱精神建造的小學，透過建築設計引發自主學習。
↘
🎈歡迎訂閱教育家部落格電子報 http://bit.ly/2mZhLRR","1571677017","https://l.facebook.com/l.php?u=https%3A%2F%2Fteachersblog.edu.tw%2F20%2F1807&h=AT19fshvyqVyVorh-ZiC1rcbV4vPFQFuIMVlE4tpz7vRv60xlsTrBIvU3uvAERfC863TEfaXvDe3HSfDfVTUaRXB6rhvwLiFyjc8HF0KjFKfxwbRaBc89CnkXxjzSbjP2cpmPKtZGoFAI7-fuUzG7NvVtOJDwp51GZo5PQb0WYEvbCWQhhwVI-13oHqOoQ2KeYXYVLuOSbKPlGuY94yAgPZ8ARvuURHXdQmaZa_oF_-fFHPBEUNCK5k-0kV0p-iLgbHt1mY78XOeavgy7tBfJBRyEfTKbZ9r_UB2RiD7eDh96nDMNCB8oVXxw_j3Z1pfJsYwQjJhJ927MFO0gKL7mCNesfGXeqntoWlMVEJ-43DdVCLZcD6w0ngajxXRP8Xf0lmH5rN2sWSDGvTATKdFGw_JxLQCK37xuqaOlV-iwaGkPGGR9Gq7aLYmRXDKPLAoCjGtv0AHmntaf-YLFDAl_uO-mfxkUuFnE-jiTDydr4sH_nyVo1V9h43k9kF4ce0eEXNT8goCWQURTRybJMmtfsDRmmnMrbdSzaQycqMkC_90v9-dvcFG2xTLV0gIzbus1H_dk4t2Fuwykab1TIGqhfk_YTwBRIxnjyIzL2ueLHgSUnP6sQp9xia9GK78uFYkQM6PnV6EPH1opczeU54","https://scontent-sin2-1.xx.fbcdn.net/v/t39.2147-6/c0.10.540.282a/p540x282/67057232_384762388839858_2383515753300099072_n.jpg?_nc_cat=101&_nc_oc=AQnDHDIGfDGc5Hg_uzkhp4oHoahMMfk4s3xmZcDRy8FIeZrdk4xDeVHOC3BlGawbZUI&_nc_ht=scontent-sin2-1.xx&oh=a6d9734a2e4a21845cc75342649838f1&oe=5E6082C2","undefined","「這真的是公立國小嗎？」 新竹關埔小學，一所108課綱精神打造的學校","「要怎麼樣才能讓我的孩子讀這所學校？」無論是實際參訪，或在網路、書上看到照片和文字介紹，是最多家長們第一時間對新竹關埔小學驚嘆和提問。這是全國第一所按照108課綱精神建造的小學，透過建築設計引發自主學習......"
"https://www.facebook.com/teachersblog.tw/posts/2346352868987839","1556857080","3年前，賴宜玟來到重視雙語教育的宜昌國中，在前教務主任曾元科老師積極爭取下成為教育部「沈浸式英語教學」特色學校，嘗試從賴宜玟的音樂課著手，將英語與音樂結合，讓孩子在音樂的情境中，自然而然學會英語。
 ↘
🎈歡迎訂閱教育家部落格電子報 http://bit.ly/2mZhLRR","1571677017","https://l.facebook.com/l.php?u=https%3A%2F%2Fteachersblog.edu.tw%2F806%2F807%2F1763&h=AT3Syx8lWnmMMPrGaJyp-fhndV0C7kxsacDI5Lk6aGkiHnhEBiIoC-kabwXtuUgWGxWqrmdEGr5z88kPBaK21LgF7udecv5JzadoBdZHRYu7BDq8fL5DbAzMfXj8X-iTFyJgJd7IfmaADvp_rewq7_CjEGoQA_D77PEkxKHX5l9OVZrSFiQxJAn8N_B6E6KQFoHYrg7h0HUBkSEKmmTayHOvm4xxvgB1w_4NT7oXcMCCgUqrStwfpRU2sb2U-vCVf-WwCg0UozHAZ4SdNL9wtDbpT1LeaUUzEb7YxBJr-O9PUtTC0Sk03NsxLiDmn3wnvoF5a9UGFvbvh_Pl8aWKq5YKN-DkiAUSWEz8wTM2yzkNLMwG2RIDt4CnDsTWuLercYboeeXOrw-gC1wgg05LbnAhK8b3JcSokhecIQv_XMe-oF7J6GS7Ti51Z9hwUaQSBFMpNcNyLr1VeRf74o9ChARVyCYk-dJnn4UCbUp3JRnn4oHCj3wQYZ0k0AWubk8h_S-NLpNm-rWwnsDl3RH0tlF-O2hAdRSBDwZ2dQo290PyHQBvOUvGLkwIZbp2H5ocd6ri-p1h_QbicIqs93mOPuZx7BVWbAG4D430mKHlLXVcCjajmOssdhn4Q_FW33npjuYQ9LuTyxMu8rVUNeg","https://scontent.fcgk13-1.fna.fbcdn.net/v/t39.2147-6/c0.61.540.282a/p540x282/59799896_641105539668455_4695255748316233728_n.jpg?_nc_cat=108&_nc_oc=AQkDIr5uuWKMaq0ZDYC0jEB3Eo_YJEsGoCQhq2oD0JDCwPalzjqp94FMLhNr9geLBQ0&_nc_ht=scontent.fcgk13-1.fna&oh=ab4868170f5f842a46a96f5204052e43&oe=5E258C29","undefined","花蓮宜昌國中賴宜玟老師 英語融入音樂授課，讓孩子再也不怕說英文","「阮若打開心內的門，就會看見五彩的春光…」古老的臺灣歌，訴說著人生的困境與盼望。打開，就會看見，道理再簡單不過；然而，引領人離開自己的位置，走向門邊，打開門，引春光入室的關鍵，究竟是什麼？ 走出去，迎....."
"https://www.facebook.com/teachersblog.tw/posts/2432242807065511","1567051380","走進長興國小，從教室長廊上以水管搭建的鞋架、水管製成的平板電腦充電座，到為百年校慶設計、結合水管與LED燈的大型裝置藝術，處處可發現這群小小「水管創客」的創意無限。
↘
🎈歡迎訂閱教育家部落格電子報 http://bit.ly/2mZhLRR","1571677017","https://l.facebook.com/l.php?u=https%3A%2F%2Fteachersblog.edu.tw%2F20%2F1846&h=AT0f00dm-LW3jg22ncQT_NGTWoHQj5zVrZXWHK2JaZk9O_jqQ1wHNHO_ZwwXiBF5Gqhm9mgMuXVvS4NojZcPlAcsQ6T4fZ7zyQr1dwWxIfh7tCNK55vw_hCHyIU9TtWvcADDMt2ITaGAUnU19iGqCzZz6jPVnZziqMK5oSmMe1VHyrFL5274v3l2NbtYzHUDNB65OjEgWkuG3OTZ-jXtWgQUUeIsnzhV6pEfLsQaZ9Gwyt9v7HteFZEJbIJvOVOAccN6vtPAOSaXta8CIa0ncR3QDRmOdUIindxGMQDkt5mVIAR_tbRogr-IcccJUDIMqXKaMKUK3kQa-hZHaFGxazUKJBsQwby3e5LwG1Mdq_2lypr-Gj1PUr1-v5ftMgd24YN16kO4bOki0IFPk4psPW00ADjLt-tC-wjx42j2RzAp9fwGrGJ9mEIOdIHTPoOHuvXgm5YNcTGkGW0MWgGHw9TiuaNUsEPskatg7ZtHm0k6BsBkls0HIOfM_7ij8mVOUUSWchnKIzBeeVPyCZst_zoU-BUBeILNHpBswelNRMBM3iF8Xjl-5V4t8zxfbbMrCUU1QEGVVn6IxtqZ85AVkMULqDZUoijjTH8gDs7p4bidtFkGnI4nxZEs540YkemDbpVmlXU40YiFP2HOHS0","https://scontent.fmaa1-4.fna.fbcdn.net/v/t39.2147-6/c0.19.540.282a/p540x282/70059988_389798875053423_5810301624261804032_n.jpg?_nc_cat=109&_nc_oc=AQlHh44HpyneBV-xO825uvtnw4jr5QGwz5fLTltxnbtrux1oHUQIIlOsRLgO3ifgxRA&_nc_ht=scontent.fmaa1-4.fna&oh=7384c56fdf8fc2c8721b5c27278acf91&oe=5E5C7A9A","undefined","臺南市長興國小 水管創客—從動手實作中刺激無限想像","走進長興國小，從教室長廊上以水管搭建的鞋架、水管製成的平板電腦充電座，到為百年校慶設計、結合水管與LED燈的大型裝置藝術，處處可發現這群小小「水管創客」的創意無限。 「水管是窮人的樂高玩具。」長興國小教務....."
"https://www.facebook.com/teachersblog.tw/posts/2407273639562428","1564027200","老師，是很多人生命裡的「重要他人」，對詩人許悔之也不例外。但他為何對國中時代的恩師，30幾年避不見面？又是怎樣的緣份，促成師生共同完成了善循環？↘
🎈歡迎訂閱教育家部落格電子報 http://bit.ly/2mZhLRR","1571677017","https://l.facebook.com/l.php?u=https%3A%2F%2Fteachersblog.edu.tw%2F806%2F807%2F1826&h=AT11kHVOS8sImfeoZFjlWoj4uYlderVlTiWc62_O_3OtJ00K_-EGi4v6K1ihFdxCrotwT3elM_76-Cynl8wwVNsR-o9GKKQvTxIzTrfqfRM5nG4mDE0G3R4OTsBG3h8Co8_eGY5hUbSFdD_iGNcfqmjJbKlcXb4DKzFmqW26xJA12FrBRi_4Zvo5ENqVI9w_uTyTuRqURBOWl6a7GHNPVIIcJsfxdl6NyUm5ozpjjlX-lsCUgaF1py4ahPEVE3FAWiuZupbvjr79PFfy85URlJH2ccnljH4d4djpC_bEK0ays-j0L3ZVl8_BNwCjz2F8FD0-kOz2F3JIe_Ykugm7-oY_yltPrA26S62Pxlua0BkYDebkrxIAxvIK4WUJmjyFNTUINCSC4SNnTh1CGWnu8MCVuJeZcYRiRmQY-pK6zp0PQuDZ51fINNgUVgRalHb0AwsW9mR1gpJRsc7Qczw9BF5OehNy_4MMt2MVRnSM-1wQJ9BQqM2p3AiAC0aomYMVc0dOIQuIgbPZFmPFMh0zj4iKAH62qSd0GOusWOwUci6CzOjkmb06LuYghzls_W6_SRGtstRLr7sZi67ND4ZJnZs6QiRioZiiRLENDauEZBHurRGZdYxBKjsX50OXWVG8qX7VIHl3DM3YVKiA0Co","https://scontent-sin6-1.xx.fbcdn.net/v/t39.2147-6/c0.10.540.282a/p540x282/67919350_669423440220385_3575708536191057920_n.jpg?_nc_cat=106&_nc_oc=AQmJcVRLXHgr7DFu-JGlWfRr31cgZD1xWCEM2_gESPmaHshwMhJdQacCttvMrKjy5gY&_nc_ht=scontent-sin6-1.xx&oh=544804cdb85df503348cf94cf8c29086&oe=5E2F1385","undefined","詩人許悔之：30幾年避不見面，阿貫老師打開我的心靈封印","▲ 許悔之（右）1982年從復旦中學國中部畢業以後，就再也沒有見過廖阿貫（廖達珊）老師，直到2018年4月，阿貫老師來看他的手墨個展，再次重逢，他們緊緊的擁抱，留下這張照片。照片：許悔之提供 老師，是很多人生命裡的...."
