url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/pts.fruitypie.tw/posts/10156868725820805","1570424401","【水果大推薦】
哈囉😊
不知道大家是小學生的時候，有沒有做過一件事，就是在桌子中間畫一條線，然後跟隔壁的同學說不可以超過，不要跟我說話，安靜一點不要吵到我呢？🙅‍♂🙅‍♀
小編小時候也有這樣做過呢…

 請大家來看看本集的節目介紹～然後準時看節目吧！
👉今天播出的集名是：「不可以說話❎」
小怪獸船長規定淇淇哇嚕在遊戲船上，不准說話，連發出小小的聲音也不行，後來又規定琳琳不准唱歌，琳琳不知道原因，只覺得小怪獸船長很兇，就哭了，奶奶也覺得很奇怪，所以，決定去找小怪獸船長了解一下原因，為什麼不能在遊戲船上講話也不能唱歌？

 ✔為什麼小怪獸船長這麼生氣呢？
✔不知道奶奶有沒有問到是什麼原因？
想知道完整內容，請記得鎖定今日17:30播出的精彩節目喔！

 (PS.小編提醒，如果希望對方能夠不要影響到自己的話，記得要好好的說明原因喔！)

 ---------------------------------------------------

 👍水果E學園：http://www.fruitypei.tw/
📌水果冰淇淋YouTube頻道：https://goo.gl/BajVSf
📣公視網路直播：https://www.youtube.com/user/ptslivestream
📋公視節目表：http://web.pts.org.tw/php/programX/main.php
✏公視+線上影音平台：https://www.ptsplus.tv/

 #水果冰淇淋 #不可以說話","1571331539","/pts.fruitypie.tw/photos/a.10150281841050805/10156868723880805/?type=3&eid=ARAsOtnQTC2GN2XrDY5PZTWoqt4lbEfM9ziDzdB3-Z1oKhIonBIf_Lf3i3tapqMY_QggWtx4zNFtW0Jk&__xts__%5B0%5D=68.ARARYRRLuvqB00YkG_aueViNStPtBHmh1EjO1RcyOXYnoFArJR4jGxVCkSEECOrMhgC081_uwmrBax8m2FSIqemwYBtSi80xIrkMDlHzCKo_A1Y0g_lr29N2jBtP8M64XJ4ZcyO-PGrrT5Ngxh7fnqUJHSBvKH_RAKuyY8typWaG2BUVmTokpzX2jlG2apq7-oR15URWYI4Kwc07HCcSLNlS01ZWPGCnA_yiunScR_w2YxmaA4sXZO9djPcQSGU7MDX-QRFHGlDu7lXz6sNy__yZDiqQSRN3tDJKYy_Bh56FmAIciyji6k1RKPHu3Lr53BTSI0k8po0gPv9d_iXV&__tn__=EHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p280x280/71873398_10156868723885805_4728823417405440000_n.jpg?_nc_cat=106&_nc_oc=AQkG5xdEafM8OGPMh5m1cvltI-rpmMWVakfhURFKOQcALYZvB9akIdu8dKZFOgzZiMs&_nc_ht=scontent-sin6-2.xx&oh=093a3f458fffb545e860a6c701d9a6e4&oe=5E18709A","undefined","",""
"https://www.facebook.com/pts.fruitypie.tw/posts/10156564122250805","1559527200","【水果奶奶開箱趣】
大家好！
昨天的活動有沒有去參加啊！有參加的答右！🙋‍♂🙋‍♀
那，水果奶奶開箱趣有沒有準時收看呢？
這對可愛的雙胞胎👧👧，真的是人見人愛❤呢！

 精彩內容不容錯過，請趕快點擊下列網址觀賞🎥
相親相愛的以昕&以昀與水果奶奶的有趣互動吧💖
https://youtu.be/9QRuE3EjqiA

 歡迎大家多看多分享喔！😍😍😍
#水果冰淇淋 #水果奶奶開箱趣","1571331539","https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2F9QRuE3EjqiA&h=AT3mu4U2SbVrfFHhp6UoXR3xWUsZpuRQ3mf3oJhzSfeUIo5P9B0Z5kgv5DRfZhqUIRdUJu6o2um0GI6yerizVMyk1E4sNb4HpsZhpVqQ-yv87U0-eebHNHiGFGdk3ukEWI89Ebi9tFzROxXEZp6UPWmBwzTi-S6NmmEe_XwBJEEWX_9ceQ9Mti5YLjWD3Rbl9D6vi5uNcwTvMqxUMVNmNDJXodryealTa0V2eUbSvHOrhDoPwuP0UWDxKBvhM6fC33giuRPEgW0pFMSOpGhOxK-bsGBf9Rxna-YNjFii6mM1oTwM8e_IkA5Xn4ySMOYEYaFHto_dqYN9JfzWleLDL1V0VGaSqT7ml-rx5N_MuYiwxaGT_RZJdc0h4l3NiXPxcFMbU-mlb4830u1rAN4VSeOZJdYt1gXo-zgFtlJ21pz-QrJjY71D72cUEkzzZliPucjQgHjeSyslUo7pRgigPEmLS4fWqCH5wFGdVjyZcBfyNg_Z_4aqNM44NlIngU6q1lT3VP9_YTGnfIizobO6t1VUd5GbOE_z1eySuIia6u6Y6YdAFkAHc_8A3H8FoWTMSmAqfclq7tym52N8H_uW9e-EPN9OnLVn1arj-QqoLJxOmtI_dyVKM1emJSv7H5MxbWA7Tsmr","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQAO4JwHZmSXojnv&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2F9QRuE3EjqiA%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDRbmpxqb-3shKH","Image may contain: one or more people, child and closeup","水果奶奶開箱趣-以昕以昀篇","「水果奶奶開箱趣」每集邀請一位小客人來到 #水果奶奶 家中，分享自己的寶物和心情，也藉此機會和水果奶奶進行一場面對面的心靈溝通之旅。 以昕以昀，活潑開朗的雙胞胎，有著相似的面貌、相似的聲調，卻有截然不同的....."
"https://www.facebook.com/pts.fruitypie.tw/posts/10156853613715805","1569915000","【水果好禮送--愛心禮物抽抽樂--開箱文得獎名單】
大家好！！小編來囉～
👉《水果冰淇淋 愛心禮物抽抽樂》已於昨日9/30圓滿結束囉！
感謝熱心捐款的朋友，謝謝你們～🙏🙏🙏

 得獎名單將於10/9公布於活動網站及水果冰淇淋粉絲專頁
會員好禮送抽水果隨身袋也會一起公布喔～
敬請期待！🤗🤗🤗

 ---------------------------------------------------

 📣昨天截止的開箱文分享抽，小編剛剛拿到熱騰騰的得獎名單！
想知道幸運兒是誰嗎？
★得獎名單請看附圖 

 ---------------------------------------------------
注意事項！
1⃣請得獎人於10/8前先於私訊回覆 姓名、電話、Email、五碼郵遞區號、地址，以便小編收到中獎回覆函後核對
2⃣收到中獎回覆函檔案後，請於10/15前(以郵戳為憑)列印出並填寫正確，且黏貼身分證正反面影本，寄回水果冰淇淋
3⃣若逾期回覆將視同放棄中獎資格，恕不另行通知
4⃣獎品預計10/18前寄出

 ---------------------------------------------------
👍水果E學園：http://www.fruitypei.tw/
📌水果冰淇淋YouTube頻道：https://goo.gl/BajVSf
📣公視網路直播：https://www.youtube.com/user/ptslivestream
📋公視節目表：http://web.pts.org.tw/php/programX/main.php
✏公視+線上影音平台：https://www.ptsplus.tv/

 #水果冰淇淋 #愛心禮物抽抽樂","1571331539","/pts.fruitypie.tw/photos/a.10150281841050805/10156853607010805/?type=3&eid=ARAJaDdHmKBx-pH-YeEioOypXK5SThmVJwrF2eDCPg5COzQpnPve0F-EK_1vjOZvSOLLrOCmMRJPetZK&__xts__%5B0%5D=68.ARBFHw1KboyfwJ_Dnr0oWpmfsAtCnpxqRQHxkVyEB48Qdk41fQYyJKmFsrH-5hcAzCgqTcoabczRXGLhHIp7UHviN5aeCClnhXi13Gs3dIP3P2JT3H8op7OSXIAiUaUq1b0qZSGIIvNgzmbeR85jldApPjpCwaLX4HGgQjoWISEo8DSBRYR5dRwHCeLAGbI7V3PIGAHwBOHoPPHm80wUKArSuzy9R3Jy3_dDqHcaXAOQ-f04cOFWbQZyCVhZJrVv2VUVTe08zXZ5ZSKy-_srEB893YDW1gs4RcYP_4YYjDBFX5E2RVzk1OJzwLDAFrR9YR06C03rACJqpj26RmOB&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s526x296/71115920_10156853607020805_4723814424681381888_n.jpg?_nc_cat=103&_nc_oc=AQm8Dlky4myGSduDcvYlJP7SNis16LjBKcTNZOQR70qyAysLSEotnuLUuJnme89wf6o&_nc_ht=scontent-sin2-2.xx&oh=9c53611485580b527e8345c1e9177eed&oe=5E2AB6D1","undefined","",""
"https://www.facebook.com/pts.fruitypie.tw/posts/10156871538435805","1571281200","【水果大推薦】
大家好☺
俗話說，休息是為了走更長的路，適度的休息，有助腦筋的靈活運轉，讓思路更為清晰！👍

 請大家來看看本集的節目介紹～然後準時看節目吧！
👉今天播出的集名是：「機器人書店休息中」
小怪獸船長到機器人書店想要借書的時候，卻發現機器人書店掛著休息中，原來是因為機器人店長打算趁著休息的時候好好整理書，於是，小怪獸船長也決定要讓遊戲船休息一下，他也要好好打掃打掃，後來，琳琳在客廳發現了休息牌，和莎拉玩起了”休息”遊戲，最後，正當想去野餐的小紅卻因為店長哥哥說休息結束而不太開心？

 ✔結果小紅最後有休息到嗎？
✔琳琳莎拉是不是還在玩”休息”遊戲呢？
想知道完整內容，請記得鎖定今日17:30播出的精彩節目喔！

 (PS.小編提醒，適度的休息，不只對身體好，相對的，休息之後，完成事物的狀態也會更好喔！😍😍😍)

 ---------------------------------------------------

 👍水果E學園：http://www.fruitypei.tw/
📌水果冰淇淋YouTube頻道：https://goo.gl/BajVSf
📣公視網路直播：https://www.youtube.com/user/ptslivestream
📋公視節目表：http://web.pts.org.tw/php/programX/main.php
✏公視+線上影音平台：https://www.ptsplus.tv/

 #水果冰淇淋 #機器人書店休息中","1571331539","/pts.fruitypie.tw/photos/a.10150281841050805/10156871535530805/?type=3&eid=ARCb5T8qcqYzcbZDtD3ysUFHbGjrJ7ANBH8rJzg3E4P02RuumPwnA_2DROITiqKFeHWuRbpzWtAvvCsG&__xts__%5B0%5D=68.ARCUVUJH54ffj7D7TFzN5I0ZNiDMT7pT0I5dz-54MJlxhLRA2PfpZqgb_ktm3aFEcrWuei7hYhnFWODot_p2MjpIaoeaJmtxPAE1_6hHk-O1w9tLySgfEcHa0Q7Lfr76PIijqt4krBEFkUynpVOaaMnd2-rmOZ9jQLLZLpnulbg0TZQgvqHIpeGVAVhKmp1YiMZeoaKr0IkkdQ-uyLI_LNVPR0cPrRuphgQDPy2uMSOJCHiZAxnK5Scp0MZXfDU84xuMLxAezLDNpG6phZHzeRABjZ3mPKRczJxeWE95_2VHYR5RU6o7W-tg4qFrno__gaztiLk3bxQ3CmEcxgTV&__tn__=EHH-R","https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-0/s526x296/71968247_10156871535535805_641819653353504768_n.jpg?_nc_cat=104&_nc_oc=AQmnXyp3zAE-Epk7NZACObwU0xwYukzJGHM-MY6HVtDecVcuDi3GSQTGOU5_18iWsok&_nc_ht=scontent-icn1-1.xx&oh=c8fdc95d53c655ec48506b7b868097d4&oe=5E2E4599","undefined","",""
"https://www.facebook.com/pts.fruitypie.tw/posts/10156833463880805","1569207601","【水果大推薦】
大家好～😀
請問…有沒有今天生日🎂的壽星呢？
水果冰淇淋和小編在這裡祝福你(妳)生日快樂喔～🎉🎉🎉

 請大家來看看本集的節目介紹～然後準時看節目吧！
👉今天播出的集名是：「生日卡片✉」
今天大家要送生日卡片給大班老師，哇嚕想要學莎拉做一張特別的卡片。剛好，機器人店長給了他一張有橘子香味的卡片，莎拉看了很羨慕，就自己想了一張有餅乾味道的卡片。哇嚕因為看到莎拉的餅乾卡片和淇淇的超大卡片之後，就想著也要和他們一樣，另外做一張特別不一樣的卡片呢！

 ✔莎拉的卡片為什麼有餅乾的味道？
✔哇嚕也跟著學做了一張什麼卡片呢？
想知道完整內容，請記得鎖定今日17:30播出的精彩節目喔！

 (PS.小編覺得不管卡片的樣式是什麼，只要是自己用心準備的，相信收到卡片的人，都會覺得很開心喔！)

 ---------------------------------------------------

 😍【水果冰淇淋--愛心禮物抽抽樂--9/1～9/30！】
送愛心、抽禮物，請大家快來參加喔！
📌活動詳情：https://s.yam.com/utvWA

 ---------------------------------------------------

 👍水果E學園：http://www.fruitypei.tw/
📌水果冰淇淋YouTube頻道：https://goo.gl/BajVSf
📣公視網路直播：https://www.youtube.com/user/ptslivestream
📋公視節目表：http://web.pts.org.tw/php/programX/main.php
✏公視+線上影音平台：https://www.ptsplus.tv/

 #水果冰淇淋 #生日卡片","1571331540","/pts.fruitypie.tw/photos/pcb.10156833463880805/10156833457965805/?type=3&__tn__=HH-R&eid=ARARWDydaJxAuLOTsBhhQRhC-5hT1IytEbzUs40phd-wBAWU4CcbJhqtSVerhKyTvN0KhB99yVUTk9Ga&__xts__%5B0%5D=68.ARAUFocW3JoRF3FusO3XTJvprXZM158BhZOstb1KzKH-y8KuY7-4eaJyOGlQBaLE09tAHrik3Nw_zgllF1t-iLfMKVLh5xQlpkuCuABh1rg6bIU3scRuF2GibdIRMX7nFcUfBYlfxigZ9aCAZtNA_dY4Mf_D59uXmf0IX4OigZMcnhTkf2sbMfulyxuzpN02D_DZJiSYy4Ci41_FbVkTWf-x5AEktD-0OXS-C2h6Wu8e-S_jYHGZEdzxvh4xVfRxGCgqDvFgfr-AnY1R4d0Rk9UL1CPWwzTdtjs7b8i6peb9eRsvze6NdCQbYD-5OKXUBeknsAULNTyxM8RZlB39","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/s526x296/71077651_10156833457970805_6489646990996013056_n.jpg?_nc_cat=110&_nc_oc=AQlIUzk_wT0Cp21eHY0pRa0IZ4mtO9V3jIuF4PjSUJg1c0XbFNAPKGK2AnePk7SaN5c&_nc_ht=scontent-sin6-1.xx&oh=c97c2b4ad0585797d429db8ff7f2aca1&oe=5E2FB9BD","undefined","",""
"https://www.facebook.com/pts.fruitypie.tw/posts/10156641891570805","1562986800","【水果大聲公--水果奶奶開箱趣--恩淇篇】
大家好！
本週日是最後一位小朋友要登場囉！🎊
若是錯過其他小朋友精采的影片，請到以下播放清單觀看
👉https://www.youtube.com/watch…

 那麼，就請大家準時鎖定週日的首播吧！
現在，先認識一下本週的小客人--恩淇

 恩淇是一位活潑可愛的小公主👑
最喜歡表演，唱起歌🎤，認真的肢體表演、投入的表情😜，
讓人眼睛為之一亮呢！
還有，恩淇最愛❤的就是媽媽了！

 想知道恩淇和水果奶奶分享什麼寶物嗎？🎁
想知道恩淇和水果奶奶一起做了什麼有趣的事嗎？
敬請鎖定本週日（7/14）上午11:00首播喔！❤❤❤
就在水果冰淇淋YouTube頻道！！😘

 #水果冰淇淋
#水果奶奶開箱趣🎁
#是活潑小公主也是小小表演家💃
#4月21日起每週日上午1100首播

 （小編PS. 不想錯過任何訊息，就趕快訂閱水果冰淇淋頻道，留言跟我們互動，然後按鈴鐺🎊開啟首播通知！）
------------------------------------------------------------------------------
👍水果E學園：http://www.fruitypei.tw/
📌水果冰淇淋YouTube頻道：https://goo.gl/BajVSf
📣公視網路直播：https://www.youtube.com/user/ptslivestream
📋公視節目表：http://web.pts.org.tw/php/programX/main.php","1571331540","/watch/?ref=external&v=383011135895675&__xts__%5B0%5D=68.ARCTcq1necMWmaEZecEa4A4VRcXXn_4AGhdETupeCDDuFRzZXsKYdb0ytsqa28pCaCzIVrqM_8-B20jpHfbJyPyAMisaTagyVFfy0EIkwp5d8oy4ftjczktNStAQUQ37pjXvOIZs_kYE4zAdX8-Mq1N_eI9cWedXc891ZrG0i7rNRTL2ftcA1i7MDa2z4i7xN-LdHE61BLM2WrjTT8tunH1HLTY9u7N5wWnvu5FhzFhdQjwowH9mo0NsRB4BB5rqLHxAhbsXVVTnYGyVwS9_yvyY0_PpdPEknDl9HpgEmkZzaeNY8uHTRogbMx_7PUPEztHmpPyy6QUZwA-WYw9jWmKfehWzog&__tn__=kFFHHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t15.13418-10/65607346_864813787250930_2851044366766571520_n.jpeg?_nc_cat=109&_nc_oc=AQlYhAgynbG3lSCmnbc20d_bL_dK_pJrc396XBcODTbPfJ0YaF_-p9hpDG7YaKcpm-8&_nc_ht=scontent-sin6-2.xx&oh=b2ba2b0ec0070aadb87bb4d2900b594d&oe=5E1F5765","undefined","水果奶奶開箱趣--恩淇篇","Posted by Fruity Pie"
"https://www.facebook.com/pts.fruitypie.tw/posts/10156860706680805","1570159852","【水果大推薦—YouTube最新上線】
今日最新上線的單元內容：故事-- Goodbye My Friend

 
劇情簡介：公園裡，小男孩正和他的小狗玩著飛盤遊戲，不料緊追飛盤的小狗卻被疾行而過的車輛奪走生命！最愛的小狗驟然離去，小男孩無比悲傷，家人盡心陪伴，希望小男孩重拾歡顏。某天清晨，小男孩發現小狗天使來到身邊，陪他度過日常時光，溫暖著他的內心，終於，小男孩慢慢地重拾希望、也勇敢學會「說再見」的人生功課。

 影片網址：https://youtu.be/uyp2ORgSayQ 

 PS：還記得故事”MIMI
&LALA”嗎？它和今天推薦的故事，是同一位導演創作的作品喔，敘事的情感面雖不同，但直面小孩內心的真純與良善卻是相同的，歡迎一起來感受。
MIMI & LALA影片網址：https://www.youtube.com/watch?v=LYzxE8_pDno

 👍水果E學園：http://www.fruitypei.tw/
📌水果冰淇淋YouTube頻道：https://goo.gl/BajVSf
📣公視網路直播：https://www.youtube.com/user/ptslivestream
📋公視節目表：http://web.pts.org.tw/php/programX/main.php
✏公視+線上影音平台：https://www.ptsplus.tv/
#水果冰淇淋","1571331540","https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2Fuyp2ORgSayQ&h=AT0Iqlj9Ynne6xVUtsyYXHBrmqPfn4RrrOY_1dNPMg2Hs4yFaCBe2J5u33jNRwwVXlwLLYFlw76hpKOHtzHZABiL_fJGL5NSBkjesxO7dyneB7G1S45tnBmmGY68CtzX95NLHIlizC2SPjQKffjUdO43wjpZSWH1CkL2lKW0_Zhc77u8r-SkGkUXkp9xmSiZH4z8lI_JXERZp1z0k7XRg8t9P2On_l3Z5VvX7iHfLB-nJclrcJxXHSt5dXTn0thjchJFVuDhm8JeQHP5IBdXh_cekQ9w7Xi9O_oeClDl6Z9fgrIoDKI-VDZ_VSWZWO1IC7PlcVcswyh5fZt4kvQSxC1LbFfkW-7gopEJ-w3cAEa0Z4MflvfQLF0BJhk-24dGDmOhQgJjgBoAiS0vJMnd1qq2yGexHRWGJIq9sLgD0LGHj5tG0t9B-wmXlOfhnCg5MxjsopJVxc4sHGGpBTrGSuIlJQglMTFWz3FRPARytRKColAgkH5ED-NVFufRFkXqHI2vEYI_4OLyHyozsZ3-Ll9xy8mdmLOtCyi-zrHpLFuTKmCfZRS9LKv9PgwOKO_PWsHm5GR4s3-wniOZQtoF0y2t6hvvgvrYk-dA9WGhDYXYwOlhuB3vMK3ULcW4aYE2W7TtluWB","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQB8Trin6eWWP9pK&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2Fuyp2ORgSayQ%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCKNjjyLmdkRD16","Image may contain: ocean, sky, outdoor and text","水果冰淇淋--故事--Goodbye My Friend","公園裡，小男孩正和他的小狗玩著飛盤遊戲，不料緊追飛盤的小狗卻被疾行而過的車輛奪走生命！最愛的小狗驟然離去，小男孩無比悲傷，家人盡心陪伴，希望小男孩重拾歡顏。某天清晨，小男孩發現小狗天使來到身邊，陪他度..."
"https://www.facebook.com/pts.fruitypie.tw/posts/10156786044575805","1567486800","【水果大聲公--水果冰淇淋--愛心禮物介紹Part 2】
各位好！
《水果冰淇淋 愛心禮物抽抽樂》活動，你參加了嗎？
👉活動網站：http://www.fruitypei.tw/grandma_lotto

 每張108年度的愛心捐款1000元以上的正式收據，都可以到活動網站做禮物的抽獎登記喔！每一張收據登記，皆可以選擇『1～3項禮物』喔！
小編再來介紹其中兩樣～❤請看禮物介紹圖❤
☑超棒的手作禮物，想要的話就趕快參加活動吧！

 ⭐『會員好禮送』：會員做愛心，加碼抽好禮！
活動資格：
只要登錄水果E學園的會員帳號，參加「愛心禮物抽抽樂」的活動，除了有機會抽到獨家手作禮物外，還有機會可以額外抽到水果冰淇淋超級好禮！！！
→超級好禮的禮物是『水果冰淇淋隨身袋』抽10名！

 （PS.大家一起做愛心，愛心捐款的同時還可以來登記抽獎，這麼好康的活動怎麼能不趕快參加！）
---------------------------------------------------
👍水果E學園：http://www.fruitypei.tw/
📌水果冰淇淋YouTube頻道：https://goo.gl/BajVSf
📣公視網路直播：https://www.youtube.com/user/ptslivestream
📋公視節目表：http://web.pts.org.tw/php/programX/main.php
✏公視+線上影音平台：https://www.ptsplus.tv/

 #水果冰淇淋 #愛心禮物抽抽樂 #許願魔法瓶 #甜蜜小飛羊","1571331540","/pts.fruitypie.tw/photos/pcb.10156786044575805/10156786043310805/?type=3&__tn__=HH-R&eid=ARA30uSBS0ci3psLmuC1nr1M85cBLawO7ZpKqxQlsyKioSPAAj2q1Ckis8Vvxcr0ttoxMZJeaAIx4vPC&__xts__%5B0%5D=68.ARBhTvS4pgw0gIrj7hIvky-arjb9g5Dxg_bFi0m8gyiMjEns23cc_C7b-HRjOB3cOFqHP3KhVf3BI3cgE9Pc9z2RuyMRyjd5KbOigQbCURn1ZJXI-z1IcpwPiKezKdJ-tYbzCpUmd9J5a7PYQo27SGdR7lrbKW-En1pBYht_eQu7FJXkLKZpeXhXTOXGatatGrNKSwCzJ0LwqdLUiiTPV58WjK1XbbumG9MB7zpNLGING0BW7TvG7BrRxaMayPFI-QxIVxl4L4m_o_ZF8a4CX14nJU7-NqZrRqsGmRMHUkBdN7D-1J8lYX2403cRQ7SMOd9i2_K0gNkiec78EKVp","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-9/s851x315/69357302_10156786043320805_8531757885586145280_n.png?_nc_cat=110&_nc_oc=AQlJOs3YmibEauZj-TbukpiHCpJAPceiP-R0iBgSFUnMSldjy0TSS-WoMd32ZfbNhgA&_nc_ht=scontent-sin6-2.xx&oh=2549e650d1e4ed3bcf2f83288f7e250d&oe=5E16762D","undefined","",""
"https://www.facebook.com/pts.fruitypie.tw/posts/10156808317610805","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571331540","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/pts.fruitypie.tw/posts/10156836319500805","1569380400","【水果大推薦】
各位好😀
大家有遇過電梯故障被關住、地震後的外出門口卡住或是河水暴漲被困住的情況嗎？遇到這些情況，大家都怎麼想辦法呼救呢？🤔

 請大家來看看本集的節目介紹～然後準時看節目吧！
👉今天播出的集名是：「書店的大門壞掉了💥」
淇淇今天去了機器人書店，機器人店長告訴他，書店的大門壞掉了沒辦法進去，要離開前還發現琳琳出不來，然後，琳琳又說她肚子餓，淇淇只好先回去找奶奶幫忙，奶奶準備了點心給琳琳吃，淇淇帶點心給琳琳後，還在書店門外陪琳琳說話、唱歌，後來，琳琳發現淇淇在玩追蝴蝶，也吵著要玩，但因為書店大門還沒有修好，所以，機器人店長就只好拿著蝴蝶玩具陪琳琳玩囉！

 ✔書店的大門到底有沒有修好呢？
✔琳琳後來還在機器人書店嗎？
想知道完整內容，請記得鎖定今日17:30播出的精彩節目喔！

 (PS.小編覺得若是在不可抗的因素下被困住，雖然，會有些害怕、茫然，但冷靜下來思考，就會找到辦法解決喔！)

 ---------------------------------------------------

 😍【水果冰淇淋--愛心禮物抽抽樂--9/1～9/30！】
送愛心、抽禮物，請大家快來參加喔！
📌活動詳情：https://s.yam.com/utvWA

 ---------------------------------------------------

 👍水果E學園：http://www.fruitypei.tw/
📌水果冰淇淋YouTube頻道：https://goo.gl/BajVSf
📣公視網路直播：https://www.youtube.com/user/ptslivestream
📋公視節目表：http://web.pts.org.tw/php/programX/main.php
✏公視+線上影音平台：https://www.ptsplus.tv/

 #水果冰淇淋 #書店的大門壞掉了","1571331540","/pts.fruitypie.tw/photos/a.10150281841050805/10156836318025805/?type=3&eid=ARB8CTyG6P20c3LADKlTSJa1GnrzL7o3-hL-muITxTQ3GC0PQgu9tu76BObzCVdrZlHI3gYyRUuhiZOW&__xts__%5B0%5D=68.ARCqI9A8Ewuq-paoKOGNk5UTkOwr4HLpVUP3jA2waBZXgMEDmDTdrKPn9jGCpf0UPlMZ38OsDbdszDToiIksghHesHbnWUGDvrFvkmxPR4Pz6KwQxrClB-8olukEP1ouCIX2i-cx3NQTzOoH1pBB4wRbz4klEP6FLdQUn0uXcb2eS4lViDTbEGA82i8KkMJYy2v5WEeFQzAOdkcF_KJkeWS-gAhrpy-GQpUrAcD9WhhXWIYxfzl0SfItKYmCi2IvNv1yyP346zCNT4Xjb-izQaSXQOf6gbqIl2wZRba2pOl12MKbxPbbGE82WvXmRz9ENnRwGxvBY3weIBQaPRNU&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s526x296/71847639_10156836318035805_4926507567900786688_n.jpg?_nc_cat=103&_nc_oc=AQnKwTJJs9y8PAJfSVj0bLATaVxn0ibEHDxE3uGYWzHhIx_Izuc1NmDBp6kUdgc8-8I&_nc_ht=scontent-sin2-2.xx&oh=ff6ef0bc9695b7223bd35e7b8a0ccafe&oe=5E17D731","undefined","",""
