url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/pbsofficialguest/posts/1130564157146505","1570768201","【警廣大來賓- 臺灣古典樂教父 #李哲藝】

 古典也要趕流行！
你聽過用古典樂詮釋臺灣傳統歌謠嗎?
李哲藝老師辦到了🎉🎉🎉他讓全世界聽見臺灣最美的音樂
而且本週六的節目來賓是警廣大家長-宣介慈臺長喔!
雙十連假精彩可期，記得準時收聽節目哦！📻
One Song 灣聲樂團李哲藝音樂簿
==
節目：《警廣音樂廳─臺灣的聲音》
主持人：李哲藝
播出時段:每週六晚上20:00~22:00

 🎧警廣各地區收聽頻率：
FM 94.3 臺北分臺、FM 94.5 臺中分臺、FM 93.1 高雄分臺、FM101.3 宜蘭分臺、FM 94.3 花蓮分臺、FM 94.3 臺東分臺
AM1512 新竹分臺、AM1314 臺南分臺

 🏆網路收聽：http://www.pbs.gov.tw/live/tps.html
==
警廣YouTube ➡ https://youtu.be/Rna-YK0txFQ
警廣IG【lovepbs104.9】➡https://reurl.cc/zyr14V
#警廣大來賓 #穎編覺得好驚豔","1571464881","/watch/?ref=external&v=390871598516299&__xts__%5B0%5D=68.ARAncG2fwya3pnM8i_M2sWCQNwY8eqFnWE1k6UXogTBBMAvcybyD2AoAsN82K9TCJe2Zr_uYJBWhEuBZmKPMIFwEV4Nucw3ya-rp05BwYIrMskZa7O2pK3c-2nLSdWb7fyKJgjTzo-EcnEPbs7OF39L8gMtd1EEE7Vk0ILVB2jy0leEAyp1IU4V1ELRSMQDrijBFb6CFot8-FjRzuRVxr-pI0s13oAdodHALZ0UPeHy9G-DETAQu7yCSfJ8S2EIc7WAL_mCGnzNNCwm1vJvnqOtuSBvgxCjg_XgjYz36YYYPoFCzYJfXv-nS7vm5RuCBBGD2HztTTSXmmk2amf17X5zW0RX8MU_lhpM&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/70503870_390881585181967_4601415325693509632_n.jpg?_nc_cat=108&_nc_oc=AQkCo5i8o6ZHm6GySBzSE5r1Xu-h--m-H-DkeZJelCtQBOXcL6X9cKgGCacCIgvFKvQ&_nc_ht=scontent-sin2-2.xx&oh=de5c43eb3af40aac7aa83908657fb7c2&oe=5E2630EF","undefined","【警廣大來賓- 臺灣古典樂教父 #李哲藝】","Posted by Pbs警廣會客室"
"https://www.facebook.com/pbsofficialguest/posts/1134069486795972","1571128200","人人齊心反毒 家家安居幸福 

 #偵三隊 來找士玶聊天～ 
今天的貴賓:副局長廖訓誠、偵三大隊大隊長蕭瑞豪、偵三大隊隊長陳培德來到警廣。

 #下班有事嗎 開麥囉 🎙一路聊到5點半","1571464882","/pbsofficialguest/photos/a.377543475781914/1134069453462642/?type=3&eid=ARBTYKwyPtYR95nA9GuKyrw1QOLjE3QzK0nKjYcnt77HT1FuxAxkpgm3BQjlXwf4OJ21MmvtDpJwwV7u&__xts__%5B0%5D=68.ARA7nc_zMJt4Y5rafyi1A1FJ7yHBpH88D6sRDXM0e6-wejYussM3bl9htLYJ8R47Q1tcHYEjlcitA34jwZ9eVCYNgiQGk9l-rPbeY43nTAT3apZ0Fqvtr9p4Cf_kF5qbcOKuBYTPiBrcs37OPuZ97qDB8KEN5WNVXPki8IsUanS-IBZQU8F9HVhRKkSyvVgPl0favin9dUW3fVleOidDhX4rHD6YSwCiE1dLsrEOR4UyLCcFH-wxdc9fpWAxCJip1NQsOg0E0mYnS-_z4cnXRdKTm7-mjWlqT6B81rHMp3XnozfZRo3S8wHFTJjsDDDervN0gv4vz0MR8v-dD5DD938dww&__tn__=EHH-R","https://scontent-gmp1-1.xx.fbcdn.net/v/t1.0-0/s526x296/72460815_1134069460129308_145301208934907904_n.jpg?_nc_cat=102&_nc_oc=AQkq95IwsHKtJdwT0OzBk3S-N8WFNcVGcyzaSgPQNmO-6R-Th_t3yKLgmDqx8xtDOZ0&_nc_ht=scontent-gmp1-1.xx&oh=a8421a93ec65f54b052c37842865288a&oe=5E28FDC4","undefined","",""
"https://www.facebook.com/pbsofficialguest/posts/1125245154345072","1570591800","🇹🇼 10/10 國慶焰火在屏東 🇹🇼

 今年國慶焰火結合NTSO 國立臺灣交響樂團現場演奏，絕對是有別以往的視覺與聽覺饗宴，不能錯過🎆🎇🎆

 
10/10國慶日當天，自中午12時起~民眾散場(預計至夜間24時)「屏東河濱公園」周邊道路將進行交通管制(部分路段於當日上午6時起管制)，屏縣府提醒民眾，管制區內除規劃做為停車空間之路段外，皆禁止臨時停車。
交管資訊看這▶https://www.20191010.pthg.gov.tw/control

 往活動會場接駁服務，將於10/10下午14:30起，於 #台鐵屏東站 及 #6處臨時停車場 起跑 ❤特別提醒~ #六塊厝車站不提供接駁📣📣📣

 
另活動會場規劃南、北2大轉運站，不同轉運站規劃不同路線接駁，並設置不同顏色的「空飄氣球」，民眾搭乘接駁車時會拿到「貼紙」，只要記得哪裡下車就從哪裡上車、貼紙「顏色」就是轉運站氣球顏色，貼紙上「編號」就是停車場編號，回程時就不怕上錯車囉
😉
接駁資訊▶https://bit.ly/2m8tLDn

 📻https://www.pbs.gov.tw/cht/index.php…

 Pbs警廣會客室 警廣高雄分臺 中華民國 讚國慶","1571464882","/pbsofficialguest/photos/a.377548622448066/1125243137678607/?type=3&eid=ARCNO-L5VoaANI7-UaQ_K2AabV6WWWwBpvimJNy-pkUbFtAszJv0Nra4EcHaWo3tVYJDapPSWpjBuBGe&__xts__%5B0%5D=68.ARCCzqwfgWh3e1WRjNT_yOO_R7AlOago8TUZqtQsecgXuZvl43fOiJjanP4fHBRAQbZVWYX626Tt_B3DezhD9gMKrty07qMAAehXi4rwmdpSPXYTVVC1ax8M_-1mlcJHw_naOyox2ySnMcgdO0d8kqm_6U9_JWsY5aZKdMej02iUYptCRfzOKpmRbt0Zmj08UEfmYCJj5Qb-CM0eyIBNm5zgeFwA03G-nPZebYp3qtF0wJxS4Q-qVNcH5VYjANWmbUS-cFQQoxiTjysro5oucT5Ieb5J96R8VIunrHouxECfAqlFg3VSz02dmCfmcSbY4J39hUzJ46WedJss-uUUytLw-g&__tn__=EEHH-R","https://scontent-frx5-1.xx.fbcdn.net/v/t1.0-9/s720x720/71799025_1125243144345273_1575341455247933440_o.png?_nc_cat=103&_nc_oc=AQncIzE0bXFtIixzolePiawBEzWtxeh9-TUwMmCoTy755zoDDR0Tw6GMEsPpnXJZK7Y&_nc_ht=scontent-frx5-1.xx&oh=11f35fab8979ad367bf116f7cf6ff0bb&oe=5E20EE28","undefined","",""
"https://www.facebook.com/pbsofficialguest/posts/1057163451153243","1561629601","【🎊驚喜慶生🎉】
警廣大來賓單元~~首次""驚嚇""來賓🤩全都拍下珍貴畫面🎥

 6/14剛好是 高爾宣 OSN生日，當天他第一站就是""警廣""，大好機會怎麼能放過哩😍我們來猜猜他會許什麼願望呢？
饒舌X 警廣 X 慶生~~慶生大成功🎂

 他推出個人專輯《#OSNRAP》來到警廣分享嘍！
---------------------------------------------------------------------------------------------
歡迎訂閱youtube頻道▶ https://youtu.be/cLqwRQhIJ1o

 高爾宣 OSN 後援會
SKRpresents 陶山音樂
#高爾宣 #OSN #OSNRAP","1571464882","/watch/?ref=external&v=357416044920831&__xts__%5B0%5D=68.ARCU4Y-rYKuBQPEP2ylEpT9hkoAdQuXWcgByjJ9w3PJWsTTh_vv8yTgAVFhDpnwmEuVoKkcibAUE9u5uiNZSar8EcHNDrLGr3uDj5TdKtxkM9wtiGwUHjXfyZ8KpYgQDuygNZwCUAupYgNqP6LKscZk6AnPoAn-TTOYTThQSBiYgVPifA9VF0_vqnnB0T1Tm6qvpunnZ3vANxu6QBg0eySPOssJD9IobuYUBLMkqzMPlOFgw6488fWJmA9t9ILlFDFX6V6AyeSRClVJYzTQ4ZR7oVoRk7qWf0WUuQGaaHA2pP9cnryl32cMp0JfGUtqQeZEHRQMdNXf03daoXxfwwNb_eSrwghJWoAKWbA&__tn__=kFFHHH-R","https://scontent.fsgn5-5.fna.fbcdn.net/v/t15.5256-10/65617974_357429274919508_8064185390438809600_n.jpg?_nc_cat=100&_nc_oc=AQk5dgQN1lYa8iDWu8QHMbhS5TlKEL7DEZ_9nBCd1gSsYvsLpzp_jxtlyAAjeqvLejA&_nc_ht=scontent.fsgn5-5.fna&oh=7f4fb658cb0563b891e8d11595f899c4&oe=5E644053","undefined","【警廣大來賓 - 饒舌新秀 高爾宣OSN】","Người đăng: Pbs警廣會客室"
"https://www.facebook.com/pbsofficialguest/posts/1047424328793822","1560476052","【🔊好康報你知】

 警廣捐血活動 目前 此刻 現在 開跑囉🚑️

 📌時間：6/14（五）早上9點到下午4點
📌地點：警廣大樓前(臺北市廣州街17號)

 不論你最近是熱血、嘔心瀝血，還是錢包失血💸
💉都歡迎捲起袖子來捐血～一起為血庫注入新血

 警廣準備了實用好禮送給您🥳🥳🥳

 有假日精美好用的野餐墊❤️
把碗洗得亮晶晶的洗碗精❤️
輕鬆喝杯下午茶的泡茶組❤️
什麼都能洗好洗滿的肥皂❤️

 風雨無阻就是要捐血 我們在警廣等您喔🎉

 .
﹝特別感謝﹞
台灣中油股份有限公司臺北營業處
行政院環境保護署資源回收管理基金管理會
財團法人交通事故特別補償基金
贊助這麼多好禮💕","1571464883","/watch/pbsofficialguest/?__xts__%5B0%5D=68.ARBWwVkZmTfps6OU2oTpYJhLio36BdXkAaDscwQfm7f8rSJRoq8ifjN3wf_HwGxPN8vmm0LAm1H81jvXe59UKCRPTkLwPHXVzVyQtP8T-wMFHFpNgSZombYhQmhxS6uZDhNXSpYTa1JlFSev_mo8tuYI5Pnee8I3nM11UUWkSPoblqSGjBOS-pTGj4GFfu-pWnZy8HzyKOEaRd6Ie4VAcujfVVp4xAHUiKIKPdKtCNX26b5S8Z6x7ByJ2PK7zLoz3clFdWQJoIvXXVFeFDKACzC8dysyMdUOJR5cfVtFOWO9Gtjyg53AScVaPHFDcwt0r6q99EantqtYLWCRqdPOo_UE_pvMpWaf_EQ-V7eeZvwwoWjPtMqd6XeeKnKq6SY_a3nrxBO1fK32QcMwoiwIfRubMAIrzZp1yWnlhd6NzCXIQAb3dgwQ7y3teAo&__tn__=kFFHHH-R","https://scontent.fhan2-2.fna.fbcdn.net/v/t15.5256-10/62500096_2409182459103195_8821540093551443968_n.jpg?_nc_cat=105&_nc_oc=AQkbk-6VWTUfIf59wjyAkkYBc4Axtr_7fvkHADxnPFt8ELT1rvQ4YBeaFlhJDXTISYQ&_nc_ht=scontent.fhan2-2.fna&oh=e7ee7a6d3d6fce0f23a9a58e042effcc&oe=5E60A417","undefined","Pbs警廣會客室","311 Views"
"https://www.facebook.com/pbsofficialguest/posts/1088021568067431","1565683084","Oh my god 這麼漂釀～
是水水 #紫君（葡萄姑娘）
帶著新專輯《歐麥尬》來到警廣
跟士玶一起聊聊囉
紫君加油粉絲團
#下班有事嗎","1571464883","/pbsofficialguest/photos/a.377543475781914/1088021534734101/?type=3&eid=ARCNGUfnm8m16Uah0xPNimSVPb97Z-n7bmTWOK9WHWNDvAx-MfQXt-38scJl5x1hqH5csI7Kz67WoNeo&__xts__%5B0%5D=68.ARDzg-OYw1yIYbg3iyo4GWyEE31aai5dAXgEaC08gtBK4Dr_W99gCM0BIk5jIczywDeQHm4o43Ob__Bv9suj83M1io7W2eyLUjv7dBvx2FDZw_q2sqhU7W-Vny4p-OgndTIrp-iWRJ51rcmZV068JZr5KWaAaRSAoWwlJFmrKEO7E4dl7yS_x-h1GWy5_BGe1MdyyORfgfs_07kiQ269WQokzmvbgER4BOyihooyYYEnrxMoobS2FflihoJJGQv3oYDgBee94U5s8CYRY3cU188L7zSKN08RYyey8IhM9vtjfkJJoPPtJSkmor-W_R7lKDUWTl0kfZ17KYbD8Vf8_F6oug&__tn__=EEHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p526x296/68823490_1088021538067434_4079980672184221696_o.jpg?_nc_cat=102&_nc_oc=AQlZMwRl1K8GVoYRdOoWHvQtw3xF41_Ia8GU-u8wZ09HkKSaeLC1Chh-v1Uv8UH3I6A&_nc_ht=scontent-sin2-1.xx&oh=a63275bf1643f7c81306f96650f1cb90&oe=5E1D4723","undefined","",""
"https://www.facebook.com/pbsofficialguest/posts/1129317410604513","1570628668","【🏆54金鐘就在警廣-企劃編撰獎】

 📣恭喜《告白》團隊榮獲「企劃編撰獎」
連假第一天穎編就準備告白成功的影片
願大家在人生道路中能按著自己企劃走
順利邁向康莊大道
【告白入圍感言】https://reurl.cc/e5E4Rj
==
【告白團隊】
內克來了 艾咪沒邏輯DJ Xavier 賽維爾 #徐瑋謙
告白IG【telsnake】 https://reurl.cc/8l2Geb
==
警廣YouTube ➡ https://youtu.be/Bxbbc5HwpV0
警廣IG【lovepbs104.9】➡https://reurl.cc/VaRXVQ","1571464883","/watch/?ref=external&v=911512969210940&__xts__%5B0%5D=68.ARDic_q1tCpf7L9bJYOfJuN4wEJYguGJ8qyY-Puf9o0LezORVJHvsBrj26t_ZF407xK5dFjv5oGVNWU2nJ3P1cZaioiO6mvgKHcLd5WRDq4mdGIhXUBdMA8BRlkzTm0Sbq_8LGzAvlGBNVUL4JZpX4Pv64NF9dprCkKlyCuwXlmcvsTM9W5x0cmCPZVTWCXalbxFKOQIdufY_oznlWEpqHm5BteBsfa4vKDAI9r0Fnis5KraBxXfMwP7he-iOgvdZB0nWYaG8Bmvp56mU_kXhS-BMwQivGxWFnDWfQ55yVwVHeopgQl8GY9Yw0joMh4SNSEbtwrgb428XRqFjY-CwGTFJiPY6wXj5jVjuQ&__tn__=kFFHHH-R","https://scontent-lht6-1.xx.fbcdn.net/v/t15.5256-10/69855514_911515179210719_7258412756494188544_n.jpg?_nc_cat=105&_nc_oc=AQnTBHGBqAP7FXYvrBzP6kj7KZe6i3cfeogE5QM07rQlkGzNI8vdZ5N9F13RLuNRSnA&_nc_ht=scontent-lht6-1.xx&oh=710aae05a8dcabc2c06ec6b759160184&oe=5E234EB7","undefined","【🏆54金鐘就在警廣-企劃編撰獎】","Posted by Pbs警廣會客室"
"https://www.facebook.com/pbsofficialguest/posts/1125840707618850","1570259735","【警廣大來賓 – 金鐘綜藝王 #澎恰恰】

 阿嬤~~我看見澎恰恰耶！！

 今天穎編帶著阿嬤來到警廣
走過~路過~不要錯過哦
大家的好厝邊澎哥接受《警廣大來賓》專訪
相信可以增進長輩、長官、朋友之間的話題
澎哥除了是金鐘獎常勝軍之外，還有好多才華：「主持人、演員、歌手、導演、編劇、監製、配音員、詞曲創作」，他到底還有什麼不會的呢？？？ 
他具備那麼多身份，我們快來聽他怎麼辦到的。

 One Song 灣聲樂團 李哲藝音樂簿 澎恰恰的大鼻峒
#補班日報好康
#穎編已經設定鬧鐘準時收聽
#永不退休
#創造無限
==
108年10月05日 李哲藝 X 澎恰恰 
【警廣音樂廳─臺灣的聲音】
每週六20:00-22:00 與您相見
==
警廣YouTube ➡ https://youtu.be/JefQdP8_wrI 
警廣IG【lovepbs104.9】➡https://reurl.cc/qD5lrq","1571464883","/watch/?ref=external&v=3151840674887165&__xts__%5B0%5D=68.ARBzF1Z4nYtiynTW28OxBukA8eDAiR88b9dkm1bryx1u6QqatwJMDyJeVwnzH45wfDlvuBWo5mtnDjSISCwXrcGqcL1R10MGvEywKlAGA7V7wJLZ4_7CTPD3oFukywjBDsr8MWb_OoxAfUrnlhJ6SqZAy_YpcqsdQE-jIuwplZQ5kDFzIuPdjAIBJKFfGQ8JOd3ie0Z6mfwfm6d4KPdISbEfhyYLp_THY3Wov6V8XJlOCkSWEB0aeOvNevfyu_S5pe866RagTARd-3Z5XWR9PSgzHOhJGZ6r38od4N9EMcEOrgVxlr-smnrDo3NZoo25zLITu6ujdOoq7DnoO5PBsKSZJn68RHUmPZs&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/69747641_3151854408219125_1483287910819037184_n.jpg?_nc_cat=108&_nc_oc=AQllBhut5Nukkfb8hsog-9gCOPvq2RPUSayAzqtOwn08FoM-D_xplJfiskW4UAp0X6I&_nc_ht=scontent-sin2-2.xx&oh=f6a24d3b2e7690f277d5bc8e6e8e8ee6&oe=5E5DD256","undefined","【警廣大來賓 – 金鐘綜藝王 #澎恰恰】","Posted by Pbs警廣會客室"
"https://www.facebook.com/pbsofficialguest/posts/1051091258427129","1560931694","👏🏻F.I.R來了～
睽違6年
帶著💿新專輯《末日青春·補完計劃》來到警廣
重新組隊之後再出發的他們
今天跟大家來分享更多音樂囉
#下班有事嗎 開麥囉🎙
F.I.R. 飛兒樂團","1571464884","/pbsofficialguest/photos/a.377543475781914/1051091225093799/?type=3&eid=ARB6t6gAon0aGXhZor1LJ0lYhxX3REsjvx1aHDsLbElxm7haqAggVwzMIyi-5PycZUh57Rec7haDuK_U&__xts__%5B0%5D=68.ARC7QsjHmMMN9Qo8PvoU5jCPVJtC8pdxFPb8FJ_OxyOVZFHfNcj7CUjrvMrkolTc5zixKFpjx00yog30lZz1eYJ9qJpSWbp7DBZEvpBQJimuX46QvmBE252Vv9olcK0zuVcME1Em5qTJnU_ikFUrm4VHDQXZu1wfHgNfAx9Cu1sGPA17vpCkfbqrUZTspah09IoV9GjpjnfMFPOuikoK0mNMBAP2f8H5NKhuCjzWeaxkjSerDmWMoGAKIiK_6PGY5kLvVwUaQRhFrA4vumhCYJKzbCvL52cE0rvrZWd5aN5uMH3ozwnAbMOXDS1BoDcdyqSB0fmYpGA-F5CJBtO37MNOHQ&__tn__=EEHH-R","https://scontent-gmp1-1.xx.fbcdn.net/v/t1.0-0/p526x296/64412692_1051091231760465_6250152579414622208_o.jpg?_nc_cat=108&_nc_oc=AQkUJ2DDI_gylaJEG493eH7gd1XSYiL7R9zonhuueLMvdG-lq34hwDUVF6PQjHo_VIc&_nc_ht=scontent-gmp1-1.xx&oh=887e89b6757c473484065fa36b1f57e1&oe=5E1A3F54","undefined","",""
"https://www.facebook.com/pbsofficialguest/posts/1108514972684757","1568291400","【 點亮十三層-點燈儀式 】

 活動日期：108年9月13日(五/中秋節)
活動地點：水湳洞選煉廠
活動時間：▶19:00~19:30點亮十三層儀式
▶19:30~20:40優人神鼓《光明海島》演出

 📢 參加13層遺址點燈儀式的捧友請注意 ⚠
1⃣ 水湳洞停車場活動當日(9/13)全天禁止停車⛔
2⃣ 9月13日17:00~21:30水湳洞停車場周邊道路【北34線(台2線-茹川橋)】，將進行交通管制👮
3⃣ #國立海洋科技博物館、#瑞芳火車站、#瑞芳9號停車場 將提供 #免費接駁車 直達活動會場🚌🚐

 📻~ https://www.pbs.gov.tw/cht/index.php…

 #點亮13層 #交通管制資訊 #免費接駁資訊 
#收聽警廣掌握方向 #警廣臺北943報你知 

 Pbs警廣會客室 警廣臺北94.3 新北交通族
中華文化總會 電力粉絲團(台灣電力公司)","1571464884","/pbsofficialguest/photos/pcb.1108514972684757/1108514592684795/?type=3&__tn__=HH-R&eid=ARBEgbo_ajQzPQi2XLAGgAraEzTmjrPPuKM1lTNULrud8PjlX9dA7gbbWbgdVZCHXqnScpOH1Ft3i_h-&__xts__%5B0%5D=68.ARBnIwIp2acUrWdI9nniO1XsXjg_NgP9OlF4LpWAiz0rLJwOG32Gcmp--5BH08UwvYK5EpfTatIstalN4sYT3wTw5VTl1F6-pw66Q5k6frU-9eMCxEci-A_ZYrM4Pby05UJiLzTe2GjJQKA9B3Qf6i-KwB6GIN3gSxo3BSjgVLMqxCBnz_1Pqdk1oJYNGkr0BA-8WAjOoQG5Qzyzy6Ys8lXZ0APpC-RP1dN79Aoiff9QTuidHxiAOSPVGoXoN7l5Pz9mwYExkHMxZ-ZGw7lbnVSUNl_kejekFqqVE66ZSNX0r_WzIMbdBgwdzYlt1_8Dqf-DwFXh4hSMvAJZ7ie8FbbP0w","https://scontent.fbkk6-1.fna.fbcdn.net/v/t1.0-0/p235x350/69798652_1108514596018128_46609268564033536_n.jpg?_nc_cat=108&_nc_oc=AQkrKdNNg6VRh7c8coCfgDq5MkPi8knEf_-7ZL_h5ri0dObeE3vj4IRSt9PZNWwdsDo&_nc_ht=scontent.fbkk6-1.fna&oh=322cc2fc7ea8c1e0f60bf0d8c7937c0f&oe=5E5C9845","undefined","",""
