url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/lamsamyick.tw/posts/2409317332451219","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579165828,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/lamsamyick.tw/posts/2389776757738610","1569060369","抽抽樂～
#林三益美容展好好買

— at 世貿一館 / 台北世界貿易中心.","1571480077","https://www.facebook.com/photo.php?fbid=2381538438609149&set=p.2381538438609149&type=3&eid=ARBPuldXOFdWMf8UiFSdTcI9ORqZKXj-1ZxVB3Cehf775kd1BRzx5DhRHbMrwRyQjPg6JpWmBAljh_ob&__xts__%5B0%5D=68.ARAEVXiTgQ3WqSE9DgOywaPVfz1ZNR_f2QvWVEmYgSJ7MYMvkmaLBX94SI3FV-Z1J2U7ALBba-B5-K740oZqFmxXfDqgwRNJDe2o6e8Be1ygIBGLenpc253FZqWVlWHXLhtFTbnl_IUKg5kFiJSGw6fowbQ6y0LJ7ASKSSTeLwVoVc-iLuV6bAcQrD3mq4zwEeRCvB21xNfeEr_xxm4ewRJ3cRPZgYaVJ5SM3yY7SCgrOxXHB-gmd64Z8JouRHH9_-vh&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71061515_2381538441942482_8244516155071397888_n.jpg?_nc_cat=100&_nc_oc=AQnhOuNRwU4PG00WTV-Llwr64LZxGIqF3PtPIfB-MZOjrVM45O6Q01IUjlMNisTozto&_nc_ht=scontent-sin2-2.xx&oh=65113a858298302b4c4bb4262898b039&oe=5E2D4615","undefined","",""
"https://www.facebook.com/lamsamyick.tw/posts/2389357831113836","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579165818,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/lamsamyick.tw/posts/2423982027651416","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579165829,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/lamsamyick.tw/posts/2437959472920338","1571319600","#第二彈週年慶開戰拉🎊
#新光三越信義A11館B1樓

 就是今天！！！
史上最狂週年慶你準備好了嗎❓
🔥單筆訂單滿3500現折400
🔥指定刷具專區任選4件(含)以上68折
🔥信義新天地跨四店累計滿仟送百😍
一年就只有一次！
全家大小一起大手拉小手買起來👨‍👩‍👧‍👦

 ㊙加碼活動
林三益即將在信義A11專櫃，給你們 全新創舉貼心服務
「駐店彩妝師，彩妝教室上課拉🎉」
周慶期間A11櫃上指定時段，邀請你們來一對一學習彩妝
協助大家挑選商品與學習彩妝知識。
時段:11/13，11/20，11/27 每天下午2點-4點 

 ＊詳細資訊請洽百貨櫃點
趕緊加LINE好友獲得第一手最新消息，搶先報名！
-

 [最新優惠資訊，就在官方LINE]
www.lsy031.com/l.php?1d0yec

 [隨時抽好禮，官方IG🔎lsy_tw]
www.lsy031.com/l.php?1d0yed",1579165832,"/lamsamyick.tw/photos/pcb.2437959472920338/2437944776255141/?type=3&__tn__=HH-R&eid=ARBs6mBoTTZwxWAiK_8kWV8VS8aVNO4lqPs1zfzaW5WKve_Jkbnra-NADNvsF8bdRjbS-PP7RtIjHobm&__xts__%5B0%5D=68.ARBW0OSjKi_wzB4eEDxKWUhxThwP0x9sMJbZ2e0qHRkPwO7lxBUPsF8PFcTMZId_Hj8r4FAysPYvi559CVebb-zNZLVXjQWA4gfNEao_4dtG4IydjTjfwcCeDbRg9nb8j5ft9Ma4N4Cv6oSIKx7RV_55GV5F26UtfoxH0iQm7flMUihi-tOKhhbWLb_Ek8F5gD6auQ8xM-OUGPurNTmt4rpsG2X_0l46qw00n3DjVle99mexTjog5i_LXKcRT5ZrNTqCFzcNceBiVZwVLeKh0PFd_Smq4A1z2m78nWT-54aqjPoJf8gll-zLfvlHGfBbz8ODaMC_wE4NwgANuxhpAUHaug","https://scontent.forf1-2.fna.fbcdn.net/v/t1.0-0/p526x296/73221552_2437944782921807_2313848536195661824_o.jpg?_nc_cat=104&_nc_ohc=bQpf9zYBZO4AX9k0DSi&_nc_ht=scontent.forf1-2.fna&_nc_tp=1002&oh=b513bc4460448355711744bf5a6badff&oe=5E9F5C68",undefined,"Send Message",""
"https://www.facebook.com/lamsamyick.tw/posts/2416396218409997","1570887600","【✍筆記】 #底妝刷具組大賞出爐
🔥人氣爆表 高cp值推薦🔜www.lsy031.com/l-1j8kxd

本月刷具大賞，要來跟大家介紹的是：

#上班時尚完妝組 ⭐️一組完妝．服貼底妝
想要找一組「高cp完妝備」刷具組合
這組絕對要下手！
無論化妝新手、彩妝老手
通通都能駕輕就熟
要畫什麼妝全都辦得到！

#粉底零瑕疵組⭐️新手必備 絕不失手
必推！新手最愛的「#胖胖底妝刷」
不用技巧就能輕鬆打造薄透妝
搭配人氣排行各式大小瑕疵刷
底妝▸定妝▸遮瑕，一組完勝
０瑕疵妝感呈現，遮都不住你的美😍

#基礎完妝必備組⭐️外出攜帶，輕巧方便
出遊時最喜歡這種的短桿刷具組
重點是！裡面有萬能「#雙斜面粉底刷」
一刷多用，可以少帶多少刷具阿😂
懂得好好收納減輕行李重量
才能好好展開一場美好的輕旅行✈️
（除了基本打底刷具外，連清潔液也貼心附上了哦~）

趕緊依據你的需求動手選刷具！
👇點開圖片，看詳細刷具使用介紹👇

 -

[口碑賞｜萬人底妝刷推薦]
www.lsy031.com/l-1j6nde

[首購折$100]
www.lsy031.com/l-1j6ndc",1579165832,"/lamsamyick.tw/photos/pcb.2416396218409997/2421680954548190/?type=3&__tn__=HH-R&eid=ARCn5zVFKWvrVvMWPQTO-ihTOQtpf00WRhjoWnjkry47lysVC6hmS9BN1ZskfgJxzY2LzdjG9uFR6Ibg&__xts__%5B0%5D=68.ARAUaD_4eHp97IQLbeIgKMKEk7kKbAar4Og3AvHbBBFVzxaJjj_orbMkrC5STzk0iJB7sxViAJ4Fq8psXciRPodRv0ZRO9OMPcdtGH-7e-A8N8z6lY2CyWFh-zAgFOpb8cYrYeERmjmsKvuBoMk55meh5U00iLb0Q-YeAiIghWyMFWEJ6tuYxV15zQBzCmiWirMlF2YHXbhBIceqWIoBT9iEtaAhzLUKlSxXoMVMXalJr3m42IddGXIAPQoeaxEGPv-LBLsajS6TppmgxLDOHNq5HeyJYFbvgxr8H52bDJ9j70AUUzKJT92JHRS25h2tZwpD9Lp58a3hs68kIrz7Bf8QFQ","https://scontent.fhel4-1.fna.fbcdn.net/v/t1.0-0/p235x350/72332297_2421680964548189_7363204924814917632_o.jpg?_nc_cat=110&_nc_ohc=P3uGop7uLHEAX8Ve_c_&_nc_ht=scontent.fhel4-1.fna&_nc_tp=1002&oh=cb24d504a1df8eec48adc5ad47def3d6&oe=5E9C6945",undefined,"",""
"https://www.facebook.com/lamsamyick.tw/posts/2259040130812274","1562852400","#誠品進擊#誠品EXPO與你長伴相見
LSY精選熱賣商品
就在 EXPO 誠品生活文創平台💓

 我們精選最多人入手
以及熱銷排行榜商品：
✨斜角粉底刷/ 雙斜面粉底刷／牙刷型粉底刷
✨絕對完美旅行組
✨清潔刷全系列

 等著你們，來現場選好物
感受最直接刷毛與肌膚的零觸感🥰
會讓人沈醉不已啊！
LSY林三益常設櫃點： Where is it？
📍台北南西店／桃園統領店／林口三井店
📍誠品生活松菸店-LSY快閃店
#讓我們觸角伸向台灣各處吧
#還想我們去哪裡設櫃
#南部朋友們快集氣許願一下

 -
[最新優惠資訊，就在官方LINE]
www.lsy031.com/l.php?1d0yec

[隨時抽好禮，官方IG🔎lsy_tw]
www.lsy031.com/l.php?1d0yed","1571480078","/lamsamyick.tw/photos/pcb.2259040130812274/2259035827479371/?type=3&__tn__=HH-R&eid=ARA35MAvaJiMH67mHCGyYzAMtzpM_EHXnRtRj64kAX6GBQqlDFbPjLjRghQfX8O0FZzToiqMgKgorMvx&__xts__%5B0%5D=68.ARDCWgPbiQnjQ-lWd9uWRhGn0L_Dyo5i0Pm6KFbCq-lvIxEuakZ73n_03mmuMB7l8CvCtoHUjwr9a-41RC3p5XhnES6Dak5TLmd7NuYy6XFGABEUQYXSswUKu5cyI-BeTOnW_E6Q9HuZHTibWHc5h5H1fJz0S1kCUfZfI3KkurMHNxnqvgzgz3uPqSp6eiD6v1Nd0W7IhJi6s1koQdCSR1FYQaQMNGaPU2SLwEpCFtRoOu9zascyUUimldPONh8Fk_uYcrIUhw4koW94J-TyxNZ6pD0VQeA5oiFEYNAF-1aDn6M5o6fdU4zk5dsisq4VXuHiTXP7trIjTWKv3JSqY8yRhA","https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-0/s261x260/66175755_2259035830812704_6177458612957347840_n.jpg?_nc_cat=104&_nc_oc=AQmZW8jkiQaujiG6KSU8frzNPji1HrGP4tSNRq_5PIVjjsrN_awjlyVjF3tlfug93I4&_nc_ht=scontent-amt2-1.xx&oh=4ca130f50211ba209c3ad824d53bf8c2&oe=5E254087","undefined","",""
"https://www.facebook.com/lamsamyick.tw/posts/2416421031740849","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579165828,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/lamsamyick.tw/posts/2174802519236036","1559137200","單顆眼影單支刷具
眼妝也可以美美的！
怎麼畫👉www.lsy031.com/l-1if6r8

大家知道新手眼妝的誤區有哪些？
其中最典型的就是眼/妝/太/髒

初期可以先選擇粉粉安全色
搭配偏扁狀的暈染刷
刷具尺寸不要過大唷！
若拿捏不好眼影範圍容易失手😂

刷毛有層次的更好
類似 #531 這種❤

💡附上單色眼影教學步驟
❶從眼尾往內刷上杏桃色，與膚色產生自然漸層
❷在接近睫毛根部來回刷色，增添垂直漸層
❸最後利用餘粉，輕掃下眼皮後3分之2，讓上下眼皮更協調

大家學起來了嗎？
-
[眼妝｜為初夏注入一抹溫柔]
www.lsy031.com/l-1ie442
[首購折$100]
www.lsy031.com/l-1ie43z","1571480078","/watch/?ref=external&v=2275729065804387&__xts__%5B0%5D=68.ARAqrKbySX1k8sc0X9y-vgbgKSKDcc2Zr5IGmxM8vsgMqKs795KpwMwkqk9zsI_6YbKpyCQBHGitu8-apBh26GvZ5BOI5yOgRsruRESCbYP-8a2Za2aMat63b-YRiLUvphUJgcoA-me3jcspfGIauuPW9OPxFJ0EHpWLpk1CAL5qKSCMkd-fCAPZGbG7FAdo2A4YwssngnnldYDKsFCdQxw6vE08VRIUYSLqEd0iZA_IfJvN6gnx-k8emTSEedRoQNhGeKOP2FbU33QnO5gR3g6Yh07D6YdIOoP6qwOB5UYqfTB4uQeXJtSwXqFbuoTyWS_05dsR2IgV1gmFZ0FPYvRxD4XWxr_bQh4&__tn__=kFFHHH-R","https://scontent-lga3-1.xx.fbcdn.net/v/t15.5256-10/60027643_2275739745803319_5663603554523283456_n.jpg?_nc_cat=110&_nc_oc=AQkpZU_VTzbJltAHTi2_g3i4NBcq8jUwOxf1cIjABsGgIhpCyjQBKI9aeb00GHYXDK8&_nc_ht=scontent-lga3-1.xx&oh=85ac683d320dea75bd2c41bbfbe50679&oe=5E2BD18E","undefined","新手眼妝教學｜用單顆眼影＆一支刷具畫眼妝？！","Posted by LSY林三益"
"https://www.facebook.com/lamsamyick.tw/posts/2293345317381755","1564667403","#你們知道圖片是哪一組嗎？
#知道的朋友請留言👇🏻 👇🏻 👇🏻 
💡答案小提示 ｜我的隨身外出組｜➟www.lsy031.com/l-1itzom 

 來到了7.8月的夏日旅遊旺季☀
不想…
旅遊時攜帶超大包化妝包

 不想…
花腦筋思考該帶哪些刷具出門

 更不想…
１支１支刷具去研究該用在哪

 🌸？？？？？🌸
１組共5支刷具內含
🏆粉底刷銷售王「雙斜面粉底刷」
一支搞定底妝、修容👌

 「蜜粉修飾刷」漸層的筆柱型設計， 
上蜜粉或腮紅抓粉勻稱，想要妝感薄透自然 
都靠它😏

 另3支打造百變眼妝
「眼影刷、眼線刷」好實用！

 短桿設計又輕巧，好收納
各種功能的刷具全備齊❤

 一組刷具輕鬆帶出走🚘
擺脫厚重行囊
你有更精簡裝備選擇！

 #想知道答對有沒有獎品嗎 #持續關注粉絲團
#改天在FB限時動態跟你們說
-
Photo by @maggie_maggie1120 (IG🔎)
-

 [短柄｜我的隨身外出組]
www.lsy031.com/l-1io770

 [首購折$100]
www.lsy031.com/l-1inc8f","1571480078","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.lsy031.com%2Fl-1itzom&h=AT1bbxTUiDjEmymA25zkJ4e9sUeJ__mxrOlac7urnY0xYyedxwOhxnQLqN_B-8l1UGVsyMUYs_Sdbmzs7JK0R6t09sEbWho5ZOXYYzjXrSjEucpbrggyG3dDgPQgzCVAFjaN51BvdD5KOtnDvN26I1Zazvnhzwd5DyEg2wTFGRTLeSBWhrvEcxsema14Nd3zq2PsF0PluRjc4I-IoqZ04nQe0OVqZ3TK4Picg0FkDvFtyP7VaEczG5lzG74peEytOHKmWirVdMaGWbPwj3WCuFrDngCWDJ7i5MAw-X9-YzfCYTTtwiSlNs5whhx6au5sLx5FZd90tswM-WHLgFyP3NfUgRgu0ZUCwkbQ5aDEKebj0ZvNhvwDkJIv_vj7MWyb5-o3SqHrpA7med7LX3Fln4sEStU2Fsfx_lO1cppQTuPTnrbNkTOufpRSeRSsEmbTt2mr3ks2rgxB0c3sXqhIVONxwNcYxfd14y7qLzMJP_v9lScnZujqq7wXzu5qPi7Q8tJDRIPTNWQ0wtJnrOPSEuJd2EKcL13hkA1ZFTlcqOQDVTv9hGtphBPbvElvc783rbetgmDcRkKaVEpgW4-FchnQKLu80u6PbueIP94mHnHUZTaTWwrBqqyOkp7upqhPdh6QxNIiVH5h_7b5zKDE4yWfBPSDSpZZ","https://external-frt3-1.xx.fbcdn.net/safe_image.php?d=AQDqyAUIJV05XD0C&w=600&h=600&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDE0MzU1NDA0NzAzNzE2NDc6ODE5MTM2NjMz&cfs=1&_nc_hash=AQADAVxZV_DfcKu9","undefined","【超/人/氣/限/定】⚡限時7折⚡一支平均只要$400多😍一組刷具輕鬆完妝，我的旅行輕裝備！",""
