url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/cmoneyapp/posts/2740484486032428","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571573746","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/cmoneyapp/posts/2733692386711638","1570572001","女人當自強，在經濟上一定要獨立自主，想要在35歲以後更有錢， 不妨善用「30、100、100」3個致富魔術數字，用8％滾出1200萬不是夢。

 5 萬人都在這裡，接收第一手理財資訊 >> https://maac.io/GBlR","1570955509","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F2LZiJuQ&h=AT33LrSpdVnutSPe0RCQLUFsxzyXCRk6X_eOnJr_koEJEZTlpZXLQjw_amd0M1LqjFk3sHj41xzdZleH23ik99DitDI1IhoJM6SAin-3_59ByIptV2oyWiNxvxs1iSxMjUbQxoKFNb52jJnyB9kBsNLszKcnD-S8zEsl8uxX1HvtQ_ECuYvzrd6FWuienMnEDQmbRzaO7XS9ChyAiBhdgtFLOdQ5OdSib7ymgLGoWQ2YUS3LL4aqitM8PxbRS-hlFTlfSw4IGX4c2SnVUT5JVHeGxCkpaOvEW-B8C9zV4r6uRFRZwviUB4KV-F0AmGY5lhZgYK72PHnUTxKcjF_bzFpvC-MxRCq213Kj9kJYmn9DipX4x2rfFvxTtm4KcplcxmV_8sHbS377nhI7pTNzkLEZjTP5O7UbmIiEqUpNHsJQN7zRoEDg0jd6cLeNmY1WcuiklR4o09AF0A2ikz--soyqq2-xUjwBG_KqRjldrPMFI_XAXrN97GhVv0iPcwFA8TDFi7pk5Ypp71IVnFltoYmBpQp4yPZ91RYQOM96u-Xcrwdvv_JCYuUa7JpQ8q7y-3Ws_2qXq_an28L0xYNaNSsfW8tr5TrbtTDyOD3krHi8CV1erF9E9yVea2SQMUcW-xN8eihzHJp_Pqql","https://external.fhan2-1.fna.fbcdn.net/safe_image.php?d=AQD2VuJ2wqqMer-y&w=540&h=282&url=https%3A%2F%2Fwww.moneynet.com.tw%2Fuploads%2F2019%2F07%2F07291140.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDOXSRvuzcRQ4lF","Trong hình ảnh có thể có: một hoặc nhiều người, đại dương, bầu trời, ngoài trời, thiên nhiên và nước","陸女醫為愛來台卻一無所有！專家：做好這三個致富數字 35歲後用8％滾出1200萬 - Money錢雜誌","根據新聞報導來自中國大陸眼耳鼻咽喉科黃姓女醫生，多年前為愛遠嫁來台，與全姓男子婚後育有兩子；由於黃女在台灣無法行醫，只能從事月入2萬元的居家照顧服務的"
"https://www.facebook.com/cmoneyapp/posts/2730812910332919","1570932000","4年來，我從股市中的敗將，蛻變成今日累積 700萬股票資產的小確幸一族，只因為悟通了一個道理，且聽我慢慢道來。","1571573737","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.cmoney.tw%2Ffollow%2Fchannel%2Farticle-71562946&h=AT0_TnHwcQi19nf7CYtHnscMMnQy1naxSZHviYziuMJkPiNtXj0E7XQpHVDcWBONIrppFEBEEtsm8heDRLgiWtWxK-l1tVnVyikCiZ8mjdCfuWXe9BkSvMoS5fkkZRCz49Hv4r0WeolY27vZN1gqba9Nt-0jrDn4YmwDzf_mpiol-IUHq_IGLaeMmOtcY3o_a_y1w2VFOlZ4zu9vdZ5RK8fotXarSyJdF8hP0T0sIU8wtALmTNXqtPPqoZApqUwS2kDgvpGlKYvinWYAqysrPsdBEq1X5BYJRJW94GVmFD2pBg7jG5woToPok9N3s_jHpEOl3wj7LsmPbLouDRfxnUgVA0TquTaJvAqCNaKLGyZy26ZtAdGew2yIo0I9SxzSSEEUc2aJrBK5xEvJH4DL4HK24b9YXswwyshwqEL-pQYKdW3tSgaF8PWhmn7O7NaqyKbRLlmWL_2BFHt7pWfpvEbZkA48hNE5S58kpIw8qHZHbYF2HYwgalIc-R559ByBXz3nW77E_3EhexSdhTBpsfXJBEqKKPym72IxHk_tEIug8u0KQy1wP7n8GosX3tVdlJViRv8FKTWVDvzJNbKeFAMKSvxhUAD9al8FJPiInnvi8-8agXZV_ttVu-Cmm3e90U8pBnxnMqILEi2S","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQC9gkDJeFePqjz4&w=540&h=282&url=https%3A%2F%2Fiwealth.bwnet.com.tw%2FAC_Gallery%2F2019%2F10%2Fd862362a-6396-17d7-a4a6-da0a5cc9bd16.jpg%3F20191007965785&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDeUSdGA70Pucjo","No photo description available.","4年存300張金融股，數學系碩士自創「存股SOP」，報酬率比定存高13倍！","商周財富網 - 最新開放文章 在 日月光(2311) 的討論，趕緊來看看吧!"
"https://www.facebook.com/cmoneyapp/posts/2741309542616589","1570903201","實支實付大家都知道，但是...

 你知道「醫療實支」與「意外實支」差在哪嗎？

 理賠差很大！這幾點一定要搞清楚！

 5 萬人都在這裡，接收第一手理財資訊 >> https://maac.io/GBlR","1571573732","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F35qqwJQ&h=AT0ZLbzvjsgp1xYzfh25E31cdqpjjiwVFbi9mF9bbsL--SDq-56AwlCP22xnigk2w85vjUcptRFQDLnlquNTC0tJkBzxBq8YWBKd1gs0cn1HYnLIQZi7hvEVRYo2ap32UroyBVqupyfuzUS6yuAIKb4ibtuAwr9CA336M-CI3MCkdd6--yLZAwlimZ9RfwlGL4IJAcRor2_R_UoOkQ4XtIPQijsZ4my4TAoGCHgZlQQhrTs8IwXIr5BLA9XYrm4tMHt3PBWRk-qenFixITuRYIhrckgRF8ZJGEr1LfPOAvpWQvq6hHbIQ9ThWp7Zp_aK58OyltNoTigmtOAogCuqG7izSN6_AHTL7KgAbFm_EaZjeqm_aHK4tOdGcFBLpNXPXJu46gGHPR7BCcdShhJZjY5uswqnKWFLLIVzHWSwqalmeeb0GNwDJFN5BLLk6PHwaeTCmBAH6Zeflv-VME9jVx0ykfAF4_bjBUVUJXhg73uOiX3U3dW7n6OHFa0SmMYDIjlECIkqSSAG8MjfphA8nNv0NHgJpWbyBAmETJawZDd2ls-n0JKBfZcFz-6XxcFmztz7NReh5DV1XyVHG_mbTT_Oqhe5qb5IQJerh20PXhuRMEJSkMl4G9Vv0kr6KJNACg2SGMjCwJcxAVxm","https://external-lga3-1.xx.fbcdn.net/safe_image.php?d=AQDjwwUV_ymZPLn9&w=540&h=282&url=https%3A%2F%2Fwww.moneynet.com.tw%2Fuploads%2F2019%2F05%2Fb237.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAwsx9NkfuWhdx-","Image may contain: outdoor","【理賠不吃虧】一張圖懂「醫療實支」與「意外實支」的差異！ - Money錢雜誌","  都是實支實付，到底差在哪裡？   實支實付是現在相當重要的一種保險，但你知道還有分成「醫療實支」，以及「意外實支」嗎？ 大仁這"
"https://www.facebook.com/cmoneyapp/posts/2730508697030007","1570806000","「為了儲蓄而儲蓄」並沒有任何意義

 別再老想著該如何把錢省下來拿去儲蓄！","1571573735","https://l.facebook.com/l.php?u=http%3A%2F%2Fcmy.tw%2F006iYw&h=AT0jG-8tUUFSCvhZQZj8Gx0BzVfiVjKDmQv7s-6qC1hAJVz3lJNDjM0kDqxcEfgeGLrc5_QJreT7SvIB4oIHETvZi_GgKsrHE_rQxJmEQJ8oUzuBsKMhw4TI3akUbK68g4cWBFYSu16daY8pgXLrzlT8yDWGNywpk-JoI7B1WUZxqkedmoDfCuAr9FRoQy0VCzXT0ZI870nOD4kr354iYeLKssWS80FnsGmM00KZ5avT9bsmJVZkgrKBNqrwS3U6aFPxAVy9ikK1J8g7tACtRdUGlV1xQ5c6Gu94XShXtN28hjt1DJzVQjI_oyWPbOQOvtoNgklQJVAOFoBZbOlAogScTuneXKtTKGEzCN0VP9VVuE5oORi2e4FA5QB6WwVBps2pn9pEy42b7WM5DB3vfRWT5nFOYKfXdVVBsbo6nms-22whQjWR6LC-296U9HjhT2h_bvxw4XdKGRNpUPld0XcQmufrXVbycoWKxFdsmB-P8T7o7WJx3GM0jy-kByy8z-2YSkQQnPrPgnmTVx4omxUHxnKhEI5zKslykOaXyE0zPUrDTRJjnnTjG3KsH6wHWdrh97HuTKCwQ1Q1gi1R8u4GzXV865bqbbSSiR4k3sFhrH3NutzBjrU99gAW1w8u-yhXbJN5jC_MzrTsl2YqbBg","https://external-cdt1-1.xx.fbcdn.net/safe_image.php?d=AQC69EieVyY1oEuS&w=540&h=282&url=http%3A%2F%2Fwww.cmoney.tw%2Fnotes%2Fcmstatic%2Fnotes%2Fcapture%2F1314505%2F20190213121249517.JPG&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQD-NzLZTlKBftn7","Image may contain: one or more people","如果你的縮食節衣和儲蓄。沒有帶來任何好處，那麼，你究竟是為了什麼而委屈自己呢？","(圖僅為示意 非本人，圖 / shutterstock) 作者：DaiGo 出版社：方言文化「儲蓄」"
"https://www.facebook.com/cmoneyapp/posts/2730522317028645","1570892400","國人喜歡購買保險，
但最常見的關係人要如何填寫，

 彼此之間的稅務關係為何？
要保人是最大的關鍵人物！","1571573745","https://l.facebook.com/l.php?u=http%3A%2F%2Fcmy.tw%2F006jEe&h=AT1UJidPdtlpVwu1UHyZTzHLaT9jTM-eJx6IGmYbbXpnLyOJQdnUjXDczKPx0_JxIEYIFPN6gaVgWfBySWg2YPvsHht9I1qkGZWhQRFENxm7iOIJpC1Q9TiIkWUKHaXUEugSrkvyq3izgUHwrOdxirkkMeQtZPM_8v-pcwKit_T_6IUpRP71epGvgAOFq15ngJAvUgfsdV3SLEfeUulEBdC81pPSrY-7kZyVFCIog8lIBZrrVa9vVmt9kAKvWR-KcJvg2uUx29JVebTlEzyR2GxltEv1pkZzaXSSna7b51l0KfkZWDYTkFlw1HMvIsuCijwNMLt-S94rh4U5IVDSAuxBRoHm6dhXwAICkWIWeBL9NdDRjrmmwI70YtNu8UFQtDzF_1L8xMgN9ygK3U2bV33d0VbFLvMVi3M4LutOLurQ6sO2Lx9I2U6V9mcL1EjQRmPKwqzh95LESLKidJvrdEnR0KzXo-XjZAm4qKhR0x2aSaRCtZBILUGEqapHecdBgPdRITIqOpB6u7bT-DdGxS8jwim5c-je3ickClsswFBc39P6ZKnBy0OaFhYphUKSNYB-Tt2psifYSxVDXx0p5YftkRwYFKUw9aH7cNdEKxBxGLcDcg0BKKW_z4YmdOVVvHVFCwrurASvEvsxeO2Cbak","https://external.fbkk7-3.fna.fbcdn.net/safe_image.php?d=AQBbuM3JosjNySrD&w=540&h=282&url=http%3A%2F%2Fwww.cmoney.tw%2Fnotes%2Fcmstatic%2Fnotes%2Fcapture%2F744971%2F20190426085111345.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQA3oi9dvpflC6o4","ในภาพอาจจะมี หนึ่งคนขึ้นไป และภาพระยะใกล้","快檢視保單的「要保人」！小心身故後課遺產稅...專家建議：這樣做才能達到稅務上的優惠！","(圖片來源:shutterstock)國人喜歡購買保險，但最常見的關係人要如何填寫，彼此之間的稅務關"
"https://www.facebook.com/cmoneyapp/posts/2730964456984431","1570849201","雖然買金融股 不一定每年都能賺 9%

 但要勝過定存 還是相對容易

 想存錢的人 可以看完再想想~","1571573733","https://l.facebook.com/l.php?u=http%3A%2F%2Fcmy.tw%2F006k6w&h=AT1N13A5Evt6Ye5kwjIitne7K0hVAsouQ63pSw0B4S_2DqhlwAMAYhTtQ44AGmVQ0KaMUJQn3J5Brv0CUHYoiipEGD8sYvQG2Sro0xK1YkXyzgGu7gWiRfDr1RC5gRlUZeOD2Vy6AH7DhhQ0gszlU04UKzenaiABCW2b3MHpoZcDlKRxWyJv_HFik0KBTCP-0wMC6UDe6Z30dpbXLMrQRXV4SeHx2FF11M_5__fd6jR1oYa2p8KxcHWaAhDpJadv7lS9NSZIGeVFaLyUu-1buniBcxpTJZOgEGLdYyt-seo4RFZ1LVt0S3zzJXwqJhuNqCfO0hEhNGo2hg6_Et2afjP2d7q9QFnFmRXwUWggRXp9N-nQmq2D6vJcoD95dRZ2II6Tw6oVyEk4DYMR_sjrE2MfoDmRRG043cKsZvh2kZxZ4gf0M4zpMvsmojRKrQcPunOOFKzsYTaktP_D_PJw0DyxOCWU871rMqjYp_6vqi_8NkNGDWEHrXE6a6-_TH1fRcvtf7Q8AzlAHGN4JVlixqaFvHGcW3sOeunaK8n-w67sQ6mJutjnNLloYHIBVwIIFGqlsTbdrd0LZnEBTf96PXy9sczE1_msyl8GRFyfWH_QMTAe6b06QNFNBVkj5iTCC7ZdFlUwqzgcmXpo","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQD1iB_SHV02qUod&w=540&h=282&url=http%3A%2F%2Fwww.cmoney.tw%2Fnotes%2Fcmstatic%2Fnotes%2Fcapture%2F1314505%2F20190119193220509.JPG&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBJOYOeCCbSS0Ov","Gambar mungkin berisi: luar ruangan","與其定存，不如買銀行股票！存了 9 年才賺 10％，金融股 1 年股利就賺 9.14％！","(圖 / 維基百科)作者：money錢編輯部台灣銀行業總存款金額高達 36.35 兆元(編按：累計到"
"https://www.facebook.com/cmoneyapp/posts/2740056412741902","1570879801","月底 PGA 高爾夫球賽將在日本火熱舉行，
球王老虎伍茲也將再次出場，
相關族群有沒有再次連動的機會呢?","1571573739","https://l.facebook.com/l.php?u=http%3A%2F%2Fcmy.tw%2F006o7Z&h=AT2_hcNYi8Y6ltIRdheeQVJVqZMUAU3SgF4Upti4Vvi-2UhuQkNLqGuAgObv4wDATKDAEmegoNDaL1LsFhaVoEDrz_MT6-tCLrZIp-KnPUUfZyHpoq9LkIGXJHPPRBFnW-fTRnhmOkPvX7xnNqsNG4ou4XXJ-buv03Tjw2k7yWFLQzNKr27-qabF6zzwV6QjhRVK9XYnPUFdT-YWhLGtLCi8rx6IMNpAc6fXEG9cc2gTwBwNUvZxZYxRUtPeOBONsDzZMbMApn_H0yCuu11j6-BGyKgmBMwTTgRaTbYn4rrWbuOxWpmLJ15cjZsgyNyAMn0NidlJ_6z97hM4WtZu6Z37wTEpbvoqB2ydZ74G9_jKuESzzrWoNgzu147rWO4fdKUVwL1Qm5Z-IdjPsAixtcqYDo6Ax0MTjBEV19kcWfnXaN9KHwSFNAbLVgZhpiyBEQSZl0WEYjTjXsn46Cs86hnx8x-Gv5eWhx7-nIETXQntUZ4r2oJrhq6Cs6gkQS3WsZgsw5O7G-AcSVZqiW8tBAm_FBkGPwVE9_nvqJi6bgIyEqonISzcLI6zZB0qC6PF-1ssj9IzadP3uZsxevyJBXd5quPz8J8tiPpkRj_W4mngUl7OgUNqVY3CAe_YirR837gUy1vFllrjTBq6","https://external.fdac45-1.fna.fbcdn.net/safe_image.php?d=AQA01lmcE_qFNPqb&w=540&h=282&url=http%3A%2F%2Fwww.cmoney.tw%2Fnotes%2Fcmstatic%2Fnotes%2Fcapture%2F1307593%2F20190904165027806.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQArjwvo-PJDA2hJ","Image may contain: grass, outdoor and nature","「高爾夫球桿頭」：隱形冠軍！4 台廠打下全球 80 ％ 市佔率，東京奧運將再添新動能","圖片來源：Shutterstock「老虎」旋風捲土重來2019 年 4 月 14 日，老虎伍茲在美國"
"https://www.facebook.com/cmoneyapp/posts/2739197346161142","1570813200","到國外旅遊突然生病，做個檢查居然要花台幣7萬元！但她買的旅平險卻沒賠，因為她投保時只留意班機延誤賠多少，沒有加保海外突發疾病醫療險!

 5 萬人都在這裡，接收第一手理財資訊 >> https://maac.io/GBlR","1571573734","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F2OAoJMp&h=AT1QaEu7uMy9Cu9ebe2x0veb5Nzhgcd84L8OYYDOR5v6SJ2rirt7XZmG3b5FLQq27BVUBDjYCLqxOomvjPrQF9lUOcuM6J-pjqElIJUv54LxSIy7ilPGhVHkSauN_NaGWyKT4z4XAVvy1BrncTx8J6HxfQhPaCR0TS3OPP0NfCWB5tyr-p-HkHwEmzXn0muFK8D-a2VvCIX-COyuj8AUpO9NK_OqzR9ZHA4N-Q8LB7CHMipxsJGYNn3zZXuyk5bnU9whBFkCwUoNXU3k72FnZrnzm_Zsww8yWIFJmLrQevRGmn647mX_GVabUHNt-f33Q9o6VpUMDyiGowt73ENDYczqLKE9Pcfp5Ytg7wNvXYzXS1Qvs0KgVJW1cYE0APzN-IXrPdLWHAntzda21H_ysQvgf5LVEJqep6EpJYNFJQMPuf7wsXT5WSpcMRW4x9wTxzKhLvf4hZHgg03h2jUyqke_f54RPyRLgPFDT2Cd5N76vihUAvg4ctlbaRX0mEs9OCJeC4j7itwBDyEvQyEI7RpDRbDE0ZZ1-h4cnNrfzBa4zE39Sxl-OGj4CrXjAWamhncxiXDykQamWULhp-NdWeSbei28ZyfYByP6t8l8ft_1_k2ztGmxSB7E-BaoRQ-JP0uRZJfsN4Tnqqhf","https://external-syd2-1.xx.fbcdn.net/safe_image.php?d=AQBLGEFteJx5_1Sw&w=540&h=282&url=https%3A%2F%2Fwww.moneynet.com.tw%2Fuploads%2F2019%2F05%2Fsickb.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDzCRS0Eu1EzbWG","Image may contain: indoor","她買旅平險只看班機延誤賠多少，結果劃錯重點，在國外看病花7萬！ - Money錢雜誌","廉價航空頻頻放火，大促銷大降價，燒得怡潔心癢癢，立刻搶購便宜機票，想要趁連假好好玩一玩。當她要出國之前，就詢問業務員，想買一張班機延誤理"
"https://www.facebook.com/cmoneyapp/posts/2732694373478106","1570793400","大家國慶連假快樂阿！
最近有一間跟5G有關的股票-台達電跌了不少呢！
我們快來看看理財達人-艾蜜莉老師覺得可不可以買^^","1571573747","https://l.facebook.com/l.php?u=http%3A%2F%2Fcmy.tw%2F007Ncn&h=AT1i9ZdcehXWja_-1EkiIMxfeEMBmqkOGjv8EO9O8gU-5TS0lakN5vJ7sEQ8SRwRCeJkBSxU4EtZt3K9GyjsJQpuByokDEtaS0RVF-JGxRsPJQ7okMN_ILqMmC9tDXfkshsdHyBaRFfASFTO9bqD3_0Ywy76BLc6Nu4svOJU7u55NUVDbo3rGAIYU4ov_jNUqp7h_1fKeVJxALNNhMlPXTSN7UBxvhR6vzrkvuwUKa8tL3fxG3xFXVdJIRJN1zUm68oBNTAHX0ZeLmlsZWL4U-J3g3lHhlZPWLI3OdipvMYU7YEuW6Wn6DqFSn6ya__pZtlQ4ATtcAuOhqKZFI8o_k5I0HEPAglGr3bYCYYJJQVnXQ36BTnvG4qUWh_CbYYcx5lvlrzKrGPY3-SSEOQTiBKlE44GLVcMGNoiimlA89okrYMd3v-mynduJ969rl0bfFe8u5x69bhiEEEpxTCGyXUiYggCD_KVePXd0muNUB6gkFCaK9dphYxPAL1G-qSByykoafAWPyrsV9xomxRWHlAOh_8MyONAEabNGkiLiKVEIjHkF4gh8yu_DBCNn6KlTXnYR5UydMQgIYhcQHr5B3s30vxphc6eOW_JSYyMbGOeW-DZQO--DrGn6l7GoPcr815eEcitQGzC6rcB","https://external-mad1-1.xx.fbcdn.net/safe_image.php?d=AQBSYCSPvuBVLai4&w=540&h=282&url=http%3A%2F%2Fwww.cmoney.tw%2Fnotes%2Fcmstatic%2Fnotes%2Fcapture%2F676067%2F20191008184910737.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCRe8J4P1AUbOB-","Image may contain: cloud, sky, outdoor and text","在5G浪潮下，未來有哪些產業會受惠呢？工業自動化暨電源供應大廠-台達電(2308)－個股分析","(圖片來源:shuttertsock)台達電(2308)未來的趨勢是 5G 相關的應用，其中自駕車、"
