url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/hltrip/posts/2173273242889540","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579293412,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/hltrip/posts/2448326142050914","1569925051","【島嶼的聲線：《戀戀風塵》（修復版）】 

2014年數位修復《戀戀風塵》，讓我們得以再次看到這部經典電影的重現。片中藉由青梅竹馬阿遠與阿雲的故事，呈現了當時城鄉的「地景」變化：山城因礦災而逐漸沒落、城市進入狂飆時期等。而後，兩人離開鄉下遠至城市打拚、生活，歷經不同階段的劇烈轉變。是臺灣一代人的心靈、勞動圖景，亦是歷史的流轉。

放映│《戀戀風塵》／2014／台灣／109mins／彩色 ／劇情片
時間│ 10.18(五)19:00 
地點│ 北昌國小三樓階梯教室
映後│ 流動放映所

流動放映所，以流動創造聚集，思考與創造各種讓「流動」發生的觀影可能


▃▃▃▃▃▃

▍報名網址：https://reurl.cc/NnYln▍

（提醒：看滿 ＃五場 的朋友，記得於10/20前至 #雨樵懶人書店、#孩好書屋 或 #時光二手書店 換書或登記代訂書，名額有限，還請大家把握機會喔！）

📕📗【延伸書展活動】📘📙
➤詳情請上：https://reurl.cc/QKmn2

✦集章贈書活動：凡參加影展(含映後)場次達5場以上者，持集章證明，就能至合作的獨立書店，兌換一本影展之相關書籍(450元)，超過金額須補差額，限額30名。

✦展出時間依各書店規劃合作書店：雨樵懶人書店、孩好書屋、時光二手書店

指導單位：文化部
主辦單位：花蓮市公所

✺更詳細的資訊請往這邊走✺

➣花蓮市文化觀光資訊網：http://bit.ly/2019cinema
➣Fun 玩花蓮臉書粉專：https://www.facebook.com/hltrip/
➣延伸書展之書單：https://reurl.cc/G6yVy

圖片來源：https://www.mirrormedia.mg/story/20180718cul002/
（註：大家可以點進去看此文（用聽的也可以），為音樂人馬世芳撰寫《戀戀風塵》裡的音樂。此劇照為劉振祥攝影）",1579293414,"/hltrip/photos/a.1419729648243907/2448323382051190/?type=3&eid=ARBz0kmlh1T9bcxZMlZwU-vCjKjC3gQQD6U8Q3jZrQsCQ71yfa74Q3RzXPM4769M6DDIZYTBedB__rli&__xts__%5B0%5D=68.ARCW8Rs2psvI1dnC3eYzYZD1t3IsDVflhNXh_ySQ4s6O9h-dXEIWrxfh1guXeFFcR04XnPZwHGTpyiUZH6HTjVIlC7sfWHtF8vRcaMtDm1vpiN5QPU8y2VFOeekE3BLefI3DMn0XUrz3rnQAXEtXhmc3MSvxwSlacbvuK0rRu7DJ6ZWSYdwnUzHMG7FwBWmm2kVB2aHgbeLbaMxoBPYFQtEi9QP-5uVrTYSJ4WEIzlXtL68Fh5SmEG2UTY10hQG-elEchJOUuKUU2VsPH8m5hxFajBu0QDDmFvzQoKqtkLDfwHbzxiwd1GDwD8C73-aI1JvoCQAflAJTiyg358EVLtBTxrX6&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/71229689_2448323385384523_685180191474974720_n.jpg?_nc_cat=110&_nc_ohc=LGViF4m1BaEAX-fZI04&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=56ee0252ea97519c6fe92a19c0d03e4b&oe=5E94FD94",undefined,"",""
"https://www.facebook.com/hltrip/posts/2462113814005480","1571447400","【「宴」遇傳愛－馬太鞍農村Fun市集】

 相遇馬太鞍，一起吃下的是美味，共同傳遞的是愛。

 本活動所收費用將全數捐出至門諾醫院，用於長照整合服務－失智團體家屋專款專用，讓我們用愛陪伴，幸福到老。

 現場有農村 FUN 市集及多種體驗活動，歡迎來馬太鞍享受最純樸的農村樂趣吧！

 ⭕️ 活動日期：108 年 10 月 26 日（六）
⭕️ 活動地點：馬太鞍欣綠農園（花蓮縣光復鄉大全街 60 號）
⭕️ 活動內容：
👉 馬太鞍農村 FUN 市集 🙋‍♀🙋‍♂ 支持在地小農
👉 DIY 體驗：黑豆茶 DIY、撒杜侖體驗、種子 DIY 等
👉 原風音樂會
👉 宴遇傳愛－原風餐桌

 ⭕️ 報名與詳情請上：https://www.beclass.com/rid=23416ce5d8c7e0e0b53a",1579293417,"/hltrip/photos/a.1419729648243907/2462112090672319/?type=3&eid=ARDE2i25b0kghMTlx2aIv3EOhAo6eaLvgEVnbHhiSvZ9OM1-ecp3Lmdu4B5hFU6XaOZhQVi-jbrdDKaV&__xts__%5B0%5D=68.ARDqC2jxTSx8oovnY1ml6npiNsA1w7qN1WG6WFIevZSdywAKp9LUOoN_8gzNDq-2dP_lPfrKRPVe2j8lNbhZaRq0n-AOLrDGQoqLzYJxEHdxgwru7-DU9LCeU3RCn8NBxxLxFFCDiB5XjB-r_hoqxmg8u7fQo0ja1OI3TfjYTsmUmTDkiZlW17liEsdWM3twedfeZCX1w0qyjXXwnihp7F99wlHfQSm7-gNPFQtm8hwbGI93yr95DM6W5aq18xu21tOI3PQzsF0v1RG8IjJiHfpWl_NOq8qdvQuorsytQ73TZTfiHKDghHOo_lEglcCSZtNXEdQQotE-WhpuOExC418VkDOl&__tn__=EEHH-R","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/s720x720/73088100_2462112094005652_7965350986002726912_o.jpg?_nc_cat=109&_nc_oc=AQmYQ96yDxQSeIzNXY01yCcTbGDpib3-a61pGXEmqj_3zdr6OV3S1lBRRm2QeuaqcwM&_nc_ht=scontent-lga3-1.xx&_nc_tp=1002&oh=3d61d7db2ea3749a79794dbde5b49ab8&oe=5E98294E",undefined,"",""
"https://www.facebook.com/hltrip/posts/2335467530003443","1556095689","👒野餐市集👒倒數 3️⃣ 天

 4/27 星期六在球崙運動公園
舉辦的春天好食節野餐市集😂
除了好玩的大地遊戲以外
也邀請了漂浮島甜點 Linda 老師
來教大家做糖霜餅乾樹唷！
糖霜餅乾樹利用手工餅乾與糖霜的搭配，
製作屬於自己獨特的餅乾樹🌳
讓小朋友參與活動，親手體驗
快來看看怎麼參加吧

 🎯報名方式：當天 15:30 於「DIY 報名」攤位現場報名
🏵年齡限制：3 歲以上
🎲名額限制：60 名，額滿為止

 注意唷！
大地遊戲🤹‍♂️、糖霜餅乾樹🍪、森木果實串🎐
只能三選一唷！

 🔸🔹🔸🔹🔸🔹

 4 月 27 日🎪春天好食節野餐市集
將在花蓮市球崙公園登場
歡迎來全家來場春天的饗宴👨‍👩‍👧‍👦","1572929974","/hltrip/photos/a.1419729648243907/2335467480003448/?type=3&eid=ARD8CVvqVYdKI9Sv3T1WK6reKfofX5sH7wfjH6FoK0iPS1SCghkxfeQ08r8cKP6Hqa3LZEevA7M_m0Dg&__xts__%5B0%5D=68.ARDQak5yvXU1ZK7pYm1NKhG2dLW09O4kxLv9JXjRw_rNmpKgrEiKtGdie5ly0SFbzXNsN662Bznd5k_EQbB-5YOsN5h6jvIzYp8ZvOTxbHqU4mxq4-YfYPA08zv3XUuqzeqiRqTpVEEvzcdSI91fmMtYTUCA0vi8oSrQBUS72zUp2KB7cbV8LwK4UnuCRCQP8vYeRTPr1uHsPwhuQvh-obMi7-fpquIa-hlXz6iDkA6SEr3iE1v57N8_tyJaZHZ3sBlj1lFEnl_0UMkIZ7VhT5gWl6acbrRHtnxvKG59ABdOc-lB39mH9jCidxjxIDsuRhAcwcv9mZKfi2DP27cAm1i0UvTt&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/58113365_2335467486670114_8799707245777518592_o.jpg?_nc_cat=108&_nc_oc=AQlMpwQNEDP01Z0486w-k3ieWbt-k2qOE-LL0hi-8efKzNiocPD_OfC65lZTdXiLpr8&_nc_ht=scontent-sin6-2.xx&oh=a07f85754bc0d9caa49284654c9cea45&oe=5E1A8A4C","undefined","",""
"https://www.facebook.com/hltrip/posts/2332261686990694","1555919280","👒野餐市集👒倒數 5️⃣ 天
今天來介紹手工及甜食區唷🥧

 🔸🔹🔸🔹🔸🔹

 介紹店家：
采晴手藝工坊
販賣物品：手作布包、民族風髮箍、耳環、飾品

 以大自然色彩為設計主軸
透過植物染及傳統拼布之技術結合
同時因應現代綠色環保的意識抬頭
利用構樹皮研創多彩多樣的作品
堅持從布料染色、圖案設計、裁縫
皆不假於他人之手，創作獨特之環保織品🦹‍♀️

 🔸🔹🔸🔹🔸🔹

 介紹店家：
The yard 。野地
販賣物品：植栽、手作雜貨、野地香草輕食

 利用手工設計之盆栽
讓人在這忙碌生活中
有個心靈寄託的地方
並且利用在地的食材
做出美味的甜點及輕食🍀

 🔸🔹🔸🔹🔸🔹

 4 月 27 日🎪春天好食節野餐市集
將在花蓮市球崙公園登場
歡迎來全家來場春天的饗宴👨‍👩‍👧‍👦","1572929974","/hltrip/photos/pcb.2332261686990694/2332260990324097/?type=3&__tn__=HH-R&eid=ARAoztDBd0ANMX9fTW25CHQaS2VLh1RhbQO6a1ht8GDo-6isFq6gL2PLogCMGC-d-DSrfuc-Rs9acMsO&__xts__%5B0%5D=68.ARDyqt6LXzPh5OonmtCGw0dQ2B9INJlOzjC8Ow2i4F_RcEw8RB3iP-jTSZiGoD1g_wjZGwblG6dwGAXk2V2f1REHR96KHHziXLFO1ZNNXU4JBfhrMdjZBila42_d_u0jW6ZnZSreNi70d2rt6f_go1YrbPcwTJBqJspfE8YbqlU2foDzEPTnutbS5MQvfSbvao0DUTMLhZCfHrCeS_syk5ECHXzeIY4V_UWSHItQZBzxD-4jardayL5D5Z25QAsZN2Q0Nnxejjt3asxhGPX022aDlbB2UwmuYG24e5FAbrq_c5Eh0FEP3pIvNqJ88D3_nyfpFDGpGajJ4I1fUACOggYvhN2A","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/s261x260/58113425_2332260996990763_4451309684736917504_n.jpg?_nc_cat=101&_nc_oc=AQknHViwFElQkBzE337xTVAFgRyUqyWiBhOGWMVv8X3Hde9COfBjYriTA04oVvU6P6k&_nc_ht=scontent-sin6-1.xx&oh=dbd4fbaafba5aad5818161b9a11b098e&oe=5E52940F","undefined","",""
"https://www.facebook.com/hltrip/posts/2425809310969264","1567407246","因友善廁所合作店家美好商行遷離原址，
自即日起不再提供友善廁所服務。

 這裡也為大家更新友善廁所店家名單～

 歡迎市民朋友多加利用！

 #花間水舞（花蓮市三民街10號）
#生活旅人（花蓮市節約街27號）
#黑何子仙草專職鋪（花蓮市節約街20-1號一樓）
#洄家咖啡（花蓮市中正路551巷13號二樓，舊鐵道商圈）
#淺草堂豚食專賣店（花蓮市中山路347號）
#阿貝廚坊（花蓮市自由街120號）
#六吋盤早午餐（花蓮市博愛街185號）
#火車頭烤肉屋（花蓮市中山路151號）

 🎬 影片說明：https://www.youtube.com/watch?v=_oWSgaS-n9w
📍 地圖好搜索：https://goo.gl/maps/oH5Fhn7UNQJ2",1579293420,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D_oWSgaS-n9w&h=AT0fxGDHKpqyal7zrTf263AJ1CBQNaoYkx5lDO8tOJ5g30synzOEQ9_Pyo5ORCS_qUUc3kLoqtYe4KnwhPlb1xSC1o49i8UnPTAUNS5w2JUOy2i-sDAqnTOuxmcRxiYqrEW9ydGpA1YRt_sUqudMqZBLOCBLu4kmE5S89ngi88-gu5_Lfb8N_EujmopzEgXI8vlBW3Ti6Ez0LgY9B5MGb27ZUnfz5Ns3cMmHeckPoMElXvuQnxws2-tRSCux-bcL1Jf7WTtebNQYcfiBgtaVHdkJ5S0IYBlHqI2dRsrrx4Y_XQ9voWQ4pXG0MDMpd9CeaVjXnpj7k2YbpKUwtY7k5g-kPbm9aLl4kR2mJzujUY-oejeFh5Lzu-8hYsxsjOdAb2aTZZYky0ehUdEXy0tzhp6SmyWF7XSEL5hwAYd5OB-jI96HV2ecmbca2U4YvVMDJ2dM8jtBEnTxToX6PHPwd6l7JFf6qCZmwB-q_j2dZKQMkO3D_on1MqzFizlr5psZPag9sXHvQ3w5rMqJ--hEcZmNs8MaGDWb_jiW4ZntG91Pn4gXZoKL9nW2RW4xiTQfkep265x2uKZSciLuQybgxKmh48v-9htGALwQ1qIpvW0J36hkY0Zi2ek6k7Ks7OWwwyzfiWocdNwovsKsW5EqjtiykVi8GI-Vo7A","https://external.fvno1-1.fna.fbcdn.net/safe_image.php?d=AQD1NtTd93EuOsoT&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2F_oWSgaS-n9w%2Fhqdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDh7iAxFTgI0q_D","No photo description available.","友善廁所介紹及地點 以下連結可了解花蓮市友善廁所的位置: https://drive.google.com/open?id=1JUgyzu0jQ77v4bG6gbYrGGYr8aI3W-_g&usp=sharin","youtube.com花蓮市友善廁所友善廁所介紹及地點 以下連結可了解花蓮市友善廁所的位置: https://drive.google.com/open?id=1JUgyzu0jQ77v4bG6gbYrGGYr8aI3W-_g&usp=sharin友善廁所介紹及地點 以下連結可了解花蓮市友善廁所的位置: https://drive.google.com/open?id=1JUgyzu0jQ77v4bG6gbYrGGYr8aI3W-_g&usp=sharin"
"https://www.facebook.com/hltrip/posts/2395917387291790","1563762600","海納百川……
她承載一切記憶、一切情緒
還有一切理不清的痕跡

 垃圾入海流……
以飛馳之速、龐大之數匯集
是否以為垃圾在海角一隅
我們就能不見為淨？

 海裡來的砂，他不是砂
是色彩斑斕的塑料微粒

 海裡來的魚，他不是魚
是塑膠碎片的輪迴澱積

 垃圾正吞噬大海，吞噬我們的未來

 海洋賜予我們溫柔
我們還給海洋無盡的哀愁

 海人，從來都不對等

 在汪洋之前
我們渺小的
如滄海一漚

 ----------------

 2019「海是生活節．海事集」活動 🌊
將在 8/2 及 8/3 下午 5 點
在花蓮市北濱公園登場！

 今年度主題聚焦在海洋環境議題，
特別是海洋廢棄物的汙染，
正透過食物鏈返回我們的生活‼️

 https://youtu.be/4S7HiMyuXZk","1572929975","https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2F4S7HiMyuXZk&h=AT33QGF9nEKvvbxpJyon2ozxNK9aHWlxtTQId8cWYlZqlD6GPLX4DYg7jwkyc0e5TOp5vrQws6-daM91yi5VZy4xmUE9-zCWy7XpAIHrmERTHYBXl6r9TFQSNpBa87RGSZAuaovwaP38tXcnkBeHzAiXleIxdvPdxId8T0z1Oj2H_6xRdi1-m6EWRgupWsBu5nhxURNUXybFkzh58j7YZ0gXMBxCe5g4-KErwJ0oILkSjuAWOnHDa1ePYKe2AT_6GClsFcqB5Egx057TFsXxcE4vhLonuxaxOnUVJBmrD1-uNRnMyuO7D15wWyxqt8P3h-wTrjO0vUiUoufs2DN9KQlOAGfCelLVka5QtoB73v4GM4gYQY5KFShhdB2DyLBQ4wDCwc9zQLJtO_IZthUKzW_rMx4Fpm51z55YRKbz37l98TH3Ho_t6PjdYkKdGPo0nuzm5r6LuSt5LE1IcExFaHv98ASBcMjEEu6cHH3UyqaMFePwyPWfgEQ2N_Pyyt65uxQ3sTlI2eKDhj1STRvD0Ybc_B730RQ27pDp_AZ7hIERtTBlQNvFbQm4xPp4G-gTnLDHuIVkFEKh8H6cklipMm6GBNQyeqLA_435jNigmFJT0gNHeA1WOFlkueSheM40aQyZF6Gi6eHDBZXz0Ng","https://external.fhan2-1.fna.fbcdn.net/safe_image.php?d=AQDwFSUrSXxVudVr&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2F4S7HiMyuXZk%2Fhqdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAPkbwuL2CR9MGd","Trong hình ảnh có thể có: đại dương, bầu trời, văn bản và nước","2019「海是生活節．海事集」宣傳影片－海納百川篇",""
"https://www.facebook.com/hltrip/posts/2332259290324267","1555745760","👒野餐市集👒倒數 7️⃣ 天
今天是手作系列唷！

 🔸🔹🔸🔹🔸🔹

 介紹店家：🥁
彩虹螺旋擊樂社 Rainbow Spiral World Percussion
販賣物品：世界民族打擊樂器與自然材質沙鈴搖鈴

 跟隨大地的脈動，在擊樂的喜悅過程中，
表達對大地之母的感謝與對生命的尊重；
藉由重新演繹傳統部落風的節奏，
以及各種不同現代與手作樂器的運用，
除喚起純真好玩的童心，
也希望能鼓舞身邊朋友們，
靜心聆聽自己與大地的心跳，
親近自然、親近節奏，
盡情歌唱、放肆舞蹈！💃🕺

 🔸🔹🔸🔹🔸🔹

 介紹店家：🛍
Show 包包 - 秀玲拼布工作坊
販賣物品：包包、鑰匙袋、零錢包、帽子、眼鏡袋、餐具袋

 手縫拼布創作，堅固耐用✂️
以日式風格以暖色系的布料來呼應春天的溫暖～

 🔸🔹🔸🔹🔸🔹

 4 月 27 日🎪春天好食節野餐市集
將在花蓮市球崙公園登場
歡迎來全家來場春天的饗宴👨‍👩‍👧‍👦","1572929975","/hltrip/photos/pcb.2332259290324267/2332262030323993/?type=3&__tn__=HH-R&eid=ARBfD3qn0iksHFfpQ6Yv1nhNGFP2DFyjFq6E5LBZlQTIPD2FAe22imW8B7YRawsBXZZX2Ttth7VIAxAj&__xts__%5B0%5D=68.ARCVMNjNA5w3vyG5a1YEchQ1YUN5375QIytsL4sbWSGl1jLXnMZqCV6W53Uzoc2ixBVYCPFch7BfMgYJy6FbvuwIU9TCjX5iqpWJ7NroG-MAkOyWXjgX1sre0Qb9Jb8IZqp4mgUGdVo0qvqUfgcWQBjgnw45fEpggpTVpLWqQHfxAMZfs5LM-WRuqs-f1S9eKj-5qB2t6n7r8Zwylb-K49mQUUTDWFtGvPcKc-l_2wn7LNkweHs-uqbdyRIx2hZW9cfs46X8CAXfD_rwAJsn09jfQolGt0NjFiru9HNdAsVPKC_dQ_Plav3R8ZCye_Z_99i9L11SUyqMCzDzBJRzuLe4w3p_","https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-0/s261x260/57233898_2332262033657326_157147961392889856_n.jpg?_nc_cat=106&_nc_oc=AQm5-uKCdsBjbGlr2sJ5AAPIetLh7YulIhwt9Ed8xyQxrtun544TwPuqkOHrqaHlpI0&_nc_ht=scontent-icn1-1.xx&oh=6934fecdc6553c9235f60ed719aa28d9&oe=5E603B7B","undefined","",""
"https://www.facebook.com/hltrip/posts/2382501875300008","1562025214","好文章分享給喜歡花蓮的朋友們🥳
https://www.itritech.net/itrixhaulien/
#ITRI
#i創科技
#花蓮
#青年返鄉","1572929975","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.itritech.net%2Fitrixhaulien%2F&h=AT11ERquNlZQ0H8lvlcqhX3SEjh_aRyW_hCGWQvdN1_IC-_jJ6vO_ErTE9nqnZHFP9r-dlqBkqwjzUihdo8YbITG05smMr5bOdBUj_vg7fhe-_5KWDNWrLP8FL-pdtJ-GMGlMl0AjJB08wJ3rduShF2w6f3Pt7mhA2Gpt9iQxtk5lQ","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQCbJRYgl4H8agbz&w=540&h=282&url=https%3A%2F%2Fwww.itritech.net%2Fwp-content%2Fuploads%2F1-13-1024x576.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB6hFzegXOJLp7A","Image may contain: sky, plant, cloud, tree and outdoor","科技圓夢 洄瀾創生 - i創科技","洄瀾青年　創生地方 專題故事 科技搭台，讓地方青年返鄉創生，創意沃土，接地氣的最後一哩路。從花蓮、太巴塱到富里 …"
"https://www.facebook.com/hltrip/posts/2363921830491346","1559808525","【移動的身體：《邊界移動兩百年》】

《邊界移動兩百年》以八個章節，探見印度華人兩百年間的「來」與「去」，影片呈現老中青三代印度華人身處時代邊緣的記憶碎片，對照歷史影像紀錄、印度左翼導演Mrinal
Sen《藍色天空下》電影見證的1930年代，拼貼出印度華人在時代洪流中消聲的歷史，今日的生活處境與心理狀態，以及變動中的未來。

放映│《邊界移動兩百年》／2013／台灣／108mins／彩色
時間│ 06.21(五)19:00
地點│ 璞石咖啡館
映後│ 鍾適芳／本片導演

▍預告片：https://reurl.cc/zkbXQ ▍

 ▍報名網址：https://reurl.cc/NnYln▍

▃▃▃▃▃▃

📕📗【延伸書展活動】📘📙 
👉詳情請上：https://reurl.cc/QKmn2

✦集章贈書活動：凡參加影展(含映後)場次達5場以上者，持集章證明，就能至合作的獨立書店，兌換一本影展之相關書籍(450元)，超過金額須補差額，限額30名。

✦展出時間依各書店規劃合作書店：雨樵懶人書店、孩好書屋、時光二手書店

指導單位：文化部
主辦單位：花蓮市公所

更詳細的資訊請往這邊走：

➣花蓮市文化觀光資訊網：http://bit.ly/2019cinema
➣Fun 玩花蓮臉書粉專：https://www.facebook.com/hltrip/

✤圖片由鍾適芳老師提供✤
✦圖一文當地的中文學校
✦圖二為本片導演鍾適芳老師

#小城影展 #移動之島嶼身影
#移動的身體 #邊界移動兩百年 #鍾適芳
#印度的客家移民","1572929975","/hltrip/photos/pcb.2363921830491346/2363919237158272/?type=3&__tn__=HH-R&eid=ARDrL42DmhF7hs0AYUCHXhRYW2o9N_ZBGoNdJGqJV1f8pNEC-hRtQiicbvGJBRaz2VscIO7E3Osfha7V&__xts__%5B0%5D=68.ARCNxjJG8oZBPPJyOxK70zEpYfbh4nbl830RwTNEW5Fm8QJ10CIAFiCwTbm5Jd4hyWfzSH4dlVpjKG1kKF4ZNExK0Nev2lSN9AHM6zKwErwuE7KWDgUQ196o4Gs2APtBybvVhjjw9QqHgfwbkjhzTxVXwNKiHPVNkvMFvqC67F_kY0tHxuqjESggUi5azNQjlUhLYSiudCGAJHiEfn_1CNwPq2qoVimoot5ev09hua5om0gLil0u6k6gv_EXFxlQfRd7B5YEQNnInTcRs4HgpaTDZvTV8qTP8mjdOBVRkGwQJO-EaHf3zc_Nz1Thd2u8cCt1DHLDsdXaAq3NjeY8A3bTWwx3","https://scontent.fbkk5-4.fna.fbcdn.net/v/t1.0-0/p235x350/61895005_2363919243824938_6030863545124519936_n.jpg?_nc_cat=103&_nc_oc=AQmrhxqF8qaLcfosCZZ2WMz44YvMtiHTnVKHfTvrEYSVLze94MGLjgUDNLM96jcsYyI&_nc_ht=scontent.fbkk5-4.fna&oh=9c15d5fb9002aa910163d57b6ca3748c&oe=5E646688","undefined","",""
