url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/tung.hakka/posts/2396156137102477","1555913159","#2019客家桐花祭 #聽見桐花音樂會 #銅鑼 #臺灣客家文化館
📣【4月20日聽見桐花音樂會】圓滿落幕！
感謝楊世豪精彩的開場表演，以及米莎、黃子軒與山平快、官靈芝、林曉培、馬修連恩等人的精彩演出，還有台下觀眾朋友們的熱情支持！雖然當日雨神同行，但依然是場美好的音樂饗宴！
🤗♥

 別忘了本週六4/27還有一場！
「#四月踏雪音樂會」在竹北林家祠前！
當日也會有限量好禮活動🎁，詳情日後公布，敬請期待！

 ►►當日演出陣容請參考⇒ https://tung.hakka.gov.tw/0006641.html
#客家桐花祭 #桐花 #音樂會 #新竹 #竹北",1579349492,"/tung.hakka/photos/pcb.2396156137102477/2396464273738330/?type=3&__tn__=HH-R&eid=ARCQloHf5slXHMSfocBoOqOWYSy0sPcKfIn_gMCRapkPUcE7vtSi_GzsQ3xVPol4xCx7nLFe-Ao0eerD&__xts__%5B0%5D=68.ARALrTeSxtRPqkiKF2rxgsHo8ltGfuq2bv3z53J25jvWuYC0Do4qZlBdTEwH-U_Z_TuaxZ3NFo5QzsKuLuCa_oP4NVa7MGTQegomKWi7RD3VIt-m1by98-JtASMWuEMCoi7Qxn4eOhB1lu9hfS-gLa6bGLR2Nkyzfuyo64OyU2CoewJvWe799J-r4ZCCVtEqpqSalznADzpD53PnvffRjR-mfnT8XOeE17X_xWchATtd5TM2hrR2-RT_KeyutqD6KGCM_MjOIEncewZ4Zjb3kpK0ohztmk6jexsfCSa18M9-I6eOkL2HZYotAOEclBjFTAxvQzA-yzZrZkgvBDX3tZ_rPA","https://scontent.fyhu2-1.fna.fbcdn.net/v/t1.0-0/p235x350/57694909_2396464280404996_6861712044979126272_o.jpg?_nc_cat=101&_nc_ohc=9gQT31vpU40AX-AzYDM&_nc_ht=scontent.fyhu2-1.fna&_nc_tp=1002&oh=d569c972fb6bb007eef15f1ac93c7935&oe=5ED6FE05",undefined,"+5",""
"https://www.facebook.com/tung.hakka/posts/2402877876430303","1556279403","【搶先曝光】#農夫市集 #不插電音樂會
就是明天了好期待！😍😍
明天在關西牛欄河親水公園的市集攤位、
不插電舞台都準備好了！你準備好了嗎？💪

 2019客家桐花祭最後一場農夫市集及不插電音樂會🔜
等你一起共下來尞🙌🙌🙌

 - - -
►► 四月踏雪音樂會｜竹北林家祠前公園｜下午5點30分開始
💓【4/27限定】當日打卡送好禮⇒ http://0rz.tw/omNzN
💓【拍美照抽大獎】全民報桐花⇒ http://0rz.tw/qKHct

 #2019客家桐花祭 #新竹 #關西 #牛欄河親水公園
#客家音樂 #新生代 #音樂人 #邱莉舒 #龍宣亘 #蕭迦勒
#山狗大後生樂團 #羅茵茵 #陳永淘 #陳瑞斌 #黃連煜",1579349484,"/tung.hakka/photos/pcb.2402877876430303/2403032079748216/?type=3&__tn__=HH-R&eid=ARDwIB10b0qj4y4ovsIdIcp96BdP6S1uNcufBdaxMdiDGHdhs47qeXdQWY_1AGqALzRrp7_7r55oy2md&__xts__%5B0%5D=68.ARA9wbucTTaVlTCj8YLYUmCVL_ibmrLFHUWADoJSuliiq5kFYaeAK36qYX3rvFjr2heoUg4RM49RHojUnK2W6BwBiG6RM1Y1hp0YR-Z6YHjko-XblZuo1TDvM0W-onXIRjWCbhXDj0QYZvVtQQAY-CkMAITuZ2Gyyoqc5M0pM6ZYrTRiqPUR8sJKAgQ8OeISKOpFKvuXSFOKRGBZ738XEvAC6UWHbwJSpHMUXlhtUZEkObJq30vaTMEko-y80xrO3MU-1jvETMv0smXSUCyqndxVCfQLUGk6oYnJ1TeY6vCR_e8Vpy-iKt-uruQejXcJWsbkytWU1hEb4jR9PdExsZd9vg","https://scontent.fbkk6-1.fna.fbcdn.net/v/t1.0-0/s600x600/58741775_2403032083081549_5301418054897369088_o.jpg?_nc_cat=110&_nc_ohc=dfO2FdYtSqIAX8MpjEc&_nc_ht=scontent.fbkk6-1.fna&_nc_tp=1002&oh=bf5c8aeaa4ca7863fa3069da3121342f&oe=5E9E36E4",undefined,"",""
"https://www.facebook.com/tung.hakka/posts/2211264048925021","1545284154","","1571540440","https://www.facebook.com/還我母語運動30周年-我的母語-臺灣的歌音樂會-755612508132376/?ref=nf&hc_ref=ARRBRw6JnCyovcOQezM2xWP_D1mu_IDL6nMnt-iJT_i5bzl9k7iVKMEEXg6w4OkxMKc&__xts__%5B0%5D=68.ARDBsszJSJ4gOAeRsaAugLt-xGCJa4ATYjBs6e_hzFIMDQYO58XFkbCgcNJ8ac3v78g5PEeaaagBsSEQXxllmOXDNPNdE-iM4B-pRLJrWhapTXlpOC2XzJz16H1oSEBwF4H2swspMlLu4_Ki3A1_u4uBJRuja2T2O6CHCzGUBXpxH7y_jR5xSWwt2ac8xFHIa9mphWkla-MWBT4rr3LQLPUxNDDHHYJZRT2FAowBjODaey6xle5ERu2QvMuKLRLszTVFPGAl906UtliKJKYYBw0C58qTMKwWl0LHkLs_MV-ZIZBWQv_-vWXJJC8hFvdwObGzkJsyGshSSrIXaw1MYry9OExIiHeAQnrH2mYAJ433kBEeb6GUYqf6X8viiwX0av_XxgDPl346DrRSyvddOlUMB4SLYPt_JZ1CndxA5deCciWlz5tAZfujqlqwlGKWDEp-I98A8O-W8UB356_hL3AcfNu_VoQP2Ovn-BnFrleFGqsRKG9DCg&__tn__=%3CH-R","https://scontent.fbkk5-7.fna.fbcdn.net/v/t1.0-1/p32x32/47680200_755612791465681_7674509312684720128_n.jpg?_nc_cat=108&_nc_oc=AQku6mAK4qZV1ft_pnnQCTooinlV8FDz9FUzcLZEpyd7kmY_zLywsZeQ9nGsqoJn5DY&_nc_ht=scontent.fbkk5-7.fna&oh=15350e1dd15e5e6a8ffe6551cc893c7d&oe=5E26FFEB","還我母語運動30周年-「我的母語 臺灣的歌」音樂會","還我母語運動30周年-「我的母語 臺灣的歌」音樂會",""
"https://www.facebook.com/tung.hakka/posts/2364971713554253","1554868800","「聽見桐花音樂會」倒數10天
桐花雨紛飛 相約浪漫客庄

 ■4月20日下午5點半
■臺灣客家文化館
(苗栗縣銅鑼鄉九湖村銅科南路6號)
■演出：馬修連恩、官靈芝、黃子軒與山平快、
米莎、林曉培、亞洲達人秀-楊世豪

 #呼朋引伴
#約會首選
#闔家觀賞
#一日微旅行
#亞洲達人秀
#2019客家桐花祭","1571540440","/watch/?ref=external&v=397598314356134&__xts__%5B0%5D=68.ARAUsgUwSezcAQuakTIjUEXhv-ZeOOap92MiLTh1VNgMnJp32PlBreqQkJMvptw0wIFO5EC67lmQF03KkCXmWliTgJF_QjhmLdr5VA6HKjSvbeNwOEGd-o_Ol39UiVCc-z36g6Ynl8CcuXOrOh_IhR0T2HyBzLfdTom-rTIUewZVU34obfW0MSlPN8qlTJUC9FmKgAuISWYidsHli06sZH5eb4KZpprYhY7RKAFw0kSleJY2i_cx4xWfhBlfgW9pf0s-vkHp3xd5ictnSBcZg9ARh14ZdPLgwI7mDoQ0RPSCHgfJtGJgXNlRDOB_aDWJwOvstDzJrcpBjVEfWIQ6qMREnqB1SslNvhGa4Q&__tn__=kFFHHH-R","https://scontent.fsrg1-1.fna.fbcdn.net/v/t15.13418-10/55734831_2328694580527682_1181246478916517888_n.jpg?_nc_cat=102&_nc_oc=AQlxXCaIhQr7dmot9P7yaibZHBBx4_yxE9NfmLxQkkG5wLVZiZ4R0kINnMos2Ro4t5k&_nc_ht=scontent.fsrg1-1.fna&oh=3998b5e891907c82ac35ff1afeae9a3b&oe=5E1BF978","undefined","聽見桐花音樂會","Diposting oleh 客家桐花祭-客委會"
"https://www.facebook.com/tung.hakka/posts/2333260930058665","1552300276","【#2019桐花即時花況】
宜蘭的粉絲朋友在哪裡😉⁉
小編今天要帶大家走訪宜蘭礁溪，
#林美桐花石磐步道 也是賞桐景點之一，
但目前都還是光禿禿的枯枝👇👇👇

🔖花況照片：桐花志工/沈鴻裕攝
- - - -
►►🔎賞桐全攻略必訪網站⇒https://tung.hakka.gov.tw
桐花祭相關活動．賞桐景點．開花情報（持續更新中）

 #2019客家桐花祭 #跟著小編賞桐趣 
#桐花觀測日記 #桐花 #開花情報","1571540440","/tung.hakka/photos/a.165829103468536/2333233190061439/?type=3&eid=ARCcMl0RDpmoU9jLsapC5wXCOV2mCF3ntf_SgmE0YZT-MWZ2DbTDiiAvDm-uAuos__AAH9nlhjQv1Crb&__xts__%5B0%5D=68.ARCH3VTIl3xSwcVsvneYyuUuyln4yhYLAYx6D-j7wgvt-3VQ-clQkItJQZ_jc7sUkYQqOU2B5Dx-mIHdjp_tPCuC0Vt26Is-iD7NNRPcRtFkCH_SalM0K6OzCCQXA6OhtH6ZcsXlXNr0hChAVeNDiwEzHVs0ci8gi_hZdQNsgAtMOpnvc0CHhUokhb4j0gYYigShwj_4OIeDDplnjJHHdxbLY_CZj_-3O_qc_bBcCVWlk9vFxND09oy2g1UXbJ77Pamqd2TpUyU0uZjYeOynsU3JnnfO17DmszWGCoMLu-R_5RAoHrPRRqYq-nO-uB7mO6SuZUArzzX14_HOp2FfC-ixoQ&__tn__=EEHH-R","https://scontent.fhdy3-1.fna.fbcdn.net/v/t1.0-0/p526x296/53476416_2333233196728105_143175144288813056_o.jpg?_nc_cat=104&_nc_oc=AQkOSjJr6xOQcy9e7xEyFCwICvPm7mtkFyoRnA4vFQussPYCRRzBtRRIWhg9QZ9jlTA&_nc_ht=scontent.fhdy3-1.fna&oh=8fae360b25a04c92c18c50b54a56196d&oe=5E263D36","undefined","",""
"https://www.facebook.com/tung.hakka/posts/2495345740516849","1560939000","#客庄節慶｜乙未客家戰役文化季
毋忘一八九五，#平鎮戰祭 6/29在平鎮登場❗
獻給「1895乙未戰爭」英勇抗日的義軍勇士們，
一系列精彩活動，重現客家保台的硬頸精神🤺

 ⚔ 障礙路跑
⚔ 補給車競速賽
⚔ 親子競賽
⚔ 有獎徵答
⚔ VR單車體驗、AR尋寶、童玩DIY
⚔ 祈福遶境活動

 ➤活動官網｜http://www.rs-event.com.tw/2019pzbattle/
- - -
🔍「乙未客家戰役文化季」的由來？
為了紀念1895乙未戰役並傳承客家先民的忠義精神，於當年桃園地區的主戰場—龍潭及平鎮地區舉辦「龍潭歸鄉文化節」及「平鎮戰祭」兩大節慶，結合地景與歷史文化，透過多元的方式，傳承客家保衛鄉土的義民精神，喚起民眾對於客家族群歷史記憶。

 #客庄12大節慶 #客家 #HAKKA 
#客家保台運動 #歷史 #桃園事",1579349487,"/tung.hakka/photos/a.165829103468536/2491313250920098/?type=3&eid=ARC2LhSYnON208BwkE5Z0ZjyQtBJEDOzLysbVXoPHia71a-FgSpjjASffVARDMKtqAevgH_F8d4vliRl&__xts__%5B0%5D=68.ARCAmOIaemkUEMdMuKt3Vl-KP00D4hFRcFuX25sOM9UKRdBisHaN0jGFti50Q4lth2t-r7e6A-6JhZo37fpkvs0UYU_liqHRLybYPga-TQvHJ8dxQHlAfkQc4jsDmU-c6yTz3h5O4LClZ0r2JYAH93tK7IE7qOFFITAz3jcwyrzOqLNFx_dV4_vfw0Uwct24I6U2T1F1cEQKc5vkET9SXNZ0v5tao8ppWwdtdzWL1BUs2TKK_yNOxs95DqLizIOEX-p3FdJ-0iuOxy8241uVbT5G446Hygc4xTuNi2e25AosbpeUuHwCn4zn0XgMdr7BnTWP5wo8aDepVFHH61V-gmbZiA&__tn__=EHH-R","https://scontent-waw1-1.xx.fbcdn.net/v/t1.0-0/p200x200/62897830_2491313254253431_100801430738173952_n.png?_nc_cat=107&_nc_ohc=Rfj4Jv6LhoIAX_ivQ-C&_nc_ht=scontent-waw1-1.xx&oh=f2c77847bf51ca95cb1206ab2359ca1a&oe=5E9BA40B",undefined,"",""
"https://www.facebook.com/tung.hakka/posts/2356407881077303","1554016664","【#2019桐花即時花況】
出現了！花現彰化芬園鄉🌸
#就是愛荔枝樂園 停車場附近，
有棵美美的桐花樹搶先開花了☺

 綠白交錯的景色好浪漫，
小編私心覺得這棵樹型很美❤
希望你們也會喜歡👼

 🔖花況照片：桐花志工/周嬪妤攝
- - - -
►►🔎賞桐全攻略必訪網站⇒https://tung.hakka.gov.tw
桐花祭相關活動．賞桐景點．開花情報（持續更新中）

 #2019客家桐花祭 #跟著小編賞桐趣 
#桐花觀測日記 #桐花 #開花情報 #彰化","1571540441","/tung.hakka/photos/pcb.2356407881077303/2361977417187016/?type=3&__tn__=HH-R&eid=ARCw_GE62ZKYXvXtYt-9BPzLSYawoQq2Ot1f717dDLMlF5ad5GTjofHv2l2iBlPbsgEBWEtuAuLP-4L5&__xts__%5B0%5D=68.ARDQXhtNtt84rkzr8pJi5oGRotNkXBe5wFWV-knqmqv303hdevA_QyESl8NH3oR5sBPKLdFP2L_XCnTC_ClvP1c6bcVIwZjq3nDEOGdTBLWRHEFZfprDSwJhoM-Q-Pnkpg2Tivn0me4JVtDxzhGro2WvAK3M6GPnodZEPoPcwnU2DUY4hLXJCfn8Yj3533vOuJ3l7kr2eqQJvDk5-tjNPHGHii4PwlC1tgpUUjPdm9KzlZp4vCfHg__7ACs3ROS14oKXoDE7gZvZSAiPZPTUgLJTD-XH6Oh5o0-gskG42yTuM01mJGIyzMqTLklUhNB6n2HZ_0iDlr8mZY4lkIsdYkI0GA","https://scontent.fcnx3-1.fna.fbcdn.net/v/t1.0-0/p526x296/55625708_2361977423853682_4051159904029769728_n.jpg?_nc_cat=110&_nc_oc=AQnAtFdLIrCqsoFMQLR32_RLucEvUA5yfjYdMmn0Ed0EKCkFDFaluXeo9lT1gK2AZy4&_nc_ht=scontent.fcnx3-1.fna&oh=a4f75c7735b15197e7dc085867de2b02&oe=5E2CDE33","undefined","",""
"https://www.facebook.com/tung.hakka/posts/2454409891277101:0","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579349488,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/tung.hakka/posts/2378459092205515","1554965745","#2019客家桐花祭 #系列活動
🎊2019客家桐花祭海報DM上線囉😘
內有開幕式、接駁車交通資訊、
主題音樂會、演出嘉賓名單等等♥
詳情如下～各位可以開始安排行程囉🤗

▚▚ 活動流程簡表 ▚▚
📍【南投】桐花山城開幕式
04/13(六)埔里牛耳藝術渡假村
09:30-09:50 謝天敬地祭祀
10:00-12:00 藝文表演
10:00-16:00 客庄慢食新市集

 📍【苗栗】聽見桐花音樂會
4/20(六)獅潭義民廟前、臺灣客家文化館
10:30-16:30 農夫市集
11:00-12:00 小型不插電音樂會
17:30-19:15 聽見桐花音樂會

 📍【新竹】四月踏雪音樂會
4/27(六)關西牛欄河親水公園、竹北林家祠前公園
10:30-16:30 農夫市集
14:00-15:00 小型不插電音樂會
17:30-19:30 四月踏雪音樂會

 - - - 
►►🔎賞桐全攻略必訪網站⇒https://tung.hakka.gov.tw
桐花祭相關活動．賞桐景點．開花情報（持續更新中）

 #桐花 #活動 #開幕式 #南投 
#主題音樂會 #苗栗 #新竹 #音樂會
B-MAX 馬克筆人聲樂團 #林生祥 #大竹研 #惠風舞蹈工作室 #黃珮舒 劉劭希專頁 黃瑋傑 Huang Wei Jie #劉慧卿 #米莎 #林曉培 #官靈芝 
 #馬修連恩 #黃子軒與山平快 #楊世豪 #邱莉舒 #龍宣亘 蕭迦勒 Caleb Hsiao #山狗大後生樂團 陳永淘-阿淘哥 #陳瑞斌 黃連煜Ayugo 
#貳樓樂隊 #羅茵茵","1571540441","/tung.hakka/photos/pcb.2378459092205515/2380014098716681/?type=3&__tn__=HH-R&eid=ARA2E_D3nZ6HvSnSEOZ6chi7XgL53JYBgK6WtuvnfKbakO6SlSi_8UO7T28TYocT2Wsp7eZl362hHHJA&__xts__%5B0%5D=68.ARAGLBkoO6waeS865akd3v5oo8cVJL-zWtS9vpVSMiTQbqzLh3QAbdGnltJaW3KD4LOTXbQGvY9I2VolBsrdZCuGT6fjXs8e5B0trrpLu211jBKs2BTqEy_Yjkyn0bRjwLuKI2xp9aTa6dfUVlTpd_gDC4Ud8C-7FSFvf03dHe2jbYfSWmCLTDHdyeNapF9S9IYnAzrZLmt_iTCkMJzYXsSB32Xkqh1SM6WIE9OABCTkh2BKB9VLKn6-t9jrVMoStE7fQPDj1C0Ela9UwtlgOq3TKNQ-nlEPJIJY-AylJCwK94gUu0HZH7Y-rN80s33VT8sawGhvi_D6LvEUNiRh0a0lWw","https://scontent.fhdy3-1.fna.fbcdn.net/v/t1.0-0/p370x247/56640163_2380014105383347_7016884179681935360_n.jpg?_nc_cat=100&_nc_oc=AQnQqho4QKN4xg3nebM2Iuu-6eRFDPkygtCIkgiJLuTW423c6YxsRYgdhyN0Ca-icww&_nc_ht=scontent.fhdy3-1.fna&oh=400bdd12d3e72dc5963c248fa4a4005e&oe=5E2F7FC9","undefined","3",""
"https://www.facebook.com/tung.hakka/posts/2414026371982120","1556881585","【周末和桐花來場浪漫約會💃💓】
桐花祭最後一波，把握周末的好天氣☀
與你親愛的家人、朋友或是毛小孩🐶🐱🐰
一同相約賞桐花，追雪趣👍👍👍

 ◾目前最新的桐花花況景點：
🌳基隆：暖暖碇內公園、東勢坑產業步道
🌳新北：土城桐花公園
🌳桃園：三和步道、東森山林桐花步道
🌳苗栗：挑茶古道、小西湖步道

 歡迎粉絲們與小編分享最新的桐花花況！🤗♥

 #花要謝了快來賞桐 #2019客家桐花祭 #超實用資訊
#桐花 #開花情報 #基隆 #新北 #桃園 #苗栗
- - -
►【拍美照抽大獎】全民報桐花⇒ http://0rz.tw/qKHct
上Instagram(IG)分享桐花美照並加上 #全民報桐花，就能抽大獎！
►►🔎賞桐全攻略必訪網站⇒ https://tung.hakka.gov.tw",1579349484,"/tung.hakka/photos/pcb.2414026371982120/2414047518646672/?type=3&__tn__=HH-R&eid=ARD4BA9NC9J1w7u_yB_kw6eXQ75VUy6CYeGn6VO3p-pSse7Fhc1twzIKWiXVMbmtPv0i_3XtyBp1DtOt&__xts__%5B0%5D=68.ARBJBLHCqbo3jnz_MwBx3_5II_mPYG0iU5luJdIzeRwPoSocdJKHTDIiDTb3AVX6vaxooBfxy7SU3_b9gtHFNcLtrC3C2s1BeTqtD0uNwYRolgLZxkhxhARpxH1G2NSLPynVaFyKVXzTODGc8y2NmfRDgI5uEj9kGZTMzv34J7e2HESCZx_zi8RPaUP81vzAWGjZ2JLcq7sjyzmbl9vCWbvaL4M81MdDrNfvuzMbcFyS05SOZqgKCcrIqNSVgGUqETXT69Y0N_z0mO950F0IEBc1_e6Cy9TTM0LcGgzygJl52v1vOEJ015HovjWXrZS55-jZ_YU8uHf2OQ7VBYYFOe-mYQ","https://scontent.fpnh7-1.fna.fbcdn.net/v/t1.0-0/p261x260/58711524_2414047521980005_1441840952426627072_o.jpg?_nc_cat=100&_nc_ohc=iUWTfN0m45oAX8odCBQ&_nc_ht=scontent.fpnh7-1.fna&_nc_tp=1002&oh=e38eb1cfd9f3663308f0603eb710f06a&oe=5ED1E57E",undefined,"+4",""
