url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ptsinnews/posts/1163841527150350","1566780588","台灣超徵的錢可以蓋15座新加坡機場","1570995920","https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.worldpeoplenews.com%2Fcontent%2Fpeople-voice%2F318295&h=AT3vDt1XtffS-koyaKi2iCFMVlIlLZlj3h7g0uryDiwa6Xz-1dw4ZwOeKGiqtYASW9nw4J2NU3lVVFjum0fWUvPotU2bcAgCAljpErlkFPdPCFFeUFRT-KXblDp1qfg-3A9fF7jmCduXlqDJ0jF16mUfafEE5OjkbA_np__HEv8dPA","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQA-J5jHrvtTfx2v&w=160&h=160&url=http%3A%2F%2Fwww.worldpeoplenews.com%2Fsites%2Fall%2Fthemes%2Fwpn%2Flogo.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher_square&_nc_hash=AQAvO3PjeKkzoxxd","沒有自動替代文字。","財政部黑手伸入校園 超徵錯誤訊息汙染學子 | 世界民報","2019/08/23 文/藍天雲/教師(高雄市) 筆者趁暑假出國，發現新加坡耗資388億，做出全球最酷機場，如置身森林中還擁有最高室內瀑布，非常吸引觀光客，那是國家門面，如果拿台灣5年來超徵6100多億的錢，可以蓋超過15座這麼漂亮的...."
"https://www.facebook.com/ptsinnews/posts/1189042537963582","1569676867","12萬怎麼夠？","1570995921","https://l.facebook.com/l.php?u=https%3A%2F%2Fcnews.com.tw%2F111190926a01%2F&h=AT0DKSmczbrbsRnLCqmxB6trqPQmPrmz8otohIAKYhkHZMCnO_Vasi37tTStEpUxmeeVpkDyJU51JOOt9OSRrkCj3M8_au45qtq78z5Kpugy2rgnfvK2QB1wxtV4mzNo9Kd6mj5e22bYwfUeSr6Q5_S9NUpO5Us-F5PVZ2ZVmj_X3Q","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQBHApmK9hPVLiwg&w=540&h=282&url=https%3A%2F%2Fcnews.com.tw%2Fwp-content%2Fuploads%2F111190926a01.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAGXWveNjYZ3hnv","【投書】長照扣除額12萬元 根本違憲","【投書】長照扣除額12萬元 根本違憲","林健鈞／資深研究員 全球人口結構出現「高齡化與少子化」的質變，聯合國2003年起將台灣列為全世界生育率最低十個國家之一，台灣總生育率在2010年首度跌破1，展開搶救生育大作戰，但九年過去，生育率在今年恐再度跌破1。...."
"https://www.facebook.com/ptsinnews/posts/1199970700204099","1570842465","【駐美代表高碩泰：現在是 ＃台美關係最好時期】

 ＃我國駐美代表處在10日晚間舉行108年國慶酒會
，駐美代表高碩泰指出，現在是近期記憶裡台美關係最好的時期。AIT主席莫健則表態，對於北京打壓台灣，美方會繼續反對片面改變台海現狀舉動，並在晚宴當中，宣讀美國眾議院議長裴洛西的國慶賀電，提到美台關係持續數十年、無可撼動。

 駐美代表高碩泰表示，「對於燈塔台灣和遠見台灣來說，更重要的是要堅持不懈、昂首闊步，＃維護我們的主權、＃民主、＃安全和尊嚴
。」美國在台協會主席莫健也說，「我們是民主弟兄，面對共同問題與共同挑戰，＃香港提醒我們兩個社會面對其中挑戰。」

 🔔Instagram ▶ bit.ly/2XJOoHs
🔔Youtube ▶ bit.ly/2IdT4i2
（追蹤我們，掌握即時消息👐）","1570995921","https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.pts.org.tw%2Farticle%2F450075&h=AT1Ny_lbaCZJN-eZdCPfMhRvkVRFnsKCJIUka02_3745ZNuNWrjQ1tW9TjiIBSk6oE9pZuXmIYGCUx8A273URlam-VKVuOBl8T4gLAf5YpsqHd7t1s_gkKzfxnawGkft5n7LbY3IO5ClO3U4KUfcemaVVENmcijvPxeyUTQdf2eRTwMcIgpR5-W6Oh9jXmB_5KS-B5y1fA9l20_2GUvh3ws7G81-N_6szPqg7L1LfyvjJEflVbmUTpN7O4qhWw3Vh17Qyhnju-xcH9rQol1U0Fl71s8MfXPhOIhsmfI5LBM3GB_D7cw-k_SmlHsGnhiOkrmUv0tDN0iIQtMJBGIKxdAydEXCsOW2IE8t64TSJZtI05aOzWstFN9EibUP-BCAFpegHVYiZN87Fh6S66UwnRwygR2msPMyVInh5XaIMQJj0qYZC0L5LtWfiKdNpAan-Uqp3e0UxBsSgcpjVlv5H1f3H8b_Hh2syMOST8r0WBofMGU95UJPORMThepRF3Fuas969GuBTlbWxLJBjWllBVR0YyUc8qZ6ZeDXCcl-vBM4yFIjFM3TBo1oPdRhfHWcjEfRl44cmVBKyTi4w_Et8ml0BETJ9AG0GvQt4OLIV4OMb0S9CPYjPyYFd2-gB0ZxSxWKZtISuz9UEGZH","https://external-gmp1-1.xx.fbcdn.net/safe_image.php?d=AQBJ28LHZc5c0Jt2&w=540&h=282&url=https%3A%2F%2Fdaf1ua3hmwh9p.cloudfront.net%2Fnews_images%2F450075%2F1570797458u.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDZ4MeUitfQ3U5o","No photo description available.","駐美代表高碩泰：現在是台美關係最好時期","我國駐美代表處在10日晚間舉行108年國慶酒會，駐美代表高碩泰指出，現在是近期記憶裡台美關係最好的時期，AIT主席莫健則表態，對於北京打壓台灣，美方會繼續反對片面改變台海現狀舉動，並在晚宴當中，..."
"https://www.facebook.com/ptsinnews/posts/1170210476513455","1567578508","#LIVE 
#獨立特派員612集
1.從香港到台灣
2.漸凍‧請留聲
3.美味關係","1570995921","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/ptsinnews/posts/1189687744565728","1569750900","【缺一不可｜完整收看】

 
之前有人在網路說南亞裔人士預計混反送中行動，準備搗亂或是進行無差別攻擊，這些訊息都很容易讓想聲援抗議者的人卻步。因此廖潔雯拿起攝影機，貼近抗議者用自己的角度錄下眼前的景象，她認為：「我知道我更應該到現場，除了快速的讓社會知道正確的訊息外，攝影機也可以保護示威者」。

 廖潔雯拍攝出《用自己的時代》、《手足》及《Trial and
Error》，幾乎每一則紀錄片都帶給廖潔雯新的啟示。像在拍攝《手足》時，廖潔雯與夥伴只帶著N95口罩，無法真正防止催淚彈，其他示威者叫廖潔雯一行人先走，然而那些抗議者年紀卻非常小，卻比任何人都還勇敢，勇敢站在最前線。

 廖潔雯指出，運動需要民間每一個人的力量，就算是你只有一台DV，你也可以在現場拍，因為攝影機可以保護那些年輕人。

 《缺一不可 完整版》http://bit.ly/2m1zGup

 📹收看廖潔雯導演作品
用自己方式的時代 The time of the individual

 #缺一不可 #獨立特派員 #公視

 別忘記訂閱我們的Youtube和Instagram！
🆕＃Instagram ▶bit.ly/2XJOoHs
🎦 #Youtube ▶bit.ly/2IdT4i2","1570995921","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.twreporter.org%2Fa%2Fhong-kong-extradition-law-interview-laywer-teacher-documentary-director&h=AT35LVTRZbBirS2mReebBTc2BWfOwHotV-gEMsu_q669tYf-_phYcOMFI2VxhUWctCI2suO_B2arPFdMEBL_70ncsY8OW3xKZQfZXlAW9xXVQBS5z-Ovjj4MoBOkZ9Q3OqJio01CqjLJY2Gid-QKUl_KNugzknvpZRHINFmHB-7wpcRFJ2ZJuntw3gHTvear7HvbL2Jk9dYAOrPqDfmrsY4saAHXmwe51mIvKQlJq7fZFMF8tqhhbRdKITCJNR5bnvbVoyTRQhhPa24--usWCp2nA8T57YcaCG48as2L1kP3NmHaGIPMF78z5d9TsXP-um5NAbHCjzejq36J6UeWJSUdryp-raqK4zQXvH4Uso6SRRn3Q9V1DUBXNc_vBWlDDYnQlf3D9Cdez_wPJThM5vB9kpwzTyfZ5dqLqJzHezVPXEPo_oDiDrgRJVKStq1c8s0IsmUBKHr9F3gZW1oPBZZv68fbAgTOKxBdMAGnf49FnFtk12kgINcf-5mZAeniygkb5mRZXjdM9o_nM4vPqnjt9C-3eCdAe4qko4mOzH0YN_1s2104sxlUyAjnLCmcNndQrg_Q67XWMUrKLEMl3BujiLLg-4ofSCk2M6RIYxzXNtKkARHMzlePG4pNQdocNJUiNNn_tDNMQRb9","https://external.fhan5-7.fna.fbcdn.net/safe_image.php?d=AQDwnZdzs_K7KCT9&w=540&h=282&url=https%3A%2F%2Fstorage.googleapis.com%2Ftwreporter-multimedia%2Fimages%2F20190912154419-eb37377571d93fa3bef776c2aec36216-mobile.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQD3-sj2fFbIwbwP","Trong hình ảnh có thể có: một hoặc nhiều người và ngoài trời","大狀、教師、紀錄片工作者——傾城之際，他們怎麼建構香港公民社會 - 報導者 The Reporter","「只有法治沒有民主，社會是沒有辦法穩定的。」反送中運動燃起的不只是街上年輕示威者的熱血，在法律、教育、傳媒等領域，也掀起一批成年人，為建構香港公民意識而努力著。"
"https://www.facebook.com/ptsinnews/posts/1186267528241083","1569400200","【葉亦真錄父母爭吵聲 ＃創作影片奪國際首獎】

 雲林科技大學有學生將現實生活中父母爭吵聲錄下，與同學創作影片《日記：Diary》，＃將快樂與悲傷成為強烈對比，在國際比賽得鼎。＃他說希望經歷過家暴的人們，
＃都能為自己的人生找到快樂。

 1998年，台灣為亞洲第一個通過家庭暴力防治法的國家。但家暴事件仍時有所聞，今年一月，新北市蘆洲才爆發一起因為肉圓沒有加辣，痛毆妻小的家暴事件，引起社會嘩然。

 獨立特派員《＃暗巷那頭的光》介紹一名女性如何從家暴的陰影中走出來，克服恐懼、學習自立。

 ▶️收看專題
《暗巷那頭的光》http://bit.ly/2mvnGRQ

 🔔Instagram ▶ bit.ly/2XJOoHs
🔔Youtube ▶ bit.ly/2IdT4i2
（追蹤我們，掌握即時消息👐）","1570995921","https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.pts.org.tw%2Farticle%2F447698&h=AT1nd0KNp5h_PHGa6OQBQI46OCNCF4s4YTV3guaiifynTW9ulX0v-26YjNb2iaCX-aIavGagQ8tagBsZIAc2K7oahjJMTGem1nzXW7uVHhkNSOFr65ORzbUWpOItYWi5DXPEhVDvDZnBim1n7EqJ17rCk9OCUh2IFVHXVyfKX3-fHFq8OJTYRvnYjuZm82FugOsvnb0sRRGgpAqwBj5f909BUW3OXQmFlfrg1OJU0cKjCdYtNesMT3Rhy73Ovh1dfIv3q8GKxED4bto2SeJPNZBkNfzpa6XeizTamxh4mw2qYi1KK_q6PNq3j5h5OQ9nvH5vS8U8F9Q9r1QcK5rRklhnCBzVGuCiDp1VBFGArOcZ_rjAMHBcGe5pp0xSUOOUcPInStdS5D8L0x_ugrkOsiIqGS1IwDDov-3Jvx2zZgdl9fGDotYKIbtZarymaHHJQElXWoAode53FM_YXtp762PBHGRoLZC713f4M4ld4aWLUMbsCpA8EvZjKoMciHYLdGvNiuMARQ1ENo8fqzH-EPziA3e9yIfP80-bYqkuxlBp5q9QYFo0Vqu92UZrALNT9BV74sHU6UWSdltl9v_hWprxWimFQei_VF7_GJs9V1rMwif9sGCO9u57Im60eLrLt8GQASZjY5ce6JmS","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQAbDCPrK23Pacfy&w=540&h=282&url=https%3A%2F%2Fdaf1ua3hmwh9p.cloudfront.net%2Fnews_images%2F447698%2F1569390094v.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBopsl4ecZAoTf4","Image may contain: one or more people","葉亦真錄父母爭吵聲 創作影片奪國際首獎","雲林科技大學有學生將現實生活中父母爭吵聲錄下，與同學創作影片「日記：Diary」，將快樂與悲傷成為強烈對比，在國際比賽得到第一獎，她表示，希望經歷過家暴的人們，都能為自己的人生找到快樂。..."
"https://www.facebook.com/ptsinnews/posts/1171078629759973","1567673882","台灣的抹黑生態要進行到何時？","1570995921","https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2F7Yjt6UAd_IQ&h=AT0AcgRtLjOXbv7PsS6SsnP2seMNmgzZ_DTtrRfYpfSMKNiNq5GeeQ-7bc-pEVgkAaTOIxL2tCu0fIzbmsKk6Fwf02x8-ykjGp32mEy_wG9O26pQnX9wOBM9rKe8LbPXYDiCffPWgxWGY9s_sI_O53f6XF8P0yS9JNXRBhjq3itEqg","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQCbH49M7JnN9ADs&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2F7Yjt6UAd_IQ%2Fhqdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCupvdp4jYZ_HL3","Image may contain: one or more people and text","政治整肅-太極門冤錯假案｜魏賜聰教授｜從迫害到平反 民主與人權之路｜20190817","從迫害到平反-民主與人權之路特展 日期：2019年8月17日 地點：二二八國家紀念館 專題演講：228事件與1219整肅案剖析 講者：魏賜聰 輔仁大學企管系兼任助理教授 魏教授以太極門1996年被政治整肅為例剖析解嚴後以宗教掃黑之名....."
"https://www.facebook.com/ptsinnews/posts/1151905681677268","1565263857","基隆市、台北市、新北市、桃園市、新竹縣市、宜蘭縣，明天停班停課。
行政院人事行政總處資訊不斷更新：
https://www.dgpa.gov.tw/typh/daily/nds.html","1570995921","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/ptsinnews/posts/1198007287067107","1570852500","【陸客來去自由行｜完整收看】
🔍除了中國旅客外，哪國旅客也經常來台旅行？
內政部統計，去年來台旅客共1106萬，#其中東南亞地區的旅客達242萬人次、佔21.89％，人數及佔比創歷年新高。

 #台灣其實很適合穆斯林旅客造訪
萬事達卡國際組織，日前發布2019年「#全球穆斯林旅遊指數」，台灣在非伊斯蘭教合作組織，最佳旅遊目的地中排名中，首度躋身第3名，與英國、日本並列。

 #清真認證標誌的餐廳增加中
旅行社董事長海英倫說，2008年全台灣清真認證的餐廳，沒有超過20家，且規模都不大，「但是到今天包含五星級、四星級觀光旅館的餐廳，已經有140幾家了。」

 #東南亞人來台灣愛逛夜市
資深的東南亞團導遊張瑋麟說，「台灣其實很適合東南亞人來玩」，他們來台灣比較不買用品，大多喜歡買伴手禮，也很愛逛夜市、嘗試各種小吃。

 《陸客來去自由行》http://bit.ly/35ySkfg

 #陸客來去自由行 #獨立特派員 #公視
別忘記訂閱我們的Youtube和Instagram！
🆕＃Instagram ▶bit.ly/2XJOoHs
🎦 #Youtube ▶bit.ly/2IdT4i2","1570995922","/watch/?ref=external&v=511327369663505&__xts__%5B0%5D=68.ARAKv_ndE1lzcjStAkwXPctmt6O-8JYLCJdevBEKdZvp-9O5l7l27HOMcPnN_wbqR6TYujRkhJdkBoVkFdPrR1mRbBUP8sDUfZeZ6dVRaalm5mAagD1uqTAGXPx6UdH4FbMNdnEhPrTJOym7raz5GtdHD9vIZEowLMI3H3om0yS_4ohfiHbPx5GwPMXNhxO0QrOYn5sM3CxnSH-P2YdfmK_OBnV1ROqFOYSE5ha3B09o0e7JVS71wA-zmpl_YTdNHX3flbgS3xgRV70s9W46bFBIoZyiKL8gF85m5QJSAJwqqzsANBuoIc98bzh3zmIV3_JuDjrzXufOigMH6B_pt9GB1KYrQnzFG8uelg&__tn__=kFFHHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t15.5256-10/70952741_511329399663302_3577425591101554688_n.jpg?_nc_cat=106&_nc_oc=AQkC2kHo1iQeEdWFN0lpRS0hbv2hhwSPhLB-Wuo1k6vkxhQTzZSWSbjDjIGrMc8Y6eE&_nc_ht=scontent-nrt1-1.xx&oh=444fab310a3e63384910560408938dba&oe=5E657090","undefined","【陸客來去自由行｜完整收看】","Posted by 獨立特派員"
"https://www.facebook.com/ptsinnews/posts/1184911485043354","1569297300","【撤回之後｜本週單元】#第一單元
「保留香港的一國兩制這是最大的價值。」香港大學亞洲環球研究所 所長陳志武說，2018年中國吸收的FDI（外商直接投資）裡的1200多億美元，
#有900多億美元是從香港進入中國。

 陳志武進一步指出，比起中國的政治現況，外國投資者及外國企業更傾向信任香港法治、法律及法院。他認為，#香港的獨特價值在於它的經濟自由度與司法獨立，
#這是中國所有城市無法取代的。

 香港挾帶強勢的經濟地位，中國政府還是不願輕易妥協。雖然香港特首林鄭月娥宣布撤回逃犯條例草案，但距離實施真普選，香港還有一段路要走。

 「如果有一個不公義的政權，不斷去壓迫人民的話，人民是不會打一場永遠是必定輸的仗，人民一定會去想他可以想到的辦法去做。」香港立法會議員朱凱廸指出。

 年紀越輕的抗議者，其實更傾向與體制衝撞，衝撞後的代價卻非常高。香港民眾說，年輕抗議者，犧牲自己的未來，幫香港人檔子彈，每一天看到他們被抓其實很心痛的。

 #撤回之後 #獨立特派員 #公視 #PTS
——————————————
🖥公視網路直播
http://bit.ly/30AGJsO
📺◎首播
09/25(三)22:00︱ 公視 ㊣ 13頻道
📺◎重播
09/26(四)01:00︱ 公視 ㊣ 13頻道
09/29(日)11:00︱ 公視 ㊣ 13頻道
09/30(一)04:00︱ 公視 ㊣ 13頻道
09/30(一)07:00‧12:00︱ 公視三台
————————————————","1570995922","/watch/?ref=external&v=548836372527580&__xts__%5B0%5D=68.ARD_tqye19_dK4LO4kSYBAjQGGSJX5ZsiWXa3iMUUat3I-SHRgCtaIRTfBnpz6MGw5_Bt-qTByYny-6MSjIL3raIalHN5l6HaYsuc7B2vvLPBFph4GzpIMYujx1IjJL7O_geI3qs4ZNZ-H8q_ulOlIIeBjoysP1wmtknSNrDzLWbtebIG1LL5vVLg-E2CmB7okRRKXk_mde0VsjZK1nlrFyDh-_7i-434h1BzxQIvgbE5f7mrVOSjT35XSSCSXECbVMEr0_FIrDQNuELkL2HddrybXMODFmgWkUEVbuonh0SwjOj6GFNAnDSWY7TEKjpOnZU-hfGpWmOl8IPWlyD-moHUTzELao6AC2VYA&__tn__=kFFHHH-R","https://scontent.fbkk5-4.fna.fbcdn.net/v/t15.5256-10/69894026_548837009194183_3446169852937502720_n.jpg?_nc_cat=110&_nc_oc=AQmjORjQNOmuw_4GLfiQwMZ5kmV7fM7BDeeqX-cBnGB0-Sftm-FXgHt_AerS2AR_Ung&_nc_ht=scontent.fbkk5-4.fna&oh=175fe1ee8db733f423ad24fabca08d88&oe=5E2CC024","undefined","【撤回之後｜本週單元】","โพสต์โดย 獨立特派員"
