url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/nownews/posts/10157112066652663","1570968001","把我的奶茶還給我～～～ 🔥

 #早餐店 #奶茶 #偷天換日","1571021381","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nownews.com%2Fnews%2F20191013%2F3687572%2F%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT3CEoRWqmb51ZpKmqwh7lJlkYHvLmY2NEo-YEphcAXwxcDZnx9g2dzFdF2sc2QgRgm6OgvV8CtrDSCv2T_fZLfabz_0i6-YTKabf1jTae5Ur8CMpdK5DpzjdIVNEilSFVJErDfchlmVQ7NopjvUHxeGLDc9RCog-5u8veWzQlm2t85EzyKMh3-dTgisklCwxN-0oIy1Z6kOoDnO6l_OUo-DsNsbaVERn7FBvYtxU2XGMyXjJmjL7Bw7GVWqmE5WXMkJPbrwGNqc3Ek-ww0QjbxKlQkYexak18ix4xYMxK3c84M08789FWjQvYtU8Q4stPV4h6kEpFCuLaQal7Li1R3TzCEz3fvd_C5qxggKGFnCyXFvfwrVwYZ_1ToHVSPQFBit1lwUhS4LOX1wu7J5RsT-T5rsWtE1J9ZqIMGVN4NuhTRGTLiWQgtev2SmKeZ45hLOL1EBZOrG95NDUYXeoPzM6tObNqYMv9rusPGo8muOhWkgghQnj519LMsOxrZBGVGQyVK6YbKB2YZvaFrNMYRFk5xIPLuIrkdspfWwpqpLefMqKxomtSiiMRBI2A1o_J1M1NSCd0KY1KQtX5M1oX7U8_Fh9fIQMMf7To3w7U8id07quyynKM1nTdWaWLkgFkK_tPjk","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQBqpY_r-IJmMh61&w=540&h=282&url=https%3A%2F%2Fwww.nownews.com%2Fwp-content%2Fuploads%2F2019%2F10%2F1570951182-7cc2e418f5efd6893a2ff45df1b168cb-1024x682.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQC2h4po1Uqm3GIF","No photo description available.","發大財邪招？早餐店闆娘賣奶茶竟「偷天換日」　茶友罵爆 | 新奇 | NOWnews 今日新聞","現代人不論是上班族還是學生，常常吃早餐的時候一定會配上一杯奶茶，不管是冰的還熱的，甜甜的滋味總能開啟一天的好心情。但近日就有網友在網路上發文抱怨，早餐店老闆娘為了賺錢，竟用不老實的方法「偷天換日」並「..."
"https://www.facebook.com/nownews/posts/10157113971137663","1571018418","如果韓市長如願當上了總統，會如何改變這個制度呢？
#修憲 #內閣制 #國民黨 #閣揆 #韓國瑜 #總統制

 #拒絕有權無責總統 #修憲論壇1025在台北 #終結憲政亂象
請看圖解
內閣制、總統制👉http://bit.ly/2B7rxbT
台灣制度👉http://bit.ly/2VCwpip","1571021382","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nownews.com%2Fnews%2F20191013%2F3678617%2F%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT21JS4sY0nljbPHCNGKsz16BUqLF3bMoy6A0AV3eago5VYkYZn_PSf8LIxYl5g9-y7kTIT9qydF4wLVZ1VzChL6M7TgNeTGLIf8G5hIB_IGp2w7mBMZybC0_NuowO8arAWpGbE242WS8LhuK8OTQiaNPA5m6VR1AIkpsuCsMkKJj8OlGZP2Z-0ciRoKPVRXTMISaPCv2FDX6mVgGIGxe6a1zXFNoXH24Qj9MQ-LDp5fqxY21u3l-jlS8rVMr_ltenSDLLR0Cq6_6S4SFOu_rAP0bjXDbN9KPh50xuM40dTFHknp-cUBdLupM6vlwSrJ-YW0MyjFsThLVEuowsOqTbZV1ZbqGSy46pzLgOOns6ck89ftr720I9DnnO-vDSSfxX8wkEtUN-2HfT3_zyL9eIZ40fcNnK5tif_kVgpR2ug0MlYOtie96wBI7mqaldsgLYIZn5CcCbeWTU8e85lcUnfHfL__tuSabFt2MOOp7tSyxTnLCMOt5CCk079REkRvP_31qaxC8SBwIHR8QDhumzkbaQbpAkt2FADae3140v_PwgV0uiVYCPvhyph_Ys3TvHg86Tj7bHtmbzHIvs0Vl6TMncFn7R-jefQJyaUTrhT3f-oi-THuESQsmG4nzsUIrDrEqMSP","https://external.fhan2-1.fna.fbcdn.net/safe_image.php?d=AQCSl1rs4dPgnaUz&w=540&h=282&url=https%3A%2F%2Fwww.nownews.com%2Fwp-content%2Fuploads%2F2019%2F04%2F1556630867-5ed56bb747fe28c0b992105123a85b98.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBVB1b9fjDMmCoX","Trong hình ảnh có thể có: một hoặc nhiều người","修憲論壇／總統兼閣揆　韓國瑜凸顯權責相符問題 | 影音 | NOWnews 今日新聞","從最近幾次總統選舉可以發現，修憲議題常是民調較低的一方，提出的重要議題，舉例來說，2012年的蔡英文、2016年的朱立倫，都是主張應該要修憲的一方。但2020大選國民黨總統提名人暨高雄市長韓國瑜，卻很少對憲改議題發表..."
"https://www.facebook.com/nownews/posts/10157112696997663","1571000400","你今天買車了嗎？還沒的話，先看這裡 👇

 #買車 #眉角 #二手車 #口頭約定","1571021382","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nownews.com%2Fnews%2F20191013%2F3687769%2F%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT3ixbdS8a-JUJXda7dQCyx-no9wTC6bdH1nVUv5KHYXufqB9WhDa5DaHBBgHWJCDovWTkEcXllUDGo0_g3hY9kLaE1Qub273KvIQEGkoWVAh2ku9J34Y_xe1P7Iz7zNpHLBG5ivWTJvv_tKWf30EKs75VA69Db6CzRKpfTFonUFR6CuowxpNE7cO3_QxSXqi1rqa2JHxhEHywFt6s8LaGso-HsnxtId3BJ6ipf7z2RS20hmd73jzRkzgMeq-ZM333KForFD_Ygk2nGi73xJki9x0RcHCPRS6CR2Is1fEPm6B-Hp6CZIY4fXGylfN1sjZ2WviMVWWFoqrdvmvHp0VBBExwhOuiHQU8CGesfYVRoWXYaxnnvQDpC8tbgdgHUO_6FawA3-VMz5_DeBm02VWkjmJt6v03Pb74SJmyKpemZ9r4_x2RlJ3RpxFC8dvW-5tmTn9XJJ7vfb4RZYHfFUrTyhf6A4q7b2JgKL-6Z3QGR31It_mbCJ_vh66qlF0Uqgfj1lqQVG2wLafkKuuJbwI4uM8U-mKW02GzLZjhv3v3hfdokyJpzfFpCvQMiTx_rVRjswaQghhaCbOlXkRnWAQmf7ZrBx1nYlN0gafwTt409fFXZmtuGuHy5co4_tcnBTyPKWyORJ","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQB4aY0tLAkfOLZT&w=540&h=282&url=https%3A%2F%2Fwww.nownews.com%2Fwp-content%2Fuploads%2F2019%2F10%2F1570972263-f753c3a75140ef4445b7e6826161c842.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAu3zb677hNKbkI","Gambar mungkin berisi: satu orang atau lebih dan dekat","想買車先看這裡　中市法制局解密「眉角」 | 中彰投 | NOWnews 今日新聞","不少人努力賺錢就是為了買一輛夢想房車，但購車過程「眉角」多，台中市政府法制局提醒購車族訂約注意事項，並提供消費者服務及專業法律諮詢，民眾多加利用，別讓夢想房車淪為日後爭議不斷的瑕疵車輛。"
"https://www.facebook.com/nownews/posts/10157111548922663","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571021382","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/nownews/posts/10157106056337663","1570785600","一踏上羅馬 走路都有風😎😎

 #我台灣我驕傲 #台灣NO1 #羅馬 #機場 #台灣","1571021382","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nownews.com%2Fnews%2F20191011%2F3684998%2F%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT2VBF10gVMc790O-U7c7hCSOqjgecnawm6Jo8qBRFKFdFtoWRmRe6HRQLIGVVDyHuXkd5oubbM6a3MESdlTfWm9XS77vOjVcDiJqk0QbMNiuIslpUQ9CTCGzj5ewkovWXAhLF7MmzDeWCDlTyXRsO_2bZr3qHlE0NFQsoe6vCuNfQZGaFEJzJV_soUbXojZq7SRqozGQhiXSqQpCarSEvIH5csWt4skUIixM8xoMdiTy_eS5f8f66A9F8xPUaK3r2ZsHQSXWE5wEgf8jJH2688ILdPYqEt-amsUQmQnZSspGerI7iGET6Xbi5itN-bm1aErQavxTS7mVxghSDwPyj26kKAUYPX0lgim_GCIEGYvZqZ0-v2MFTL1ykVTrURzj6vrP-J9w5PACdCaMSjumAoWNSUH0s32p0UCWboHt7wp7i5-qG8yd217Zh0C5d1ibCKfThhFDMOgv0OcKaMkZzyPNwB3pOx51bSkSwJwbnxdpZsBGWNMhhWjfQ5_aflVidGzOFHiqBCXec-NPotAqRsNT-vTMngBU-T1GuVFHI1CtlKqsO4EQnGy-ayV5D6gCjE97l9GT9oNyYFxis-S-uQSUfNj0MtgX3ex9uAeg5zgAjQvmHchKXmxTLlTBotWAM7aVIpR","https://external.fbkk6-2.fna.fbcdn.net/safe_image.php?d=AQB2WyjEV38Ytfud&w=540&h=282&url=https%3A%2F%2Fwww.nownews.com%2Fwp-content%2Fuploads%2F2019%2F09%2F1567825359-2c08b7878e36690b2170120c1f6520c4.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBWqwQGGx8Nuy2Y","ในภาพอาจจะมี ท้องฟ้า, เครื่องบิน และสถานที่กลางแจ้ง","男出國飛羅馬！　抵達機場一看「地板」High爆：台灣驕傲 | 國際 | NOWnews 今日新聞","要出國時，到了機場進行出入境人工驗證通關，經常要排隊排上一段時間，但若有自動通關，就可快速出入境，省下許多排隊等待時間，近日，一名男網友出國飛往羅馬遊玩，結果竟在機場地板發現「台灣的驕傲」貼文引發廣大..."
"https://www.facebook.com/nownews/posts/10157111540432663","1570952400","出社會後～真的就只想回到讀書時期！

 #企業家 #低薪 #日本","1571021382","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nownews.com%2Fnews%2F20191013%2F3687456%2F%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT1_UbphQJcyhXyNVBFiP0QsclTLpzD4ASQXuDvKoQZtU68VlOjDNRyjl3LjkN9toWbwC9Smvw9Hb1470OXUsgMYDsxIF8en2fXFopEfcbpXgAwqrI-4Ck8viS1it7yj8Iv__o0QEVBex8M0iMbubcuzvrcIxEEj4Na2ruMlmV43JHpYBykCfygPQZyyLqsQHeWen63jP62z3dNL9-TfIyZgpsNtuqsuSZzd3GWPRmQJAVbLQL2HUzXaysIrkPORGYGagvhsBymVrMCgOZTTOxkZghcebmp0fhLJ6kVm4ApPubLFoHChsVUFC-aAGnPp3svR9JERGndJ79veo8rSYH6Lh6liRsnOAnFA2CNx2TJqizeiDwHdmWMkJ17NBQpXsLMwAmhkhUiK2iMm67jzi5v9CZ2R-XrTjPe-gCLOtf2_Wl85atiihDywVSiOpiixS9h2hx9UnngtEuEYVxnk_6_UCDIRIbx_z4xwNneePEGPJim4idPXB2zykwS1CzpC6uzAsvtH-Gu8Vfu-Ec--An1ClCNzZOIaXp-u6IypILaxWs4YXUumYjGVdxtxrvm5w31a224nWU_n-iF4lm_mdaKZGfQk5g-R4rTQluQg9dbJJGbkGxR-isRApl78JpTorztWPZSf","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQDgPh34R42LAjS6&w=540&h=282&url=https%3A%2F%2Fwww.nownews.com%2Fwp-content%2Fuploads%2F2019%2F10%2F1570946025-a851358330e2b2592d2af0e146561925.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDP6a2H4-hOXMZQ","ในภาพอาจจะมี หนึ่งคนขึ้นไป","出社會12年月薪4萬！OL悲「職場怎麼了」　企業家冷回5字 | 國際 | NOWnews 今日新聞","台灣青年畢業出社會，普遍面臨薪資不高的困境，要是再加上高昂租金，不能存錢就算了，有時還得縮衣節食過日子。日本也有類似的情況，一名在東京工作 12 年的女子認為自己的月薪很低，絕望發文「日本完蛋了」。不過，....."
"https://www.facebook.com/nownews/posts/10157113751472663","1571013600","那些無名小站的日子～都是歲月的痕跡啊～

 #無名小站 #社群平台 #部落格 #關閉","1571021382","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nownews.com%2Fnews%2F20191014%2F3688193%2F%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT2h6wagPQswTYADkxQc84-4WIqeLrrS4PxpNKzRNiPZE-M_JrP1tI89jhLFWDSaAetCE5M2qMbLkTn5Qc8WHQEcl3J06cK_VCmRx47hRxVAObs8Vf4dCya1_j9fmcptAzn_QE2WT_4Q99unrAlaO96LJtR1_xIt3D3AUDAlpZ0ffY0LCecwta6keGNAaGuYzh13Vy8rXJEgmG9PzHs2IPgekoZRFSI952fI_NSc8gJdu1iMdcr1nqVg7U44KT-eGvLcPPqkP5xspaOlLHZ5ldDsBvkaMuq_QBJ4JtdDq6-9wzQwPaud1GYX8g2Udsh21A9edHCY_XuHN5bI82jqNE67T_bWxNn27oXt177m2zKcoQeN83Cir80ICmrzm8eSDiu-4l8c2QCJcWdRilGzGhmhvyM0tgIZnTCG7uT7Mqvbodi4hhuyVUF-dIs6P303TpL8Qsj2DTJvVDpzEpyMPiMvrac9fYxH5u0KH4C7VAs_fObZNAPHy9V-70oLY_sSkMfdzjCdfYT0L4786SpjStwGV3pw_CKwE4oXonbCVC0vndxI6POQCi_GhKdQv5pJCZnjUuEfx6jWkOcE0dPcEmWYzJIU3KA_HSQ-dTTD9htDALYVhFc-MqAUrkGpR6v_LitDAj0I","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQDmlDSn5-5Jfcsu&w=540&h=282&url=https%3A%2F%2Fwww.nownews.com%2Fwp-content%2Fuploads%2F2019%2F10%2F1570976539-5c9c60f5231546a08d8367321917dfb7.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBQiOHgqC_6p00j","Gambar mungkin berisi: satu orang atau lebih","無名小站到底怎麼消失？　「3暗黑關鍵」曝：想留著也難 | 新奇 | NOWnews 今日新聞","七、八年級生一定知道的知名部落格「無名小站」，其當初是學生族群間最流行的社群平台，但它也於 2013 年突然宣布關閉，讓不少用戶相當錯愕。對此，就有網友疑惑到底無名小站，是因為什麼原因而關閉？對此，就有行家曝..."
"https://www.facebook.com/nownews/posts/10157109486312663","1570893600","咦 真的是這樣嗎～你們怎麼看？

 #柯文哲 #批評 #陳菊 #聲量 #負債","1571021383","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nownews.com%2Fnews%2F20191012%2F3686410%2F%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT1494SkCNgOVAu2QwL1PFrX99uY4OzWOTaO1zaazYtskBv6_pF2nUTRdHYAe-Qy79doQh1ixlV2WDRc2r5CGh5HEM_dKxSfQreen0k7nktnnPK_VeFQZqo7AlnhJTVlVFhRiMjhJaVzRufhlNtTx8KjKTGIur0hAUVMApAgXhR2ANfR7-O2N6u7F_cdDZHSYnV7hMH65ShKRw6Pae21W-95pTLR9tURnJSlP-htdccMa7n9XUzC9FLPbQZjz4zsU8WI902ysxjpzKUkdO0gw_fCuT0FTs6rbvog0ZDRBvANriSYGTVEbGkHBNSGE9GcxgtxN5I0V7ZmhC-Ahae6VFFFDg8wu7SOu2hzWCtzBdVE0-ycEHSjogvSv3T34tp9J8U79zuoKjA4MZYzBP486TfrdZBDYcXCb5MhoA4MnSzw1fy6BL9EfwZOEvvE3dcbtLSz9i0wi0Hws8ZACBa4JzOQuFCELMTc7nmD6jwbP3eQEB_jpnbzavKrivxWeWAslRe0s6dn2MjCxzSqFd7cccNA_R2sXKvHEtPn-5EF9NFyV8i4h_KpSRm9K2y6HAL3eAxxdj2f-g7Qzq5kzzg7yfJbJFrWGvUbb_9Sew5HBtfnQUJVWR14ZADZi935fQ91iidU-G6X","https://external.fbkk7-3.fna.fbcdn.net/safe_image.php?d=AQARX-6kNnj3Ray6&w=540&h=282&url=https%3A%2F%2Fwww.nownews.com%2Fwp-content%2Fuploads%2F2019%2F10%2F1570858782-974bdaeb3643ac6146e83eb861b7614f.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBb-eHElx-Z0rHY","ในภาพอาจจะมี หนึ่งคนขึ้นไป, ผู้คนกำลังนั่ง, ผู้คนกำลังยืน, อาหาร และสถานที่ในร่ม","為拉抬聲量批陳菊？　柯文哲：是不想讓負債文化蔓延全台 | 政治 | NOWnews 今日新聞","身兼「台灣民眾黨」黨主席的台北市長柯文哲，隨著最大盟友鴻海集團創辦人郭台銘，宣布不投入2020總統大選後，少了最強母雞一同拉抬小雞聲勢的情況下，柯文哲得自己親自扮演母雞角色。而雙十國慶連假期間，柯文哲也沒....."
"https://www.facebook.com/nownews/posts/10157108517392663","1570857600","把懷孕擺一邊，來欣賞志玲姐姐的漂亮 😍

 #林志玲 #懷孕 #美腿 #akira","1571021383","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nownews.com%2Fnews%2F20191012%2F3686206%2F%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT1fZRFV1sTdJleNxPJ8_U3jKTtcKh7eEImKbHy7j4fo980aMrT61G-x8SsN0RK10X4CjePr6ZvB2vlDkT5Do1MGvLCKgWE6bsn9Mr1K7ZEuJJPUCOCFj9STKH36akKNXSpWLVdBnZ9jjmgLwDnK4cZQi7xTBg3kJ1-VKyHAocfEagQm2rpkBnesRLsv6yqobDKD3KPlW8C3212mSD8E4vABtpDjqMlujV5BIA9wmz5jlDbmeMhtzP-bHpv5SAbwArt1YL2eR9YQ_OoiC0bheh8GS4A-pfIpP1S_dExR7xSO4wWtuA3MZnPIKCaLALzQLwsZsh0IYYp3CUQWFWWwxzLfNbYz_qYRErdLFW0aP2L0r0PoW1Wlv4z8SUHCOZDj2DEStSHdlmUpJq6zdx9JLz6nmaijAAbKZB-5tpImenIBBpGqrZjJtOe0SvQ9INCdIxsCn7Kxp6HmA_ymR1qhK8XIzFptmeUcvlJd8BIcRWbJJgpT4WgDF5IvZlWUJ-AJg4ZAANAEI1QUqyqxd1_YxNO6siYbnBa4cfax9ex055bSOIIY3Mb5GOKikVHOir5T02aD-jIMH1TM-8g_Mi4XDt67HIvQwMedbir0qcNJ-fxVD48OcQR6Da3Ax4iXuB4BBqwZDWol","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQC0w88NjEsKGJ6v&w=540&h=282&url=https%3A%2F%2Fwww.nownews.com%2Fwp-content%2Fuploads%2F2019%2F10%2F1570850389-f4822d2f12c8b8d15a59a82df6bb06f3-1024x683.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAeI7p86qKPLFp3","Gambar mungkin berisi: satu orang atau lebih dan orang berdiri","到底有沒有懷孕？林志玲未P圖照曝光　逆天美腿讓網全跪 | 娛樂 | NOWnews 今日新聞","台灣第一名模林志玲6月閃婚嫁給日本天團「放浪兄弟」成員AKIRA，兩人婚後工作依舊繁忙，一舉一動更為外界關注焦點。昨（11）日她現身廈門購物廣場，網友公開志玲姊姊零修圖的照片，衣服緊身的剪裁，也間接打破懷孕傳言...."
"https://www.facebook.com/nownews/posts/10157106748462663","1570809604","看神明有多威猛!!隨時把「壞東西」下鍋解決掉😤

 #邀魔鬼怪 #油鍋 #神明 #出巡 保庇 NOW","1571021383","https://l.facebook.com/l.php?u=https%3A%2F%2Fbobee.nownews.com%2F20191011-20777%3Ffrom%3Dnnfb_p%26utm_source%3Dfb%26utm_medium%3Dnn%26utm_campaign%3Dp&h=AT1b4vMhHXxH3REaGbVE4fVFdvcgZ44Dv678TdVcZloZyd-PPKhjvXj32-CEYdiZJbX8Q4CLUg782mXIFcPnzIZ5YqrOWFdOJ_fPE8QnTPsXz8EvlINyhWFhVUakswi-uBG37HJEOOUTqT-_pJ-Ni3fTCMmh4L2AfeFzG784iH6T-gTGuXSaf5SgL6M1lKDioB5YgzuZ3JNHWGXdSUJFSWI_StPkZ7EQpEHwDqyPadlb7rJdsyLWqm1FNnhtXghhEtl28CfW6AfbvR_9bujPBc_4Y-UkmCC9DTBs-BKIelOUt9F-QblZYQ7BR2x8MOWmfe5CqMcN1Y4yjWgAmiG15p2BGDa--zs7DEInOM4WjD2d_M3XqRsD1-udYs7YtrFLPvO-nuw3f4chwui6ZVr8DS6ouGlBb7z8hG5X2ezZI9VQx8JvcL_ifEtl_2pfVG1x9sXI2PEjNFABXW_bgbCz3l37Hmb67a5iQHOUK6hXOrxdRZGfcQdFJGzw-KBp1vNPAFP0-oWmH9rdLh0EMYrrqW5KrjTF0HKGQj9ZIzjb9TdGRriNCXtyjKDXGTx74mwJhdPgPlEuRFyBid2H_mRlq-Z69KPgvWYvdaRVZQVYXR_JzBtexMRNNhnxC5uY3VEBRdSxLaeS","https://external.fbkk6-2.fna.fbcdn.net/safe_image.php?d=AQD5rlZOpiC_yzUq&w=540&h=282&url=https%3A%2F%2Fbobee.nownews.com%2Fwp-content%2Fuploads%2F2018%2F04%2F70690141_1625597494262914_4737089245175349248_n.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCUeX8k7vitqyFn","油鍋。（圖／翻攝自台灣陣頭粉專）","習俗百科／妖魔鬼怪下油炸！神明出巡備油鍋？","在電影《靈幻先生》中，最強道士林正英跟厲鬼正面對抗時，準備了油鍋要將厲鬼就地正法；我們也常常在神明出巡辦事時，..."
