url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/taiwanmjib/posts/2469830696608331","1577257225","叮叮噹！
一年一度的聖誕節來囉！
大家今天有什麼規劃嗎？
小編已經準備好要開吃一波了！
在這裡先祝各位聖誕快樂！
#聖誕快樂",1579045312,"/taiwanmjib/photos/a.1589511194640290/2469830373275030/?type=3&eid=ARAtzuc4_sgrk84yQdPE9IiSEZNMCf2z3cRaBVjrDE3NQnLzrdslfSt6r8mE08ORBDasyY0R38lZqLR8&__xts__%5B0%5D=68.ARAcX_chL4H2Zy8aGuZ8jaAL1gRsrsvK2DHP_xlcpSuZg9tkK6XCqN4RuXqH8xdwyWSmaXQ-5hkNRc-24NOd_pqxm3JoxChM7MQV8ZcC1UeEqj1pLVINGqNSvcPSigoJPjfGBB2GQQpPYZT8vW0c1sTG9gf3ndwtbfS_6KiItEz8WfTXrrFIvxdHTDvwlxoLmCvzfTDMzn18osVO_yvsnvEF5-pDj-svw-6fePr_eFkm0K5RUcgcs33hmaZeXpI4tWS7u5ifKgMaDB6avrPdOE-UCdNWzFhobEc_FWfJIQ64tproEO1H1CGxaL-sm2ikbIEMdGNKjbV3ggEMcIqA4U3ryDct&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/80564365_2469830376608363_4571958189414678528_n.jpg?_nc_cat=108&_nc_oc=AQktb2TVtBfoJftu-QwvCVnjvq20V2xiW92VE1aVcpb0Y9Iz4OVhIXsEVg1lLxDOhMk&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=0d4ed6de9b6d03b4ad40fed45f83edef&oe=5EA06099",undefined,"",""
"https://www.facebook.com/taiwanmjib/posts/2424694884455246","1573115400","【檢舉賄選買票專區系列影片──第23集】
〈打擊賭盤反賄選〉

 賄選態樣太多種了
大家知道檢舉賄選獎金有多少嗎？
最低50萬最高1500萬
總統選舉最高檢舉獎金是1500萬
立委選舉最高檢舉獎金是1000萬
大家可以趕快筆記下來！
之後活動說不定會用到喔😗

 本片由新北市處雙和站製作
#檢舉賄選 #反賄選",1579045313,"/watch/?ref=external&v=351416442329755&__xts__%5B0%5D=68.ARC-E14_xkYBCq8dWQaGIdfRY-jfOS5LdiJpwJf-8-LHJAdvq6FNq5DHQAU-4RJXeIf2ChBwNK9LHrzoRA9vN_FMHCMYjSWj2G_GjAtlzhmsnXErnpSs8oITdDik2idrpAbLaglFk6GwsTP5YNB4rQxxED_0hqsc84QAoIHnuz2lktOP4WJwB-Y_WnxAZwMaCd_9T56nxooGNSoYr946JKNolGwr8TurRgGLwZ5eXK0OWU7Q6sRVX0iI4ivstfpm1ZajyIS5n862rkTLykIwHD3eUc8qHLxPnpTKEaRz3pmUHEJG0psWt-tu9_svHEU5kGRaaduy3fOYiw5DV24ZYPn-piKjiz3M4JTHDw&__tn__=kFFHHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t15.5256-10/73419898_351417645662968_6254676567251746816_n.jpg?_nc_cat=110&_nc_ohc=MMdBcOcHIOwAX9qLcHA&_nc_ht=scontent-sin6-1.xx&oh=3f4b1fb6bbd6d46c0ee888b4055227fe&oe=5ED51FCA",undefined,"【檢舉賄選買票專區系列影片──第23集】 〈打擊賭盤反賄選〉","Posted by 法務部調查局"
"https://www.facebook.com/taiwanmjib/posts/2436885293236205","1574241141","來支預告片首播倒數計時🤩
#民視11月24日晚間10點首播",1579045313,"/watch/?ref=external&v=2537366433213677&__xts__%5B0%5D=68.ARCn9oYsjYSxTAw9JBoiYziEt028S9PXMSoWsWRv2BMdYbYkfoVCoGRjjHrffukLXHpPDUE-36El9hzCfOQzp0J2vIqCpTFcb__A13iChfidZso5LQwGZw1RMmtcHdcU5dwIk8AUSJ7MrDjiKK_uu1wyFs59vxOJTqpijHmQ9h1bmidCjIumnora0FBxGLieqaflYoDe-unznrojA2LRXsc6Qdf3L9pVwkSjsHP2tcmuXxXS9LZn2QHeQg7YSpMsEftJadlqNUKXmMmuz_Fn0wr2ykZ1uzEHbtp0X5dIpbguMrYXO86TmlOrGmN9F3n_p4w8_zgQyMf_tA0_vSiMZo9k2vUztipOYh7YSWjUK4y8jbVQsRN_N0-3LbEO-j8s7PWO2cfZGiC_9A8fzRQ1DR_t13PY18jUy_5bVA1tL0qmErH3O-xn9zVyUOHfo5wZTH-jMbzsbzzCrw_zQjyM-8hQoH-Bda3on_3A3c1X2syx2W51KfLnEN2tir2KtCefrfg&__tn__=kFFHHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t15.5256-10/73272529_2537369979879989_6666573616089399296_n.jpg?_nc_cat=109&_nc_ohc=k9z3BK5oMDsAX985Fx5&_nc_ht=scontent-sin6-1.xx&oh=0f93c1759edda478d997bf4a4e54e89c&oe=5EA0CA44",undefined,"30秒搶先看","Posted by 極光風暴"
"https://www.facebook.com/taiwanmjib/posts/2435921199999281","1574151931","【國立臺北教育大學124週年校慶園遊會】
時間：108年11月30日(六)09:00-12:00
地點：國立臺北教育大學

 歡迎大家來逛逛園遊會之外
也歡迎來我們這裡參加有獎徵答活動
現場備有精美小禮物
回答正確就有機會把他帶回家喔！

 #臺北教育大學 #有獎徵答",1579045313,"/taiwanmjib/photos/a.1589511194640290/2435921016665966/?type=3&eid=ARB4l2wPu95yPbq1Do6MHM6FK51DxNZ4ipdryZqSlU96RjEXtTAZklfrXGcCZzvY_OLCVFqfWzGXPpZn&__xts__%5B0%5D=68.ARBaJDqss0dGpe8tgR9IIRSfAHFhSLmu07ELbqgp-i39jlSlhL3SkcEbedBAnq5SVdauWfPGMpLVnkV_n-enSaAfLrzsnPFvzeEqjA_jrMdH_lQnCUA5rsn0lw78qwau0HUkHTpOMxZTRFTYL1OulVkKfBDBCjioKs2ni0MIeE2a7RF1SJr9fVZOZ5SzDkfQQfj0M5Mm4SYpChukocysbPFAuXW-EWXEsjG6fnWfqPd2A7dgun9KWpt3gPy8zI-N7PcvU29mMB-6SUWAUgMEKarNRa1iUnV0hnvu5o-4xQH3Di-3ohLWF6B_5QH3usw4yfZTyGwptMeUXPwDZGaIQWJSpVSP&__tn__=EHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p261x260/75429618_2435921026665965_4903822731759321088_o.png?_nc_cat=109&_nc_ohc=TfHV-MaHP_YAX_nFI5h&_nc_ht=scontent-sin2-1.xx&oh=b7c69b011a8b9b9ff6bd28dc44f37935&oe=5ED52847",undefined,"",""
"https://www.facebook.com/taiwanmjib/posts/2478042309120503","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579045313,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/taiwanmjib/posts/2423721507885917","1573018200","【檢舉賄選買票專區系列影片──第20集】
〈相聲秋毫抵萬金〉

 小朋友來說相聲囉！
反賄選不論男女老幼大家一起來~
快來看看影片內容吧！

 偷偷跟大家說
這部影片的獎金是針對立委喔！
檢舉立委選舉賄選的話
最高獎金是
1000萬！
本片由新竹市站製作
#檢舉賄選 #反賄選",1579045313,"/watch/?ref=external&v=2530416643858283&__xts__%5B0%5D=68.ARAuHhg6komtvqrd6I42swo5Jz_pshRNSNBdc_nfSlpU1IUVziWBPoI76k66aRh3K3ZHkW66GOkYYPlfbceX7jtcsChvWhe9OnMfd5Y57YroFUvVDBWnzd09Fngr5AEGEj8UKhvx1BDwaS3Ijobs1yg9ekprFLlNY5TAhoS0e-fz11N5jfUBFu0qFZ1hOoVWKVMPOumyyy2OiB6iFnLNMvCvJRwYylgxiMpPeen0it4wFe5rlwHhpn97C-WBCzrXBkRqjG8L2POazE5taSDVbRjQYH5x0z9Xtgt-QZqVbwKEWFRxjj2ZnMICE7s5laG14u3WGQoUnngY-M_u4vAMSjRciRHw-OyWJZwNpTcZ&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.13418-10/71294477_1547386442066543_3924834307285188608_n.jpeg?_nc_cat=101&_nc_ohc=WbiOCil0dxUAX9CrZ3k&_nc_ht=scontent-sin2-2.xx&oh=996efc7c81b1d49e6f1e0e6e9ed61294&oe=5E9933CE",undefined,"【檢舉賄選買票專區系列影片──第20集】 〈相聲秋毫抵萬金〉","Diposting oleh 法務部調查局"
"https://www.facebook.com/taiwanmjib/posts/2404119413179460","1571209906","【中港〈海洋園區 為愛而跑〉港區嘉年華暨節約用電宣導路跑活動】
時間：108年10月26日(六)07:30-12:00
地點：臺中市梧棲區中港加工出口區

 路跑活動來囉！
大家都報名了嗎？😎
我們在現場也有設攤
歡迎大家來參加有獎徵答
挑戰成功就有機會把精美小禮物帶回家喔~

 #調查局特考 #有獎徵答 #海洋園區為愛而跑",1579045313,"/taiwanmjib/photos/pcb.2404119413179460/2404119193179482/?type=3&__tn__=HH-R&eid=ARCj8Ab-Aseoe6_zcXzkN5n70cftZmAF-5SCn3culPvxOWy4v-M327KicBw1ngvlawNAs-rz35XF6ytJ&__xts__%5B0%5D=68.ARCN-NqjIONFIrkwmM3M_uzSTp4q3NgTqodvp-sCrehlTeEc5Tk3Q3qlq0geKzvaTgm1S1emf7ukAEY0uM_jUnxwbHS9Y_spx582xygxB4NP0_2HRBe9zGoAnbQmaEcfaqkGmXeKySgW5tioaAqA7a3dvkuLwwVXeHTkpmjNKJVEzJmyj23hNI-1GIlqndXjYqtmEcVaaC3BF7NgC_1_z0rIlVPjNwV-maDzVeG6zG95tHowHGIRHTEdttL0Bc4TC9fkvWNG1Q1Mc7GeDnE9gZoy7ZnyAXOFPlgBGDLyS1Nz9afWKKBlkF9wceA0yZM2X1RrLQBwCDjsbl6v0JpgVvlnRql2","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/s261x260/73318484_2404119196512815_8400502847501762560_o.jpg?_nc_cat=111&_nc_oc=AQlvwX0-oEmMBV3jhYPMnxtXuDH9yaUVi37YPNFXwF72iNZJbvz7sYvMvUkQ6IaX0kM&_nc_ht=scontent-sin6-2.xx&_nc_tp=1002&oh=6892a0d789588eeb77380f4e566043d8&oe=5EDB355E",undefined,"",""
"https://www.facebook.com/taiwanmjib/posts/2478985882359479","1578038431","【調查班第56期鵬程萬里授證儀式及聯歡晚會剪影】

 調查班第56期的授證儀式及聯歡晚會順利結束
過程中，有局長對調查班第56期的期勉
家長親友也親自到場給予祝福
調查班第56期也準備了精彩節目
快讓我們點進影片來欣賞吧！

 #調查班第56期 #授證 #聯歡晚會",1579045314,"/watch/?ref=external&v=471001173821890&__xts__%5B0%5D=68.ARA89gMTNJrqGLn1rsb_z-kycCe1KdxafzCIR6nE9ylQVx2ldeNXGuWb7Xh08bVJq2Y48APGTL3E4EkJCS27-kt2QoorHBIyX_eplgqY_dIgagzb8H1ZAlDQxl34p1N_4zeQPJBptm2XQiI8BCRWPOpJhdnO2IUeuEAjuw9UUT3WzpOGEEN-7YS2GVv8XrpaG6aM3XyHXGktMKJUFEjiUinCzbD7NMB-8T0U2-OiWihQoI5ju2jVf8lrZ72-ZNDQ1d-SDrMITUnyUOn_PDnQsSR4_gRr3e9nBAPXpyIBQVmC3rkM1dfvCNBqvDJHuvJ4V1mwo4jx60TUz9Y58L3o2RKNNUpjmOL-MneC15Se&__tn__=kFFHHH-R","https://scontent-cdt1-1.xx.fbcdn.net/v/t15.5256-10/72182057_471002813821726_8404196884448542720_n.jpg?_nc_cat=101&_nc_ohc=rfdU_Ld-hTEAX_HKZ7j&_nc_ht=scontent-cdt1-1.xx&oh=1121d8ce5a014296a83726a2cd2182ed&oe=5E8E9B5D",undefined,"【調查班第56期鵬程萬里授證儀式及聯歡晚會剪影】","Posted by 法務部調查局"
"https://www.facebook.com/taiwanmjib/posts/2448811692043565","1575347921","🤜🏻109年總統及立法委員選舉🤛🏻
反賄選宣導短片前三名✖️臉書抽獎直播
時間：108年12月3日(二)15：00

 就在今天！
就在今天！
就在今天！
主持人已經在準備了，還有我們的大家長也會親臨現場喔！
大家一起來~ 😚

 #108年調查局反賄選投票抽獎
#大家一起來看直播",1579045314,"/taiwanmjib/photos/a.1589511194640290/2448811605376907/?type=3&eid=ARDhrkY0GAKTXtgN9keV2igaHvtSTobitQkbIk3qnialLbT_1HXHHrcYY1ziS2WLPazlnVElaNtUUu85&__xts__%5B0%5D=68.ARCFJabLd9VgNzU6RevOn6bKweN59lAPEVF_vOkf-7RQki5sBEf670f_IQLPw8t6WES_Hr8du8J74oqPr0FBuwGvmq9KUrHGso3t7BFoH0GxNpFlEHRjU0l5SGXsViyLn01aacZ04FbTeYrmNqYaaZ51vKxWImktj73ODD8Les-bkEuBpIo-l8oJHT5Z10GLNaUHjoL0nKffsFmgAj9tCvp4Gy2AgI1cu3k2qFATDyoFWHSevERP0QN1zS7Lzmvklbkiz93qdx9WMfepD2bY4blG45b951nVk-iFRiTYV_v6KbcLpGbLiCOBoLvpezloclEYacxSjHK6qQ_QMsYnQM3CYbwv&__tn__=EHH-R","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/78230507_2448811608710240_8306157216465944576_o.jpg?_nc_cat=100&_nc_ohc=rN8RQ89UnXkAX8L_kTn&_nc_ht=scontent-cdt1-1.xx&_nc_tp=1002&oh=59e5061dd165870f9fe9354f66edecc0&oe=5E9654FA",undefined,"",""
"https://www.facebook.com/taiwanmjib/posts/2444344129156988","1574927418","🤜🏻109年總統及立法委員選舉🤛🏻
反賄選宣導短片前三名✖️臉書抽獎直播
時間：108年12月3日(二)15：00

 👉️反賄選影片前三名是誰？
👉️究竟是誰會得獎？🤔
關於以上問題，全都在直播一次揭曉！

 隨著投票活動即將結束
抽獎活動也越來越近了
歡迎大家12月3日下午3點一起來看直播
直播內容除了公布前三名，也會抽出這次的幸運得主！🎊

 #108年調查局反賄選投票抽獎
#大家一起來看直播",1579045314,"/taiwanmjib/photos/a.1589511194640290/2444343055823762/?type=3&eid=ARDukYftrwzJyRN7_uzlm9hSgE-pPgvV6D-QseFEAB20zFWsYX5XZEN98uh0z24vKI7vxhwSsCyT18hw&__xts__%5B0%5D=68.ARAYp_nWTOye0GE0mdTZQsBGSlZ-C5-fFN1-FOhkde_bTEijExflXisnhJm0IccvJPWr9baM6Ph2HO4aF3ift7MCqFJHQSXrX32KpKDYZXQbaD2tBItQGGcACwMZ4URvrBSyl42BMlC1l4fD2hZRlbV6ZuFvyOGEa0ndY-RadwTdxmgTt9sBchpGlQFp0CROUzGLpDWV_dAjLSBPl8r2S4YYJRGZJbV8uJC6zJonpvwR9gqd4IV0VDp7Fpy1vwIbOgTrTkGEa5CBKrOg8WwGGZyEB50lI-EnNs_9EWY3KYtvwBAg_Lg03YA5-Bx4lcxIOlNuFMSBUOmGVapbzjxgh-O-hAMd&__tn__=EEHH-R","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-0/p526x296/76998716_2444343059157095_5243688450284060672_n.jpg?_nc_cat=108&_nc_ohc=p_I7lBsgGbAAX-Qc-Ms&_nc_ht=scontent-lga3-1.xx&_nc_tp=1002&oh=9b45e66765868328189233b08fd1abcf&oe=5EAC422D",undefined,"",""
