url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/get.theAnswr/posts/459752548029139","","","","","","","",""
"https://www.facebook.com/get.theAnswr/posts/446426332695094","1577442646","This could be the first Hong Kong's most valuable Facebook Industry Report

 What can you get?
- What is the industry performance benchmark?
- Which brand is on the top?
- When does each brand publish their posts?
- Which post type was the most effective?
- What are the posts details?
- How many overlapping audiences are between brands?

 ↓Get your industry report now",1579371387,"https://l.facebook.com/l.php?u=https%3A%2F%2Fblog.theanswr.com%2Fhong-kongs-most-valuable-facebook-industry-report%2F&h=AT0iniYWUQ4qhO1xAtFVaIcuuzfdjCiU6Sc08NlSbw0E64AhJgttm2w-cbTFqdGUiX9UkILgs6H9fU1aaSJcW9iOFEKOYeEus9FFpKTIP7OiPQm2bsdTDer7UoZJo0A1vrGTxgnGp7p30prNpJutGGl8nz5i54vNSo0ifNqxjxC672kDz-9wuPJIhXNi2d83tK-Vje0k_MgJPdaoZZUO9tMIVOP_dq2nUIyjvx3_4wvNiFm7aAB-lsive-0mAlRs5li8GDKTmCz-DXUUqgAc2dt_fFDO08dxdkQHWSrnwAFdqcNIGPvD-sTat2XPo1hnr0lI2ddkVWVPtoJ4SeV__JFBN2gtPkvCqiCXTe1gOehmYhI0ccdcqSr5cVijx9iuAA3tK0Int4xKf4TIOkHuOk-CLJGL_Dp8VbAu7mWjWZFrMDOqrnauD5BgNK2bIIKNEbVKaJOdbLBJdAGQjx2iikfY42ZZtSrmaW_5O3Ci4LQHG6P4B5Br6b50nKI9Vt4XhD1kr9xvJ8x8ZJ3H-S0QoSh1CbfFNnuPmTDb2aFa1unA2LZA4KeS20KM_m3wtON6rpcCXzRSdzcjm_MeQSkSmGQ3ag3laQNMUsnyM_WQ7HIr1l_pIGfBSrqCuEo-ialQoVo06KiegV-Y","https://scontent.fbkk2-6.fna.fbcdn.net/v/t45.1600-4/cp0/q75/spS444/c3.0.2042.1070a/s526x296/81625076_23844229583590455_6654914764155650048_n.jpg?_nc_cat=104&_nc_oc=AQm0J6ARFH7KWvcTjgL6vPSDHFfqo_bjd41R9f0Nn5UKQMLZijWzoATld1l2q5_zUnE&_nc_ht=scontent.fbkk2-6.fna&oh=140ae457cd059856f04a2d4fcf61e2cc&oe=5E95F758","ไม่มีคำอธิบายรูปภาพ","Industry performance benchmark, a full list of posts content, ...","blog.theanswr.comHong Kong's most valuable Facebook industry reportIndustry performance benchmark, a full list of posts content, ...เรียนรู้เพิ่มเติมIndustry performance benchmark, a full list of posts content, ..."
"https://www.facebook.com/get.theAnswr/posts/451652828839111","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579371387,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/get.theAnswr/posts/429794394358288","1575428191","想知今期流行趨勢？邊款鞋賣得最好最多人search？

 這本 #Playbook 一步步教你看今期最hit！跟住秘笈的每一步，掌握市場動向，做個精明Marketers！

 立即點擊取得秘笈 👇🏻

 https://blog.theanswr.com/fb39/",1579371388,"https://l.facebook.com/l.php?u=https%3A%2F%2Fblog.theanswr.com%2Ffb39%2F&h=AT3WnzQmKXp6A-LRIy_BuKFeWTNcozU8INji74AUe0UfTvWh6G0I7soCZFffuq4Q8BncYnqkY97McBfg-PrBKu7kCND--UdhMgUZZR48k2b69hMkITYfB3-Ka8fblBFMw2igpaZtJyNrn_9AUkaS-iMLzHhO41-IJuMyCJX9aarskMuSsIYBcxRJ5zA4bpwgHY1Jfr7zMYCsxpYilMcqIgJWT6OpgqpGpHu-eN1xIeLaiYkBWqHmldHtzulFx-YHjSbXBPj41xVVyBk8l2K9E_xisP2IGc1TxUsUkH9VQ2Q9KCLCQmoJAHJ0ueX3_efQfgtmQFe189xEnmSUTY-R53V46uQWudAqMIMOMh9YcwRs0hGOTHHdw03Pjd-dAeESl5q-l-8GgU4rTc-sBERKLI_WoYkthFHoPnRD3WNc7eMnn46fFG3bsvjCb4LC1FUMFQO7oQSSVSoXWxbidDYessRxt5_c1T0FvPGpJXqmqF67sEPKbIHYSUs7Zlzgvq3hPKvVaITaIFXUy2xQ91CGWTr5Mz_w54GalaP3yQ6ujjj1a159Wh3CTlQ4-F-09hhJl5jHChtUIdpeTjToye4FRiL1_WgWgQWQ3mdabmH67XPGlGqTDU2PgI3BF1rnlpBIZoEDQpl6rtVFTtHNedvAKwOnx8wL","https://scontent-sin2-1.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c3.0.2042.1070a/s526x296/80003611_23844103669940280_3960088498362384384_n.png.jpg?_nc_cat=108&_nc_ohc=e5ElHJfXsKgAX-FZtmb&_nc_ht=scontent-sin2-1.xx&oh=a098abefeb1ec890a5c6ed548c1b13e5&oe=5ED522BF","Image may contain: text","想知今期流行趨勢？邊款鞋賣得最好最多人search？","blog.theanswr.com想知今期流行趨勢？邊款鞋賣得最好最多人search？想知今期流行趨勢？邊款鞋賣得最好最多人search？想知今期流行趨勢？邊款鞋賣得最好最多人search？"
"https://www.facebook.com/get.theAnswr/posts/364644457539949","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579371388,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/get.theAnswr/posts/454717345199326","1578441916","【2020，我們一起進步！】
現在YouTube的長視頻越來越多了，我們的熱門產品「用GoogleAI將YouTube視頻語音轉為文字」也為了適應大家越來越多的長視頻需求進行了升級！

 YouTube視頻時長進行了升級，從原本的15分鐘提升到120分鐘啦，擴大你的視頻選擇範圍！

 120分鐘的視頻只需大概30分鐘就可以幫你轉成文字啦（廣東話、國語、英文都ok）直接在文字中得到你想要的point！幫你提高效率，勁省時間！
#Google #VoiceToText #theAnswr #Youtube #Updated #省時間",1579371388,"https://l.facebook.com/l.php?u=https%3A%2F%2Fblog.theanswr.com%2Ffb43%2F&h=AT27mAoZno67AzbBGzXhc28tQMdb8tj8U331p9r7TY6id7KA7S1hEocTNAg1Zbg8kckQCz8I_9EMrgdtzCc5xszfbUw6G1Tbd8mdhDOTPxg6rEEm3wOks_dfMP9LbHooeayEEeE4kAgmLlsj2upffONQwgTSWiciju1RSCMdT_LoaMO46dhx_Ehj1FBWc8l-XosYnLNzXWE9NXonh9gglMihO2Ncj6yOKXyxyz0YR2Pfk08Q5r0W4LMRxDc__cVOGHKPaw3T1HD4IAUHs6icPsDAKUP4zu9LGMsEIxixyEio9z_CQWtwdBGDrHIocNOaO1bVPXkpERtJCmjdJEIZkf4uerUTogEcvvL5iDdx_3CO7HRdGX7vodwoo7dbY-HWuOL5X61ZcR75S6mVeDeooMmaroZP-QrcrozfY5Di_IxUHc7dkvm86Jf35EYpn7YcVrMEexzBZ5PZg-NXgG4A5sSmoPqvASK1umaY8ZAXS5C-aBLYy6JxrVYlgvuR17rj8ViJAbsBo4pcP1D3mAascFWi5dq46BpDgUUYf2u0D_iCApwkcujBcGm9g_81PJf2YQER3Wqxj1RL4ycKjDFGjH46Y-ZA-Pog3dYVouBQftfpmk98Oa-fMJw9sT9yFW4ERydDvrTgB6rS","https://scontent.fbkk10-1.fna.fbcdn.net/v/t45.1600-4/cp0/q75/spS444/c1.0.1597.837a/s526x296/82793589_23844224144730280_7932760838585188352_n.jpg?_nc_cat=102&_nc_ohc=w2BzE2EkwQMAX-hIcJU&_nc_ht=scontent.fbkk10-1.fna&oh=06b938ab8692a4783657c4577596089f&oe=5E9C7021","ในภาพอาจจะมี หนึ่งคนขึ้นไป และ ข้อความ","用GoogleAI將YouTube視頻轉為文字：勁省60%時間，提高效率！","blog.theanswr.com用GoogleAI將YouTube視頻轉為文字：勁省60%時間，提高效率！用GoogleAI將YouTube視頻轉為文字：勁省60%時間，提高效率！用GoogleAI將YouTube視頻轉為文字：勁省60%時間，提高效率！"
"https://www.facebook.com/get.theAnswr/posts/406095580061503","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579371388,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/get.theAnswr/posts/397621140908947","1571282234","Hurray! 🥳 We are delighted to be the recipient of the 'Excellent Award' in The
Hong Kong Value Creation for Technology Pitching Competition 2019.

 It's been a long journey to reach where we are today, and we are thankful to be
recognized for the progress and effort we have made - we will continue to strive
to provide more data-driven marketing MicroAnalytic tools and Analytic Playbooks
to enable everyone to become smarter decision makers.

 很高興我們 theAnswr
於香港科技創價大賽總決賽獲得獎項，有更多業界認同我們的理念，我們會繼續努力為大家提供更多數據驅動工具和秘笈，讓更多人成為智慧決策者。

 #HKTDC #天使投資基金會",1579371388,"/get.theAnswr/photos/pcb.397621140908947/397619880909073/?type=3&__tn__=HH-R&eid=ARClLx7T2MuocrxXx0B-dsNCuKHoyslVUErjSI1t-KbElbFFOmYJB_9-1CibVqB6uaxNnx1_84Xk6q_e&__xts__%5B0%5D=68.ARB9XO4k5yRXBivedDOziLBaiNJ7sQIwIrXzQk3vji46Q6N72wQ3nhYQfRhi-wDchqPSl0iBfcLNs83iuBwcjWxDKq8n_uIqWYOBieURji27b0Y7rGj6DVLaW7J-BUejDo-Gx9flFiS6UQvMZ6WS4dxPpLQ_UDMjDmry01icDX6kG-I0MDIHmOlo8WgTL38bNHbG-Z1ONZYyKzmRfux9_kID4qGc8GAEfET1Alu1_FDH5Oj27SyUWYLjevb3BPdWWtB6hsRDYSHdjQUsactUKwGpagD2Gw61GGtjplz5JAA4lkCexK32nASO_RDiDh3lbtNlfbq_9RQAcPb1HPsC8ls","https://scontent.ftpe8-3.fna.fbcdn.net/v/t1.0-0/p235x350/73333334_397619887575739_6873464209372348416_o.jpg?_nc_cat=106&_nc_ohc=Z-EecHdYgKUAX-jeVOi&_nc_ht=scontent.ftpe8-3.fna&_nc_tp=1002&oh=43ea935090e310e450341d767e32cab2&oe=5EA58B57",undefined,"",""
"https://www.facebook.com/get.theAnswr/posts/371710506833344","1567161401","Get an URL in mind? With one URL you can know your competitors' SEO Strategies. 

 Which keywords bring the most traffic to their web? 
What is the average position of the keywords?

 Try out our MicroAnalytics platform to reveal the power of Data Analytics,
become a SMART decision-maker.

 #SEO #Seostrategic #SEOmarketing #searchengineoptimisation
——————————————————
Our platform is disrupting the data analytics market by connecting the world's
open data and AI engines, to accelerate businesses' decision-making process by
integrating expert-proven analytic workflows with ready-to-use MicroAnalytics®
products.

 http://get.theanswr.com/en_US",1579371390,"https://l.facebook.com/l.php?u=https%3A%2F%2Fblog.theanswr.com%2Ffb31-one-url-to-know-all-your-competitors-seo-strategies-theanswr%2F&h=AT2_xhvAn58eg1xzJY647UcGGXDJHtC0jYDYuAL7MqM9T-EeZSlMlRwHfyn9KtfwicqVgU1Tc_TzPZPDjH82MYJ7Xi9jVXWyClHGwVdDqi1LVj-p-6GHlpvoB0hyKXIRxbfyEg5fVmE0HS_wBSmA0ii-zervwqA_TZdnB6vakj0ehsmOO_dZQxFxvZm1BECrz_3gj6iGmgIe9fIBkhJSAEXRiDGzbInx02WQeP7OxNVdmIqZPqZn1r2ccBBN6xsDia7enq95PlbGmXxWpdisJ1NyTzyScD789ojNln3ImeAsnokOOEaVgRsFkmBkgP6gJC62hCzu7Q_IGYEf3mmUPG5Y0v_H0P9wm_NjzqsRKyE0HMj27TxQ7Ohdng8jDpJN9dNWHaGJ2DELLhCaBzZjDg-ZeGPQaScXgBqR5JuRs-Uixy18MA5Zmqnxjt5PXLk_SMqMF_-DK7pUyyrfq6nIu20PyeV3ijTAW8s0vFznSZ_4h_PJVk3CtIE5GveTBSc50-RquE87Wgl_m7w30yK7rImzTRhD7Pu4PSclHKSm3upCOqi5L665qHMzBWEnYinynVu66t5YJN8Ml5oDlHH4nlfIIJk58khhKe680cP7oxtfwzZ_2ty1DLtRy4QXTUR0BwGVfVZmmmGc","https://scontent.fadb2-2.fna.fbcdn.net/v/t45.1600-4/cp0/q75/spS444/c1.0.1931.1012a/s526x296/69881730_23843739771050280_8879478351970959360_n.jpg?_nc_cat=102&_nc_ohc=2TTrU-Ojb0IAX-m09_x&_nc_ht=scontent.fadb2-2.fna&oh=9561899d3fcb57d553be9e39f36bbaed&oe=5ED88BB9","Image may contain: one or more people, people sitting and indoor, text that says ""One URL to know all your competitors' SEO Strategies http://www. Strategy""","One URL to know all your competitors' SEO Strategies - theAnswr","blog.theanswr.comOne URL to know all your competitors' SEO Strategies - theAnswrOne URL to know all your competitors' SEO Strategies - theAnswrOne URL to know all your competitors' SEO Strategies - theAnswr"
"https://www.facebook.com/get.theAnswr/posts/339039106767151","1561073400","▍『知已知彼，百戰百勝』 -
在做網上營銷或做生意時，您必須每月了解競爭對手在網上的活動狀況，才能制定出有效對應策略。應該用什麼網上數據和分析方法，才能找出有用的競爭洞察?
這可能是您的難題!

 我們已為您準備好，包括網站流量及Google Keyword 數據的競爭對手分析報告。只需提供您對手的網址，即可免費獲得屬於您的報告。

 留言回覆『我需要』或 『I need this』， 即可免費獲得: 競爭對手網上分析報告 (HKD699) 和專業解説。

 =======================

 theAnswr 接通全球數據及人工智能，助你加速數據分析，做出最佳商業決策。

 AnswerFeed：https://get.theanswr.com/zh_HK/app/home
數據分析工具分類：https://get.theanswr.com/zh_HK/app/categories
數說答案 Youtube 頻道：https://www.youtube.com/channel/UC-uEWd3ivMLvqYFKDx87UcA

 #競爭對手 #策略 #gethteanswr #microanalytics #數據 #數據分析 #人工智能",1579371390,"/get.theAnswr/photos/a.206237300047333/339039010100494/?type=3&eid=ARApRE1CZwCIRPeG4zmlTgPbm6OblQarTGSUkH_zWNP8PNh44n7wDuni4eNyRWtaNBlpVy26Pb-N2VZz&__xts__%5B0%5D=68.ARCWowCpgNz0WVZEWnLUD0Ua_Pv6RfeAUvs0mMaPmaWep94vzNbpX_bL_a8jm6CCIrfxl6k9Gt06_ppxLdXtxNKLTdgwZes8iOi9kwnIM34niNQT0vDBye3mgrhNOJXudchnuFrtWJree48R8MxOAgXx-IjAiRZe0gYnmt1tDnc17OYHjmCJE0itAk99kjnFX4XOD3az4PALqYj4x-LRaZsy6mhDHzAGzpKRsr3OboKtVMrmQzBYulLgGrc-3IJAiJfjM4m0BC8h3wQxXeoEsrppA8eDCvqdhW5Jo8b5gfIYBpbzlEmP1PGhMdh6T6Iw4FvfRvVASXdIJjMMog91xfg&__tn__=EEHH-R","https://scontent.fpnh4-1.fna.fbcdn.net/v/t1.0-0/p526x296/65374407_339039016767160_4545741876543619072_o.jpg?_nc_cat=106&_nc_ohc=I-tZlVcaHXoAX9ZX6Sy&_nc_ht=scontent.fpnh4-1.fna&_nc_tp=1002&oh=226f99235f63157aca44ede89daea6d9&oe=5EA0216B",undefined,"",""
