url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ezTravel.tw/posts/10162372902990182","1570600055","⚠#搶便宜機票消年假 #飛日本免6千⚠
注意啦！編編好康速報 📣
【日本東北計畫票5天】快閃殺👉 http://bit.ly/35i3i8L

 ✅ 含稅含行李，真心不騙一口價 
✅ 仙台花卷雙點進出，不走回頭路
✅ 初秋賞楓說走就走，搶先打卡衝一波

 10/15日本東北見喔👉 http://bit.ly/35i3i8L

 #旅遊最大網一站就GO了
#APP首購滿額贈頸枕","1571605340","/ezTravel.tw/photos/a.309257715181/10162372719770182/?type=3&eid=ARAtsvDkhKE5nqJCOAGav_ph10QLPK9oWh7CTuySc7xtXU-kOxyBCi2sf2U44C1T_MeYL5a4KH5ApLZQ&__xts__%5B0%5D=68.ARBWWfPLytnboaTh4KgmACGEVo2Dc-zWWxuOi7bdl30lBm0FOg3sQBFRtZsZTA1lztjf9zl6oyYSxVydENz-u_ZLYwUnzemixsCjp79obh8sx5r0FrlUQp8i9lY0Y8wvZBHn085lQtsIz0fvhoMnATOeZj7BeBfoS3FwXdPcj3EcRXGKMKCH7_VzJr0g7ERQKQd-MiIS6-7rxVj19cwHzwfdOSePncylDLjnCVoQTpBYdsPPfwX--X6AjTDpYQ2_JoKMMpfg35oW8IAirCZxLOErhWgUxLoiFBZ4ucxX0wJ6j5R9lglq1PDUb1CrVxYuDeDlRL1h0IvJ6h5z_Kn5&__tn__=EEHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p526x296/72779216_10162372719775182_6705355951001567232_n.jpg?_nc_cat=100&_nc_oc=AQnVmdSXRuoFa3sg5WGJC33voQRNuTepqXGKe-ZyGrtpSfsOibtdiOqpU4OZoqZ7-A0&_nc_ht=scontent-sin2-1.xx&oh=2df00928df6de203f5a582d05eaae1fd&oe=5E265B2D","undefined","",""
"https://www.facebook.com/ezTravel.tw/posts/10162412281425182","1571490001","🎅🤶想回憶童年的夢想💝
就去芬蘭聖誕老人村🎄🎄🎄
🇫🇮聖誕老人村 旅遊團▶ http://bit.ly/35Ir3aj

 來到位於羅凡尼米的聖誕老人村
不僅可以在專屬郵局寄出紀念明信片📬️
一年四季都可以看到聖誕老人🎅🏻

 這裡剛好位於北極圈分界線
不僅是打卡熱點📍📍📍
還可以拿到「跨北極圈證書」喔！

📱APP首購滿額贈超好睡頸枕
👉 http://bit.ly/2n9Itew

#跟團最大網一站就GO了
🎁手刀交朋友，月月抽好禮！
>>https://line.me/R/ti/p/%40efk0730z","1571605340","/ezTravel.tw/photos/pcb.10162412281425182/10162412261465182/?type=3&__tn__=HH-R&eid=ARAwKcJQlsSlgFDOnz8ckXNLK9bsCq3a9r1m66AlUIQNkXEs993yK1FTYT4iBeXmtLUPv2Qo2PQJvPMt&__xts__%5B0%5D=68.ARDQTD5FwQgA_lv4kWTHIbYSZo3HAXlL0NX9j0imq4jVC7p0QFYQBI8sOUp7W29eEEJj4mBVdLkbbIwSFJVoEGrfW1dI2U36zm8uAcL26TTAJ76XFILdEn_UP2YAZ2mgHDkyHKyDI1es0d5J4yvMtr7OLbfZmDrx8bFgYnb1Ipm55PP9VPuoU2F2538p0dFZpzcxvdTLEE1RL4WmMbYtA37UtPzxff0zk828XM0Z3E2ItReD0vOWicSsNAF7Ycao914kcjrkwcYnpqVB22I5j-mjophjBDMl0SsTfBESOzVhfecf71dVZ_i2oynQQNisxVfEmRy-7bMzVHhwrWmg","https://scontent.fhan5-5.fna.fbcdn.net/v/t1.0-0/p235x350/72763916_10162412261475182_7090365104406921216_n.jpg?_nc_cat=108&_nc_oc=AQldbRwV5sadzxMd2xnaLOuPY5ftLvcgtkdFnNRd-2UhJA5oBTxL5dT9d2aWZEwd8hM&_nc_ht=scontent.fhan5-5.fna&oh=cf5fb4c81086508b3a5cf58d3cfe6b97&oe=5E16F78E","undefined","",""
"https://www.facebook.com/ezTravel.tw/posts/10162368815645182","1571054402","【#抽獎】最後倒數水舞間超殺優惠!!!
最後一週！買水舞間門票
🎁送8字摩天輪/購物金好禮二選一
再不搶就來不及啦~
還不快手刀下訂👉 http://bit.ly/2OtoK4I

 【加碼送禮券，收假不憂鬱】
10/18 前於活動貼文留言『走!我們去看水舞間』，並tag一位朋友，就有機會獲得7-11一百元禮券乙張(5位)

 注意事項：
1.於10/22於易遊網粉絲團公布得獎名單，得獎者請於指定時間內回覆聯絡資料，逾期將喪失得獎資格。
2.得獎資格無法轉讓，獎項無法轉讓或兌換現金。
3.易遊網保留隨時於網站上公告變更、修改或終止本活動之權利。

 #旅遊最大網一站就GO了
-
🎁手刀交朋友，月月抽好禮！
>>https://line.me/R/ti/p/%40efk0730z","1571605341","/ezTravel.tw/photos/a.309257715181/10162368787200182/?type=3&eid=ARDx6Lu-L51zreqNxR_BZOQb0yc3WQS_kaIpEECRny1pMHjXNvhbXr5i2ohM1Ekx5T3bnZjE1PXfnHFu&__xts__%5B0%5D=68.ARCVPHqlavEVQZEt6ikefJmkHXtorLU3OkpG4cMRNDyU06msXv9PqYVxdBIi9Xy4JCp_D-iTpJ_I9v7tl-Rh9Ne6NBOp5l0-PAD_cprRAUJvGPVAPlImaC6_x21cCFXCghX7hNFCkedydceB_ZIFYYhNBZu6Atyu64UCM9lLhmMb7Np1KPiATQQ0o1q062N5jiXLCUh0-ghpyIAF_6rO1pYb5p8KhqdL0sNQdrr6fwewIrPbDVvjFLg5qBGctyU46mqweigkXpMg-vyZyAnueILGxICNwV1vRgmTOdeTbFdIVEmZX9oe4jnOG-Og5U-eNJmTXBO6CiYtHAgdh1Yo&__tn__=EEHH-R","https://scontent.fbkk2-7.fna.fbcdn.net/v/t1.0-0/p526x296/71771186_10162368787210182_9076380565015363584_n.jpg?_nc_cat=101&_nc_oc=AQk0JfS2broztU8JKYYaLQIOoSuBlDiaQTP6wT0lJxh3mB5OVf37AJVrfVzxkMkLEdA&_nc_ht=scontent.fbkk2-7.fna&oh=8d6afb107f8d8bed95b445bc8daf86a9&oe=5E287939","undefined","",""
"https://www.facebook.com/ezTravel.tw/posts/10162350783655182","1570530601","🇰🇷首爾秋季限定 #奧林匹克公園波斯菊花田
一大片橘橘黃黃的菊花田，又要殺光底片啦
首爾便宜機票含稅6,066起>http://bit.ly/31L6xDB

 🚈交通方式：搭地鐵5號線至「奧林匹克公園站」3號出口
記得要往「玫瑰花園」前進，離花田最近喔！

 #機票最大網 #一站就GO了
📱APP首購滿額贈頸枕
👉http://bit.ly/2n9Itew","1571605341","/watch/?ref=external&v=942178399478936&__xts__%5B0%5D=68.ARDZ_xx3BBgGv9V_fOrgraN18HG6wbKauADKDj2BaQol-JhGab8IJ0E_F4DChyNycdk6K_CYsGshhYqL-VTR2KcFbnR-d-SY2DzbR2_JIv88tFIYaSfEFyBwb8hdFfmue3RBRpas0UcO1ii_87eYBmiRLskI-5GU0yXRwo1i7XXqQvwn_74k_jrJc2_G2TGUnQ5uZtvRJEN5eHl7OvUkzQD02T17ofBbuyP150TdhY1eFrn1EdInypu5jBbvtMWKpBWcl2DdCPiQSB_Fi3j_x8UaVA_weufJ_NfheeWnTVBmQ1tYwlU3OuEYUxqwC9f6M9dLMT7C7dHihn9xnlAz5aAGn4jslYD_kWh7ePqpiLs-nPag6mAdjt9d4DAuqOz_qeURRmP7CLJWohEJ-Y8gD51Wp3tlqWE2lwhm1asrsw_lh_QoGLdIXGfEwdWF-h79RwBeNbADkxJLxcpOaMmddvMK2E6WHzjdJXL66qyRGMcfxNnCLBIm3Vf6Qh8t&__tn__=kFFHHH-R","https://scontent.fbkk5-5.fna.fbcdn.net/v/t15.5256-10/69401886_942179756145467_4523649436651356160_n.jpg?_nc_cat=100&_nc_oc=AQl7N_TUU_4-G-73nGuXz1-e2THKgIADghtN8Cp6E0FgtqdckaqLnTHaacg9RdgcQZM&_nc_ht=scontent.fbkk5-5.fna&oh=a480d3144ee4f02c4ad55f91c87d24d6&oe=5E270D30","undefined","打卡位必到!​ ​首爾波斯菊花田​ ​秋天限定","โพสต์โดย 放假去邊 OpenHolidays"
"https://www.facebook.com/ezTravel.tw/posts/10162396685290182","1571047201","🍁賞楓聖地紅葉開催中，11~12月才最美喔~
攝影迷必追的📍福壽山楓紅來囉
現在預訂武陵富野+福壽山行程
維他命C滿滿的水果禮盒送給你🍎🍐🍊
👉http://bit.ly/2mjpzkw

 🍂機關團體賞楓去，歡迎洽詢客製旅遊
👉http://bit.ly/2kLuOch

 #旅遊最大網 #賞楓一站就GO了
#1231前APP首購滿額送超軟Q頸枕","1571605341","#","https://scontent.fbkk10-1.fna.fbcdn.net/v/t1.0-1/p32x32/18301043_1491848967534112_2364779089954619863_n.jpg?_nc_cat=1&_nc_oc=AQnDL0r1wcPtq8IHC0wkY-pFlpEB6JJ2gFrxNpWjqVhLJjBHM_5Cyg5SLbXUKR4imFE&_nc_ht=scontent.fbkk10-1.fna&oh=0a2f635ce652275c47fdf8339a964a45&oe=5E62DED8","ETtoday旅遊雲","ETtoday旅遊雲",""
"https://www.facebook.com/ezTravel.tw/posts/10162405601480182","1571369400","#春節韓國機票
老天鵝🐧釜山好玩景點爆炸多🤯
還好春節 #請3休12
一次玩遍釜山嘟嘟好💪
🔹春節飛釜山含稅6,330起>http://bit.ly/2BgXnD4
加碼推✋首爾含稅7,655起>http://bit.ly/33zvUbJ

 #機票最大網 #一站就GO了

 📱APP首購滿額贈超好睡頸枕
👉http://bit.ly/2n9Itew","1571605341","https://l.facebook.com/l.php?u=https%3A%2F%2Fcandicecity.com%2F14184%2F&h=AT1Yd3mNPxOTWe_AYV6XdbQz3NChtfPaqN2KMpNmhXpN29zf7NijYKppdQpf3ASxV2Gx1sqBUhI6EkoSpyp2RogAYHPqXTv6kALWltawJvhoef4NNmTsgLcb_1L_fmX0kuNf76qfuIrDqE4k8C2rGz_u3_lheFhUtAwxx7nGfpsV_XdBXoeYtePyIyYotpZLQyVRlxPl1JaIgZ8eu-0XPeV99SoezK6zcvCGxpINSpdrDmRSp4sg7QjGLE__ehw_dc3t8mmYQ-vNUy95UKgMFK_z_ylamOStYs2vFOaar6a3rT04YdpM-Syduku3Zj0UAfZVrcLMDCfQD2ySVWPcOkoztisPKxLigHmobhe9JfDfXqtfZ6nEc7JyjxeXnG-68GBWcc-UtJTlhUryLe6ieiFyLitrBxPMoaXkJ4lfmnYXIdC_-2N0-gUTd63m231_zdRzQHdC5fJ2MPpBVrqv2Ol4xy0Hu9QIXq46AqxwXF4z5QewTJLI9pWPd8GbezD--2_uwrEz8T4AQ88EAjX0wwc8kno0VJyn4D3gYzibTUdX0Lqu71XzdpE42A8F2rIG8ABSA16poCYSKKPkmKv_e5z5N4Oxe9sRNgi-2x9skjM6Dv-3bHKzUkq7GYZrNuciKUY7rY2R","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQAq3o_XeEuz6_EG&w=540&h=282&url=https%3A%2F%2Fcandicecity.com%2Fwp-content%2Fuploads%2F2017%2F07%2FFF.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQACpZHaV8aX7nV-","釜山景點地圖》24個必訪釜山景點推薦 釜山自由行攻略! @ 陳小沁の吃喝玩樂","釜山景點地圖》24個必訪釜山景點推薦 釜山自由行攻略! @陳小沁の吃喝玩樂","本篇要推薦第一次去釜山自由行玩的人要去的釜山必訪景點！這次去釜山自由行做功課的時候查的釜山景點地圖，分北南浦洞、西面、海雲台三區塊，總共24個必訪的釜山景點推薦。我去了五天四夜，也才踩點了15個！還有一些....."
"https://www.facebook.com/ezTravel.tw/posts/10162416995960182","1571459401","❄日本滑雪專家帶路🏂雫石王子滑雪場篇

 ☑曾為世界盃場地專業度不用多說🏆
☑雪地裡享受雫石高倉溫泉超暖心♨
☑邊滑雪邊眺望景色壯麗的岩手山⛷

 詳細介紹看這裡🔜https://bit.ly/2VRjqK1
更多粉雪天堂等著你 🔜https://bit.ly/2ogV28i
👀滑雪3大樂事攻略文看這篇🔜https://bit.ly/2nk3qU5

 #旅遊最大網 #滑雪一站就GO了
#APP首購就送999元旅行頸枕
#10月下單省5千再送UNO洗顏
UNO Taiwan熱雪贊助","1571605341","/watch/shizukuishiprincehotel/?__xts__%5B0%5D=68.ARC9Yf9a4etcfGriq5GYVpPBhAW6cxrdmd-ClQr0c33OSRKGJ4isJoy5WF5g-rEtoSd5lCemWfI4beXcibC1bgLc_8UwvgsC1gzWasz9Pbq_rpaNQ9TAPlSjr2fpBnwc8Z0tBr75jxfR_HadBdUF3jOEJRclY13-6vFp5HpEeT5UFssxA9of-D22dGvAlpqzYfug6BmeHoXD6ajlSXE8ITkft0KfWwxv2DD3duvcr5Ue5eS5oGpLUYJgK8DTYEjUekNNGTA8lmLPcX6JQf50UdorRWD4d7ilKsjlXDFYbVUGJ0wLB4Jc7S7nfJcS82aWDLcRLwroeeg9ZyVseybwIBsEUS-gQ380DEDNFXBOC0SklBA9_cRiULS1hTgI2W0D-RVHSm3kJCsnYd2uM55EscvItBgNKXSUOyIgx_oLxbFEbbtK8L4yQTzoFsDQyrAyq7MZRY80jMEFzXmDpah6dDMUysOdO2U-Ae_Y7XyANrktilx-PUaDC7Nwj6k&__tn__=kFFHHH-R","https://scontent.fkkc3-1.fna.fbcdn.net/v/t15.5256-10/70062362_2197084113924614_5390757270189506560_n.jpg?_nc_cat=108&_nc_oc=AQmZwmAzWyZt5W1UjXL4h9WLW2rhWhiW642HckEH9T5lA5X72RcICBUzypRgOYmwIOs&_nc_ht=scontent.fkkc3-1.fna&oh=4d9e94e8c676177c066ab3fd82568c3e&oe=5E20A038","undefined","雫石プリンスホテル Shizukuishi Prince Hotel","รับชม 2,075 ครั้ง"
"https://www.facebook.com/ezTravel.tw/posts/10162417615320182","1571572800","😮韓國換錢新招☝
最近要去玩的記得試試看～

 🇰🇷韓亞航空首爾促銷🇰🇷
未稅價3,895 起▶ http://bit.ly/32qOtyX
出發日區間 即日起-2020/03/31

 #同場加映
📌釜山促銷機票▶ http://bit.ly/2VSDUSx
📌濟州島促銷機票▶ http://bit.ly/2MR9FHD

📱APP首購滿額贈超好睡頸枕
👉http://bit.ly/2n9Itew

#旅遊最大網一站就GO了
🎁手刀交朋友，月月抽好禮！
>>https://line.me/R/ti/p/%40efk0730z","1571605341","#","https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-1/p32x32/36187839_2062018104119157_2118514428595929088_n.png?_nc_cat=109&_nc_oc=AQm0uPWVLRvaOV4hi2Pjgqw-kMMcOGKU4NShdGr8dvqXS9hnVt9Bg7u96RpYW3FCuh4&_nc_ht=scontent-lax3-1.xx&oh=ce0566112c95d5a829a1305b2f090df6&oe=5E2E6C2D","PopKimchi 波波泡菜日記","PopKimchi 波波泡菜日記",""
"https://www.facebook.com/ezTravel.tw/posts/10162417666940182","1571482800","#這是抽獎文 #長榮線上旅展刷花旗
最划算的機票省錢攻略，線上旅展開跑！
春節機票&跨年機票買起來🙌
㊙10/31前刷花旗買機票好康多重送㊙
✔消費滿額送500元7-11禮券
✔下單不限金額抽菲律賓機票
✔買德威航空機票，加碼抽韓國機票
點我看優惠👉 http://bit.ly/2BjtPEO

 👇小編幫你ㄟ好康👇
10/22前於活動貼文留言『搶機票促銷的心酸事？』並tag一位朋友，就有機會獲得7-11禮券200元(2名)
範例：@易小編，搶機票促銷最擔心電腦當機呀!!

 🛎注意事項
1.於10/25於易遊網粉絲團公布得獎名單，得獎者請於指定時間內回覆聯絡資料，逾期將喪失得獎資格。
2.得獎資格無法轉讓，獎項無法轉讓或兌換現金。
3.易遊網保留隨時於網站上公告變更、修改或終止本活動之權利。","1571605342","/ezTravel.tw/photos/a.309257715181/10162417641920182/?type=3&eid=ARCSwZ_93JoEiXCgzKl3BuLcm-udeQKUL5qS9bhDWP1koSfZWkegA4a0SCD0MdzskNbXLBEr29_U-x0q&__xts__%5B0%5D=68.ARD2Au_qAP5G1jTeO3MfBVKUm-Gm3ily58S_5-hTzOEGLXr5YaWHG_aTaR49_Br3TKpM2C5Yy3X0kxBRQSLAB-f-eKHDKN8sKgknwBv59FmFCWuWd1GHPaDRrGZq8ptmsKpwXsrwtftVLmX4qAJonnyI1LAyxLuT8PCYCfo_Aj5ApDXP8_bimughV_oRccazan5NKrnttUQAGjZaQUH6XDvyiZ2eZgPqGV1rZnkH-QUEtSzPGCm7RSMvHJsyRXqAR7E-d24eJEQykQftO6OM-eZrmkMXOODgMdMOWpDS7rCNJf6MSdafqqOGDm94V7DkxucFhCV0xWbsa2ylazxe&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/72839746_10162417641930182_2019842932269383680_n.jpg?_nc_cat=104&_nc_oc=AQlPZV_DotZfvxpG-ANja6_Hr8u5g0zCuDSR5sgyKZ1wde0asQ37cnMge_UnkvNaJ4Q&_nc_ht=scontent-sin2-2.xx&oh=b49a1db4a78e0abfef6c2e590a44ae1a&oe=5E21E35E","undefined","",""
"https://www.facebook.com/ezTravel.tw/posts/10162404986850182","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
