url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/Seiko.Taiwan/posts/1346926025484639","1567735800","【PROSPEX快閃店周末活動快訊】

 周末想好去哪玩了嗎？9月7日至9月8日14:00-17:00，SEIKO
PROSPEX快閃店將有免費深海VR體驗，試戴手錶並在FB上打卡還可獲得SEIKO運動毛巾一條(每日限量200條)，誠摯邀您一起來同樂。

 時間：9月7日及8日 14:00-17:00
地點：台北統一時代百貨1F連通道口

 #PROSPEX
#PROSPEX快閃店","1571476210","/Seiko.Taiwan/photos/pcb.1346926025484639/1346925445484697/?type=3&__tn__=HH-R&eid=ARAHPyg3DP2cAX87Q9w3WVKDlrRCAqMaUf5Pqvcv1tQA3Qk9HUWNz61EZJMtexFBQDj0YTIQB7njG8jg&__xts__%5B0%5D=68.ARBQVL1LtkIuJM1td7w5IdxS3Y4DbMN26mvaBmEOOIFeWdFrEKkgQ9IddbHzuDUo3M03n3ADE2QfPqsZ-cnarNfYOdbcR4kkpfmTcON9QSxpuLLBXRH1Qjru3n44__lZubueiC-AVpuIEoi3iXC4nzvkd9bwTIbnHI2k_vPCbnvm_0ZGORLR-geZs8BhM-fSn_Z2r8XEPGnHRKcZh0UxReVQWEHehUwTh7WJJ27cRUjSjymgY4x4FQduOO8uzV_CzNBK3h3LpDXfNVfSgYkgK5QT3_qF_tAEPYmmzlCFGSqkVvZJnltpUfyv_R-jOrKTuyrKQJqWKVJS68lx3USLqTMEvQ","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/s526x395/69427629_1346925448818030_2823368920361074688_n.jpg?_nc_cat=101&_nc_oc=AQkVyjxYZL8DChBtmoXkczt3Irw0Xait4JCBBSSl_UbI3WgfaOV6tB7NqMsGcGIc02U&_nc_ht=scontent-sin6-1.xx&oh=6ceb2862c2dda13c0cdf25f1eed4b261&oe=5E2E1932","undefined","",""
"https://www.facebook.com/Seiko.Taiwan/posts/1347756278734947","1567748852","","1571476211","/horoguides/photos/pcb.1120135731529825/1120132151530183/?type=3&__tn__=HH-R&eid=ARClJCsi9eNP_8NN_ddNDqfQKzB87BsJ0PCNtzpZ02vPT2CqnIro1vWudzDRVZ4IJPyVTUI7xr1Oq45E&__xts__%5B0%5D=68.ARBQLm7qUc_qexIPEoiH7NofskL6Y-g2JXxCZ0HI8FcwxJdTmja1Dxgk-P8E7yKEBEcXByljtQ9uc_ZgOjlJUHd4ZtDVJ0pjLfKk2e8Pu_rt_9qHYkGj2WSy9QOu-rRf5dvS8mt7KcrUdDt6TTv-Vw6ubAf7stqvrk0I5osE0VqjophFNEIFL_kGOZnGgeSYQKPNf1NsepdRcXMJzp7lMkO-FJPNqWmf8hkV_wOFs2CJwbchX4tx7QjNwva2vIteMFNOonOWC1_pus4HeHqxVhzKUiDs2fEpkighM79luWNM_R1ZySfsW9nnL52ZiG6Lh0A45ABngLKfPJZrsGM0Qv6gERrpO7tPoxRqDEPLKm7R-adogkNkExBpitiF2NTFppEiTy-lr8ptGrX55NjJuytM4XsFSKgOegnKpv6ToJEDNQK6pXFNjQMIxBoYaSbHi0HoblJHRFsYxoaMua9bw8r6uNed3LBZZ1rYI1hgJ65o50snOcwzXJUU","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/s640x640/69567010_1120132154863516_2720042285076054016_n.jpg?_nc_cat=108&_nc_oc=AQkPijW_DOBfmN1RrXbmAgii3yr1mxrshM09uUM9Lms7jn6Am03hh9sq8SH07eYyO9g&_nc_ht=scontent-sin6-2.xx&oh=7e51b9285bb85b44ad7eadb3ec81bfac&oe=5E2771C4","undefined","2",""
"https://www.facebook.com/Seiko.Taiwan/posts/1366895993487642","1569763650","爛品牌……同事送一個石英錶不到一年就送修，竟然問我保證卡？網路時代還要看保證卡？根本就對消費者沒有誠意
爛品牌……同事送一個石英錶不到一年就送修，竟然問我保證卡？網路時代還要看保證卡？根本就對消費者沒有誠意","1571476211","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/Seiko.Taiwan/posts/1352388201605088","1568253092","SPB077J1 / NT$ 33,000
https://www.seiko-ec.com.tw/products/spb077j1

 留不住夏天，只好留住你。

 #Seiko #Prospex","1571476212","/Seiko.Taiwan/photos/a.270754029768516/1352388174938424/?type=3&eid=ARDRKnxyiHJmJUGzO_BTEczHGPlst7NN_5eCHUD7FxUV-IGZ8bgMRL9zX5DPFYLEsLjYEj_HAhcgj_lc&__xts__%5B0%5D=68.ARCT-fGNLv2Uw8BuXGUv31r9gnzT6P9oQ-vycy1o-bVzYh5BMZSvk2CVmsIFGAwZBJmFo7cIaGLcC95ZS-zMixIowxWlvHFh1Wkg7X4k_J3OjO-NcCHtplS3vhKGZEFmzsyfu00pNZgSOumkZcoWqgycEGMNd6sl_9EG12EuTa8iW7htx9Jz0KmqEQ-slDCEjQtFsSDBkWAdOItaxraEyE4-nFqc7UYm_JzUfSAB054EveqbcZzxIXMMdbdNdy3ZbUMwgRH2Qe4yRoyIYSSfQ_CvMpoZZmoFJE546Q1XmgB5W8QzNOYUBkbVb7CPGdhjGEMt06OhHLbkmAfDU7YIzdesyA&__tn__=EHH-R","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-0/p235x350/70696099_1352388181605090_5392940822972858368_n.jpg?_nc_cat=111&_nc_oc=AQlxfb1bxSAwh_GrS3L4JwAZy_W4SxrVvsuBqh3TkwJ3CJQyEa4nK4N81RppLA6IrZg&_nc_ht=scontent-cdg2-1.xx&oh=90cf23e89ad3ab53b4cd6adf3aab5226&oe=5E2E7926","undefined","",""
"https://www.facebook.com/Seiko.Taiwan/posts/1341004342743474","1566985870","【阿諾電影配戴經典款，好評熱賣中】

 1982年轟動一時的 Hybrid Diver，
今年以新的雙顯機芯H851及200M的防水強勢回歸～
絕對是今夏必入手的潛水錶！
這邊買➲https://www.seiko-ec.com.tw/products/snj025p1
官網獨家款➲https://www.seiko-ec.com.tw/products/snj028p1

 📢線上購物網好康再加碼
為喬帥加油～美網集氣活動開跑！
即日起至9/8 24:00，購買任一錶款皆享85折的優惠，
同樣也都有五年保固的服務💯
全系列錶款➲https://www.seiko-ec.com.tw/","1571476213","/Seiko.Taiwan/photos/pcb.1341004342743474/1341003712743537/?type=3&__tn__=HH-R&eid=ARC-1KTwG9ResCg6v_4PS8hwHMNEmb6PiB34VSyvIhTJV7QHKfS_5unT8GLAH2SUqMRKt8UsyinGjR99&__xts__%5B0%5D=68.ARAMhSQVkAoDU0FVyCJb2UhBoubrFYRlPxu7hJzLEa3RFUnZbQqXNkMT5-JYD0PbAvMCfYcHAf-kgC_U3G2yvFSuj6S2lIIvtp1KqDGTcH8HglgKrlGOZbli8CHNN6FKvlRZ6ESWEmurkTzu2d8KjFytSQ4u8iwoUgpau6cjnPYy9pntvDkVWImY9e9R0FtpvsCMITgbp-WmB0GQgbcws-ed8K2h-KfmMkffgRXVieNoCoZEILm6Vib7BZ4dBoHWSufa0iwZ72dJzliBTJxaFTGJG4e2oNpl1FwWHYVhRTT-f7ZEBf37l5iz_cASlzN6L-Pl5hpOriD32FqAKgPMWeqKJw","https://scontent.fkhi11-1.fna.fbcdn.net/v/t1.0-0/s552x414/69355095_1341003719410203_8544521373043654656_n.jpg?_nc_cat=106&_nc_oc=AQnlptYbA1Aujc3i8Lu1LsizBuyMfUdp8SV9xccH6zHyGSw06ZuP-dzcOodsxxM7rqs&_nc_ht=scontent.fkhi11-1.fna&oh=cb8ec7ebd1ad15aaa6d010b522e797f7&oe=5E28DAD7","undefined","2",""
"https://www.facebook.com/Seiko.Taiwan/posts/1358239751019933","1568880279","https://www.seikowatches.com/…/produc…/5sports/special/jojo/ 請問聯名錶款，台灣有機會會上市嗎?","1571476213","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.seikowatches.com%2Fjp-ja%2Fproducts%2F5sports%2Fspecial%2Fjojo%2F&h=AT1FSPslGNkEfYjsBYhKu1WTDE4h5uZqLw9Y0j-O94h7edf0HS6dJMUbweil87FJCG28XTXRweWXbHFF8_fuyhXYdp8EACPgbYbreMtBbsCXi8yb3VT9VtUOLYS1r_9QQiOqjP-BUBNzFFa-uFoX3-iCfqeUrsV5yyFYUAzdNzaDIQ","https://external-cdg2-1.xx.fbcdn.net/safe_image.php?d=AQAcaWCUmD8y3uns&w=540&h=282&url=https%3A%2F%2Fwww.seikowatches.com%2Fjp-ja%2Fproducts%2F5sports%2Fspecial%2Fjojo%2Fimg%2Fog.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAFLZaHjKRl4rpO","Image may contain: text","＜セイコー 5スポーツ＞ TVアニメ「ジョジョの奇妙な冒険 黄金の風」コラボレーション限定モデル | セイコーウオッチ","＜セイコー 5スポーツ＞2018年10月から放送されたTVアニメ｢ジョジョの奇妙な冒険黄金の風｣と<セイコー5スポーツ>がコラボレーション。イタリアを舞台に戦いを繰り広げるファッショナブルなキャラクターとその分身であ....."
"https://www.facebook.com/Seiko.Taiwan/posts/1362222573954984","1570075380","SPB095J1 / NT$56,000
https://www.seiko-ec.com.tw/products/spb095j1

 有田燒充滿瓷器的溫潤與立體感，出自傳統職人的精湛工藝。

 #seiko #presage #有田燒","1571476213","/Seiko.Taiwan/photos/a.270754029768516/1362222427288332/?type=3&eid=ARDLKRrNsLxE6InaxhaUyZTuCMmx_tFfZ2J7-xqk8OnX0PfvrtBkzDfQbS81yn7Pa-kGzbJMGhKR8P8O&__xts__%5B0%5D=68.ARAA-fnXYTH4IRcQSzYCrqMdk9Sr4Jr7Nooe12D4g8vpnqYNh7bU1bB7yV5Vvarxe4cWU8cxuG8YMmOASUfGLWwdG6RkwG01RyLJ18z1aObWwWzXbd0MVLRWfmz_N_i9G3XLX2cm8wwlg0XsrIMP8ua2X6cWVPmtOamndrfgtWrVe0_VyeKSEclDQxj5rKKNHyAeVpNZR33ceDA94SPNGgcLR8tVb1peb0bdGvBXC-xgjIMj0xMmXkCA503hL6FrvGXxuzt70xNRL5jKMUIJWkgsqpkN8rKQT9JV02Qd8FbD7is9nCZ7gEmJnzof24KDrH6vpIlrY-pP02Zoro_kJwY40g&__tn__=EEHH-R","https://scontent-frx5-1.xx.fbcdn.net/v/t1.0-0/p526x296/71101689_1362222430621665_6158059224933859328_n.jpg?_nc_cat=105&_nc_oc=AQkNvH6AKC9SbMwV_Bza8jc1HCuNY1aqvVKWQKvkMp3HTD6LSEJwizwk9gDDBz0zmwI&_nc_ht=scontent-frx5-1.xx&oh=4d81a83dcd12a8f14cd120ab4e9cd08a&oe=5E5D86C9","undefined","",""
"https://www.facebook.com/Seiko.Taiwan/posts/1316016511908924","1565010001","SSH003J1 / NT$70,000
https://www.seiko-ec.com.tw/products/ssh003j1

 新開發的接收功能，強化搜尋衛星能力，最快只要3秒只要即可完成對時。

 #SEIKO #ASTRON #GPS #5X系列","1571476213","/Seiko.Taiwan/photos/a.270754029768516/1316016351908940/?type=3&eid=ARAcoQwatLOnjalzqExec1u3Ka1a9DiTRK4gH2D7jsXIOfeayrTfpiHX-PICHBlV51uuf0AoNrneBx7O&__xts__%5B0%5D=68.ARDYvzM_u2KdALybVhrRceHEwYE43-vkv1HUM239XkE2jHMErq0oedjXwNo6pk3su1puZuocpEJyvyupmdaHJgFHdkVT_JkiIz24jg9PwLy1muZtFgCFY8uSD5iIEb7a1WtfbpPlJ90E1O3RRPn-kVNwEJat3a9iwlN2WXaqbQHpqnHHteYl-SIOeTmLXnUuwHOcMfckubx6b85OstR3F6AgjhtsgkCCxtkRkc26N2GyGKGsX_DiZHfYfiTwOi0fbHMxi7RaBMnxUwuJdkpcMdtQi6-b8Qe0QDHGstBFrjl_Vin2VCCeZJ0Qg8yGBdrcPU1k8ulNBstx0-oVXVnPQUjKDw&__tn__=EHH-R","https://scontent.faep9-2.fna.fbcdn.net/v/t1.0-0/p235x350/67078693_1316016355242273_5068064639095406592_n.jpg?_nc_cat=110&_nc_oc=AQkel-r_bdtcZNdqxyV88HjsyjQT_5AJQ3ATSy8BQMGRgxHwtzGTkf94T3pOy4YOVc8&_nc_ht=scontent.faep9-2.fna&oh=aa75d8bd2aad5904c8c22cc417ad9432&oe=5E1FD983","undefined","",""
"https://www.facebook.com/Seiko.Taiwan/posts/1335569589953616","1566360600","【Seiko 5 Sports 為次世代重生，話題系列開始預購！】

 很多粉絲在敲碗的 5 sports系列，在SEIKO線上購物網開始預購囉！
預購可獲得特別贈品-NATO尼龍錶帶一條，還有五年保固的服務！

 來逛逛最新的 5 sports系列
➲https://www.seiko-ec.com.tw/collections/5-sports

 #在SEIKO威秀旗艦店預購也會有特別贈品喔
#數量有限送完爲止

 📢線上購物網好康再加碼
為喬帥加油～美網集氣活動開跑！
即日起至9/8 24:00，購買任一錶款皆享85折的優惠，
同樣也都有五年保固的服務💯
全系列錶款➲https://www.seiko-ec.com.tw/","1571476214","/Seiko.Taiwan/photos/pcb.1335569589953616/1335568186620423/?type=3&__tn__=HH-R&eid=ARAcBFYhdqjkXOxRo3fC3LeXRnsZFcny-EwOTTV6G2UVSO4LNGElnuSwv2-1oMFP99Iwenh08yGWwb9W&__xts__%5B0%5D=68.ARDRrLcxdQeSc47bB_uBdSC6YYEcM2qxEwhrZbDx9-0i8s5QslE3RQy3BxMO_wElZ59hFK-ZKWuf6Ch1Vk-TZcc2OcrEfjPbLwyEHEh20np1Jo7n6fYyHSc9KuW3266p1QzDrHwdN0L1lNj407eRa6s_JMVSuuoranyS7Tz0SdeSz-ISHbaxX6ASKLNmBV1MIn66U8aIbrBARnQJ7bU-dqKMyU1E0l5xeTLi0D0acq1m712ybAv91i19nVC7Q7BxUMhXN1rQic5eWYG1oth0VK6nMxgoc_PzZosBnpY-V8Vok0yrQdV-1TJtMDJMO5Av5kmpl7GERZ3FsvnIJ3qGiMv5Nw","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/s261x260/68726055_1335568193287089_2429573930315415552_n.jpg?_nc_cat=102&_nc_oc=AQkzJG8BuPXZRASBaz6PogtLdhrUfIXfX9JG1UMDmYR7dmzgOb70ucj91Tk60_L9X_E&_nc_ht=scontent-sin6-2.xx&oh=bec5ce5a32564cf88f7ab09876b3d184&oe=5E279EB9","undefined","",""
"https://www.facebook.com/Seiko.Taiwan/posts/1351544318356143","1568164134","","1571476214","/watch/?ref=external&v=578755512657679&__xts__%5B0%5D=68.ARC-4ttJew4ExNqPvDDzcPJ5c3J1FVxsdXav4UhRTIQqGapHvRx9djPoqMV-YLOZ97TCefVsfX0ePV9KSDmwEdioKrKhs4TDJ2-wat06WSmowD1ESUJL3Y4OA8vLN4ccyGUXUvkYfTpITM439muV1IqwpHj10V5zAxI9dMEBt2zQcSt7muQTa3vrcQeoMOurjx0JPb4tK8zbHX8VIoqbypX3ADyXaSgMFKGQFUeMIJ_CxUjLPulAf9xyG-NLJK1WgIHF9tIIXZO1U2FmmgrPzcf9dzVhKN9QH9Uzlv_vHC8k8h42gjXJ1ntkb71t-eT3o_Macvob0L22fMaUeQ9mzXlO-tFsmUvt1leUjXZzvvi5NvdCU29Xq-YZxASAmXfucLcQ6QV1CzElXa8hmZku6DADYpupbHAYe7-U0DIsfOWLrXKMqzDdojMT4mU8JRXz41nl6BO3hmEIj1jRU_eCPD6penwfpT6xtCDxR05LC8LagyoVvBCxgI_Wt94_mu7lxiw&__tn__=kFFHHH-R","https://scontent.fbjx1-1.fna.fbcdn.net/v/t15.5256-10/67271329_578800115986552_138356525990150144_n.jpg?_nc_cat=105&_nc_oc=AQlMwzCdgSMDkrkwY-aheV3po7sXe0VV7b0ssiomRRQM9ilhhs5jrSSgGnqM05GPvcA&_nc_ht=scontent.fbjx1-1.fna&oh=929d1bfe97cb68b602f3cf40c5609fa3&oe=5E239263","undefined","【郭大開講No.92】精工 PROSPEX快閃店專業導覽","Posted by TimeSquare 時間觀念"
