url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/newscns/posts/2302686743377094","1570612203","","1571023616","/newscns/videos/763120047491631/?__xts__%5B0%5D=68.ARBEIeiGkQdOltrlcW47ifvyAtnXNdq5nhlmgQPZU_o_ARX6pMwPBld7t_tWouqEfckLGTeX1guiSYwGaYlF3DpknJ6Y2QcvOLaYCHUYebjG2fiqULuPYJonzffrx9K8XMf7jWpBQ4K9Nv-ejJPELefpC_1YcuWBrSHAEFMjHdyeWtTonwPflA3cjk2vzksj3oZXykS54gv_ZgiP6OCrTEDIv-x3KY_6a6iVWb_I4ZUOh9HRaoJ6edRVIeW3qhpZowEwvngw7HCZTeCHxnR8X4PGLyYZT2qDPJW1vg80BFSVYhK0bWoLpjLFrpEzBgxhT-xDXCgEfkOqLdgPN13UBWLU013zPwc7dbEMMMjPiOHZsBV9CDTyaqM&__tn__=HH-R","https://scontent.fbkk5-7.fna.fbcdn.net/v/t1.0-0/s600x600/53452749_2157526311226472_8876136940429115392_n.jpg?_nc_cat=108&_nc_oc=AQkmcOtuv4Odwd-dYcfyqydE7BLQ17HG4hPJF7UG0H1kxiqZ2RkLwmiLX4OPkBMJNEk&_nc_ht=scontent.fbkk5-7.fna&oh=87de1be2c9ace862b47cc0945ca7b6d1&oe=5E2196DF","undefined","Watch Now",""
"https://www.facebook.com/newscns/posts/2304409926538109","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/newscns/posts/2297966337182468","1570096688","","1571023616","/watch/?ref=external&v=1488503707956011&__xts__%5B0%5D=68.ARC8yRyisWHexWQNdohmOqABDKa9RHX9dCowEi5MECOJqZBz89YPf4xGUOc8r6l6s74X3OnQQglgsmxEuOexVbZOMy4SVKGKoe62VYRbPHlaREV8boIolHjZOpHFMJn6Z8DuY202v1h90q9I2LQWMg3CHCyoBJ17_J5U3EBBtmw6xzluvXpah7uKqDqzWxltTiCIoRcC5mYGDYniR2t1dIswhqpSfgNA6-P1lhM0s75PCHkfIsuVDI5kxbZKqFtTr6nc243gU33Nn7V7T6mi9CubQCKQ_jQe-xaOuiW-uPv6s2M4A5fhlhgx4nTGdHK37AIMAkpPzmZ0uFCsrKIQPesgt1VbE1xYJGZlrsGJsJXgy6crfQRmTiG7B0uzl8L99jJUTKcoo4CERmFbCJ765VhLBO4DyMVwp6uRRW4_XIeFkJtcbCk0N8AsMVjrhkIdZa4Fd5u_oPC4oK2IVvw0t2B-FdWC2yY5pApmhPBB6Fsz8OGfhzrupBWVdoWus1lUOev3fyvdiw&__tn__=kFFHHH-R","https://scontent.fbkk5-4.fna.fbcdn.net/v/t15.5256-10/70865556_1488504911289224_6891944251056193536_n.jpg?_nc_cat=110&_nc_oc=AQnmkDjGJbLKegzzG4MkIWLj8XzZDsl8aaB8bFNJ4-p8qoMNM0BnUib-BvKzQhzosPY&_nc_ht=scontent.fbkk5-4.fna&oh=425ee5bb2fab80728d52fb85c649df08&oe=5E36862C","undefined","基隆慈雲寺農曆9/1-9/9－祈安禮斗植福法會  趨吉避凶延命保壽","โพสต์โดย 中嘉新聞"
"https://www.facebook.com/newscns/posts/2305226343123134","1570888099","連假人潮擠爆潮藝術 男子漢便當秒殺

 
2019基隆潮藝術開展以來好評不斷，適逢雙十連假，更吸引大批民眾前來觀展，也連帶帶動周邊觀光消費經濟。今天中午登場的男子漢便當，開賣不到1分鐘就被秒殺，讓很多買不到的民眾抱怨份量太少，希望能夠追加便當數量。更有民眾特地從台北趕來排隊，也幸運的買到，大呼太值得了！

 
基隆市文化局表示，很感謝大家對潮藝術的喜愛，週六推出的周邊活動大部分都報名額滿，尤其是不務正業的男子Ayo運用在地特色食材推出的男子漢便當，更是一開賣就秒殺。但是因為便當現賣現做，因此真的沒辦法大量提供，要跟向隅的朋友說聲抱歉，但10月26日還有一場，歡迎大家早點來搶購。

 更多展覽與活動資訊詳見2019潮藝術臉書粉絲專頁：https://www.facebook.com/keelungciao2019/ 或
2019潮藝術官方網站: https://keelungciao2019.com.tw/。

 發布日期：2019.10.12
聯絡人員：
文化局展覽藝術科－科長汪彥奇","1571023617","/watch/newscns/?__xts__%5B0%5D=68.ARCHEpyscYqjGj5ou6GGfM0sio0waK6y9SzHHol-VUYc0Ql5gdKZ4KBQngLvCSUje_Yc4oglryazecT3TjiiO-umKkUOJrCz4f_LkVmdYOabKuT0z3JNlyTAyAJg_GGkeKpEMiCvgGkrKk8TyTNUbUPFbUu0NPQ08fLtHEwUQO8aAar4sg9BFq2VoEFs3Nf0eWFl92nkC7UbzmQj-rn805X4G6gUsB10-teePQd8fVF-QYz5j7-oozPWDymyVhktIHqk4MRcMbfXQb9CJNkPKp5ZIwIHOUzHuQGi6YLGpltWF99v9pIOktnTZ3Y2h1SdQiKD-a4kFn7o31udHbgk_do7hX1H1tHBzlb-Fg&__tn__=kFFHHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t15.5256-10/71573434_1002125783463555_399917968437280768_n.jpg?_nc_cat=106&_nc_oc=AQldKAq1bkuUjdtFONqEYzTEgHeOpT1fQ42lv5zf88GhhYpk2UK4D9ZJDnUyO4J0KtvqEvVQpMaDAILL_30aYNQW&_nc_ht=scontent-nrt1-1.xx&oh=6f9efe8e1916ba2877d121b04230a6de&oe=5E219ABF","undefined","中嘉新聞","1,088 Views"
"https://www.facebook.com/newscns/posts/2302669673378801","1570610292","","1571023617","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.mook.com.tw%2Farticle.php%3Fop%3Darticleinfo%26articleid%3D22040&h=AT3R0_NZFaP6blgjLp3QwzHzWkbgSupt7VgnYBfLxXeSHKK-D6le7fL3lgr9eBIQqiVtdO33WYMTDSYU7ELd6fxRs4h2APKJMI5dUh-AyhexVbYfwcXMneO82QgKyAXEdl7DyxrMVYV8kJu8kODGHBssexLIN3O1PBoT_WVz6t_znKsF4T1Ur9dl_LK1AnV8XWctlrdw8dKme6y8d2q11K8o_BFo9rdB5QXIXjw_3zjjsvZ_X2x_hEeKMB3SffliPlTdunZVmKR_gYsx_WXl0PsK0Q0iX9xQhp4nS_7VlFGnAKCgQU1HWD5XJ0vyFLqAysfJ3XGvb6qW3rThcpRB8b5mIy06R8D8DB3kTe--ynvw4xJClP97qddKdAgcoKADblBPBOICBtRvoHOFRaas1PRuMP9s0bhQNoQJC3c7ZdnVY4v5OeI6cNW9OQeyfxfp3y9-OIbxqHbo0ilR71Twxu5jBXlFT4lW_uSiFTQI5xEwIqX1vMfpyDp3UEMFSg5SpFK3daTX_Zr-gcwABrgqrWvsnlWf_BMAQ08kEb1shQ_b6ILFfOgjVbr01zg9EwrIF4aDNHvmjRUkirqHAW1L1uURkkdUOwsWddqQe2fQltHo5hkMUVq5WJzCaN5ewVYcGeDjwM9rZjbenqm3UIyJCmpaytHii_9l7cG0i98_c8pIB66hQTbQOz0VccR9dyK1ODWdoqCOdoOMNXaumqiyuoYX4KsIRoC3yjQQP71Hm9FWoBhqOjPjUQcw1mpR7rDCHaFgBMwKIxcNTgVj3_ZSMAZxEnbsUbrbX26QFnUdryQwZuYeXVP4Ti5KPKAdOS17BrbbqPcTqDWFalb_gqzsM74b3LQF1zREuP-Q5EgKkUSqyPKwKYgqNvtJEQ","https://external.fbkk6-2.fna.fbcdn.net/safe_image.php?d=AQD2c_qGAQKdo8Vb&w=600&h=600&url=https%3A%2F%2Fwww.mook.com.tw%2Fimages%2Fupload%2Farticle%2F22040%2FA22040_1570245487_1.jpg&cfs=1&_nc_hash=AQADGAvX59W8f3zB","undefined","基隆療癒一日遊！六大自然系美拍出遊放空忙碌的工作讓人喘不過氣來，假日就想出門走走逃離城市的喧囂，而基隆不僅擁有豐富的海港文化，還有各式夢幻山海美景，以下六大自然系景點，週末出遊就來去大拍美照，療癒一波吧。",""
"https://www.facebook.com/newscns/posts/2301912163454552","1570527253","","1571023617","/newscns/videos/760325864398261/?__xts__%5B0%5D=68.ARBC1_Y0XV_J8SaAv2ZqM6WssquBqHBwGnYndRSCmluoAJf2164MRE9GWPZ7OngBLupdgN_l4sMqAtE-f2H3m9bfsyAfc9dytN5OFtUNArwuhhNZ7f8V3cesI_c6Qg_n9XIq2rn836yyhjarEvZP1VxRnzJonCtVvf-yh6oWp4Wi9Xc-C5y2sbhlhN7uveOnOgLyel9WrXAObiZllBfWFDhliVVcE3F_r-Mkjb0UVHdKV2GbX2lQmjUJ2bUkTTOhvXt64Y5y7-olBu9sE1-KXgsoxnBLjwRb4Zco9SRfiATFASMq_JJjx0f3xh9JsEbSW3aCVWTF-IZsJumQFgfXeYvVPfFnemcOl8eBdWDodHQoNJyPyF8eEWM&__tn__=HH-R","https://scontent.fdac22-1.fna.fbcdn.net/v/t1.0-0/s600x600/53452749_2157526311226472_8876136940429115392_n.jpg?_nc_cat=108&_nc_oc=AQmZ8sNA-pO6Mg94wTzUTHWw3Cst0UxeK548lGVMdUNPBiu1XJkPPJm9ZOH5rU79OrA&_nc_ht=scontent.fdac22-1.fna&oh=476927c42b19914f7d6eeb62fbec577e&oe=5E2196DF","undefined","Watch Now",""
"https://www.facebook.com/newscns/posts/2290290101283425","1569231677","","1571023618","/newscns/videos/507316763415283/?__xts__%5B0%5D=68.ARC6pCbAqXQ7TPMMOsPZwNM3XdMcnyFsogAuVWPO5cUAMS16dwFyEnd9CzVDCcCP14qm1la_Iw3aC7gc1eUzgDfn34T66Zy-yqg3_fcuTev2DsF4Tyn4c_8E1LNovbnvtLTJlHY9lA3hxnLr_V_DzDms9S4y7XEb3mNKp85jKNp8Kub6JzMwTCFgSfAE854QhZ4jDEqBvZWjWSVDnzXKcypEsWpZwmwkK9RFc5lhV2pz4PD7_Ah_VhhJGtbql9utwSjSkabAbWMGj3SrpVd5eVe34KBMWlJspcbVsfBFD09PzkjG0uaIKIcKOCHuh9BsJLK5MEpDBmVl_OGXfynJRIwuakWTEP-IfCtolOgOfNc546F_FQZj0M8&__tn__=HH-R","https://scontent.fbkk5-7.fna.fbcdn.net/v/t1.0-0/s600x600/53452749_2157526311226472_8876136940429115392_n.jpg?_nc_cat=108&_nc_oc=AQkmcOtuv4Odwd-dYcfyqydE7BLQ17HG4hPJF7UG0H1kxiqZ2RkLwmiLX4OPkBMJNEk&_nc_ht=scontent.fbkk5-7.fna&oh=87de1be2c9ace862b47cc0945ca7b6d1&oe=5E2196DF","undefined","Watch Now",""
"https://www.facebook.com/newscns/posts/2293319507647151","1569575926","","1571023618","/newscns/videos/244126483161052/?__xts__%5B0%5D=68.ARBjXffwJt01pvt9URsGYO_SfkRGZgngxp6yt8IbkYcP8CzXHqPWmMpMuKaAzYCi4aMbGfeJ6M-ObOWwlMGCsgz6mRB6LZ6tbbhJP1GT-EdMZNDdk_iQ20q4OCZdty3AQTVLJfaxo7BsLLR56awXUln547wSD5QdtukNyIXrNqgIp8WrzvvR3W0WImJdC1AWOREcX00aLMDD1OCNGOtBGs_zCPL-jIY1ZKUUjVjUT0l0aJ55UmZNIEGWvYdJ98UJzec9tRsENkHNkCpK6-T5sxc8RmneMOBif73iGOXbVX_rMlpUUNSm7NB1qTbDTwTBV_7AYwSX6QnfC3XpY1osafwx_ztdbFJ199_8StuswVyjqBO13T3-DVs&__tn__=HH-R","https://scontent.fhan4-1.fna.fbcdn.net/v/t1.0-0/s600x600/53452749_2157526311226472_8876136940429115392_n.jpg?_nc_cat=108&_nc_oc=AQlpq5uNW13DNwzeidEGBvxnCJP19a_v2OCccc9L0mubZokaJSG4IuCMi9auVbW_Vvs&_nc_ht=scontent.fhan4-1.fna&oh=030444bc6dea3decbcedbef67facbc1f&oe=5E2196DF","undefined","Watch Now",""
"https://www.facebook.com/newscns/posts/2303400313305737","1570692473","","1571023618","/groups/336248076557132/permalink/1235023353346262/?__xts__%5B0%5D=68.ARCz6pOGAzMSgRkCrrHst0nbi2cvb6CqDZhKqkgGGW4B0_FtmHSCUJ3v1LjCLma63IoJEwKucwZ-mudmbfK3j05FgnEESRu8k1QU0ZieZqxObCQ7Cvd0tvLIjRcXHHvJfjGvsLaLaJz7Blf3VMtuxsOCKZO_3AuSTdcbIxPHMoSFxOL1-fPgLjd2EOd3rQ1MPb_ZmdRqsQFokRpuNpMm5TspMTUpfyQGAPfw-ygniX_GNYwF3Zb54DcblVZILPQPlMVodqKBiG-XUQEXHaP3HDsXWXmjQTtbWChXt6q4TtBH_4bKCgJ_OnAWkthLapOcNQtFuFLC6QeHgRCOfmuvKOLuyzVEwhLfM3PKX3wOEhHT7no1LaMPsCHmkLnHvV8RmG3jrBx4Qh570m9FnEaKpgQ2eKbJrLTE39JlxXObeVyGlKrz8SUGGexpPQhrMFLd5kcOjHFdWgIO-tB0FiKbrX2Bjpij9mACprGwiw&__tn__=H-R","https://scontent-frt3-1.xx.fbcdn.net/v/t1.0-1/p32x32/35266929_1729150353838647_4428196764910092288_n.jpg?_nc_cat=100&_nc_oc=AQkMu-hITN7LIy8cz0cjJkmDW1-Qh0RDP6KrMOTyRhQWfcn72YtmgefF3AAXOyGPrh8&_nc_ht=scontent-frt3-1.xx&oh=701761f6a88d296ca6aa012c47559361&oe=5E628FA3","蔡慧婷","蔡慧婷","post"
"https://www.facebook.com/newscns/posts/2302659986713103","1570609052","","1571023618","/klcgamore/photos/pcb.2369457923314106/2369442586648973/?type=3&__tn__=HH-R&eid=ARB1XRHQWwmwX1IiHnK3L6KxoFM_AYjRAf0F0BjAnEsMgkgB9_N6kMOyy8An7tva3YuHhmCR8tkgsZtV&__xts__%5B0%5D=68.ARAgd8IvFO8VcrVfF_FAEoEfzt1Uj2edSBbvXqh0wyNPbL6cN-AJcRffJyENwopRfYFj0EEdLvfv7wyHfSWQP04ID3ME4kgLNUEKG72fjKOVe4wqC64ZjwMd0a2KdBC17nG2-3Yz7gYjPkB5HuFCV0QC3VuV0ASaDu_tdW8pzs0EBOuLdIkzUle6EnNDfEYLHwPY0O--BQ4rEq8dwbRrrGUN8BHmCvCYF5Y95ctbyUEIl4k5L_pqZrQwXqhUnviaIqWjQqS9maF4yKT-iZE69Cr6dLyuA7bNkEyA_XTyb7fKmvdOYiFE9lLnEOJQAAJ_TsYXUjhlfUohOks59CVhJdzi6GMggsukNH2RxOCEZRmsKdOdftAoK86CNJZsu-64a3jBL0rGLk2XgfHnKdMlUfQkhKgx_2VuDdOlk2BA-0dGBePGnvMUNG6TOOn4rhdVbCic5B2upvR0HzbgGmr7RXGnsiq4hsrOy5l1MGUfUiWjouFTPNvBxcnT8KaGRQ","https://scontent.fbkk6-1.fna.fbcdn.net/v/t1.0-0/p370x247/72533626_2369442589982306_8286196910008565760_n.jpg?_nc_cat=105&_nc_oc=AQms4jqR0m4b_b2Gzme08lP0LGS0n32dtVpCdkty4JjMAWqXtwpi1xTUmdA3aA8Lx_w&_nc_ht=scontent.fbkk6-1.fna&oh=8a91f6c8fa46615cca32e08f9b9fe05c&oe=5E3266A3","undefined","魅力基隆",""
