url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/womany.net/posts/2880794518600831","1570754823","傳訊息給他，總是得不到回音，換得「已讀不回」的下場嗎？獻給還不那麼懂得愛人，但渴望可以去愛人的你，針對已讀不回，你可以現在就做的三個治標方法，以及一勞永逸的治本方法。","1570871449","https://l.facebook.com/l.php?u=https%3A%2F%2Fwomany.net%2Fread%2Farticle%2F20984%3Futm_campaign%3Dintegromat.sec%26utm_medium%3Dsocial%26utm_source%3Dfacebook.main%26ref%3Dfbmain&h=AT3sK2-GsiLFPMRUV2DYh6G2_Nb_AmDLlJ5EjbOHiVISv2_MNX-wGbnVZ7DcQNt9jBzt6xs789Yrv5qUL1hsVaZVaDuOE2OWiSinJ4WoEDRIBaeQifEke1Vg1LE5NoU2H4i-owIUR8z6A28-niSfE9103iHDIDBdWjiACapSC2jHXs6EQ7mb8fgzEyHVXcn2yF0v-NeArkrVlp0akLqHTavYNvnw6lr-7j_g5VOmIodat0DEtMThCxO_uf56YnFFRU-cBwSS60_9iEAehKlxYTE_0T8LjuA1mh2gjG4XlzrxnoHXf8Or5MEVWyUnWkTa6jL1ninLIWgadHYVhXFX14L6kJabvz2kfg2H22fBV8ow6enWTH96JUdWAQ5YGoly9BQYqheh8W0KVLe3BnHeKL3kJodoVE1juRuPeuE6iV9fCO7aFGGFcwlhULzuRN2Wxs9BXhdmvwB9pzQk-47CSq-NZtAwuBIOs72fTxqL78Du_FR0YclucpVlz7HfMHOErwr7Vb69tFVQVjOhzpejeFylb0ox5u0q3gAFTUwBsKzirs5wSsNxklUNV9-R86c8FXXO5rwXFtfen-TjmiNbgYcfwmielqBpHTpxoh0qN_LBLKVoYsZeL1H5dE0r17atLW-iVpDbYdQ0RDWo","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQBf5DNirjOt5Nnc&w=540&h=282&url=http%3A%2F%2Fcastle.womany.net%2Fimages%2Farticles%2F20984%2Fwomany_cristian_baron_8p0JS45657M_unsplash_1568028074-8345-0010-9990.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCJ3shk4-EplNF7","Image may contain: phone","「他每次都已讀不回我」：戀愛中的小煩惱，三招可以治標又治本｜女人迷 Womany","其實，已讀不回、能不能秒回，這些事情需要的是「看得懂」而不是「看得重」。會被已讀不回，大概有以下幾種原因。"
"https://www.facebook.com/womany.net/posts/2882493938430889","1570825023","你買過快時尚嗎？從 Zara 到
H&M，當人們抨擊快時尚=浪費的同時，不妨想想快時尚背後，是否正反應著我們「衣櫥永遠都少一件衣服」「搭配選擇要越多越好」、渴望廉價商品的心態？","1570871449","https://l.facebook.com/l.php?u=https%3A%2F%2Fwomany.net%2Fread%2Farticle%2F21091%3Futm_campaign%3Dintegromat.sec%26utm_medium%3Dsocial%26utm_source%3Dfacebook.main%26ref%3Dfbmain&h=AT1heqfNERNnMZUkdZC2eoGBpEIada4LR-JehZeSOQo_K7X0YHUuqQSM-Z9697dWt1u_oUhMFODR9BfxBmCkvngBfhf5wUAAZsCS1U9Uzbf4cvCom2tLdbwmYMAKk4SauTBHGmbngtWQvgsoG-2qE3xB88wY-KxovJigEnBS8OnRSxPf9ae2AMIo10l2Y3tdt2qlYqI7gLnhQAoxo3VxBBBCIgrAY8FnpHI9IV22IQApp8CVUgnyE87scRBM5WqZ7y2zxFzTt4lASQyu6aMbPl64JVs_VE6ykzOnD470PjXRWT5W8lzsPinCwXvrTtXBgLAWvzas-tIrPvlqN-bveZp3cxf_jO2HYVb28yFKGdrDI8ow0Ibsi1VoU6haTZ15EsRD3oQ69VwzKxpGH21hLWFEk5wgBzVjjuOCjJS4vimvp8H9yLXae8OYlgrmnzQT6I215Ze_vHxhVzi-NHN9kXbVQKcknMaVMraTm4ndrXUo83XUPgDRXI7XsakdjKgI_oMHszK1WAwiWBQrQ6cRcLKtDSPdEj4s4ZH6bklluokX5CKKTTvlm5hFH8C6q-n-q29oKhbdPRInW-5OhstrUmmWQzFzRRChjvvXVaWmjZKeUubfHkrn-UBB0CYsZpbJUW_VMTUpU3WQAcqv","https://external.fbkk10-1.fna.fbcdn.net/safe_image.php?d=AQD4j2wmkmvl8rp9&w=540&h=282&url=http%3A%2F%2Fcastle.womany.net%2Fimages%2Farticles%2F21091%2Fwomany_wen_zhang_1200x630_cover_photo__te_se_tu_mo_ban_5_1568075751-8349-0027-7515.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQC6sC3XIuSmUBJU","ในภาพอาจจะมี หนึ่งคนขึ้นไป และรองเท้า","唉呀！錯的從來不是快時尚，是我們「貪小便宜」的心態？｜女人迷 Womany","前陣子 Livia Firth 在《Teen Vogue》發表了一篇關於快時尚的真正代價，內文寫道：「時尚是世上最龐大的企業之一，難過的是，也是最污染環境的行業之一。」不過，假使有人購買 Stella McCartney 的衣服或 Vivienne Westwood 的皮革配件、..."
"https://www.facebook.com/womany.net/posts/2880885551925061","1570789800","「我希望你不要覺得是你的問題，這不是你的錯，有勇氣很棒，連我都無法很自信去跟喜歡的人表白」
#收到這種拒絕信覺得好貼心呀","1570871449","https://l.facebook.com/l.php?u=https%3A%2F%2Fwomany.net%2Fread%2Farticle%2F21456%3Fref%3Dfb&h=AT1amMXBzjLNbg_EFcIUGTTrbboXKByaXGRdK7_FW3FH_hViOUnj92HqWeIeU1qYdEYpg22723xYE2qkRZHAVVwrhuoiKAQicwlxclJ3iZLDD3bVnER0V5RyyG0XRG_kOxrBYEkhS-c6PyDTUzFdnmcbsSueAH5Sr7MnrhOI6ZOJ8EtIjoSqEqrqxQ5kd5CPkX4PykTGGeuppaSLAngkFy9xntP8vLDEwk26wru5cXpvrWRn3hskn2_4MiuO4VmJcpIafARTFLDtR4mVWSLJq-bc7lu7DxXomQv2F4Ak_Whfnq7t0y_g7sHqKwu3TE824ZXgWoafw4wf6P-1NAziWkwlfXrrg6QNHECf-blI7_3_6QMGOXFYcYzAkKwEfB0NGAWvJEXRKHsKUYQuOOYGWvf5U93RYyyACh0aHsGB4Dja3c15JEokxztThUseP9zfQqcPyHxf8EJD3UkJTelS3QDQ8qihIzg-Egfl7KJm38EAcGhEhgHF5rpRTpPB-f-vjpdAHtmboXlqPmJEfs7H7p9Xdc5igvFfc4S5wrTVa9GCoCEy-ETBZSvBbQeE3f4x-8KBLkvJNR2uOQ6MxF9WReC3tsSBwloFFho_DITW8BoOY4vW3eoHCpzc2PCM-OP-HcaXltsce9kr6ETh","https://external.fcgk6-1.fna.fbcdn.net/safe_image.php?d=AQBSf-tS1iYS0C15&w=540&h=282&url=http%3A%2F%2Fcastle.womany.net%2Fimages%2Farticles%2F21456%2Fwomany_kiwihug_GH1ZyBYVWYI_unsplash_1570443463-31423-0001-9174.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAqvlC-SrVVpq3X","Gambar mungkin berisi: satu orang atau lebih, sepatu dan luar ruangan","如何用「不傷害友情」的方式拒絕告白？也許這兩位國中生能告訴你｜女人迷 Womany","要開口拒絕別人的告白，是許多人苦惱的問題，特別是當你不希望破壞雙方的關係，也不願給對方留任何希望，往往會需要有所取捨。最近，台灣性別平等教育協會正在推廣新情感教育課程，其中的一個單元，正是在教導孩子「..."
"https://www.facebook.com/womany.net/posts/2881764301837186","1570809603","你害怕一個人，所以不斷尋找另一個人給自己擁抱，找一個地方能讓自己耍賴像個小孩。可是不管被誰抱，不管躺在哪張床上，你始終覺得自己不屬於任何地方，無法安定。越渴望，卻越來越寂寞。

 漸漸地，你覺得孤獨在殺死自己。","1570871450","https://l.facebook.com/l.php?u=https%3A%2F%2Fwomany.net%2Fread%2Farticle%2F20878%3Fref%3Dfb&h=AT1Dl9v4P-7B5NXFDNMhH4LI_2LqkTxUricbA6l0JSIQEEvqwFSgAL7yJErxhG3kDA1yOveErkKZ89UjQem0RHYjxs0oSczedYvsDWYxCM3SAxjNyvsfilA5yh41Vz2BE7lPO0p4wdJ7ImZyEgjHWIfBlstgnWS-3bxD7K71P4A8DtF1MhDIfDtjOzKDaR4P7NEHO9eB4ZBP64NdvS69NCaMM7Ao6s1SsTTUX7HYGa9mPkHS1PpCV1-iTFwxL4uTuLG5KNB-6mNJW8hOj-5W0vmchrMqyQ49Xl8aylgwkxDcGSE8gu4OvJtxYrj0sS71neInEeEe_fBOlMQOQDRC-z7_OIo5jwTU2pZWkcmfilG5jznwgrU9FFaNtvBsxbFVcybaIX4eU87myqSAhv9SzeZl8RHx0kvH51w7nq-GmM0DjAMlYIJga1Bh0Pkn25xJ7NCZvgUXl0BMEA-JsQsm8dDhpgUI4mvIIt1DMzUGpbb7SAIvabYth59cMzGoy--JMfoIvwVedMgPhKcUVLudiTgmdxSvVndiaGbaE81nSLSPRYGLiCyAh_HCTCdBsv93Jpiom_G9H-OoGsNfLNAcaI_GTMzWp7BmRCE9RwMlKR7s6-PmwuUnaYSBYObUnVV_McE480ri-G9HncYB","https://external.fhan5-7.fna.fbcdn.net/safe_image.php?d=AQCguiDRW-r_jWye&w=540&h=282&url=http%3A%2F%2Fcastle.womany.net%2Fimages%2Farticles%2F20878%2Fwomany_ying_mu_kuai_zhao_2019_08_28__xia_wu_3_47_39_1566978553-8504-0026-6548.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB5gl2BVY2rxd5i","Trong hình ảnh có thể có: một hoặc nhiều người và trong nhà","「越渴望人陪，越孤單」能忍受孤獨的人，是知道接納自己比找伴更重要｜女人迷 Womany","《致親愛的孤獨者》由三段故事〈小玉〉、〈凱涵〉、〈2923〉組成，寫三個女孩 12 歲、18 歲、20 歲的孤獨樣貌，她們在各自的人生裡，經歷家人的酸言酸語、同儕之間的排擠，社會的漠不關心，最後各自意識到，孤獨也許是一...."
"https://www.facebook.com/womany.net/posts/2880999355247014","1570764375","祝福大家連假愉快！超棒的雙十國慶展演 不能錯過喔👍","1570871450","https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.taijimen.org%2FTJM2016G%2Findex.php%3Fsite%3DB1%26cat%3D2%26vid%3D12961&h=AT2LDc8-KPF1mjrvegh4a_wiFsLV_5NpepUObvDjE6aHC-0DZGoWo5w7uxT4kX2OSr_4hyeGiVkED8QK_DbCt7IpfsaZrIo94L0da3ZTNJV96deeYQvchzDThot3inrzl4vD_UtXcOZts9xhBMmLf89E9heVA9YUIes04m0naN0Lng","https://external-ort2-1.xx.fbcdn.net/safe_image.php?d=AQBCSnLQ3GFZLoPp&w=540&h=282&url=http%3A%2F%2Fwww.taijimen.org%2FTJM2016G%2FTJMTV%2Fphotos%2FV_EF12961_pic_640.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBSGchdyTunaV1d","Image may contain: one or more people, people playing sports, people on stage and outdoor","文武興國 富強安康","99年開啟百年契機的國慶大典壓軸節目，是由太極門擔綱演出，太極神龍的飛騰而出，五大洲人士齊聚，各大民族繽紛色彩、舞蹈與圖騰令人目不暇給，Energy少年的青春無敵，功夫青少年的英挺無畏，武術陣的勇者無懼，聲勢浩...."
"https://www.facebook.com/womany.net/posts/2881191228561160","1570773723","好好享受閱讀的下午吧！","1570871450","https://l.facebook.com/l.php?u=https%3A%2F%2Fwomany.net%2Fread%2Farticle%2F21487%3Futm_campaign%3Dintegromat%26utm_medium%3Dsocial%26utm_source%3Dfacebook.main%26ref%3Dfbmain&h=AT0LvxxmwkpTaMIsnW4pKrjsauStsRgXo4p21Ud4x6hJlWh5eAgZJd-CB9VzcLoseK_SqUOI0eNthYwGMTK9BcKTPNi8Zrds8Y_jXhYOCT-ZciovUACaoHMTS2MIzRfYGwRZiVVtO28Keuh4FYKkgD14O56gcG8loIsTc0kRzDv5mUarxpiZv716WpV3RsJ5Ps6ni_vxV327OwvXhOlZcqgMhRWm-3woY_dRPKec0YFaD_sVyqmBop-AQtuwXZ_ymT4S4fCLrD-Unsa_hj61mnuZwO8hQAdbHlY5o894CohdFxSiITWCfFbypDKCxnThu-4rTICzN8xw9Y4maX0antknr-_WOXIo4t5odwKm6OvvnDMyGRGGjQ0eFBK87GrCg9KB1Pg8wY6oLFusGIsY23JSMZPW7uvmQRiW761yO34_ntDRp9zSrFe7MUBIRogcPfk9t85e13eG4lbFxGEMZ80sjpODBAINfbZhbhyFaCc-956xjFrGZAvmEIgXFKeKfno4uG4sdLHasgw72-VKIb6n00K_ugKvrScF5G1hgZxi9bLf3UVsypBj2TChrnnwpH-v0gGgQTEOo4SJHq56AWgoIbnKe89o8CKXRtXFiMeEX7d0PQvUXYwEar3YRO6Z3WHB8mzyl49vWGBB","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?w=540&h=282&url=http%3A%2F%2Fcastle.womany.net%2Fimages%2Farticles%2F21487%2Fwomany_wen_zhang_1200x630_cover_photo__te_se_tu_mo_ban_31_1570699888-17658-0024-8264.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBuxYN51tHyl3Gy","ไม่มีคำอธิบายรูปภาพ","知性的週末，很舒服！盤點台北五家特色書店｜女人迷 Womany","書頁紙本到底會不會隨著科技化被取代不可而知，但可以確定的是現代人越來越「懶」，對於看書也越來越「挑」，因而衍生了許多新型態的書店如青鳥系列的書店在大稻埕拓點第四間《青鳥居所》，專為「雜誌」而生的《Boven ..."
"https://www.facebook.com/womany.net/posts/2883018605045089","1570848423","黑面蔡媽媽的 4 個塑腿運動菜單，趁著睡前趕緊來做吧！","1570871450","https://l.facebook.com/l.php?u=https%3A%2F%2Fwomany.net%2Fread%2Farticle%2F21050%3Futm_campaign%3Dintegromat.sec%26utm_medium%3Dsocial%26utm_source%3Dfacebook.main%26ref%3Dfbmain&h=AT2oUg3HakKu1LGHcqtv9UGkw6HDVUKECJ8baBhMDBzOOrtOnRsNsNQTpZLAL9iyNojzA7EBqgdauxftW4IzyvGmXgnBJfpiTuwk5yGaNuVh5FkWh9oDl2KLWgE8zmwjVLXHOLCV0Lg7bZuO2sDSY1NLSGDCjIpqFd4uh-5Qdr_Oz58vf60EDkeBNWSlspAD5Pk0809b6C4r8OywkrQvvWM6X7JDXq-sjaay2nMH02J8KLzVYxN0ycugJ-zNotdQ68Y4nyCF0yBTWL8gR6ZdV9GkMCjjRwu1lpM7Dt104L1q0Z0klYdh8NvQ3HPXqbC2EZb-O-bxFJAPAAUEGc-HlDJ9-9m7SFLHAEwRDpoY2SXGK92b6_ZNj_4ExJKpq6LdNKeEBzF0uE2rL_8iP1slp3IX7AYEzBUAJkZhc78zGSDUW86b1inMaEag5AGMrEG9q3xHTvJXTAKgR5lu9Wm2keOQDuai-fXzQsME2ul1SW5wKMmOHjTyAaaMVJeGx7pWBB83nPF4mf9xEzNIE5656fwbH4SHGwp0ECoEBh-Gw7ua3lspyHHm1TiEXKEzwxOPnB6hafpZfwZGUx8cTzLqs4CeHmkWaQeZ7hvWLVJdm92RKssgq1rf21T1URNwvyG494gKBtr9M1gu1aQ0","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQAGUsaRrgjvO-TS&w=540&h=282&url=http%3A%2F%2Fcastle.womany.net%2Fimages%2Farticles%2F21050%2Fwomany_ying_mu_kuai_zhao_2019_09_10__xia_wu_8_13_00_1568117736-5915-0015-7360.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAz-bPNOp5HKqOA","Image may contain: one or more people, people sitting and indoor","想練出緊實腿型？四招讓你「躺著練」的居家運動法｜女人迷 Womany","有一種投資穩賺不賠！只要你記得熱身、伸展的話，幾乎是零風險。看到這裡你應該知道答案了，就是「運動」。經過一年多的居家運動，我的身材朝向人生勝利組前進，像我這樣的運動白痴都可以做到，你也可以，只要你願意..."
"https://www.facebook.com/womany.net/posts/2883369275010022","1570864141","珍愛每一天","1570871450","https://l.facebook.com/l.php?u=https%3A%2F%2Fpse.is%2FJC79J&h=AT27xLA9h24lro6-KfhLTWKaFpHauSLsEUbr-r-_DA8tKm9LSU3VSv1OcjRDiocpGjWKhOg3cCnp8-fb8qQqZAnQlUk3olx3d7snoCBruUZGJlSEjlmh43W4OZvgwCis21fjA37oSHlwgArHvp3IFqXmRsGdUVpM01TDexJ5Q3JYTw","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQBMPS9NJdgKRI3l&w=540&h=282&url=http%3A%2F%2Fwww.taijimen.org%2FTJM2016G%2FTJMTV%2Fphotos%2FV_EF12971_pic_640.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB-DoJ4qIduMwxX","Image may contain: one or more people, people standing, sky, cloud, mountain, outdoor and nature","珍愛每一天","失去她，讓我深刻明白，活下去的力量是如此地強大而美好，讓現在的我，珍惜每個存在的時刻，將生命活得更加動人。"
"https://www.facebook.com/womany.net/posts/2882862491727367","1570869000","#會不會誠實才是他最高明的騙術
如果當你發現，對方毫無保留地將他做過的事全部向你揭露，
就像到賭場裡玩二十一點時，一次賭上所有籌碼，明明白白的告訴你
：我就是這樣，剩下這些了，你要不要？

 於是你開始被誠實這兩個字迷惑，你開始質疑自己的良知，
覺得自己總不能背棄眼前這個對你完全坦然、毫無防備的人。","1570871450","https://l.facebook.com/l.php?u=https%3A%2F%2Fwomany.net%2Fread%2Farticle%2F7469%3Fref%3Dfb&h=AT102Ve7dhPHGcdCzZBe1HXHl6wm1HHJwh9NKCSk8cnEvzm8iBZGCVGOBZKr8VeSa9QRag9pbx0mgepeL0MBDzz0gSjvhTuI542JLHia8DAWIQ-LNyC2aJVttpGV31vpUo4h2IGNtnB-xazx9PSlIhNgpYvJhYrK6bnk4bAkGgygtwMtRlifVC9ZIEtXY_Vft8zh_0gg2jciolgeBFilaIrF5f1biv_uooptTi7kQuMLbjAJS7zT4VVutN88OqFXd49OHGjavtkOH4UZl89tf-ec1cPnNRRBQGqO0-_q6MBncMlImCiikpXmFLwbQBHiv_qn54MW-xWQn6oB6ESceVSRccvNK9Yjc91AXjQ-Kb7sOg9KZTN8-ROH5NfN6hg4OWLCzZRnRRmrqjpxWj7R-1Sq40-RIY3HkixdYS1elzG7N5r0DwTYIQ5luUgZvF-GvzV9NtJR4DUmqTx28h8n0T211SIq8esoFcp3IakkF13wVZp66EASOf-rlim4U48uWS1q8JcHuZXV2UfYIouZINn6pFmMoAx-9NZiS9QoU68eaJN-PYa2iciQvcnF1uwKFQk-F3Po0lth-Ew2DSRlr0Y4amnjrvMpXgMEGufQR1UnMs6zvIVCC7bcuJkjPYMZJRJ9Mk4Yo47sw1KR","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQDsJpkj0htiaGE5&w=540&h=282&url=http%3A%2F%2Fcastle.womany.net%2Fimages%2Farticles%2F7469%2Fwomany_ying_mu_kuai_zhao_2015_05_16__shang_wu_12_31_01_1431707505-4730-9208.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQANpvKSlc3iZS9A","ในภาพอาจจะมี หนึ่งคนขึ้นไป, ท้องฟ้า, มหาสมุทร และสถานที่กลางแจ้ง","「至少，他對我很誠實？」放下情緒勒索換來的假性親密｜女人迷 Womany","從小到大，我們都被教育「誠實是種美德」，但在關係中的誠實，卻不一定如此單純。你聽過「情緒勒索」嗎？我們都知道，用勒索換來的愛，絕對不是愛，但深陷關係中時，我們往往看不清真相。嘿，放下勒索來的假性親密，..."
"https://www.facebook.com/womany.net/posts/2882409985105951","1570821422","近年來，糖尿病有越來越年輕的趨勢，但糖尿病到底是什麼？初期有什麼症狀可以判斷依據？又有哪些地方要小心呢？","1570871450","https://l.facebook.com/l.php?u=https%3A%2F%2Fwomany.net%2Fread%2Farticle%2F20974%3Futm_campaign%3Dintegromat.sec%26utm_medium%3Dsocial%26utm_source%3Dfacebook.main%26ref%3Dfbmain&h=AT2B-Lt1H4WaHHAKB1KpKYnIUz0aL4WHfZEnFkvKv0A6KzQfwIREWihNndHgywLTjEjB_24vbl5BjZE1voNyFLmCRqJY-BixCIh-9S4ts9QyCIBwsJY6xRN6-gDTw_szf7pvIUhPUagLbCdt4hyU4cbpmrVBv5geJHaUxC1_AevT6n1wYR8aIZ7BLTEq88oD57peu0BlX4XYgeRI-ZsWJW9JUQ0p6N9jVC9KqCnrEUYBftE3p_5qCaA6oH54GOMB5hvHCi7R8_tuzuJJ1qtdTaK0qACiwDUUOdhOdpIB8JoHkkdxI0YSCH3uEi3m71QhziGZFsxlMjeioNRqycnGGm5DMEbCdC9mTz-h2CvEe_7p16yiy49ozHW3EaUnqmu1Jva3aFjfFo7MORPK8CbTWy1P44Q4j0in3c9otR0feTZNAJVK6R6nTKJ6AvHfVFkh9LHmh5J3l5b9QVcjFm0eGfZVsggWmtxv3ntYidByAlbhqvHz3ztVTOeEaMG8P1fH8Ip6H_IdyZrrrEpwNCFRsvDwWPH2XlqEluJZDkcyojEbful8Mv6AxgVHjccUbBW6v_8Kovwn5MixtNDLXOVxmEwN3lrDeZGFexxKui03tzdqSY3IMnzKz8uQ1fdH2DrXdCWuEth9QJM7_b3j","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQDrfF8tsvDI89eX&w=540&h=282&url=http%3A%2F%2Fcastle.womany.net%2Fimages%2Farticles%2F20974%2Fwomany_ying_mu_kuai_zhao_2019_09_10_14_06_46_1568095852-8349-0032-5860.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBbyEy1H31Xxuhv","ไม่มีคำอธิบายรูปภาพ","疲累、傷口難癒、視力變差，小心「糖尿病」找上門｜女人迷 Womany","「糖尿病」名號響亮，我們就用八張圖，迅速確實地了解糖尿病為何是厲害的健康殺手，以及如何面對！"
