url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ydnews123/posts/2401246843331571","1571481340","哥的帥，你看得見😎
首先感謝各位粉絲對國軍的熱烈支持🙏
今日不畏豔陽☀前往 #空軍臺南基地 一同共襄盛舉🤗
看完一系列的空中帥照，來看點不一樣的吧👇👇

 ☑ #全民國防攤位 讓小朋友穿上飛行服，架勢十足💪
☑ #空軍樂儀隊 以整齊的步伐和精湛槍法為舞台活動拉開序幕🎉

 #營區開放 #我們明年再見
#感謝臺南鄉親的熱情支持
#感謝遠從外地前往的粉絲
#住在心裡編

 攝影｜傅啟禎、蕭佳宜","1571537030","/ydnews123/photos/pcb.2401246843331571/2401195130003409/?type=3&__tn__=HH-R&eid=ARB0LXaL4lp_OCA43ELiGxF_8Ltv45isOFQcVvsLUKjgP4LlRcMBx589r8AeSgFW1j0TLrc97_vVPYIn&__xts__%5B0%5D=68.ARB_sz76ZFZUsnH8j_Dt5R09lScobyvGiCBYCSQhuSZFH80h980QOo-DmETQjrC-3R3fdGca4yfqns83kUdsl2jb9p5e6-p-eHZ3fClymqfDvTNEndQo9TKHAmBATWRDktrxOcH3ADj8wvQy5hkde2A3ExwbImlX7sV98ZWIYpV88cjct3LxSSy30cgEGDHYGvQrZXaTLTln4ZbrohYb_hEXqPM_Fj8um3wzLsPyz0aZCF9NsLDVjnVVoIiqPGj2BEqIvZbnACGcB_bQUg9Pv4rNUpWnzd0jTTqFo3r_sjmhAp-y8XTWeZmUcAU1i38AcgtjcGIAOoxqWxvw3O1rXgzhnA","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p235x350/72528987_2401195133336742_6901135485364600832_n.jpg?_nc_cat=104&_nc_oc=AQn3YCmRCvq8c756w6a3XFsLHUjQpD5H1E4EYtupz7mJ9SCByEY1An5JWcF14ZCE3_Q&_nc_ht=scontent-sin6-1.xx&oh=aa8b08d096409af0381b121543ef3e92&oe=5E21B188","undefined","3",""
"https://www.facebook.com/ydnews123/posts/2387951834661072","1570953228","造成接連兩起致命空難的✈️波音737 MAX客機調查報告📋出爐🔥
😱點擊看事故原因🔽🔽🔽
https://www.ydn.com.tw/News/356197
#寰宇安全 #法力無編","1571537031","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ydn.com.tw%2FNews%2F356197&h=AT1XR6DWkPVoftSnEfXe7057pxd9jPoeHGWSSnRhGwzb3VR8892KOI8PgzDkKMx-OX-kyDiK6OoPcdK4fYehPXI_OPR7GtW7YMxoMHuDmu-3oKxUQOVv6sOeSYE5lvFWUhltWZj8thbH52RNvXFLOVKnIbpernTW4DeM_8VHeq_JUqTrIxU-asKockaHiCwd0nW0b4pd-nWfMAkcvvh2DDTtidqWJUPDlnKhU2tTvmnZEzZNDRTDh6gmJb4MDBjY_hQffrASPOzg84adAtGZ-mTbKrZykh_cbkOkEgB_zj8iwsMI_QIviEdiJ03yPbPwVNpLEOQl0yfI7q1DUvCrEDdbmmrayV8mg34HQ11vieV8Yh3SdesupSHnAYxm_2WOWVW2iJJs99Of6BG8SPr1viU2WH0Kiz-rUFPGIuq-iVhAkDpXPwqYAZhQgtl7XcDXLZJCKwb4lOnkdFiWK4f2VPSb1GXyYLI79aCuPhcNXKeCvp8j_npNKqMM5oT2aSPvpcsCx68TJ-j6tSNVOBV-IXq_2on07LSL6X0ApHY_Uq0FWEN4f-kQYk4JXI97VwvHyg_B0r4_0A9X4AXbaweeFNH1A1ccR3mcNVBJf68Cj8mY3g9c7a4VDDCoscRV92M8dFBAxy4XKK5Mw-uL","https://scontent-sin2-1.xx.fbcdn.net/v/t39.2147-6/c0.39.540.282a/p540x282/72877466_2471346282919807_6756171899513864192_n.jpg?_nc_cat=104&_nc_oc=AQlKlRJV1yXCtTj56IYUrVhGvbZpOBia1AWKBB7WGdacSBuS6GSMOgFESz-uvGHxmfc&_nc_ht=scontent-sin2-1.xx&oh=08e2487f63c8d235dff514ced5ed56b4&oe=5E2410AD","undefined","737 MAX調查出爐 操控系統出問題 | 寰宇安全 － 青年日報","737 MAX調查出爐 操控系統出問題 聯合調查團報告出爐後，波音也撤換董座。為確保安全，經過檢修後的737 MAX客機，仍需等FAA批准才可復飛。圖為該型機種生產線。（達志影像／美聯社資料照片） 編譯組／綜合外電報導　「英..."
"https://www.facebook.com/ydnews123/posts/2387679808021608","1570941900","增兵協防再加碼‼️
ℹ️ #五角大廈 宣布將再增派1800兵力赴 #沙烏地阿拉伯，進一步強化沙國的防衛能力；屆時當地協防的美軍部隊，兵力總數上看3️⃣千人😲
🔻看新增哪些兵力🔻

 #寰宇安全 #法力無編","1571537031","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ydn.com.tw%2FNews%2F356198&h=AT3GXRa3I7PGYJ5lM3O0PLA7kmHSNYEYUAUT8a_wKEWLL3jG0ELMefLEb53_42-TypasfRzSxcmyRuh8csV9uL8pE_ZTMmAURf960GiAbq0BPVp2jIAJUrsYv-JCGhDVBSQczhNQ-lDwnCVekil0RfsURotFPY6DPQxA5HGbtl7hriWBKzGu5UWdoGXOqoEDkJtRHlZOU9L6E8k8Aduv0yYsfCpSafstaTCjSzolVgbsjsmhPZu-tvbQs6TCJm5zygV1dGCKyQB4iEt4P9z_5Rq_bu6CEAG-VRTl_2u1P8N0SGRyAOFkzaOffAmRCNF37tHADEthRsOkt7I2VYSwQ0O92VRfrmKwBJmABaHmfMPWmxGEsktCSRLhrQ00vRn8jQlhNGCagDeNFZ7ml1e8cv2KdeQfh7BDbfb4UYSm3ozcSAMItU8ejHY3HmjhDsGzSUzCDwtZSLhORcs1L0yy0tTaZogSMOVmD6u8SU43mHriJoK4vPRHTqzU8p3QAMjB6AXwRA5j0AIrt6nvttZeL-bREEqRPqDicTEHg_wqXGKoGK_TwtNrXOhf65cYdt7s9_DBiVOxidMT_iCdczX_gR2saHj_l6M1OytQYwqpUh7XWbnnGYYwF5pj6UiHdaEFLrsXV04PsE3nbfxn","https://scontent-sin6-1.xx.fbcdn.net/v/t39.2147-6/c0.39.540.282a/p540x282/72912711_991846981162033_1326596349830889472_n.jpg?_nc_cat=103&_nc_oc=AQnCilyzyHe5cN7FZq65N-tZf1q8dvTk-ke9jhtU-B5St1l0mNT8x3Gjqcs0oC-91Ns&_nc_ht=scontent-sin6-1.xx&oh=efe1021bb80e168ae5673ec986402ee9&oe=5E23CFC8","undefined","助沙國防衛 美再增兵 | 寰宇安全 － 青年日報","助沙國防衛 美再增兵 五角大廈宣布新增派的「愛國者」和THAAD，將與9月時派赴當地的「哨兵」雷達，形成從低到高空完整的防空網。圖為THAAD發射瞬間。（取自DVIDS網站） 編譯組／綜合外電報導　美國「消費者新聞與商業頻道....."
"https://www.facebook.com/ydnews123/posts/2383590335097222","1570761256","【哈燒夯新聞🔥】意猶未盡嗎❓
#108年國慶大典 昨日於總統府前登場，國軍各項操演輪番登場，在友邦訪賓與僑胞面前，展現國軍精實戰力💪

 👇留言告訴小編你最喜歡哪個操演👇

 #中華民國 #歡慶雙十 #圓滿落幕
#口水流一編","1571537031","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ydn.com.tw%2FNews%2F355997&h=AT2mD9OopUqTu_eJ9TQFWmCcxOLUH_AqCuO9wMySmeQ_UyzR6HK98njQsO3hZ9CGHJrAKbL0tuUzI5TsV1d0wyQ60k1G9qnGJXDHG9EWCr2wZ1nA2oXmhcYVGXCK0-ZG8vAi6Sl6XWuwpxaTgGq2gn1Cs6hcBMrj2_gcLi1nAYFqVCZu8B_LogDtUBBPIq3krUloZ1SVD-S-wuood706HfNmc76fjSVZBV3WizSHDRWDPfP0axZoagvdLDVB1hhAr-pWaFnm26vlGoUQp8c-96E1AOZC6Pl2tQVm0rukQvn1OaZmjaRGW3VCGISiYw1RgCa2S3X-pr4OM202WdyLaMva4H-x4d_2kVuqbH1gKEigJKr1br9xDZbeteEoRxrXCl1EaUdiHtVtFSUx9IkdtL3MuVhPFALBVMtiXzAOoyLJYaXCWV3BlyzH8G69n0-jXZzR5LIkFypJw8DyA_sD8m09UpOnqt4wIYxK_-M41PBn912G5ByKAFTTnFZ8u76CUewaWLqthPcjwxtgFUxmLWpF82Sgw9M-FXKTIPzHgK54UrMvROI6q-DmOBmy4lLUv0JykzpQzoqCOlhzL4bkCw92m5Y0lf0IZT-TEgB_Thxh_1K1sc08zzZOEMXO-kvxXgQjfAXCZPyP98S3","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQDjpHNTVMBFpO6U&w=540&h=282&url=https%3A%2F%2Fwww.ydn.com.tw%2FArticleFile%2F20191011%2F2019101022431980302.jpg%3Fid%3D355997%26m%3Dv&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAK0uapsG18zKSd","No photo description available.","【108年國慶】國軍精湛操演 歡慶雙十 | 國防焦點 － 青年日報","【108年國慶】國軍精湛操演 歡慶雙十 記者傅啟禎／臺北報導　108年國慶大典昨日於總統府前登場，國軍各項操演輪番登場，在友邦訪賓與僑胞面前，展現國軍精實戰力與壯盛軍容。此外，空軍雷虎小組以大雁隊形，施放紅白..."
"https://www.facebook.com/ydnews123/posts/2402540053202250","1571529636","✨國軍之光✨#親朋好友快簽到喊聲幫明岑加油🎉
✅108年全國運動會昨日正式開幕，各項精采競賽今日將陸續登場🤩
來自各縣市的選手當中也有國軍代表😎
她就是 #陸軍關指部 機步3營的▶️ #蔡明岑中士⬇️⬇️⬇️
蔡明岑不僅是一位多專多能的職業軍人💯，#專業技能一把罩 ，同時也是國手 #中華女子棒球隊⚾️ 常客👏

 #108年全國運動會 #軍隊臥虎藏龍 #法力無編","1571537031","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ydn.com.tw%2FNews%2F357048&h=AT1-u9tC5iemTQoKGT034ns_QAW15KYjvAlZqQiRPZ4Q2mKCVnbCqUf4rov702-8oFsB07neHfwNlVwDQvU8GhxcwbmGFwBNUcwdhg4UIEbTvjt_KnWwH9MawnV6kzRemApZMO43r2C36ICffPNzzOhAUAl-xqzOuJjkEzcCWiRg_Gto8URqPra0ttCjGpeHLX4OgN1_iBY8U7sYw3Z6NE-1e2bhiBfdzM8xBIkuXnIPzs6N6P__ZrHKYm9oC6ZMhUFsoptkPzMlOptAz1t7ucWRKBvQBeEPzn4XjbdUYL_i9nTntk5gUQ3OJA_7x1yaemdKmMpNHs92nMSMy1jfRyN8J_dYbX6-uWwNUEyx4WUKebBwwToWeN-6bsMGeqJmNvetlzTof_IE-TUX34t_LGjIZDr0hzepE21FLO0v4BTCgHY15BymX_mSsIoE4Hs7_gxtGsOF0UY9Q11K37Tj9mY4aqnQweas__mWiiVZzZD6k21SXofXCMUW0ad_lSS4Q1-J8-55nQKWDbKu1yOTAT0rmyb7SkcrV3EZ5gahfWSjMnKwTedQDzU__xOP5w73GbTOlyNoOPoCey3fRU83hL7Ypn8p9IxllZm2ULoUbM4YaXKNuaTuhxqvBCwHB1wo0HsJdxX6B5sD_s-t","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQDGN2AeaumJR4ec&w=540&h=282&url=https%3A%2F%2Fwww.ydn.com.tw%2FArticleFile%2F20191020%2F2019101923293547630.jpg%3Fid%3D357048%26m%3Dv&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQA0B7uGwjAJrYgb","No photo description available.","【全運會開幕】輪保尖兵蔡明岑 女壘強棒出擊 | 國內運動 － 青年日報","【全運會開幕】輪保尖兵蔡明岑 女壘強棒出擊 記者劉程鈞／臺北報導　中華女子棒球隊近年在國際間屢獲佳績，其中，國家隊常客蔡明岑，同時也是一位多專多能的職業軍人。對於陸軍關指部機步3營輪車保養士蔡明岑中士而...."
"https://www.facebook.com/ydnews123/posts/2398471713609084","1571371147","#2019首爾航展
早安首爾‼️
✅今天是首爾航展專業日最後一天，一早美軍就以F-16單機性能表演與現場觀眾道早安✨
📸記者王光磊攝
#繼續鎖定精采報導
#SeoulADEX #法力無編","1571537031","/ydnews123/photos/pcb.2398471713609084/2398467870276135/?type=3&__tn__=HH-R&eid=ARCBXbieIWrufAsK7ajt2R6Kul6yzX_8Nw7QaFqrM4TdNhTTgbBIi_bGlKbz2H1f3N3Qz00pkELrRlqy&__xts__%5B0%5D=68.ARDKoYbHyWVDft3HEIUoUoUBSL5r-5AJDgWlxkzMPNIs6V9E17wnUpoQeR0_n9zJ_LF51NQ2DaJ2hvPMvAUvvteR7l4V1v1Sw_LiTIh-lm4yYe5URiFscPYr49y-jBy4UFEkaXGIGTWGHZDsPCDggeLBYYCRinj6CC3A0yRrp2YguicX2mxMrOmNHrFkZ7sVzjo-JfX_nXT_XPbrpapnEkRpRl8rlXPTNws5xycavfWzgzDUxubNTFZQWI4XFe-f8NtotHPR4-OZ-YOb8zXLb16qOqsW8zizC3ZS0eRkRd5ZsO2JJnlo219RXXVefl2eOoyJ__mPavkVz2HMP1p_9Of0gg","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p235x350/73122215_2398467893609466_6837986027160731648_n.jpg?_nc_cat=108&_nc_oc=AQloQ4cTvgBCMEP5UKtKlyjdTNCdUQhjVotc1VraPb1R4U4JdneXQhwr7MrI2L3t9x8&_nc_ht=scontent-nrt1-1.xx&oh=7b97bcba3ad2b99b2513eaf4e2e59c7c&oe=5E1D9551","undefined","",""
"https://www.facebook.com/ydnews123/posts/2372502519539337","1570278613","#吾愛吾家專題報導 系列三十💞 #積木達人
談起積木 #林敬超 眼睛總會發出閃光✨
喜歡用積木說故事的他📖
作品總會藏著驚喜或是精細的巧思亮點🌟
他認為，世界沒有那麼複雜，利用線條單純的積木
能將複雜的物件簡單化、形象化
讓我們一起看這位積木達人💪
是怎麼打造屬於自己的積木王國吧‼

 歡迎粉絲留言分享自己超得意的積木作品😎

 #赤子之心 #軍武積木 #積木人生
#住在心裡編","1571537032","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ydn.com.tw%2FNews%2F352103&h=AT3pR9R6fbzbxA-480wCx_p_-7fk6CbcrA6-OwO9XcoCLG13fiM7AnAV5hAHR8qZP5pGPaYaKg21vIWrLhZLdLe4ps146_LCFcy55zdiD-DnHcpxnWHC3neE28rpTwwPaVXjHexvhcgqdSxhLpiNzrBRsG9x1EgHRvrvg5C2nTyFGG4pd45P3HzmJ18YvTtK_BM-g6TRBZln8UwJouJENzbUkDfjvmaDvYGyWX61tS9wIU9s4hI93Q0vUcXsf8gR-7OQmwXDnTjyUaoKu0jHqwMoe4D9_-IdZmYkyNh6S1lqWMQrToK3PsQtTTyjayAkNnmdW7kpcrb3iJ7Prqurg4QHLRlvyMMzOuUO-bcCCK4fXuQ2P9SXO6EYG9Oz4HvsYX2LByCYu47aFLngnpBNUswQzyjX_0GSOFxGrdyvfNAdrz_5MwzCutQWu0EjMPDEl-flYD7h7fTumaG86ICntGMPHNpCMWXSbWTn0RErxVikqnHV0n_lR1ttrhuRHuQLzbYXWQuz3H4LPAjiVKRVRMp3PfR-ULLIDu9eGvj4TsUWZS1fPaNmZTIDdoX5ngCt3yLZNYJIzVF_hG4sjZeDPw_NBY8U9U9U-VMt57iAXiDJgGgnonQcvZlVgY-h8YW2AU00C1NrwQcDkdG4","https://scontent-nrt1-1.xx.fbcdn.net/v/t39.2147-6/c20.0.540.282a/p540x282/72400764_701442007012737_6805485404041510912_n.jpg?_nc_cat=110&_nc_oc=AQmKkCKryA7o9M4NKe7qgxEAlBO1NMrtDqcGG3I1lpg0HEbrLXsW_2KMTpZsN_B4RkE&_nc_ht=scontent-nrt1-1.xx&oh=8671f9e93dbdb525207b8aab271c15ae&oe=5E284DEA","undefined","就愛天馬行空 堆砌積木磚的小宇宙 | 吾愛吾家 － 青年日報","就愛天馬行空 堆砌積木磚的小宇宙 特別企劃-藏蒐生活 玩物勵志文／彭靜文 圖／彭靜文‧林敬超提供林敬超談起積木，眼睛總會發出閃光，喜歡用積木說故事的他，最愛看見觀賞者專注看著作品的眼神，或是聽小朋友解說積木...."
"https://www.facebook.com/ydnews123/posts/2401400469982875","1571486904","美圖駕到‼‼‼
#噴火式戰機 還沒到🛩
Mr.Dom的美圖先到啦😍
快和小編一起進入這溫柔筆觸之下的天空中翱翔吧💭

 粉絲們快來發揮想像力🤔
一起幫這張圖取個名字吧～

 #英國皇家空軍 #二戰傳奇
#噴火戰機環球之旅 #Spitfire 
Silver Spitfire - The Longest Flight 
#獻上小編的膝蓋 #住在心裡編

 繪圖｜Mr.Dom","1571537032","/ydnews123/photos/a.498182833637991/2401348993321356/?type=3&eid=ARAfaK2MqAIbx5KdDewP-qgQnKjrYwSFSU4LCc0MITmr-Ox0GMzj7bOi3DTJdLOS2Hgw-dHdNfJqGnaa&__xts__%5B0%5D=68.ARB_oxbyyVrBkxarf3BhMMz4pPgBxW404dfb1GeX66o6jjW5gKWz3hT4FiErRtrarhNC-bzpLRCeZaMEkb5_CVT23xJa_oVUKqL4sHOSx5B9RTK_G-zGI8MABYvfQbWPNAqeMvJAeZpM6KxyCZuu8E5qAqeZyZSYKYpjpSqO5a6CvSmHtRkAATRPKncWPobi7lbElm2hT-5KUv_I_fS17fndaM4ofhb-Ta6ZhhK7EQFJF-HZKuBOeruLJ7KBkkB9_TuzqOhAPOScMbFv81sMYjzoJ7JNABTDw1_kXPpfKk0DtwFSrH35MYbK17MQIe2U0bcKDDj5iHOjA4Gd-7Lis1qd1w&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/72480506_2401348996654689_1397687151025455104_n.jpg?_nc_cat=111&_nc_oc=AQmW18lQIT64kl4PPCPIfu7GzeM76MlblFZ9y7D-0OLed13o7m-oAOGYHGU3Syvekt4&_nc_ht=scontent-sin6-1.xx&oh=d1420961514fbdc438b0b3f034afa54e&oe=5E2B6C8F","undefined","",""
"https://www.facebook.com/ydnews123/posts/2396535833802672","1571293806","#空軍臺南基地 任務訓練🛩
儘管今日任務訓練略有霧霾，但不影響雷虎特技小組及三型機的精采演出🤩
近90分鐘的飛行表演中，飛行教官以精準飛行操作，配上3色彩煙及精湛技術，在藍天中畫出美麗圖畫，也為19日的營區開放做好萬全準備💪

 📷記者李德威攝
#小編敲碗期待下一波照片😍
🔸詳細新聞:https://www.ydn.com.tw/News/356702","1571537032","/ydnews123/photos/pcb.2396535833802672/2396469870475935/?type=3&__tn__=HH-R&eid=ARBeVxmf8m2X5IX1cUzKWXZg9bJutoZJS_ksp1MDRIOiXlN_f0QGhS_EhUq9VjFaNLhaCQ5ZBE00S6kZ&__xts__%5B0%5D=68.ARDi2BQriq1tjSWiF-b17k0tMUqgwjktHVB04tIKAVkGB8cq353PUHGGjeKkqDTUYCTurUcRqKjVzqSv0pANrfPBu-BJ7WPjs_WjBIESVVcu9PaZc0omgvLUT7N7TMvVweiwb8-tulYObjWzSNXQiOPBIxauFOnEB5VMi27hEK7wXCzys6M0xLDl-dYLRx7ggc7V_A9AbddC-1YMa-x2mxC3IPPtrVBY1ycQCqAEZNBFHRzUgtNN3v0n5hNzgV8xTtSpRQL-a069Li1-HWQ6jeBpKS06TbfBPzCR1mQPgiUf9VnxrAV7ZRYFMvqGjNv1un9k_kwdn-i4snsnA7Lk14RPcA","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/72972897_2396469883809267_6547838983198474240_n.jpg?_nc_cat=102&_nc_oc=AQkapVCnmabn4wgApaaf7oqva7XY0zYhdA7nSA-MtjBmj7uOrvRdZWrvVSQLiNlqVLRfRjr8sHV7pkuK5yRrkwoh&_nc_ht=scontent-sin2-2.xx&oh=d484296ea4e0ba4dc41cd5d50d001833&oe=5E17CCCB","undefined","11",""
"https://www.facebook.com/ydnews123/posts/2376168849172704","1570426201","咦⁉怎麼有軍機穿梭在澳洲市區😲
原來是在慶祝🇦🇺澳洲最大的國際藝術慶典 #布里斯本節🎉
快看軍機低空衝場🛩秀超炫特技✨

 #寰宇萬花筒 #澳洲皇家空軍 #澳洲陸軍
#澳洲 #布里斯本 #住在心裡編","1571537032","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ydn.com.tw%2FNews%2F355471&h=AT3KcKkv5RJBOnGTUs2kmuetPYs1i1t2CFZBVrTBhusfyBESxQkgkYA_fc8WzToig7AZsefBEhbmvlCQhX45yiHknxNIws4JSU8EriXCPu5NANNk3f2DNhIENfgQKMN5m4veJRopeoyWpm6P_kmrulKvqQwxN96CJ46hyp8pLOlfRx_hbP9AQgSDmSWbR-2rGnzWwaAzn62d25ckOEK6Jh4RCIxVZjl0AI4GsJot1C6V3PKFMokGQHGn0bduxy4wvovCIrhUkvGbG8LgdYAzeoBO7KweX-rJk3tSgVT2SjvMsbzpJ65ULQWAo44YMokuGftdzpIYHcTQwvBhTGwW3Zv_raWOC9kF0P0R6thmEA3LMUPM-KNwtx-CZOn6lwNhvr1shWz25mZkvfeyGpcTRHS48IIaWFXfGPf0Ck1kVdI6wLlZSQb5-kr7mEEhWYp0UVajX1d8oPZlogphwTLzI6XYXaxAZ4GaqsSF5aBCi3e3mLWTRUIohsH26PZTo2_wKOsfxqo-kJYTIGlSoCC3V464HwiGyIlGlYDYAIe5PYOHfhRT1pDb6m3L_EqhHRII0mzI5k02qf05CdGQbKEj8-d56EONXj3CD1yB0whasM1LOZZesuhfx_VVf0puludsCwOylWVay_O0-k9I","https://external-icn1-1.xx.fbcdn.net/safe_image.php?d=AQBqL_LHbT9OLrmi&w=540&h=282&url=https%3A%2F%2Fwww.ydn.com.tw%2FArticleFile%2F20191007%2F2019100623111539750.jpg%3Fid%3D355471%26m%3Dv&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBeyzjEzW0g-Cog","今年的「布里斯本節」於9月27日落幕，澳洲皇家空軍先以第1中隊的F/A-18F，低空飛入市區，進行衝場表演。","【寰宇萬花筒】布里斯本節 軍機市區低空衝場秀特技 | 軍視界 － 青年日報","【寰宇萬花筒】布里斯本節 軍機市區低空衝場秀特技 文／編譯王光磊　 澳洲年度最大國際藝術慶典「布里斯本節」（Brisbane Festival），一向以盛大焰火秀（Sunsuper Riverfire）作為為期數週的慶典尾聲，澳洲皇家空軍今年再度擔綱...."
