url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/Brain.tw/posts/10156919908221799","1571362140","網絡安全議題持續如火如荼發酵💻
什麼⁉保護自己訊息的安全漏洞，許多竟然都來自密碼問題...

 #康健寧專欄 #該換密碼了 #qwerty","1571664570","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.brain.com.tw%2Fnews%2Farticlecontent%3FID%3D48196%26sort%3D&h=AT2rtGSS9bimLQfCVJ6YkxHWlJCC3Qs6RMdBKdFa8Z4F-oq4mmN5B40RXF2FTA2PAAi_9L6HCUqNV1lzn1vgybwMHHiq8QikA7kW_xRwrkiz-nrBbUvfzbcw9646LJWzjsQ24ZOcpACrStCqGRp2hDLwr1nTSifx2iH8y44kULhhiZSOgHtj6s1k4gDCWgDjbrxLtUYfTv6KZc5U6HLbCeR6hre0vu_XN43bfr2twKUIgTRIsnf8Wm8qabqYSqI7IVJNnrVLM7uf-WIv3EVP98INU52DoxWesFkrvO8qSWh7agHPKubO6c4fyDb456i9bSAiW6F0Dgvpp5y-WKWhgZLhuo9m79Re8XfZ42mA5WiMX17GBvkaK7GuP2EcUVh39PBReG0JCLlCHfMgNwDlx7xGPpYMhB_y8Y2Jid0j9L6kR7x7Jk7pYrNfFnsmR2EwvokcPaKL3ixIzyzSyYpYgHdz2n_xnql8LTNGNS6KXOURjCQnFm8SEO-WvPu4qo3FeP8XJo_fuzG4PnLJizIHAfAtBUZRbzC-oACurRZyHvPp2RUrqyycSmHX1lhunE06QZEToR3EjQHXGRz-2LGUbNKj7XzxY9G-sl7mMcs3Rw6lfSszSJLbFjvvHGkhJ2L610pY8avd","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQAR49jFx1Sb3Jg2&w=540&h=282&url=https%3A%2F%2Fwww.brain.com.tw%2FUpload%2FNews%2F20191009145826.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAmdoSaS3Jx_AIN","No photo description available.","您設定的密碼安全嗎？ - 動腦Brain.com.tw｜行銷．廣告．傳播．創意數位平台","（2019-10-10）據最新調查數據顯示，網絡安全議題正如火如荼的發酵，美國人保護自己訊息的安全漏洞，許多都來自密碼問題。約四成受訪者因線上安全漏洞而遭受痛苦，近半數的人因違反網絡安全而蒙受了金錢損失... , 小動腦....."
"https://www.facebook.com/Brain.tw/posts/10156942397021799","1571636620","延續礁溪老爺酒店的「#任性」態度，台灣奧美二度出擊，以主題「#大人才懂的任性休假」，透過天后網紅@MazuQKing的開示引起台灣上班族想放假的共鳴😎

 #天天看見好創意 #媽祖顯靈","1571664570","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.brain.com.tw%2Fnews%2Farticlecontent%3FID%3D48204%26sort%3D&h=AT0nOE7_a9H897K28I9Crk6AAQPBRecRLlKsBUx0fKSASGCKYr50DIpXTaYyyez_ual6ve-Q9c7lM2vfP3H8h1ZXk3_Mvi4d8ZHrwWBmzqzIyutW4qibxIaPvuaZSMw0K6eSsDEYx65SL2KvpwfNHxJC_LepzNnP7Po_M_ax6qgYMBpb-ghWK4EmOgu1O2NLt4f7G4WFSn40T7GJGhvxh3i4W06-MowdBBA5cDolOtSnhvFKgF725VSgp-8gBURGai_yRNAtTZameYJmdU2QBRBe1jg_n-IIEer9jzQTXyyhHzcvWrf48O5xTJ7cezqDvYHvrLuOwEmK7mjSP-Lio7vIIrWN99b0zmDNQtdUJpimvYyE8W5QQIkvFa94etpBze2IxEcLWH9l8vRiOBf-v4kgqit2jmMquKqhEjC4X0RLQ4t0DcAr1kh6fKnccdqEfMNZ-tKrDbHS_PJQwtBs430jJL2sQhBF6Z-D1tjyL09EAEaDN5PBSoxp9wex3Fs9RikMq_ICFkwBo11APmAe9-K-v6lj6iHibf-XnQuJ4ht3BcZVy8aPQk6rziZVSqAri_fvcR4Td5kCw1_g9frlRjFQ6rE4ta9k298hc8ASQQE6VEc-69JppHSRofLmVjD6jh3VMe71","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQBBY3Fh3o9LVB6S&w=540&h=282&url=https%3A%2F%2Fwww.brain.com.tw%2FUpload%2FNews%2F20191014134734.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBkjK92-VYpa4tH","No photo description available.","「有些任性 大人才懂」第二彈：台灣奧美攜手礁溪老爺以「天后休假中」提倡休假理念 - 動腦Brain.com.tw｜行銷．廣告．傳播．創意數位平台","（2019-10-14）延續礁溪老爺酒店的「任性」態度，台灣奧美二度攜手礁溪老爺，以主題「大人才懂的任性休假」，透過天后網紅@MazuQKing的開示引起台灣上班族想放假的共鳴。 , 小動腦，可以創造大世界！Brain makes the world go round。...."
"https://www.facebook.com/Brain.tw/posts/10156882309311799:0","1569895123","動腦 // 522期10月號 ✒️

 消費文化改變，打開眾人「體驗」胃口，搭上科技升級，人們有了更多的體驗新菜色！
但...什麼樣的體驗，才能讓人一再回味，同時連結到背後的品牌創意大廚，建立綿延不絕的雙端關係？
本期動腦以「沉浸x互動 體驗設計新紀元」為題，為讀者廣羅全球眾多意想不到的產業、品牌，所做的體驗設計行銷創意，期望小動腦，創造大世界。

 快跟著《動腦》一探究竟😎😎😎
🛒快速購買：https://bit.ly/2o24YSL","1571664570","/Brain.tw/photos/a.432300286798/10156882309201799/?type=3&__xts__%5B0%5D=68.ARAFhdZfkQrCDSrSo3lGMg3ZKkpCu_2SlKtrIO58P0IiHOJ-ewIiE376BA3lTVi340sMTNycklhyNyLYiPDJZA6x4tO1jxB3M2neyYVA1IJhHk2rrIX8SV-3gc5RoxN-w_qDfjYU1BdHf6zwBTA2wm5QqCrL3Pb9Z5t5hADFUUHiMQT7gjiy7FZPGg8m-SGTqi8EKFuuq_18mksC1sZ57_5pbVUd7mT1aZyoDBpweGlH7bDxArVDKkGvzwVLrnxewHf9nOfj-BkJ2lfacsqTyCHF5ApGKOmhMA&__tn__=HH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s480x480/71584592_10156882424296799_8935347449766084608_n.jpg?_nc_cat=107&_nc_oc=AQnxExGsjs-4vBTbLRZ4gYdfdPiwlWd4DLUtuEKaU_mUzUzaYvgSIB1DADHZ4T1re3Pk7Q1zn_qSoODn5tJJ-Fd6&_nc_ht=scontent-sin2-2.xx&oh=e8ca072b3627a10b9665922ddb243586&oe=5E5AAF2B","undefined","",""
"https://www.facebook.com/Brain.tw/posts/10156861776206799","1569486780","說起吸管和海龜有什麼關聯，想必不是那麼愉快的關係吧😱環保議題正夯，今年台灣也開始推行不提供塑膠吸管的政策了！

 #搶救與保育 大人物 - 創意生活設計好物","1571664571","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.brain.com.tw%2Fnews%2Farticlecontent%3FID%3D48106%26sort%3D&h=AT1LiVCNg45ruY1_H8wvT769qvx0LSQAS9V6n2we6l437rlsH0nCUAWdapLuedLdCQpBE3ivY82UOOb4BV_3T1qdGhUlWd3ZMOcf9dYtU-Kaz_aNGSFx8I-dNgvODuOiHdhl5ODXEA5nE3wQ0Xb4qRSxmyr2WG8XUcwPlBkssy1ENypUfs74yk3ub6poj8HsHGedCWdE-hhD48TjRbVOzeN10s_ciS3vhROEv11ZMbA1cKMVzAL3ic-v_QQ0j4F6rQu5tgctAcE1H-IjMTBwKfWMZQZOpwfUSMqcig3BcGXzibxvl7YKkYNIr33_QXw1tWN4GCdBV4iLTrLUJl7etPFVRTkfNm1q9Q9e9x9D71a9tCxZ6L5e3Nzz84ZzxflK8NrRDphm_bT-q-6sAMtM4gZjPo4CxxBI3cCSfSbDXqFeqjOPBkWPIWqpnfuolVgIgC6wwxOEZm6DFqWYP-nJ6VWdOaVD2n65PG_XmFRibCEpwq8v4-5SH5YDBj57hnfJ3RMz-vGxDc7M3VpXQNbGRV6jX-DTpKO7shlIejeCkc05OD3Tb4w5xfPgZP9BpaTlvt0B-PMrNFhOa4DjUAJs4sTGM3cZ8r7dTcKp5U_uA1cX9-CRELsd-uVNyJDrnLEdPgs7xPk5","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQAkqebXvAjtI98a&w=540&h=282&url=https%3A%2F%2Fwww.brain.com.tw%2FUpload%2FNews%2F20190909152113.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCaE1bepYR9UCja","Không có mô tả ảnh.","海龜鼻孔插吸管，嚇到你不敢用！台灣D&A Lab師生警世創意包裝「搶救與保育」奪紅點設計大獎 - 動腦Brain.com.tw｜行銷．廣告．傳播．創意數位平台","（2019-09-18）環保議題正夯，台灣政府不僅政策限制店家塑膠袋的提供，今年更推行不提供塑膠吸管的政策。除官方推廣，民間也有許多人致力為永續環境盡一份心力，國立聯合大學建築學系D&A Lab師生便以「搶救與保育」為題，...."
"https://www.facebook.com/Brain.tw/posts/10156864055656799","1569390900","行銷傳播人的未來你怎麼看🤔
動腦俱樂部＜齊樂四十載，傳播新未來＞跨界分享

 
「恭喜動腦賀喜動腦40周年生日快樂，在麥肯廣告23年，東方線上10年，一路有動腦的陪伴，加入動腦午餐俱樂部會員及擔任委員，至少參加300場的品牌分享會，從傳統到數位廣告都會因應著市場的變化不斷的提供新知，透過俱樂部會員彼此的交流，也促成市調相關專案的合作，採買東方線上的EICP資料庫，因此非常感謝動腦一路的陪伴及努力，歡迎有興趣的行銷人也加入這個大家庭，一起為傳播的新未來努力。」
－東方線上副總經理 李金雪

 #40週年跨界分享 #持續連載 #不定時更文
#行銷傳播人的未來你怎麼看","1571664571","/Brain.tw/photos/a.10150819811016799/10156864052776799/?type=3&eid=ARC1B8zpJa_Gy_ClIBs7-lAiUPyzIZ3algiPg0hLbFXiz1m08O0Q59dxGbc804Sz9-L5FLnMEQqLT2vG&__xts__%5B0%5D=68.ARBymAP8BsFokRcUXk0axNEi7auc6xKEVkDlMs6kcYldClIUqzj3L92mPVzAWepPm16QNgaNQLeNt1R0pzpUI1eOWaz0-XMYrBsA-kbeJGgnjF0g7Djk94Qm3WKebLzXLCbMB1dKTjJVBJbIs4AN0jnuqK7jHAB6DZF-vc3bUx0synH3FZXy7TaK_ePd-l0x2ufiniEQf3Y8ZJZxvZAEu55kSuFaZNLx-oOLCZm85zl5SjKGyiXZQ8kGzHkP4RjwPwugKL7Z4J2rnpebCZbj6hvYJY8XAWoB8fIx8eHaFmExrk1HuYmgoOuT-BCby4bmyGyi5hYakjGGrm--Wrl4&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p235x350/71527934_10156864052781799_8574958298736885760_n.jpg?_nc_cat=100&_nc_oc=AQmap-bsozgYcppLS4mYoIuLEj8gFR5S529wn6o8qszTQxlzfK5p4oBlcrO3nktlsPw&_nc_ht=scontent-sin6-1.xx&oh=4fce08ca3e99368480880cb6789edd54&oe=5E269FD4","undefined","",""
"https://www.facebook.com/Brain.tw/posts/10156926709116799","1571355002","下週開講數位轉型3堂課⚙
完整掌握數位轉型及重回行銷人應有的掌握度🤲🏻

 #課程3階段 #穩扎穩打的數位轉型力","1571664571","/brainlecture/photos/a.491944789820/10157221389724821/?type=3&eid=ARCD1OXx_I-zZP45JpAaMw9SuGcSvvX7Seuxu0qRHwpTxP-PfvR4DV0KSZOZmPGDrJ3s2ZW90Dz7wfVE&__xts__%5B0%5D=68.ARD1kDBgl7k4bT5FhSi-fzkME-C-hBCt9aLrzSRcHkU6ypjR4z8o4m2Lm-e_BfWlnmpJ85vdiaK6XXyCkWvaXq95XM7ZaZLaeJP0Rk0FbKgaqytj3vhGRDo0yIqF-Ltov0fV6D3E7uADdUSkJ1jQ1bs65APzc1vhWPMjvx9yLkCuVKmpb0ISzF19hO8VdHFG7XFCX6GSMC-DO17BRiNE2PdHUvBv7FTBBCzt4TzYVWnbQgusRFrjkIv3wYttbmFJtKffdC7iHW5zAekTn_WT0Wb-z3y83uBa6LitK9j0oem4FF-d6DV17bQcvUBDk-A2IE2qeAhvHeEf19f632Ay0R0kFczqSb3MoFCGqUeo1bydbMl3ekIWnnzukHDASA3NV4MevQh1oRJLNpnUfK9DlkGEgJE1Z4xy-HgERBjXaEP0jObXKQj6f9HyA1zjk6pN7u6wsxG1heD0ex3qAW34cF6H37ifEl3a5bXaEaWaCal6YQ&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-9/73115999_10157221389729821_4418743460287217664_n.png?_nc_cat=101&_nc_oc=AQklqtcjLgGhF1FZg5h2uMNPFuzoKROfCtvplQODFip8QJMMI5Ca2WR98c5jBRFF5Lw&_nc_ht=scontent-sin6-1.xx&oh=25d163f3264637c837262ceb3f04bd51&oe=5E176000","undefined","Learn More",""
"https://www.facebook.com/Brain.tw/posts/10156899282221799","1570436820","#沉浸 #互動🙆‍♀ #跨界同享 #myVideo影音隨看 
#這週追劇追起來 #影片看到飽🔥🔥🔥

 ♦沉浸 x 互動: https://pse.is/KVL9P
♦創意 x 最新影劇: https://pse.is/LHEVS

 消費者體驗胃口大開！尋求跳入虛幻世界的體驗，卻又追求真實感受！
矛盾的複雜需求要創意人如何是好？
依循創意人的經驗足跡，探找體驗的新生機！

 #體驗設計 #新趨勢","1571664571","/Brain.tw/photos/a.10150819811016799/10156899542006799/?type=3&eid=ARDyNL777W-T9TzfazJYnE10Lv-32xvk3MCSPknPs7RgJ6B-Bm09Wzt4A09eex_LlwG_USZcxKbMZdl7&__xts__%5B0%5D=68.ARARGjZUgYNj51-5DiCmbPYRULoDkxJ9McqPhO2mz9ZXHfgip5Y_hP3pTw0PL5YFHPe0b0_slDTvBr83OBZ8exu_SDggj65qIiSvmth_i_UsyT7wuXAkdbF2ccWpMuFUpUA0NX-D1QDJLJ82H1ro6McjQzTAZCPsv7GwCn7zjrz9_xjkd2gEaLthtSJd9VXheJ4qgTolKsUIQgK0zZAYi9XqyOlj2ES6qeuJh002iNHztYQRlC_aqWPwlVydJ7YmGq7Cm3Sj2wYiNWtretoLXm80HNg5px1T1SosAFyhFlFQXKUtgL1RTCDhnW40xgwSFuX_QVO6LSSZ9Vws62wm&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s526x296/72062539_10156899542011799_1524714038620061696_n.jpg?_nc_cat=110&_nc_oc=AQmv-udvoRmvSFqdsjvg4XArrpzS5mM5biBHGuv6v6FcMHnLwRCc_I8YGuFmsaLELEI&_nc_ht=scontent-sin2-2.xx&oh=4bcda340d67e76f26d0ecc8114bb13d0&oe=5E64C5B8","undefined","",""
"https://www.facebook.com/Brain.tw/posts/10156777999136799","1566437460","你一定聽過5G了，那它離我們還遠嗎🙄
《愛立信行動趨勢報告》預測，到2024年5G用戶將達到19億...

 #調查報告 #腦粉有想法嗎","1571664571","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.brain.com.tw%2Fnews%2Farticlecontent%3FID%3D48026%26sort%3D&h=AT33W_GKE25nCRmWGQ-Yigkjy0FbImhlGqVCGPhBR1xndw7JJ_OA7Hy2w4FXwNx5ed_vqeF1fU7Jt4Sj2PjHvkN3gq8p5P87VKmtg6swGujdvcqqC03ZNTvkH2uj4h1ukCYrXB825rT5cOs4R89O4wjcrpayulYYR0JBWpN7tZg2iY8O97Gy96ZC0iacyM3-QMkb4llo9iYlyXRf_xhkZkre22nDCMT2up1ZIOru6PfHLRZWKn6NjbfGHsYMUavMHcw4PbUddnK9ax74dbDiu_XgCToJonDiRov-1GuJKsVUF4K9rtUjAf6hrrrYPqtGbmpdEGC9t_xTMa1uXMGIRQPsr7MpGawoXVEzAwZ0gGt4GUSinFgKUnjLxMKtsXF-F3SPtfcl3x8TIvA1_X9myzRroxsOhI2VVNwgyqJRc68QpQ2bLzjlCoS3OVHjjRsCQ_OU4Mz2_8hzlxeuzYcA6fedeBym1u1pkSfKElBQx-Hbx5p-npjvJI9AjeHsiy9jt8eSnH3xzQafA7M5-7ErmhHFhIg6_VHo2AJsNk56IVLGIZJC74VTZT5JtBL5SQqU1OenBkuMuhmgo303hw4q-9yf25f7q0Xyjte9Yok6-QmMkEtUlpKNcIHcekpjvVQtntjEXWz-","https://external-maa2-1.xx.fbcdn.net/safe_image.php?d=AQCts3gMnvf6hOks&w=540&h=282&url=https%3A%2F%2Fwww.brain.com.tw%2FUpload%2FNews%2F20190814092612.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCTXbt6shhKrn1D","No photo description available.","《愛立信行動趨勢報告》：5G普及速度超出預期 - 動腦Brain.com.tw｜行銷．廣告．傳播．創意數位平台","（2019-08-14）鑒於5G的快速發展，2019年6月版《愛立信行動趨勢報告》預測，到2024年5G用戶將達到19億，高於2018年11月版預測的15億... , 小動腦，可以創造大世界！Brain makes the world go round。由動腦雜誌所經營的平台，提供行銷新聞及..."
"https://www.facebook.com/Brain.tw/posts/10156922296596799","1571291280","【協助你開創2020業績紅盤的推手─論壇講師介紹3】
社群平台打破區域限制，給品牌、行銷者直接接觸消費者的管道。
大家都在經營社群，但要如何經營才能讓人人都成為您的忠實粉絲？

 本次論壇邀請到 春樹科技的營運長兼共同創辦人 林益成 Max
他將分享品牌社群經理人的高勝率攻略
📍策略：從零和到整合的社群行銷賽局
📍內容：偷學夜店公關給社群經理人的4個殺手鐧
📍演算法：做馬克佐克柏肚子裡的蛔蟲
📍廣告優化：給你的好內容添油加醋加柴火

 春樹科技經營粉絲數高達2000萬人的策略與經驗
只有報名本次論壇才聽得到！
https://www.accupass.com/go/2020TNTA","1571664571","/Brain.tw/photos/a.10150819811016799/10156922287331799/?type=3&eid=ARCDC2J_4jbk5P0dXIyPhDxNYSip-MK8lYYks0MuhlO98mjB1LIZm6sp0HjH4qmDM_eHQK_USeZ2Yf-v&__xts__%5B0%5D=68.ARD9aFCh_Qx_tnoONN3Se_jt1BGu3qbelOgLIFJiYgrBH-4VjhXUOM8AIvBR1Df62EBM8k5vqW4xjjKbx6AhSeJ89iFNaD7g9aIh4utitYs3lH3eXsWuYNdtCH2NjnbKuYzv1NEUlVnJrueHIgJPdCNTCEYFD1L13SV0jLdKndfyq4n3DIr_ys9n-EtcAqCOYokZh4bqdItRPC_cYSmViR3YYErV1Budyiqt1fDcxmpSZ63eUMfzo39HzWnsWBiZRaf9o8NHIl4N5NQlTxNQzC4YBj6SnjLpuI1qM2mecIyory28SLT9UKFHz5hXDd4J5XOjCB1kAQNuszsy0rJp&__tn__=EHH-R","https://scontent.fhan2-3.fna.fbcdn.net/v/t1.0-0/p235x350/72467333_10156922287336799_3463546491753201664_n.jpg?_nc_cat=109&_nc_oc=AQmM06IJ1mrmtAXTFKDKs7DLIOQVBFjNiuV7BnLFRmHYY5VkrifjglTwfoVzXv8ixVk&_nc_ht=scontent.fhan2-3.fna&oh=2d2d66528ede82eac279f346c2dec8d5&oe=5E2A6F5B","undefined","Gửi tin nhắn",""
"https://www.facebook.com/Brain.tw/posts/10156844424806799","1568943180","你還看電視嗎📺
電視廣告收視率不斷下降，想透過電視廣告引起消費者大大的與趣，都比過往困難許多...

 #溫慕垚專欄 #難上加難 #怎麼拌","1571664571","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.brain.com.tw%2Fnews%2Farticlecontent%3FID%3D48110%26sort%3D&h=AT1V0uuNp3iSeQWvS8WtITeDu5UtRSl-3VqYDjWS9uP22_SXZFw36S-u8T_73OyR2X8HyTrP6FjiEEB_nyf44qyywDuXjEn9ZPAmq5kX_etjMamGFlXjBPGEolGTFvRotsu-3cQLO3YbfGGwSXddoFRVoe7cVCzO4dyVR3-9H78xcdvC3iu15zlHBPZ_TYSTS11qUuc21JpH17xhHZ9HeBZ3DOR9bMYQh8MPQfJ4Xv1XFaccRqR8Mm0wSlxzGv-aeqVCCWq0_jFrXNrscI5Gfy7fi71KNBytRNMsKhM5Wlk8Kci2epjmx1xLwW1_krb3bCsCOuJXJFhw_czaJbj8F_whx1cFycLaa0ugsC1TXY6LcPdwR3UppwkH5dmwrPp_f5NNqk5yHxp8q9UQuoa1Xo4I7Tk1lPlTM7hQB7vdkDN0VfI5cKeyVFpWr6UXWk9W-Bb-HaCq1vDri0vV2Od2Jx4DFf401vXxCNPo1Za5OBcZuoTBE-KmytRR4jm46S0T2YrWdpM-rTdcHvBY5LujyprxdU4MlkQYQrpuoY1SRj3FBxVal-7-FNavgcheGKHK4-r5Vvw0ScGWveoYPni9L-AKU-A9e-zmAenaONFu0_vEc-RguJozxWgB2x5NhuksGfy4w7aC","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQBU-XhOwCmUZeNc&w=540&h=282&url=https%3A%2F%2Fwww.brain.com.tw%2FUpload%2FNews%2F20190910101727.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAHBDiMl66loifJ","Keterangan foto tidak tersedia.","如何「力挺」中小企業 - 動腦Brain.com.tw｜行銷．廣告．傳播．創意數位平台","（2019-09-11）電視廣告收視率不斷下降，在眾多紛亂的資訊管道中，逐漸成為品牌打知名度的工具，即使要透過電視廣告引起與趣，都比過往困難許多... , 小動腦，可以創造大世界！Brain makes the world go round。由動腦雜誌所經營的....."
