url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/udesign.udnfunlife/posts/2381807155275830","1571544034","#泡麵控聖品
超有事的日清又出新招！
這次推出完美的128度彎曲「杯麵專用叉」，
能和杯身完美貼合，輕鬆撈起麵條和配料，
打造完美的吃麵體驗。

-
🌲追蹤有.設計IG，享受設計生活
>> http://bit.ly/2rmgLfO
。
🌟有.設計TV🌟每週三下午三點準時直播
>> http://bit.ly/2o7f9FK","1571598070","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.shoppingdesign.com.tw%2Fpost%2Fview%2F4706&h=AT1U5xEtCpOFA-ywFbzZqFzDyWAuvMX6wo4D1xC1_aFZx6KUQewifQ4H_Q10vbGfUeCPYB3EseBO57JBuvccOctD1LeBmcpyVdfXtHZgjj6dQfXYylszKIKEUaYy4cZGvGEWZXLwRtWx91smnfWyBPIcDsPkM5-NkEYftolJhl8rMemOQSZNci5fLGIUIWAG12FBGSPnbAlCnqUhmBC4jJaOs3h_xWOtZCg2tXXD5OXEp-HJ8YghaUzGYwHXYYhwyO5H5Q5GjZ6ThHvgk8mKNEdf3W_bbiNwiAi-1gzEVRhOf50PiwEEVSX7xdr9betAanqk7Xswwy_4feY0piT2XUgnBkf9s5Hpd5KA6KYYud09OpxxKY9Yn_Mo6ODP06mIDrs3bNglD_KXka1JOVQoHTrdTudDiBwljExv2DxC_HwQ0nusqs3GmoamTreOS9n21te-Slb8N1TytCR8m8XJEo8pPVuIhGagY89cnFtYUKZOqpGxSuF-PyCyqZqCWTNSUGK_XbJMwfnPLfGWQt76ms40SPu9GEzhZFxJhj1ILwQbaa9-oYg6hcGwjgLLMTaG87CfkRm7mHKrAPHNpX6fulEJ98xPP5J55LXRzKZXltSktoDZ9PfUI-TFurW3jfcCCLzPj68DD6VbKWJs","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQAPgpW18EjMxQN4&w=540&h=282&url=https%3A%2F%2Fbnextmedia.s3.hicloud.net.tw%2Fimage%2Falbum%2F2019-10%2Fimg-1571286356-18614.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDvOtiIQGkRMpgX","No photo description available.","Shopping Design",""
"https://www.facebook.com/udesign.udnfunlife/posts/2370954276361118","1571108400","【蘋果咬一口🍎，剩下的交給我】
::: Dreamfarm｜Savel蔬果橫切面保鮮盤 :::
限時兩入$780 >> http://bit.ly/2piOKoK

再見保鮮膜！不完整的蔬果，通通輕鬆保鮮🥑
完全蓋住切面，不接觸空氣也不散發氣味
保鮮時間可達一星期！

#矽膠繃帶 確保切面與保鮮盤完美密合
不含雙酚A，接觸食物也能吃得安心🍊

#照片越看越療癒💕
-
▼環保再推薦▼
吃不完的美食，就打包吧！🌭🥪🍜🍲
吃的、喝的、主食、點心，全部裝進👇
【Roll′eat 西班牙食物袋】>> http://bit.ly/33afS86
。
｜10月設計主題 🌾 分享抽好設計｜
>> http://bit.ly/2LQS5Ek","1571598070","/udesign.udnfunlife/photos/pcb.2370954276361118/2370940056362540/?type=3&__tn__=HH-R&eid=ARC4W8IA_Umy63cW7oe7wu-2hXXqh7xy_V9FvRBjDyOsZGvB15D_tQpCVYXHSXRMp4l7QX8zLHSrUgi7&__xts__%5B0%5D=68.ARDoaPysUtSfm_qLxFzHGvVHcf2VefDhWVNygh2p9RmJoG-m7eY6Gf_jnR98j-i5RlYtK-GyARaPo_XUGq9lv3_kYqZ5a9DVks76KrQUejVxuB_98nIb4VuRlABcTjRcSTyYipGAUztsCdm0dr0CaNUWtHYZx2XqTEEnXfxuFyn5JYK84RPXBaOn4C1eBLGMfNDc3ozzFsIzebIcJpnBSfzJTcgrir1dSRe8c_GLwnMaj8SrWIL7P2HcAT7OVs3OS6EbaWClicIhYBCiT2C7EQEL2R9Fy68kDn9jqOARfUbGyHUCjU_maT12TeQAFNbGmIw5Xe-0h3aWTx1wmbzKQqFGfg","https://scontent.fpnh1-1.fna.fbcdn.net/v/t1.0-0/p480x480/72232100_2370940059695873_5419696076930154496_n.jpg?_nc_cat=107&_nc_oc=AQmTV0HHyPdWq28ah-Fczk-NY_zBv-erQDyjESeY6iCW_P0_o2JHSHuz1-IRNnnTkxE&_nc_ht=scontent.fpnh1-1.fna&oh=c1e029df6bfda14252c3267e4a72bb7b&oe=5E5CDC2D","undefined","11",""
"https://www.facebook.com/udesign.udnfunlife/posts/2377115769078302","1571396400","又到了週末玩甜點的時候囉～🧁

-
🌲追蹤有.設計IG，享受設計生活
>> http://bit.ly/2rmgLfO
。
🌟有.設計TV🌟每週三下午三點準時直播
>> http://bit.ly/2o7f9FK","1571598070","/watch/?ref=external&v=329022634594104&__xts__%5B0%5D=68.ARCyovX2ftzZlNgiddYw2TQm_05O9h3v89kaDDe9UqTFEN8erWO65jHSwuHcRsO5yTddgW_xxTlICp6Q6yRBoIOelhqWRECq2WRunZVWMmctpW2GEk9ehjG9lNrSuberQUECEk-rOt6--NW6QgEpNb2vL_bVG22PexQHHygR93sWYgaiQc9IWGIsDrMOjmRdokTF_HN7jRbQzESjN1le0_HVV7zXHN_fxZ-cV9j9SVdWWmt8ZXItpeHFF6w-LlBQGTgx2isulLwQ5di_cr2QNQ8Df5PMYqOQVqQ6z2h9HZwqzOKsVHcPBagGCKmsqbk4KCqtsCul2cI6oCtqP6NGTERvogw0FAXDOwEVon02zrP3NlgCPqbTthi_Ks9bhvUKpZY3ZbZRG3AI0lcprSOseYTJTPG3vv5N8ubR4cufUhD6YTPXnxhTCQ28ed3aQ1wUaDTYa6bzMw2CKYURyDSMO0V-F0JQO1TeTN7WmfAkKhx0L-5gqW6JrwFl5YAkWi1nmvL1VQ&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/71558039_329025234593844_8517170523086520320_n.jpg?_nc_cat=1&_nc_oc=AQk711o8Fj2qOiVIOzPLBkKg_3OdUWS0l0eSRB24vQ2oAM3lpB2BRESQ8LHevzg-ukk&_nc_ht=scontent-sin2-2.xx&oh=545b0d01a2f12928dd466d601f21d94b&oe=5E1A57D3","undefined","Sprinkles, chocolate, candy and snacks, come together in these cupcake hacks!  🍭🍰😋","Posted by So Yummy"
"https://www.facebook.com/udesign.udnfunlife/posts/2377043692418843","1571306401","#閱設計 #桌上的日本風景⛩
說到日本，你會想到什麼？
富士山？神社？鳥居？還是東京鐵塔？

每款便條紙，都是一幅美麗的畫作，
透過便條紙一頁一頁的撕下，
一層一層的紙雕創意慢慢浮現。

-
🌲追蹤有.設計IG，享受設計生活
>> http://bit.ly/2rmgLfO
。
🌟有.設計TV🌟每週三下午三點準時直播
>> http://bit.ly/2o7f9FK","1571598070","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F2nOoh1U&h=AT2F0MPEuhouSpU-HpuHlA9Pti2YGD3j0CB8-VEOD-KBeip7wo5vORg3kkfH-1nCfpXGdgTFps_ZJm7rv2DGRxju6VvqPYBZCMtLdxTjVbWZPyC5gATOyMramn8SJ8dmQNR7kz94h-wFeR7nXkt8aa4wHAWI_CAB2SGco-iQRcVLgYm4Rqm_lp3kz63al1vB-gZxVqUw7AZKMwyIzKOJZd3mOETs5bii30rSbYI1zDhuP1ogox4UAVTVnnD2ZvbjIHOQNYoYYaA8XUuXDAlOFjqRMn7fqfkKhpO6hyLJA2w2oWEuX9rOCOVSjDShoxcM9XJ2fkPiA-smoWLU059DW5q_hH69wePv7oGN4gzr0Sx4b1bOZtqzUW8WXOo3LHyp2RH_pBh_9VovSknRcrypwm103-9KfCgQI4POLnL7z6dAQnjMITlan8xOEELbi0WOdAa5Dw7HgnDpfgWihBIVg2a6nytboEkEI5gHxp3Mqwp1202Zh7ckuts4Q66zApLY0QwU5FlxkOe-Jc6J-X6T-Qap-0CyQMHtZViDU1enAY8qHESMe25VZzwtEbZFx0oFEY9GVO3kybyN5SC7cHIu2-ePloZsvxbq0eHxKnMNZmT8x7zjpegjnu7LccuDWYKbw1bm_NLs0JTlEiP5","https://scontent.fbkk6-2.fna.fbcdn.net/v/t39.2147-6/c0.11.540.282a/p540x282/73412009_2324949331055630_4465592787458326528_n.jpg?_nc_cat=107&_nc_oc=AQkgo6JZA6nU37t4szLnIZWYD3rP5GobtaAADLTvSJgu3inZDMPATr2uEHh_q46m-U0&_nc_ht=scontent.fbkk6-2.fna&oh=41a0a9d50c4f1f4fcfb52e81f0b2d754&oe=5E242DDA","undefined","手撕出一片日式風情！全新日本系列立體紙雕便條紙，台灣首發！｜有.設計 uDesign","「立體紙雕便條紙 全新日本系列」由型態簡約的紙類材質製成，原本樸實無華經過設計規劃找到不同的體現風格，無論是具設計感的精緻紙雕亦或是日常使用的便條紙，發揮了紙類的多變優勢，賦予產品新的生存型態，創造出....."
"https://www.facebook.com/udesign.udnfunlife/posts/2371028876353658","1571050801","#超逼真迷你鎮
到底是小鎮縮小了，還是我們變成巨人了👫

-
🌲追蹤有.設計IG，享受設計生活
>> http://bit.ly/2rmgLfO
。
🌟有.設計TV🌟每週三下午三點準時直播
>> http://bit.ly/2o7f9FK
。
✨設計乾杯✨設計線下講座
10/24(四)IP商品變現的機會與挑戰
>> https://pse.is/LD4BA","1571598070","/watch/?ref=external&v=1495761427230795&__xts__%5B0%5D=68.ARA1aA_JxB4eYOo6xrBjg7ndh5tUXvd6riu5LhNTvxEqIR2jQu0pp2PNYNj0jxRst4lOdNPy43eK7zOLEYo7Sy3w2PEGd5zRUFkci3MEbNXFRGesEVbwChTVmkXKEKKdYxqB42f8iEBRzj-4lOFAiXOMHTc3Ddo9xZZsEqhAfPP8GxiVTdStwIcyFGYe-nIaqNPaoKmBAXFA49NjykLd0MQlf7fXmD6dyHoan56mK13cEpXfaVGSdD0BEUgvmy275TrpkSvmtjNThfWTU2myPsYRqqIT41GX5R6Lhc1xAQ0TkkZK3LiXNKKvWUopBT5QWdcMTZ76ipoudbe7-xYv9CMaa_WhO8zZMlMZoZRNYoSlCH8tT54YeqzXm4UX4N1gWa0CTOXQiApTUEExWENSheZT804KtOklNAju5h30Ip019w63g6DXSlcHl9H_wxAasmOizuq-dtcyCYIcn6_UKTBjSNtoNEvme_Mlci3k8F03vbPN7yvYjXJac48WqF_pCzGv&__tn__=kFFHHH-R","https://scontent.fkno3-1.fna.fbcdn.net/v/t15.5256-10/69877975_1495763543897250_5187083117784989696_n.jpg?_nc_cat=102&_nc_oc=AQmjNNrUtYS6L2Q04-ZDIhJn7wQPmL_PT5GztsG_FGrM99sQrA5U4Lohg080nm59ueY&_nc_ht=scontent.fkno3-1.fna&oh=f21d45f9dc7e3a7e810f3d114cd16e6e&oe=5E5E42E5","undefined","Miniature car models create realistic historical photos by Michael Paul Smith","Diposting oleh DeMilked"
"https://www.facebook.com/udesign.udnfunlife/posts/2358790250910854","1570532401","搖啊搖～搖啊搖～ (請接唱！
看著看著就睡著了...

-
🌲追蹤有.設計IG，享受設計生活
>> http://bit.ly/2rmgLfO
。
🌟有.設計TV🌟每週三下午三點準時直播
>> http://bit.ly/2o7f9FK","1571598071","/watch/?ref=external&v=760129634423342&__xts__%5B0%5D=68.ARBthhlKd6IfPSXZKcU7Fb9UKS9HOxvfAY8ghxvIJas_YBWQkg0rnzrAMQuSR27dPO54pytM9vGTGwiQkLQhhqit3HwgtRJAhEMyHJfquPad7XR3mXvZU5Sbqoe2BcO9Wx5HdAs0M7Mtcv-67WsULF5HT8zuAmIa3pggtJiXvN0OvlZgSCSgGvd4BU_ndb-69yk-Nd6f-_vIc3KpgCzE5BUvkAqdIUS-4MaACWBKBvX_mbOGuUzVJfbQYyo6DOfPPezaUk-1e5fDgkOcf4OVA4DG-6npv4_uNsfoONQZiv8GRCMeAP4bAz8pvQJYkarPg3tbVRxY30ZvdBNESHi_anLSiDjsQi7RNLCrHIAHSLabqYHTMQJaW195t5vckouYkz5xjjnMBk99_aZpkXsOOTxNKXgguk_86dMqpSUg-lqcRLkbpmvZonJeMj_vsCSwlnLB_drbAuts3_BBkbpiT8HuBF3nGULNqspw9VyuX2vlvsgmb7sgzbT4LiQkz7yUK9N--w&__tn__=kFFHHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t15.5256-10/69355275_760130627756576_1970072726689284096_n.jpg?_nc_cat=102&_nc_oc=AQkrIc1G0x03VCoNk902ajN3boWHyjjCuGF9QiOtQHXNHjA8xbeKnC__6_D3PC4Sdec&_nc_ht=scontent-sin6-1.xx&oh=1ec637034e8e8def40deb6c12b8b60ce&oe=5E177B96","undefined","Vibrating cushion helps soothe crying babies","Posted by In The Know Innovation"
"https://www.facebook.com/udesign.udnfunlife/posts/2377223659067513","1571410801","【你走到哪，就把音樂帶到哪！】
::: Marshall｜Stockwell II 攜帶式藍牙喇叭 :::
限時優惠 83折 >> http://bit.ly/2IV4MvY
-
不論是派對、練舞、出遊等都不能少了它！
專為戶外旅遊而生的喇叭，
沒有音樂就少了一味，
有了音樂不管幹嘛都對！

🔥超過20小時的超高續航力
🔥防水防污設計超耐用
🔥可同時連接多台設備

-
✨設計乾杯✨設計線下講座
10/23(三)2020紅點產品設計獎詳細解析
>> https://pse.is/LD4BA","1571598071","/udesign.udnfunlife/photos/pcb.2377223659067513/2377220292401183/?type=3&__tn__=HH-R&eid=ARCMc0gsBMuyeM-FM5OG5vqx4rdhu90j0Oeht-HdPc6flKhkwadxjk47NMkaoXFpOiObBSHI-1WO50kl&__xts__%5B0%5D=68.ARCNA6OPgCR4PwDdwEA7ifdY_Svrmc-dcGDiF0uYHNeS_EIAB9QzpPnsuRMALqPBsL66bdpCEuWK0rjgHCpzV1BZ-lKPkwpORbXdoThhiN3xDIn4C5wDL8kQYwW1cDnF0uuBRuf7OzUpjQotMw40RTAGLog_jC6IW1WktlGlZLcIrRR6UwYuok4l3uYJgHhvbM-4JmoMsa0hBEaS7EAT_zIJf9Qx2avp623vdMw_mjl_myYoztRnZ6hJvQUR6INdtwB8sr0zfWV9qcAm0hteboOTCtirVtyX5exXyhjjyw0UYLK7KNn4VJmhX-xHeoh5qTZtFbzwIE7nQAV4fD6HkGNWRA","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s600x600/74363473_2377220299067849_6835941150281433088_n.jpg?_nc_cat=105&_nc_oc=AQkH9G2qbl1aZHYui3NFkQNCgML3IHaANObYajk3m8NOTQOpToaE-CMrV62Nq0QL6aE&_nc_ht=scontent-sin2-2.xx&oh=f5f7f0f0a25c46236a9e416f74cd468f&oe=5E2AB3BE","undefined","3",""
"https://www.facebook.com/udesign.udnfunlife/posts/2377252665731279","1571572802","【不給糖，南瓜兄弟們就找你碴！】
::: 問創Ask Creative｜DIY手作3D紙模型 :::
萬聖節可愛來襲 >> http://bit.ly/32oRAXR

萬聖節到了，
乖乖把你手中的零食糖果交出來！
否則的話.......
我們只能用俏皮的眼神拜託你了～

-
🎃設計來搗蛋 ● 萬聖節限定
>> http://bit.ly/2OOmvsY","1571598071","/udesign.udnfunlife/photos/pcb.2377252665731279/2377255999064279/?type=3&__tn__=HH-R&eid=ARB75KYnpPPIqoJR3gIa176L64LMThKCg4-vV_s5GsyW4t0eUDXjShM5FCITGyW_-RMCaAvt2zaZDeks&__xts__%5B0%5D=68.ARC0LJmfhwoOV7CnTDzpB1nTgSKMaI9A1JNyqzUkOT3YlKqYBvI8XQJOLSSNRepol6Ps4SPD-AUfTCLcMiCpYlteTMqpvMP8B1vdb15zEglV2KsSTDz8Qrfyh_K675f7CHhb9Yil8HSEZV49P6iJ5YT8ctdi0plTva2sOdWiHHZv4xk95EGslKTeS3hg52OIfFXi478SVGeQVmyuKui7Mos5IbXaijWPWMrq6HTRYhkv3GTUoTwtgXWcRJ3hxb7TRjq4sw0_MaILs9_GLeA9NiZAtzijXhtZ1zEsIbMOoUv0EcjN5UJhb5pIej4n_JrOBPTgakvkCX4Zvluv8uwSiIrXhQ","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p235x350/71757978_2377256002397612_6958977231574007808_n.jpg?_nc_cat=101&_nc_oc=AQnvR_LxSU6M9bh250zrvo87Sl6NHfwDnN7NTnQOoYLyCxNkzDBdpOWLwkgJGNYn8oI&_nc_ht=scontent-sin6-1.xx&oh=83dadad495cb08be0675aedbc2e5160b&oe=5E291224","undefined","3",""
"https://www.facebook.com/udesign.udnfunlife/posts/2360425734080639","1571036401","#誰買過夜市烤玉米？

 有.設計不負責任 📑環保字典 📚
帶你了解真正的環保材質 >> http://bit.ly/2IAexzE

 🌾還有環保活動這邊玩喔🌾 >> http://bit.ly/2LQS5Ek

 #純屬玩笑請勿認真
#有設計環保月
#一起愛地球吧！

 ------
🌟有.設計TV🌟每週三下午三點準時直播
>> http://bit.ly/2o7f9FK","1571598071","/udesign.udnfunlife/photos/pcb.2360425734080639/2360424177414128/?type=3&__tn__=HH-R&eid=ARDNpffrpfM1G3Jw2ZBrASZuHbr8Qu10HmisC_enOjH03Z-DjGSLG19n8gIUddQg_lBG2Y4zuDWlcjYq&__xts__%5B0%5D=68.ARD88fcgxjSuigcXHIBvA6yN7v5avWuZP31_kcb80BTC-ZOAWwW4rxfk2yFTk90SukedZ0pttniHwNieexuC4Zjy8yz0TKMil2rfnjFv-HS68ZuDC4234qTlb8oXar2IcY5PiisLhqrJYLpe3Rom78rduf5QI-E-j08r5r6WvlXVSTgzkVc7GYoQtxUVUUjg1Bq5Tus3O7sJgj4TqX0ugj85FUJ2AqGKgDtVxg7nQuDn_gEnMP51Bi6uNtmFcCZZ8P_lQqKm2Q5XkbfTBnoXoRxMP_QHEmWzw65avg-WYxsXxwJtkwFUzZK7q3tfHBeq9-4-QT5DJIlUNEvmSQxzDF4mBg","https://scontent.fcnx3-1.fna.fbcdn.net/v/t1.0-0/s261x260/72273938_2360424184080794_4706011076569858048_n.jpg?_nc_cat=101&_nc_oc=AQmrQHKMfIfJUkqBpQXEygZdkmXb3WtKNsvb_ASR8XR4ehKRwDUUXCgOMwg3HixiWaM&_nc_ht=scontent.fcnx3-1.fna&oh=d1609bc312379cb8e3f0ccfc65bc1e9b&oe=5E227DB5","undefined","",""
"https://www.facebook.com/udesign.udnfunlife/posts/2377216985734847","1571374801","【麵都煮到爛了，水卻絲毫沒有溢出來！？】
::: 日本Arnest｜防溢出不銹鋼單手鍋 :::
秋日限定87折 >> http://bit.ly/2MMsOuj
-
純日本製的不銹鋼防溢鍋，
不管是水還是小編直播使用的紅豆牛奶，
任何液體都可以防止溢出，
唯獨防不住你對這個鍋溢出的熱愛。

✨鍋底圓潤設計，氣泡較難產生
✨鍋邊抑泡設計，有效防止溢出

-
🎃設計來搗蛋 ● 萬聖節限定
>> http://bit.ly/2OOmvsY
。
｜10月設計主題 🌾 分享抽好設計｜
>> http://bit.ly/2LQS5Ek","1571598071","/watch/?ref=external&v=2813021065415909&__xts__%5B0%5D=68.ARCZRVwvHasWYBv9apjS-Q5sIgwWDEM6ltZu_atvPqqVNpYdXpDT85SzfQZEQ43uPKNveCWSlrWt2WYws-QX-K-yE4A1K12WmR4Zd41ZwUzUlcl7hceqnNI5vzy-uH2zwFgvWDdB2YK2E78YP9psk_d4cd6g055ERpr_QUYaAi9L1RBJb44IFVhfriz1xbbyZbgNlZ0P8qWTQys7MuTuYgWFVm0esfYxUeXKV6z8aa4NwQQ4ujx3pG2FOkbni5wj9BHyWwXmBH8wgeEHrfJDDibrg-Wy4-kzc9rywduc3h-ig2hzD2ZsGovtvyu9ItAnIgw_yurjdL9eOFZcSUS2dkaarboXDlP5xRgBVw&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/72919070_2813023762082306_8190841695370215424_n.jpg?_nc_cat=105&_nc_oc=AQl2jzNO9Px2gYy03V_JmpmMd7Ocw0jCr1WHywR_y_qZrUNNIMswXQ7o7YG5VbTvvVY&_nc_ht=scontent-sin2-2.xx&oh=ebdf614bcb460d9f2c3c3a3b31379d08&oe=5E252B30","undefined","日本Arnest｜防溢出不銹鋼單手鍋","Posted by 有. 設計 uDesign"
