url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ntch.tw/posts/2524784050909564","1571706006","【什麼？曼陀林能保健胃脾？】

 
曼陀林（Mandolin）是歐洲的古樂器，形狀和演奏方式，較像是中國的琵琶。現今在西方樂壇，幾乎都以吉他演奏來取代曼陀林，確實，吉他也是我們日常生活中最常接觸到的「撥弦樂器」。

 
撥弦樂器有什麼特殊之處？現代研究發現，撥弦樂器的音頻，會讓人「增進食慾」。以中醫的名詞而言，就是「醒脾」的作用，用白話文來說，就是「將有益的養分吸收運送利用，將有害的產物順利排出體外」。

 
韋瓦第在1725年（寫成「四季」的同一年）作了這首C大調的曼陀林協奏曲，她輕快的第一樂章，非常地廣為流傳，諸位一定在某時某地聽過這段樂曲，只是未必知道，她居然能夠保健脾胃吧！

 😍人生的巧合之《雙面艾維塔》也有這首曲子
獻給需要紓壓且想保脾健胃的你
-->https://reurl.cc/rlLrKk

 原文出處：全德中醫 
完整文章-->http://tinyurl.com/y5corc2j

 ＊溫馨提醒：引援本文非代表有絕對療效，腸胃不適的朋友還是看醫生為上策阿！","1571751561","/ntch.tw/photos/a.115414568513203/2524783294242973/?type=3&eid=ARAbok6-yIcOVDwT5IXaU5i79cBt30H_6W-8cPzs3EXM8ldAz15UP9OFg8iKX7XoU4nEUfIW_fbNb6Wc&__xts__%5B0%5D=68.ARCsRi16WKAfgtllB8T-3DMCKqfTMUuuKoMyjIYQbMhsC88tmRQaEV9HoUgr_y3vTZ-NOofU0Dgk7yhDYOlLQGweORRgKWd06vZdhZ5p65w88ftV3L20mvLrWQhhpqHgmDhR5a_Li0Gc6TGoX2YyPV4goJCZHl9CAeaqB_dqFVgEa-Uw_YD6_gwm-PA_Ly7VRg-K-C8yLw2K5f8izqd2LrxXMrJ6oCDaDD_uQ52G8qjh3dfeWWJtEH49sGWQkcqhm_N17OGmXykrMXQjTwLv88O4xE_VSchj7yiUPdv3YGK4T1ni0iy1Mgq0O6eYsQoh0IW1_UAuSJRWMdM8HMQpFI18rg&__tn__=EHH-R","https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-0/s526x296/73000191_2524783300909639_7033371811806969856_n.jpg?_nc_cat=111&_nc_oc=AQnXBMsIiklJZWH9LEiaDwRrP9105BnHXT9k7DhfdQYamzQMGxbBCERyU8VofcsaAPo&_nc_ht=scontent-hkg3-2.xx&oh=91b3ce13a66e485569da8d751006fee2&oe=5E57935C","undefined","",""
"https://www.facebook.com/ntch.tw/posts/2521944534526849","1571652016","還不認識曼陀林？沒關係！
如果你會吉他、烏克麗麗、柳琴、中阮等彈播樂器，或是會拉小提琴，也許曼陀林會是你下一個選項......讓專家告訴你，學曼陀林的10個理由。

 ⭕️在朋友和同事腦海中留下深刻印象，因為很少人會想到這個樂器
-->獻給在社交生活苦惱的你

 ⭕️順手的樂器設計，初學者只需要3根手指頭
-->獻給想學樂器把妹但還沒找到合適樂器的你

 ⭕️展現你的創造力、並抒發壓力
-->獻給白日被榨乾的上班族，每個人都有與生俱來的才華等著自己挖掘

 心動想入門？
來聽聽曼陀林名家艾維・艾維塔的演奏，你一定會愛上這樣清亮的聲音

 《雙面艾維塔》
11月2日｜國家音樂廳｜凡購買1,200（含）以上2張可享8折優惠
https://reurl.cc/rlLrKk","1571751561","https://l.facebook.com/l.php?u=https%3A%2F%2Fpse.is%2FMKCKQ&h=AT1TwCJb1ZvymPecvMdIxFjAJX6I4bjxyzscWKAB6QeWs58ghB1dTVH4EDpzG99Sw9V-aluLIZliBmev5Pm9TggQp6EOQZZ9BPJ3NEa6eslTvm-XL51P25rSgi7I3_NXWUsSOTHZCIGHnCyDP0pUV3UWKg4D6af6JHaRlxdqyU3uwc5Mz6zH2DXTfnDMefkMXgeIU6Psc_snwtk3WHmqD7msJ1oSpGf_a4hNkNcJGGITvSpXoz063rc93j2KjLnSs945fjWYlIPGILM8cTlgWsdJTyp4C634O7rslSCqcvWToB4GmqrpoWTvXNRUinJCCLY08bY2DUlKnLvmyZ6LPQhu0CCp0qrJrh_4QC3rz7XBOZ8h60h2QLb1m63680MjQaFsMjcu3F3VCuw8YrowG341ZXSvvtDmYRtdEbC-v2AC1NQ6FDJU4FSBSAZ3nYxKcH_8OdaihwnLipUsY5HlNG9WVuuW4dFoS_ps9xydoWyUwKMEGPkXuT7EHxoC-X9-Zj9709_vuTXUvRV4Wtgk-XqXw9OEUUgs7hXSLDkqn0sqeehoqj-bwjsQao-fnZohE2dZAWzJ3OTdlQDT9GHqPl4YAQqaPA2KJdr9UF2Ig5jZfVeTy4UPN1rbHO8MRyURTRf5Mo5XRQHbK6WZ","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQBe92rTczdZFaiv&w=540&h=282&url=https%3A%2F%2Fstorage.muzikair.com%2Farticles%2F8c36a8b1-034e-4f5c-88fe-5b1c6c49fa86%2FIQNUiw9s8c5ETJ4GCYvlOY4MHzMstEx3ARWFs9kV.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB6fEUeYqz5wyum","你該演奏曼陀林的10個理由","你該演奏曼陀林的10個理由 | 讀樂 | MUZIK AIR","© cmuse.org我們今天所知道的曼陀林（Mandolin）是從類似魯特琴（lute）這個樂器家族演變而來的。一開始的曼陀林有各種樣式，有些甚至多達8組雙弦（double strings）的設計，不過目前最常見也最受歡迎的款式，是出現在古典音樂、..."
"https://www.facebook.com/ntch.tw/posts/2524712437583392","1571544002","如果你是世界音樂迷......
✅來自義大利的曼陀林，你絕對不能錯過它！

 
從烏德琴演變而來的曼陀林，有著清亮的聲音，自16世紀開始風行，韋瓦第、胡麥爾都為它寫過曲子，久石讓的音樂裡，也曾出現曼陀林的蹤影。到了艾維・艾維塔手上，有了更多可能性，他將自身的以色列文化注入曼陀林中，這次與同樣來自以色列的爵士高手歐梅爾・艾維塔、鋼琴約納桑．艾維香、擊樂伊塔瑪．多里一同探索中東音樂的多元面貌，超級過癮的組合，絕對會讓人想一聽再聽的精彩，即將上演！

 《雙面艾維塔》三個願望一次滿足
👏最原始的巴洛克曼陀林音樂
👏中東節奏與爵士的迷人相遇
👏NSO除了古典也有中東性格

 11月2日｜國家音樂廳｜不可多得的組合僅此一場
https://reurl.cc/rlLrKk","1571751562","https://www.facebook.com/ntch.tw/?__xts__%5B0%5D=68.ARBXHbYD1kXMPZaC24C8HfyVPce9x0wmqoMzGTfiowdRARu1a4vSf_6f2rIUOnteEehG5Zc0U2W1xdmibq_nLDzF53mY5XcYRqMj9IH2Baz6ojYlMBd7PXnI5n4Zyam5t7zUNe7mG_LKamvTBQAXf85i1EMdlJVuiL9BCU0e-e1R56iG-N7OMMrLXJ5yLXNfA97D52vvQiyTthP3NqbOyqX8twi_K6kuBq_oSobhlgnhEFDT57oxVnqwWU-sizCO7WQELVfXlLHMfIQNbrc7o_Zb7JjCSxSYVQ1yV7SsJZxiBFLD_or6Ph_EReIAEnMe5kbe7CJ6fvpRsYguzuaDalScsjutqNSyaAw&__tn__=kFFHHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t15.5256-10/72785970_2832513940171167_2594383361745092608_n.jpg?_nc_cat=111&_nc_oc=AQl6SdsHc9B8FpNg-LXF1_oE1juIw1z5lEfmZH5sn6aGQylNCHOhBnQGeBcpS2SQBgI&_nc_ht=scontent-sin6-1.xx&oh=f2eae0cb91b1426fb48f8cb90f7796c7&oe=5E266D5C","undefined","國家兩廳院 NTCH, Taipei","3,524 Views"
"https://www.facebook.com/ntch.tw/posts/2492529170801719","1570975201","啊～北歐五國在香港！

 #世界文化藝術節#北歐#香港

 
今年香港「世界文化藝術節」以北歐五國：瑞典、芬蘭、挪威、丹麥、冰島為主題。藉音樂、舞蹈、戲劇、文學、馬戲等形式。探討人們當下面對的危機議題，並對未來的發展提出詰問。

 當東方之珠遇上了極光之地，再兩者交會下所綻放的藝術光芒，不知是否讓你心動了呢？

 -

 ❅極光之地．藝動璀璨 世界文化藝術節2019—北歐五國❅

 ✦音樂篇：樂音自北而來 翻新耳際體驗
http://sc.piee.pw/LH6LS

 ✦舞蹈篇：冰火相激 舞動奇幻多彩
http://sc.piee.pw/L7REJ

 ✦戲劇篇：立於遼闊之境 打開無界之心
https://pse.is/LNQPU","1571751562","https://l.facebook.com/l.php?u=http%3A%2F%2Fsc.piee.pw%2FL8LZS&h=AT1brsyGkagEd-IPW2yB1g8VQjnwaU3RvaM31FWJN_JMThvOygdtylB9_FGGjhVS9eEOqVcW-6j6VW-xYyp9scHIobAi4VZlv28dVE8n0FbL9FsEN2ld_EuI7pvJWUIdP2yKdX09iHZa-1KfzMG7VOFgiP1RTyzkpsEhTDQATLXvkR1pCVJ-CiQtXAswU9Sp1yj0106Fa_IsBrMj7KoSYf3uvHyeDQdl6OsDguYlrCeefh1oL3wh-IDWFM0PlFcJl0s5bsKk61d7yl2r16vk61lWVeyI85MyNHjdcGDoJIzAwK2FihXBrTgT_uQylL3KWExUTSmU_m400SL6Tzu6YQthKOZwUV4RW0Hljvw_qtl3Eg2_rP9EFhnY6fSsdNDMfqNkJto3EuD78u7U7wSIZPKXuEphos_jVyW8VlKOtmjvnhIfyJBRJgyEax06Np5pIS-Y6Lu5uxeLAudGZtUCs4Q3SUjwI72qyPnjVeITEo5meanMUYriO-NbO3ESBZiwmqYcyO2RsO8x7Hv2y3kLCC3N7ryqlp56Yip6Emrq7ip8uC8RFQpz4HRCHbtJR2F_LzECColCusR3E3KeuYbmFudhwUrZHgEl7GpQif2LWkIQ9E1zxPdidu66TI-upgjjMGsfUGLzGLMGSQ1e","https://scontent-sin6-2.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.1.720.377a/s526x296/72701348_23843732335540661_4361669585510858752_n.png.jpg?_nc_cat=108&_nc_oc=AQlNw_r8vGJrytA5aUaawtmcrKPQxSwVV9bRY3cXv_8zjF-N6KmHZJVvVQ212XZYpWU&_nc_ht=scontent-sin6-2.xx&oh=9181177c66ee7da3a92ada93a97f3fd2&oe=5E18D953","舞蹈篇 冰火相激 舞動奇幻多彩 ｜ PAR 表演藝術雜誌","舞蹈篇 冰火相激 舞動奇幻多彩 ｜ PAR 表演藝術雜誌","國家兩廳院《PAR表演藝術》雜誌社官方網站"
"https://www.facebook.com/ntch.tw/posts/2521211141266855","1571382001","📢國家兩廳院地下停車場停車公告

 10/18~10/20 節目票房幾近滿場，
同時廣場有大型活動，可能造成地下停車場客滿，
入場前記得
👉關注 OpenArts APP ➡場館➡交通訊息➡兩廳院停車。
車位剩餘數，隨時掌握！

 #滿車時多加利用鄰近停車場
#也可搭乘大眾交通工具
#提早出門優雅入場","1571751562","/ntch.tw/photos/a.115414568513203/2521210357933600/?type=3&eid=ARCt9ulhgoJUbtSgHeN9k327TRXAOxWwLuNL2kR_SVPq7qcMGnjQZxh61ztm2CJ-HsB3Yxu2Vz0dsmXr&__xts__%5B0%5D=68.ARAFrLluabzWWOgKR1f7wJoruLRlTcIBfxyhxoqMVhDAGCZSXl19ipqmpbsJZGN5H8uo0VrFXLNLX8EaQFgYsbB5wc1dGt6NXq8qZDLNOTLNzALT2LI9GeJpTSXmkFKieadCmlU7kk4vk3NA4pR3lwlX99r8i25egXpa6RED4cy6MTCzaa7BoCmHIuLnaKXWifdRHcjAG31x0fvzYQAtmn3Yr8_AWjZjYwdQoAfM_AJUUBqn465UPW4lJhom4JX6iDT1EPCx3h4l5CshDxIBhydieyCirXfAJHaF-od1i2sMqMOWsLzgenywi8Iy8PJIoNk299eEx4FL9dLllxJr1PwoDA&__tn__=EHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/s552x414/73023643_2521210364600266_2931796108482969600_n.jpg?_nc_cat=101&_nc_oc=AQmiGgPtf039XCS914My5ZJDFDjyD2RUZnE2PUuAwDF07yf3ptqh65fg3sCmVL_seyU&_nc_ht=scontent-hkg3-1.xx&oh=df9d1e5a9399a7a2ecbc1a7aa59c3fe1&oe=5E5F7BA8","undefined","",""
"https://www.facebook.com/ntch.tw/posts/2521517827902853","1571619600","為何阿喀郎會選擇一戰印度士兵作為他舞生涯最後的獨舞？💣💣
也許這篇報導可以讓你了解身為印度裔的他，心中尋根與致敬的想法。
💣💣💣

 
『他們出戰的理由是因為英國給出虛假承諾：一戰結束後賦予印度自治權。也許，如果英國履行了該承諾，在他們自己國家，那些參加一戰的印度兵可能會被認為是為了印度的自由而做了犧牲。

 這些人無疑是英雄—在陌生的國家參加戰鬥，在惡劣冰冷的氣候條件下忍受水土不服，與他們不了解的敵人作鬥爭，每天冒著生命危險，不為什麼，只為尊嚴而戰。

 然而一旦戰爭結束，英國並未履行約定，他們多數註定會被遺忘：他們為了英國而戰，英國對他們卻不予重視；他們從印度來，但自己的國家也對他們不管不顧。』

 
#2019舞蹈秋天最不能錯過獨舞大作
#封箱之作錯過不再

 
▶阿喀郎‧汗舞團《陌生人》XENOS
▶11/1-11/3國家戲劇院
▶購票去:https://pse.is/LL8S6","1571751562","https://l.facebook.com/l.php?u=http%3A%2F%2Fsc.piee.pw%2FLWUBK&h=AT3JKs-xi1hA5QLyxKg6T5qxavr0NrSkU3V1hlgJxHg1LWMXFrdLs7BDo4tnJLdoWUg-3mlyao_5QaaDA_U_jJ1itPk3IZY5SEEEEYXhTy3UBYdvoFWBYXVtA2Qq6_udzw0pWjiY55Auigt88wmOPBnYRxHV0jsCisvMDN0SiTlG1S_xglvNHZ3z8mwefLz2ccadXqNBLZt_A_GF6_v8OFuy_UQqBRObDu3AgcyYCz_Oszq7YCPuKmDNcsn8SmySaiIubs1iJcEPamGegbY8X11TevrOK0paxGWXhnQWKwkfLfeSQxZViG4YQuxVuxd2rfu5xvKRbPPS4qS56ILJ2G_f-b70GdU--K4FZb1hJGnHXTBCCb4YHTMp3HODSuoVTDpLHsss9GxZgIXvwIMtUuNQDxZMMx9LJ0bPPqO-fQBxdfj_3QIMdZU32eeNyDyJrB0JC67YEhHKp6LDy8LaDzQO--3isvrJWkHtUFbW6E6BNSrOiUH3zjnhgJTkLLUJJSacCLlohrNAFR9alRpCNIMBx4prXHlGdAVVoYminB6UsCAJL1q4NN7y2mF9RiRh9XirPvbNFhaEXntqW7TLpvmcSIqeurkrCO7x1XdgccLq2Ek23EH2R-z9GUCUIc1N1H_-hYZdKHfXBrkx","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQAoHIGBZQsfBReP&w=540&h=282&url=http%3A%2F%2Fcdn.illu.es%2Fstatic%2Fimages%2FDB75809E-B65D-4AB6-F860-68FD29390F3F.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCII0uu65vO9hRN","被遺忘的一戰印度士兵","被遺忘的一戰印度士兵","戰爭結束，他們多數註定會被遺忘：他們為了英國而戰，英國對他們卻不予重視；他們從印度來，但自己的國家也對他們不管不顧。"
"https://www.facebook.com/ntch.tw/posts/2521618587892777","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571751562","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/ntch.tw/posts/2527912513930051","1571659217","👨‍👩‍👧‍👦兩廳院兒童繪本音樂會 X 賴馬

 你知道""賴馬""是何方神聖嗎?

 1.知名台灣兒童繪本作家、插圖畫家
2.幾乎得過所有台灣重要的圖畫書獎項
3.連續三年登上誠品書店暢銷書榜圖畫書類第一名
4.《愛哭公主》榮獲兒童及少年圖書金鼎獎
5.《愛哭公主》為第54屆義大利波隆那兒童書展－台灣館主視覺

 賴馬曾說:小孩是一株小草，繪本就像陽光

 這次的兩廳院兒童繪本音樂會，
特別透過賴馬的知名繪本【愛哭公主】與【生氣王子】
帶領您與小朋友透過音樂來輕鬆閱讀繪本
成為快樂的公主與帥氣的王子喔!

 📣套票組合限量搶購中(記得去套票組合選購喔!)
4人同行價1200元
單次購買同場票券4張，即享4人同行價1200元。

 2場聽到滿價600元
單次購買10/26與11/3場次各1張，即享聽到滿價600元。
購票去:http://ntch.art/ssbu

 認識更多賴馬https://www.youtube.com/watch?v=b1wN2GXxyuc

 #套票組合才有優惠
#賴馬繪本館
#繪本 
#親子節目
#故事書
#情緒","1571751563","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Db1wN2GXxyuc&h=AT27BsGWNQk9oe-qSlKAaQm0ZIgpov0Qnu5BDgd6lacJ_iQCoBZyhAgIJdJzZe3jm9Jy_xAwzsg598Go9By77FjpindqL8TH8dJ5UHV5QZgnAXYhs4p89UqRWT_euTBgExs5O-syh_hzRXMiMsxLyNTVZVVYo20jmlBFvcNbLvzDFYK3eizqPo9NUDnt8b6ywuyDSgCKFFrv8CYy0viGhb1HiHZDnNR7Pb6eFhvgwl5BIH2awt_NysmUMjOi64jeKJCOmaYg_8ywh7p6PsNocHp8J6BknYGYvW2QnREsakyG6IeEjNje3KnLCF55rPcxRdsWsOyTbRrl6XWzG3qK38eV05jIv_QUU21u7OPxAmJ2EEIIrksyk2obuwit1U-vs7WR7zG2E--zMuWdxK1Tmi-CIcXMloS0ol4foSStuiXPiBfFQLaCJzc_k4EYsEJLlO_XBVrxwgc0iRIdQrbb_W8WK79p5T2QgJKAR4H1wZILDEqEjxf-H-JyZ-dCQvgDGuhVDiItiZF0ozoTbZFbCKRRNJNqjSf2-e-2Lb9q56lVqfjW8drzPzAZDuGtO5Ol_Tv2Vnm0koHJspRwMQAB5QWX1YgppjOUqUs-vpp2TiREbeBNYZaZ-eXlWTFKAt-zZuu1oHEMNZtvIc7n","https://external.fbne2-1.fna.fbcdn.net/safe_image.php?d=AQC2Untpm0B-oBT0&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2Fb1wN2GXxyuc%2Fhqdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBUTirOdgnaW3bo","Image may contain: one or more people","宅女小紅╳賴馬：從「畫圓」開始，手殘媽也能變大師│專家來作客第5集│親子天下","畫家會送小孩去外面學畫嗎？畫家又如何帶小孩在家創作？小孩對繪本興趣缺缺時怎麼辦？這次宅女小紅碰上圖畫書作家賴馬，除了談創作、聊閱讀，還請他傳授手殘媽也能上手的繪圖技巧，一起來看看！ 延伸閱讀： 趣味圖像...."
"https://www.facebook.com/ntch.tw/posts/2470900846297885","1569236400","#廳院青 #無法被定義的顏色
你是哪種青？ 由你來定義！

文青、覺青、朱自清...(？)
學霸、HIGH咖、吃貨、文字控...標籤一大堆沒有一個適合我 🤯 

成為廳院青，自己定義自己！

-----

 #21歲以下地球人限定
立即申辦由此去 ▶️ http://bit.ly/廳院青
快追兩廳院IG知道更多 ▶️ https://reurl.cc/A1qp8K

[!] 購票享75折優惠，獨享「青現場」特別企劃✨
[!!] 前1000名申辦通過，會多獲得5張購票7折券！
[!!!] 喝一杯廳院青享8折優惠 @爐鍋咖啡國家音樂廳 門市

#ntch
#你支持表演藝術
#兩廳院支持你
#廳院青4ni","1571751563","/ntch.tw/photos/a.115414568513203/2471187666269203/?type=3&eid=ARDi93Zp77rmlPKa38CoZSn_Ki2NmMgcVL-3W0-EfylEC4cxSek9nNaK6CYh7-oMy9jnyCckB8paVFxK&__xts__%5B0%5D=68.ARB8j3iyH7eWhzdCDZZem4pJ_bzjF0yiMvrtwSqHEFb8l_tJa3fO805uoyCNz5nqSuLDIfReUjPyAYlC0ni0LRThMI5g4DE6I82sYZhQRZlKD_UK_MTJbl1Z0Ha27punX2lt5kxV3uX4ayNKHB9-mEk9xpARd7JxbrV-d6USuBNH-vK8M6NdE94JnICROEsdmXp9pWcwuAknyEkkB7UhjUAwk9uQ-Jb0fPxXWoGGpnL0dVG2t8WoWUXwmC85d3QDcFR6EoH-YBsMmQwFtggCHUsQh79FanF02iR_77sek7IJid46nmLm3hMtWhN5fPyKBrZtPQYvxYK9mwoMeLXWcdw9Qw&__tn__=EEHH-R","https://scontent.fcgk22-1.fna.fbcdn.net/v/t1.0-0/p526x296/71097882_2471187669602536_2927720459396972544_n.jpg?_nc_cat=103&_nc_oc=AQmmdeHMf0w0nt7VmurmOV3JwebQ9MDgKvTgEaFSG7KmwDFuEqop11rDSL7LVDd6aNc&_nc_ht=scontent.fcgk22-1.fna&oh=eaf45e714f00d5a99cc4cdfc422c487e&oe=5E57118C","undefined","",""
"https://www.facebook.com/ntch.tw/posts/2471667472887889","1569416402","【她的聲音，讓人揪心】

 
2017年，《無，或就以沉醉為名》是布拉瑞揚舞團與汝歌三天后的首度合作，影片中的Ivi在舞者的拉扯中，用盡全力地的唱著，不成句的傷，卻沒有讓歌就此終止，聽來十分揪心，那種心被撕裂的感覺，彷彿我們都曾經歷經過......

布拉瑞揚：
「因為沈醉的演出，沒讓三位姊姊好好唱歌
她們被舞者摔來摔去，要不就搬來搬去的
讓很多本來要來聽歌的觀眾都聽不過癮
所以才促成了今年10/4號音樂廳的分享
為三女製作一檔純音樂的製作
不跳舞打擾她們，好好地唱歌
讓大家享受聆聽他們的歌聲❤️」

＊本影片由布拉瑞揚本人剪輯提供＊

🙌🏼作品詳情🙌🏼
主辦單位｜國家兩廳院
National Theater & Concert Hall
監製｜布拉瑞揚舞團文化基金會
Bulareyaung Dance and Cultural Foundation

節目名稱｜汝歌 Cantando Trio
時間｜4th Oct., 2019，19:30
地點｜國家兩廳院音樂廳
🎈購票 Tickets｜https://pse.is/JMDXS

藝術總監｜布拉瑞揚‧帕格勒法 Bulareyaung Pagarlava
音樂總監｜陳主惠
音樂設計｜鄭捷任
演唱｜Moagaii 柯梅英 x Senayan 賴秀珍 x Ivi 卓秋琴","1571751563","/watch/?ref=external&v=3038430882840772&__xts__%5B0%5D=68.ARB-IOMx--pA-TiSTAl_LEdcV6HGsunhrZj1O-Ea7cQqmhQjouRbSfpghmE-DxgExEz_L4mlFnMrTyh7EhlGFNLXk99sYGjR5DYXZObaseklg0GmCx-AH4jCI3YK3cA4Thfg2OsspP17ey5mWPhSww2q_g7Re8XC9Ks5ie3jLPKFUzoJDHh2RhpjNAptnf1nQD4LZlWNm81T2W7mEo66Lq6CogiX3-UsfsaHUqLhFVFaUCBzNHvGYYVGoSm7ySxupVO6UPlc3bnQ70vNn7WmsyTae4c9oXcUnFNaryyJB8eCPgOrW68UiVVBtcT-CsJT4MEB8CGx0am87LR75WXrjkub67auMxolYsaEm_AUA_NoecPdNbOw6HVhGjo&__tn__=kFFHHH-R","https://scontent-ams4-1.xx.fbcdn.net/v/t15.5256-10/70428531_3038432936173900_4440138964426293248_n.jpg?_nc_cat=110&_nc_oc=AQmQI_7EmaYXLwxvCeUuJLnDbZyY9kbf0DjHfsFVW_ZnGcaV4c06aFsUXb12T2NreZg&_nc_ht=scontent-ams4-1.xx&oh=6c7ab3d1972fb0e45c465358e770ed1a&oe=5E576FE9","undefined","揪心的歌聲，憶起了那遙遠的彼方......《汝歌》","Posted by 國家兩廳院 NTCH, Taipei"
