url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/NTMuseum/posts/10156268987141193","1571389387","10/19【田裡有腳印】市集

 週六田裡有腳印市集共有9個農友來到市集，為大眾提供新鮮蔬菜與水果，多食用健康土地生產出來的食物，請記得攜帶雨具做防曬，自備購物袋，愛地球。
市集時間：10:00-17:00

 ■生鮮蔬果
#觀音農場
老莊有機農場
阿先小農田
#吉果園
溫度民作 Handmade with Warmness 
棗道24K

 ■溫暖手作
Café Chat Leopard 豹紋喵喵
漂泊工站

 ■好喝咖啡
RS Coffee

 ■理念推廣
慈心有機農業發展基金會

 臺博館南門園區：臺北市中正區南昌路一段1號
國立臺灣博物館 National Taiwan Museum 田裡有腳印市集 #臺博館 #ntm #南門園區 #田裡有腳印市集 #綠保標章","1571649370","/NTMuseum/photos/pcb.10156268987141193/10156268986471193/?type=3&__tn__=HH-R&eid=ARCV1sBWbR6JOA-jfYn1uA25F1DKaBZiX1nkGRH_qmR7pXaESgDfUMr1bmus8H0AaqZOyyevt9olYVmw&__xts__%5B0%5D=68.ARCJ8I5nK-dnDNAHK5zCjfQ5tIcqXAO23AkcqP3z_Gwy2kr45z5b3-ZNQ9LxhloixF4WolVsK3zeVA1ImzxKNqBeNcvhpa7wCnABoE1SbbxJUQ6Nt5Zz1J_aGxVf4e8LjzhOKC7mqq7zbgh-EJqbiYF9Ojl_Bc8j_s9W9rqU9VIBk9UiCEGfjf2f0DD9Vyzwkp7QeaBMNWwFb0kjIVWSd7v8MZHos5n-_q3ecO9t8pCxKWpsaHGFMLkohEyc1gIzT7MiUa8_XK_Z9EOu7Y2_hIVWOJwasIF8Cp1WGxYgFocROND1qpFiHHGkJLtm4tefNEnRBT1tuW_V5djH36jx","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/74237781_10156268986476193_6307580458280419328_n.jpg?_nc_cat=111&_nc_oc=AQnR_QKr_zTY-VWHSgWpEzO_SjNxg1iyWJaL26kKACaFYS54GUb_RaMJuaMQuCEUMl4DhBeLvD4lwyN9j5K9-mFm&_nc_ht=scontent-sin2-2.xx&oh=30d8a97c7294d7d2fc805bf9b9269282&oe=5E5F9B49","undefined","",""
"https://www.facebook.com/NTMuseum/posts/10156270775586193","1571446908","【臺博數位導覽APP體驗試玩場】

 身為館粉的你/妳，想要更了解博物館嗎？
跟我們一起來體驗「臺博數位導覽」APP吧📲！
只要使用APP探索博物館並解開寶藏清單，
就可以獲得臺博文創精美小禮🎁！

 10/19（六）10:00-16:00 土銀展示館
10/20（日) 10:00~16:00本館
10/26（六) 10:00~16:00南門園區

 ⚠️請Follow以下步驟：
➡️手機下載「臺博數位導覽」APP
➡️完成APP卡片遊戲闖關
➡️填寫問卷
⚠️兌換地點：各館服務台
⚠️每人限兌換一次，數量有限，送完為止～

 #臺博數位導覽","1571649370","/NTMuseum/photos/pcb.10156270775586193/10156270774401193/?type=3&__tn__=HH-R&eid=ARCIpy5Poz-nX1lqAXN4HiC99wr7XB101m_G8cdVShHkfcgQF7V28bVraPYkV-JFrm5ndilaZFdH0s5G&__xts__%5B0%5D=68.ARAb9YQC1z06PPRHQqps7dOyKk6xZ4d3dsb4eQL33i6cHQ64wciW22hx_cVFusyjIDKA053qDh37SsKRKrmUlmCggiUrC2Sr4e27k8rcdtbeOdkMIqn-rDSDqXlyck2gMh6Zak8oZHJ2Wd6slBp_ZOx2PO2Iv8aJ8kdNqp8BbyDjzDkVJN5s-7-abOHONEjS-5qtiXT5CvLecDYm8arh-DSo3obUL-h5LBvMlyerIYo0kOWoN7KCEVN2zx2_-XCNTP3cbFHws7CXmdBBMbcrdnfxPSPh99hbYhZcUmtCAMIuY-z3l_tJrFVuRNqnUQhn4iDGt8BcMSoVsyx38EPT","https://scontent.fbkk5-4.fna.fbcdn.net/v/t1.0-0/p526x296/74415720_10156270774406193_6640750623438405632_n.jpg?_nc_cat=103&_nc_oc=AQnus8mDnJmG2DdX7gQzJZFOl67kwV-GdxoYp3rexoeEnzz7hzBlIIYaQ88k9_kqh_Q&_nc_ht=scontent.fbkk5-4.fna&oh=1fbb3adf130fcb0bc348817b70d2d28a&oe=5E16F3C2","undefined","",""
"https://www.facebook.com/NTMuseum/posts/10156259426616193","1571137309","野薑花盛開時節，淡雅清香撲鼻，
燕兒漫天飛舞，晚霞群山雲朵變幻萬千。

 圖文：陳信鈞

 #新北市 #金山區 #清水農地","1571649370","/NTMuseum/photos/pcb.10156259426616193/10156259420591193/?type=3&__tn__=HH-R&eid=ARA-YguBwZePI5ZDpPEdxui47tFId7jyIh1OH0ypQkuKE5cPgLFdDkPsblchLerPNZHDjZsyKJNFvw5Q&__xts__%5B0%5D=68.ARB3wKFsSDOE6iCW1lObYWs_yrmaW2Pyue_9iDl6Nfa-CdGCVlXwLitaXmc1UJu0NINeDNY1LSJoWD8OcXHQg2ldRTVbqWac77vFGNcP3qyNrEr5Fe8tNbckPvqfXQRQQ1DvxKlzvSQ9qhOboZeW9owSKksKmm4JVx6PrrEvJRjGO5_9d7f6jek4V4WrSAzg1Kvl4f6BDATKjUkRzqQTVh2LOb1d8D50IFpXqvpA6pXh0t22IUA8GhUFV830XbPgv54zhOoOs--OPP_En5T07eZ8OEsUeYRl2S0LIcG7oMHBE0F-Yno7RtQN_skF0l0UNNAyY0JJ8Hd49jcYL_e0","https://scontent.fbkk5-7.fna.fbcdn.net/v/t1.0-0/p526x296/72623282_10156259420596193_6731476511871729664_n.jpg?_nc_cat=108&_nc_oc=AQmN6j_Z2KXo_0xWLufRYA69mWnMoDwu_oeBro7HB7ZfXzX460ChN9xDOefRhOLxv78&_nc_ht=scontent.fbkk5-7.fna&oh=d8cf12afd88a5c7ad9bab3c584809f3c&oe=5E170A6B","undefined","",""
"https://www.facebook.com/NTMuseum/posts/10156271646911193","1571626801","【Bobby Bununggurr -音樂分享會】

 #澳大利亞原住民樹皮畫特展系列教育活動

 
透過澳大利亞原住民自古流傳下來的樹皮畫，讓國人們對於這塊古老大陸上原住民藝術留下深刻的印象。也從他們的繪畫裡，認識了他們的眾多族群、氏族、社會結構、環境議題、生態自然、信仰祭儀等多重面向的深入和認識。

 臺博館與 #澳洲辦事處 共同合作，於11/3（週日）下午2點至4點，透過澳大利亞原住民藝術家Bobby
Bununggurr於南門館小白宮，現場透過歌謠、吟唱、故事等角度，從原住民音樂，藉由他的語言緩緩唱出屬於他和原住民們的故事，他們所在的地方，一起生活共同交織的過程，以及受到外界影響的轉變和屬於他們發源的起始。將從音樂將帶給國人對於澳大利亞原住民文化有更深層的認識與了解。活動現正報名中～
 
https://event.culture.tw/…/portal/Registration/C0103MAction…

 ⚠注意事項：臺博館保有隨時修改本活動之權利，如有任何變更內容或詳細注意事項將公布於本館藝文活動報名平臺網頁及官方臉書粉絲專頁，恕不另行通知。

 大師:澳大利亞原住民樹皮畫特展
展期：2019/10/04 ~ 2020/02/09
展館：本館 - 一樓東展間、一樓西展間
https://www.ntm.gov.tw/exhibition_179_2394.html

 #NTM #臺博館 #大師 #澳大利亞原住民樹皮畫特展 
#BobbyBununggurr #音樂分享會 
國立臺灣博物館 National Taiwan Museum #澳大利亞國家博物館 (廣告)","1571649370","/NTMuseum/photos/a.421971941192/10156271645411193/?type=3&eid=ARA1VdqAhqdvknDVxNK9ZDEbZAtRGrJMMcDlxhvIUqjr1lIZBpC8kRRbisrgWZCLtxLlXU_EYY3qWExD&__xts__%5B0%5D=68.ARCZl5dnaOHHaI89ZPa05iyKB04sZ8Su8FwGDzmfuP3VxQ3I9QyefRLX5TQx2JScbX8cbCDEql93F_9681SKTF3Vp3Y14G2QStYI497H99wY3CTGFHOS1VHqE6AnlW23PQiLCXgt2AJC6Hcfrxh2lWd6hh-eBZOvrLR5M2cTdn2X6xOelt648k2cmPnC1nHJ84oBbp0l-sLJ_aFh2MtL6N-Qmfvo8suIXCtYMKqEwKf5x72hOFKimZHY8GeA3qBodPmDfjHj7MW79lyiGYGSUUDgGId0dIC1dypyKJLnscuRyRYU1jRF91ppBea0NR84SFbWaVeq8VpbsKhoH7od&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-9/s720x720/72995399_10156271645416193_1372649849626820608_o.jpg?_nc_cat=103&_nc_oc=AQlTBjrvSFgk_R2p0QxKohGtZZjuMTPqxBObWjwAK1l-P9DuwNbRMBrgWJRio70FHkk&_nc_ht=scontent-sin6-2.xx&oh=7f884dd93810911eb4b0d3a76684df57&oe=5E28B1B6","undefined","",""
"https://www.facebook.com/NTMuseum/posts/10156271710721193","1571540432","#修復前的北門館 
#戰後的鐵道部

 
1945年8月二次世界大戰結束後，同年10月，中華民國政府派陳清文先生擔任臺灣鐵路委員會主任委員。當時，陳清文共率領三十餘人前來北門館（鐵道部）廳舍與最後一任鐵道武部
部長辦理移交🚂。

 鐵道部就此改稱鐵路局，而廳舍建築上懸掛的國旗也從此隨著政權易幟而變。您印象中的鐵路局與平交道是長怎樣呢？您有看過火車經過廳舍前的模樣嗎？

 👉🏻相關活動推薦
臺博館北門館(鐵道部)周邊導覽活動
活動網址：https://event.culture.tw/…/portal/Registration/C0103MAction…

 #戰後北門館外貌第二回下回揭曉
#世紀重生
#臺灣現代化的序曲

 #NTM #臺博館 #鐵道部 #北門館 #古蹟修復 #文化資產保存
國立臺灣博物館 National Taiwan Museum","1571649370","/NTMuseum/photos/pcb.10156271710721193/10156271710036193/?type=3&__tn__=HH-R&eid=ARAKjCCu5vNaEgFKMB0h6NQTG_aKxAdKkIXrpasBTDrPQ2-4U3UMFV1B8hZAmcoAMdnv0fe8icl0CGKo&__xts__%5B0%5D=68.ARARPvEOGsWjdfNlMEO74YIYBbrkBpaI6pH7ffswJOctVf2rrrTBDTOpewj3FRvspMAgZCanT0UEA5Ibk23sgdbqi32EVRJZWSY-5guO_ET0oCuzXw98Ifh-GaoWXWxPp8vcANpz94CA2cAgC4z85q4aTiYHVLibvwH4Is9uUnJrJ053fKbjNKKqWEyHTfxcBXQKNOVmWHq8v-f5McLnfLSCs-jciz9jXiJ0Zfp7WS84ObAbRD6_euMXNB9yHVTQ-f8j_XcWSQiVeFUXIMec1CULGdUgJvVZHG1KuQZmYNgTS_AnZwe6pVWWrWCijaWLTEEmkRP3Z98JG5uj_vAm","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/75279232_10156271710046193_2328072608886554624_n.jpg?_nc_cat=105&_nc_oc=AQnXQG59utrpEcsl92EcnMqsPhucblfJnF8MHuw1_1-D_llnjkZbKxp_GZMlwkxn5uo&_nc_ht=scontent-nrt1-1.xx&oh=24e399097c41bdcd9c0b97d3924d1d6b&oe=5E25C71D","undefined","4",""
"https://www.facebook.com/NTMuseum/posts/10156251510636193","1570873368","建築外感覺很寧靜，建築內部人聲鼎沸。
吸引親子民眾蜂湧而至，假日更是不能錯過古生物館！無論看幾遍都不厭倦；無論玩幾次都不厭膩。

 #化石 #模型 #VR #AR #就是吸睛

 #NTM #臺博館 #古生物館 #土銀展示館 #古蹟修復 #銀行行史 國立臺灣博物館 National Taiwan Museum","1571649371","/NTMuseum/photos/pcb.10156251510636193/10156251510336193/?type=3&__tn__=HH-R&eid=ARA2ChZi2-_I41_2n-7a1iOy8eP-UtgiUnGjuw2Ntkj0HpPsMMYaiY-99qLYABsIhcwmH-oWUYWnxH5t&__xts__%5B0%5D=68.ARBLOTEOHSh3dLl5kiZRVd-NXirQ0QJ1U9fDM1QwLY9zPNVd1_TkD7ilvQQ_GXARJQUbYN9x1Co6_j-SR5O0GOB0h1LNJ5BhcqRMAMK2alLG-fQ0CX53Sffk5DPj55DWJfX-j_-KbOPQ3ee96hTcuaRlSBCuZOj6mn5Vlse3n9r8uCivKDrWzNVGe9aoE0asJqnT8DM5RomKWDzZcY_3HJ8tDq4gUXnJUvuqO5MCBYaNJad55CKo0n3VsXu1BC-_S05wLF0IjGCpzuDd0tYmLUaQwX1x5t5_LZFMCDIfMkpj06AjNsJ9Q3ci4Bi8PoxEPauFOetMQvwlMTsBgOJ6","https://scontent-maa2-1.xx.fbcdn.net/v/t1.0-0/p526x296/72369689_10156251510341193_754051164592406528_n.jpg?_nc_cat=101&_nc_oc=AQl_OsbqSBnr8K4tlcWilgRBp2NrsYq5sSKMDQqixZ4Wzv1B8wJzBEc9mRFHqKG-xtY&_nc_ht=scontent-maa2-1.xx&oh=1269790a7be92069b90e8867cee598da&oe=5E656CB7","undefined","",""
"https://www.facebook.com/NTMuseum/posts/10156225672091193","1569928152","【大師:澳大利亞原住民樹皮畫特展系列】教育活動

 
澳大利亞原住民自古流傳下來的樹皮畫，讓世人對於這塊古老大陸上原住民藝術留下深刻的印象。本館配合「大師：澳大利亞原住民樹皮畫特展」規劃精彩且多元的教育活動。在期待展覽的臺博粉絲們看過來，趕快先來報名活動吧！

 ◆【樹皮畫保存修護分享會】⚠限專業人士⚠
本館特別邀請澳大利亞國家博物館資深修護師Nicki
Smith女士針對澳大利亞國寶-樹皮畫維護、保存等專業技術與經驗，分享給國內博物館、修護專業領域從業人員以及大專院校相關科系學生。希望藉由專業修護師的專業分享，提供兩國專業人員相互交流的機會。
■日期：10/5（六）
■時間：10:00-12:00
【講者介紹】
Nicki Smith 尼基·史密斯 
澳大利亞國家博物館 資深修護師
自2000年起，Nicki在澳大利亞國家博物館工作，開始研究樹皮畫的保存及修護項目。另外，她還積極參加亞洲其它機構的工作，其中2年在柬埔寨，3年在越南參與織品考古工作。最近參與了多個澳國博在亞洲的巡迴展覽工作。她專注於藏品的預防性保護及被動存儲設計，並期望藉此最大化延長藏品的壽命，及降低對環境的影響。

 ■地點：土銀展示館4樓會議室（臺北市襄陽路25號）
■對象：限博物館、文物修復專業從業人員與大專院校相關科系學生
■報名：網路報名20名(報到處於一樓服務台，購票後辦理報到)
■費用：憑當日門票參加
■現場安排翻譯。活動報名～https://event.culture.tw/…/portal/Registration/C0103MAction…

 ==============================

 ◆【策展人專題講座】
本館特別邀請「大師：澳大利亞原住民樹皮畫特展」策展人─澳大利亞國家博物館原住民文化資深策展人Margo
Neale女士，針對特展概述、樹皮畫以及澳大利亞原住民文化信仰，向國人分享本次特展的特色與展件的故事。
■日期：10/5（六）
■時間：14:00-16:00
【講者介紹】
瑪歌 · 尼爾教授是澳大利亞國家博物館原住民文化方面的資深策展人，曾擔任澳大利亞原住民主題展廳（ Gallery of First
Australians）的首位負責人，後任澳國博館長的原住民文化首席顧問。
在1970年間，她在阿納姆地生活、工作，參與了土地運動，在1980年間曾在聖誕島進行教育工作。
■地點：古生物館(土銀展示館)3樓簡報室（襄陽路25號）
■對象：一般民眾（建議年齡為國小中年級以上至成人）
■報名：
1.網路報名
2.現場報名：活動前10分鐘將視網路報名民眾實際報到狀況釋放侯補
■費用：憑當日門票參加
■活動前20分鐘於一樓服務台區完成報到，逾時開放現場民眾侯補‧
■全程使用英語，現場安排中文逐步口譯。活動報名～
https://event.culture.tw/…/portal/Registration/C0103MAction…

 #NTM #臺博館 #大師 #澳大利亞原住民樹皮畫特展系列 
#保存修護分享會 #尼基史密斯 
#策展人專題講座 #瑪歌尼爾
國立臺灣博物館 National Taiwan Museum #澳大利亞國家博物館 【廣告】","1571649371","/NTMuseum/photos/a.421971941192/10156225671416193/?type=3&eid=ARCnmbMfy3OuTdMcVLseIEmpIPgnMVE_AOtC4-tatXvATVl1b-o1Bm-Ye5VYycRPjTGUuQiaOX3A-IJb&__xts__%5B0%5D=68.ARDhcg160b-PlzRRnPlKz2ZgO964vLrLhuILe9_2KfyPflhgROspmhHt34LjzEzFMoL5GRDCqFOjCQCUfprz7qTQefDsITkMfaZCTv-S2kvKzMdn1ju60wCE_ugQwMaAny8Osxb4QeMI1x6mA0THGYrEKwVICOfal0_tKqwYzmKEFmrpxY0ORMnCa7uCDaF-k0vr4LnU_gkrvxsbno-FADXzTdFCVSW7Gi1JJ-A2l06A1YnMbBcfPKGVCKdoRrGKlx7Uu9HMBL54VXzMtPtTwYiep5aE4Gs1JYkj-45cjppGsewG4Dw7nq55E9x28RqURFXAKwENduEDtsHNHX70&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-9/s720x720/72127919_10156225671431193_2148869822924980224_o.jpg?_nc_cat=104&_nc_oc=AQn8evpCUTJ8Kd71buZIKM6uxM8jjalqHcBIpHQUaaRDDMhD3MfakZM10ee2cPdybms&_nc_ht=scontent-sin2-2.xx&oh=be8e01aa6a0f01578897d74d14de0086&oe=5E2DD37B","undefined","",""
"https://www.facebook.com/NTMuseum/posts/10156021136666193","1571022000","#1017臺灣文化日
#臺博館三館免費參觀
#數位導覽APP體驗拿禮物

 
嗨！10月17日為「臺灣文化日」！在1921年的這一天，是「臺灣文化協會」成立的日子，引領臺灣文化啟蒙運動。為推動臺灣文化傳承精神，臺博館本館、土銀展示館及南門園區當日皆免費入館參觀。

 📣
另外本館當日還有「臺博數位導覽」APP體驗試玩場～跟我們一起來體驗「臺博數位導覽」APP吧！只要使用APP探索博物館並解開寶藏清單，就可以獲得臺博文創精美小禮 
🎁！

 地點｜14:00~17:00本館服務台
請Follow以下步驟｜
➡️手機下載「臺博數位導覽」APP
➡️完成APP卡片遊戲闖關
➡️填寫問卷

 ⚠️每人限兌換一次，數量有限，送完為止～

 #小編偷偷說小撇步:可以在家裡先下載以節省時間喔🤫

 #NTM #臺博館本館 #土銀展示館 #南門園區 #臺灣文化日 國立臺灣博物館 National Taiwan Museum","1571649371","/NTMuseum/photos/pcb.10156021136666193/10156262568681193/?type=3&__tn__=HH-R&eid=ARDUQOtwtKkcDLWeuAQqx9jBDrsmWyoNfB2PgiCjTcW3GNV21_8k4T8G2nkK9NGzEiUYjI47PK_oIgBR&__xts__%5B0%5D=68.ARAqOFZyLqm6eXSYFq4a-fQc--v6VA5nnw8DZa-aLbv_Cgq-mEjDmgFFGfWR_G4f-39W_EuY4Ox6wi4jH9-7lBSO1o5Bx9G-GyciaMpg16-rpAf6x9niHsxVi0iYD911C8STnMMC2GlNAKWQxBwOXP_qf_HVZ5KfLl7to_xzbvcE8IY3iboxtWe4eNMhXNdm_xBcV2TVHjcHK6oXDUL13EiRUvUwvAFFgPjCvpVnibYr6NFNFLjejT4Gcd0a1waJvLtylEIOPYpgw6Q_omfiyALwpYSSI4zeTnmzgZXZC3gsxuVgXugOAqKpQuGMlR5COAFoRb1HQKuQ9v48kPoC","https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-0/p526x296/73020983_10156262568691193_9134415516033613824_n.jpg?_nc_cat=108&_nc_oc=AQkcIdM2CgJrZdnufr3ssU95wPwAjk7RPWjBFUvOHzDTWlIY-uBJzDSoU2MkiWlbN7I&_nc_ht=scontent-sjc3-1.xx&oh=81d098d43428ccd39b4479a92dc13343&oe=5E619711","undefined","",""
"https://www.facebook.com/NTMuseum/posts/10156242241801193","1570535566","#長毛象出差回家囉🐘

 
長毛象之前和其他史前巨獸夥伴至金門、澎湖等地出差，進行「史前巨獸－古生物特展」巡迴展，讓居民不用漂洋過海也能享有豐富的自然史學習資源，接觸生態及演化等地質發展史。今天已經回來臺博館繼續陪伴大家囉！

 #長毛象 屬名 #Mammuthus（猛獁象屬）源自於俄羅斯的古字
mammut，意思是地下潛伏的事物，因為所有長毛象在被發現時，都已死亡並半埋於土中。猛獁象在全世界約有7、8種，其中，最為世人熟知的，就是生活於寒帶冰原的長毛猛獁象，外表披著長毛，因而稱為長毛象。

 
本長毛象骨骼來自西伯利亞北部俄羅斯聯邦的薩哈（Sakha）共和國，如同上段所言，牠出土時也不是完整的一隻，是由不同的個體拼湊而成，目的是希望大眾透過此完整的骨架，能更親近此史前巨獸，更了解長毛象形體的龐大和生前的樣子。

 #歡迎探班
#無縫接軌回來陪伴大家
#這段時間謝謝各地朋友的喜愛🥰

 展覽地點｜
土銀展示館 古生物大展-生命的史詩與演化共舞","1571649371","/NTMuseum/photos/a.421971941192/10156242219631193/?type=3&eid=ARBiR7LIVhTMKAs06R0javX3cTj6iZmKp6krGkZVn3TrBOadVXtSGhhwDQ_rR_SCfYDqUkEO_FPs5oXd&__xts__%5B0%5D=68.ARBkCm86wTd4YQm-Rjnxatc_twIl7n3wAkjSwSspCKw_fTL7bEIY4BwvPzh0lzoLLPLQXxAKtG74zcBKvffq9WeZiCx8kfEDwwXR-qFxHqvJFEpbBNwsNtp-v5D6dPtLOXoRJU_Mk8Qr_Eag7gorfs1KR1CVFRt1tQiDmCmdLoT_2pR6Je2QyzyvoJR-Rarlb2_CH3eVxf46_dlzaZA0gmGe8u1-WJj9f2ris4P6bIhtABqXDKWSDJBVAkYIuOaxcjLz7FwqZLXRQ58MdhwH8GyQxDQIrfSVWKZ4UP0EvdJIqdHL_hfTd5cV8TYp0iBVRoNoGDI-ALnsdie8hcYP&__tn__=EHH-R","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-0/p526x296/72386046_10156242219666193_2964442618756333568_n.jpg?_nc_cat=109&_nc_oc=AQmwDn_c1uJ-F1kerQQSTRMgcrYWWwvoLIXNdNe9PBWyGCHf0igTjeiGCCjfJHfvxK8&_nc_ht=scontent-cdg2-1.xx&oh=9e50270f9e0d2213d88543ca605c1d5b&oe=5E1EB603","undefined","",""
"https://www.facebook.com/NTMuseum/posts/10156232553716193","1570184076","【臺博館大師：澳大利亞原住民樹皮畫特展即日起盛大展出】

 臺博館與澳大利亞國家博物館，今日於臺博館大廳，舉行開幕典禮暨記者會，現場貴賓雲集共同見證，國立臺灣博物館洪世佑館長與澳大利亞國家博物館館長Dr.
Matthew Trinca共同簽署合作備忘錄，文化部蕭宗煌政務次長及澳洲辦事處代表Gary Cowan共同見證。

 展覽即日起到2020年2月9日（週日）展出，歡迎大眾蒞臨參觀難得一見澳大利亞原住民樹皮畫典藏。民眾參觀時，敬請配合⚠
不要攜帶食物及液體入館，背包請手提或背於前方。為提供大眾良好的觀展品質，⚠請避免奔跑並請配合輕聲細語。歡迎大眾拍照分享，⚠
請不要使用閃光燈及腳架，請不要錄影，謝謝配合。

 為歡迎原住民朋友入館參觀，即日起至10月31日，原住民朋友請憑相關證件到本館服務臺換票免費參觀哦！

 #NTM #臺博館 #大師 #澳大利亞原住民樹皮畫特 #十月原住民憑證免費參觀 國立臺灣博物館 National Taiwan Museum【廣告】","1571649371","/NTMuseum/photos/pcb.10156232553716193/10156232545221193/?type=3&__tn__=HH-R&eid=ARCI0c7QMcB4MUZZWJYbaXJJsEWnk35mz1SUVBsrSG7jfkhKjQArsTjUjRTTp0GnrdxkbQ8YtrUjOwG4&__xts__%5B0%5D=68.ARAoO76V5JsCsb7oI34S2zj8Ga4jKjZvcKlNPTuQivydDcFim11t9YQNoxHCZKbzY7xGuhG5LfHSSQPmqKUOV0QZhnTUN9miAIPYDu6LLxgvvTSWxXGV1lWdqJga2rsZiHJqcvQQiweM_lCQhKK47wRaxMIKs93CgKGg_5JrBT_Dff9gOqSdQS_qPgMF7zIjcQ58GQYRGHgB-4cUAmBbRGN5g9Jb416f4YwjniEJ-vDCJJ04hJXqDR62LhkIzGeREQzsWnkhMYpwWcUxwC-7yzBHQUU1cXLwH0HQi3d6F1daUgctdErzvos0NoK9WFp6P86FizWkbTjWd7tvv1bO","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/p235x350/71891267_10156232545226193_4141465993769648128_n.jpg?_nc_cat=100&_nc_oc=AQnGPW_CAF_GXpm_OjgZbXHC0mqKEujexRq3hrmFWESuGq5xrgPnZUokF_xV63aek2w&_nc_ht=scontent-cdt1-1.xx&oh=ee535e19215139e721e71ae21f81e239&oe=5E2992F4","undefined","6",""
