url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ftvnews53/posts/10157290420860901","1570757806","吃貨小英認證 #蘆竹小丑女

 💡國慶酒會端「台灣味」宴請外賓 蔡英文大讚蚵仔煎披薩好吃
#雙十 #國慶 #蔡英文 #酒會 #史瓦帝尼王國 #瓜地馬拉 #巴拉圭 

 🉐還沒追蹤ig就落伍了✨ https://goo.gl/eWnXSZ","1571021803","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ftvnews.com.tw%2Fnews%2Fdetail%2F2019A11W0002&h=AT3aR0iYMF7XSFCLC-Ku1GgMF1Fwz8wQ2a5Y-1L2CgH99jtSuj5-WcvjVhqawjUJ8Mt7yQMw7UAdm-t_pJm83iKZuBwZGw34FJOsKLSMsMA4B4en44dzxZRkPtrssbscJa0hf91ZXBYdDt5YAWXqIVtX-16uaJLdMe009ei0MqGB3pRK1a4PSJB_n6miLa0eBavm1quvQZW1OqNfRpLHFQOgxuV0AjAZxz97X4JMFMaCuhvZjBHZKoAz-944GIVM2MCTPw57nfXt501d9QNKpoc2xubIDDlKafis0yqnrm-cmAg2reDTAK6_umPs9PS0cqTqVxFaciy6yleXRGjLLQHwagRCJy2OYELh-hKu7iOTDxeT0tKt0gniyQCgBg_sL4bEs6bceBW1LVagKkxvGJKpo05TdQu_TnV4YfXoUSa6cVxAvQeCRLeoAK3CkjWJRo1xQZ4bYkDqDV8W2AfWiwybnn0rMrwRGSenvYdk1KZf_WQ_9tEj_p9bV8aRn456hApQmI8vQRAw6iwQCweesZUGZjG8XG4M4Gw758oto_xLa2obhSSs_ys5xZDA8myeGMtMShS2XYqHYDwSOUC5jjh5JQQ62arU95ksTFoDswiTRH94Xr5rMKtRVRf9e6ZJT-g7uN1s","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQB3H8OytcU_eu-l&w=540&h=282&url=https%3A%2F%2Fnewsimg.ftv.com.tw%2Fmanasystem%2FFileData%2FNews%2Fa13ef304-a9ac-454e-90e7-b923d6e03606.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDdeHnWwd84ogMV","國慶酒會端「台灣味」宴請外賓 蔡英文大讚蚵仔煎披薩好吃","國慶酒會端「台灣味」宴請外賓 蔡英文大讚蚵仔煎披薩好吃-民視新聞網","歡慶雙十國慶，國慶酒會邀請史瓦帝尼王國總理戴安伯夫婦、瓜地馬拉副總統卡培拉、巴拉圭副總統韋拉斯格斯等外賓蒞臨，總統也當起導覽員，帶外賓大吃台灣特色美食。現場還有氣球造型藝術家，精心製作Q版小英總統的氣....."
"https://www.facebook.com/ftvnews53/posts/10157296832705901","1570962600","注意保暖喔 #淡水蝙蝠俠

 -
👉明日起變天轉涼！北部、花東降雨機率高
#天氣 #變天 #收假 #下雨
-

 🉐還沒追蹤ig就落伍了✨ https://goo.gl/eWnXSZ","1571021804","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ftvnews.com.tw%2Fnews%2Fdetail%2F2019A13L01M1&h=AT2-M61wMCc-9Td1Rm7JA-8zdDlr1J6cAiAJopt7oYPQccngIskyRHl6kXO3QaP54qcdQ7A_HmgOKTpjKQzOsPpGAPvpQgJKkbinyIPx1q6szzv0mTBGwOym1pyk1buX7LJPIbsXoZFOTmcsX6GgIqUSuyP5g7INwUXeJhK8dX4faIJQgzRVfhfe7Vf2by9APf-yJnFkLq21V-B6y-fBhUrEueJDsIPzuwCYMBlOSDAwJo15jN9LQSO_hGicymjXnhpQV1mz0vJiuZS9fkI-ARXiQA5KzWcoaEfsNk4B2JMduE3i7-uA-LSOYEau4FrZrHDJbyNdpGehQmnD0JFyCE77eCd08qJOzE_d9EYnD7YiG12eQQq2_zM3p8I7fx7cHtY1j6tBN27CoFe9dQH5Rna0PnjECnnVb2XEZLZVfZHBcx10ncqp-bwqjey0Io50fa2FHtXN4OuViw8nRij_7Nj6kaj5s5fOIvWuw3CAeZr-NUeV9OZlMbkOX_7uhz3Z7ypEkbeaIkX-r0GhNYQFh59WdqOSIA1Qb2-BmJWG0nIxDqh8hJ07RegEbr7Hnu_O7UbMbSZnLZU_cJNZObh9qbr0XWlEXpHskJjlzeG6YkJBRbPV3FT4PT7ozOfXOXfXEOnqf-J2","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQCePCwRzMfTrESZ&w=540&h=282&url=https%3A%2F%2Fnewsimg.ftv.com.tw%2Fmanasystem%2FFileData%2FNews%2F3ccec829-812c-4d62-bd5c-624e617c8fc0.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB3qPrmkeVUUC0M","明日起變天轉涼！北部、花東降雨機率高","明日起變天轉涼！北部、花東降雨機率高-民視新聞網","雙十連假最後一天，各地天氣還算穩定，不過，明天上班日東北風增強，預計北部、東半部、花東地區的降雨機率都會提高，北部的溫度也會下降，低溫可以到20度。另外，受到第19號颱風哈吉貝影響，沿海要留意長浪。"
"https://www.facebook.com/ftvnews53/posts/10157294705475901","1570896227","周日上午4點早起來看國聯冠軍賽第二戰！#北投萬磁王","1571021804","/watch/?ref=external&v=420395208663392&__xts__%5B0%5D=68.ARAb095B6YdqfZMWZhCy4k0YEnI6Wt1-GsGwLasf7YSB-LTtSb7FlFsc8KD2SoZLXGBBQvVoC8ac_d7aXvYyhm9ETQ11ddGRYlcunf_XvuIs7VryWwgOz5qlKoE2UA16EEKNdHz85lHC27ldoavlSxpUfQ2SeHIOEWqUGVUvPoDyJ1SdMqSCXrCQBjCc2jhSN7M066R4-DYhl9npCfB9EtgMrCfxnd-gw-ijbHabVMnPSLYKzcNbCnbMhlUDyoH4RhlV3W8TuEwB1KL3BcO1dcxMkpYqXMKRm_O-AMz0yyIsLjOUuJ4y2gqG5PmmNprZtN58z8npmpt6Y5vXaVW4u64gTNKZGseq7cKELPnpCvj-xzROuEcKYhwZCY9ZWt-9eTXxmldBxXOX_ggNzxCcgQxMIP1BnEQBctqvnM45t-h7u6ZiWgDonvo0rDot8Jc7vTyJZVL50GBaoWlZ9uohNPfDKmP5a0iyWcw5A7t9wTxJeSXgSh2uoAyF-tk&__tn__=kFFHHH-R","https://scontent.fkhh1-2.fna.fbcdn.net/v/t15.13418-10/70818307_991168747942078_3882619047963000832_n.jpeg?_nc_cat=111&_nc_oc=AQmABIFtD8ftjpi2ALfQ41utG-WxvGzNyfpB2gBxgi7XpagX_sNrx2t_11drCu8hGM8VfGflQYZW0Bs1IXkdemeb&_nc_ht=scontent.fkhh1-2.fna&oh=5d2603bd66f5b5fd87e5ca42e615c572&oe=5E3375EF","undefined","MLB／國民桑契斯7.2局無安打 自家、對手教頭都給讚","由民視體育新聞張貼"
"https://www.facebook.com/ftvnews53/posts/10157291085825901","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571021804","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/ftvnews53/posts/10157299507460901","1571021536","至於被問到是否將與中國國家主席習近平交流？張忠謀表示，沒有計畫要跟他談什麼。 #士林黑寡婦

 🌷第三度任APEC台灣領袖代表 張忠謀：希望見川普

 #APEC #台積電 #創辦人 #台灣領袖代表 #張忠謀 #張淑芬 #總統 #蔡英文

 🉐超方便手機APP立刻載📱https://goo.gl/UXPysp","1571021804","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ftvnews.com.tw%2Fnews%2Fdetail%2F2019A14W0003&h=AT3ztG5ayW1Sb_ZEGeRvricgPt9GVa4LyW76KXOHPESr0t12hBFPTGeGofY2FkGP8PtQEQ_HZwlQahSoKtdrOST9cR54WE1uSxXDbY2x5X8NpdABdMFLd41ih22ziW6BEQED8apHgphJRJ9KrvxetdHb2vSWZMmvQUt_zfQ_ousRnPcSpn-wEH9oqR_Df__mr4gtM2OAGg8dPid1Bl5u6uFBmtofGXWAYADIZyU3g4AnvPBMHrIHFdGUksH_iKbuVdj1ZDrWVow8eBvTwVuebxUwUFg02GDz0Wxxn1pwEhAGESp2kgaEcul2oYwOsV_Dy68Vdtget3LOv23hN6-VqBvmB2ycW_mlzZZPNOBKjq9Vd7tk-5muZvgtNcsyOI1rkS4tzwEucrk7qqj9QA0aKwwFkwDVs1RdPcOnloyN9ryhxBCJrq9gBBDM05ctGiqjFl_-Lic-rFQRV4ZN-tkGB5S0EouQkoH3IyZ5zJAn82vfe-1oaVvQtdZaDqQLvlSV1pXMbtcwny-DT9O9dH3J0twGh7e6HFhqE8NnKja70qA0Ahq6IW_jJp1jSnc3jjel3_w6hI6tFaBDDSv0ycEyZQzK4mfYD3JWEnqS9lSeZoKFOkkTrB--Kj_9qA4igWwBpGPT-pzI","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQBb2QJgxb6QNVgd&w=540&h=282&url=https%3A%2F%2Fnewsimg.ftv.com.tw%2Fmanasystem%2FFileData%2FNews%2F5d4b5e9a-f72c-4049-871c-1b2c83e42936.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAI0jkoTh8V2YYo","第三度任APEC台灣領袖代表 張忠謀：希望見川普","第三度任APEC台灣領袖代表 張忠謀：希望見川普-民視新聞網","今年度的APEC經濟領袖會議將在11/6、11/7於智利舉行，總統蔡英文今（14）日正式宣布，由張忠謀代表出席參加APEC經濟領袖會議。蔡英文表示，張忠謀上次出席會議成果豐碩，不但在會議上針對數位議題發言，也在場邊與多國領袖..."
"https://www.facebook.com/ftvnews53/posts/10157296557910901","1570942106","就看明天 #士林黑寡婦

 🌷美中貿易戰休兵美股大漲！台股可望慶祝行情

 #美中貿易戰 #中國 #總統 #川普 #報復性關稅 #第一階段貿易協議 #台股 #關稅

 🉐超方便手機APP立刻載📱https://goo.gl/UXPysp","1571021804","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ftvnews.com.tw%2Fnews%2Fdetail%2F2019A13F01M1&h=AT1PiCfNwhC7m-FOJJbr3B3dWJywGW69JmQela5Uui9s4i__8ypmP9AyMJMhEcoDoU7Y64VkL3YQTbFyoY-JdfRS13bwk5hQBVPe4h1i_hnOyGQCmmUyhGnY7B6OMdJ-MEl3jIPrnRcxJtdYS3hc662qRzrCFr4xJxjENtexX9uGfzSUwfruN1rV9tjjepOkg2WOjgSpgSrRXcVCaMGW-Uanxk_Sf-B3i_lodkJiolikgxadO7oCCfOALhEKjZJfM3PrYLSretQcmYeogDTgq00TEMPWJ_eJZTpNp683gW32HVa3v2IDR7qJrO90F9RitkowQLK6VsFWUZMcmGA0XKzRuha2gZfJgXpxLiMyatP7rD5Uhz5aCEwmqAWSuwWOehxJoVdqXm8lq78rATdnHZzLtnwpzqYbFbwZDpS5h8CJEYEtYrUjgdER1tQdkHOo4_QMdxf6eChcDdu6lJlEGFCSjzBzM-1PhEaPMo4PoGWMIBqWK58DhSDc-LJUSzjg7kX6SVE-mVrQLQP4qGAC7aRb-VrpREUxWwJxhoHMhmoGmp8Hl2yqWHPhZt02mOIU2C8gCqOFxtpg2WfSYUAwVXNlIZ6SNtchV9FtHGzx3mi-wm1BWPU66SG3dCb7Vn597GKOCNcg","https://external.fcgk4-4.fna.fbcdn.net/safe_image.php?d=AQAeWMg-u6w-Kqna&w=540&h=282&url=https%3A%2F%2Fnewsimg.ftv.com.tw%2Fmanasystem%2FFileData%2FNews%2Fa76bad0a-3ec6-4321-82ed-be7a3e6ce06f.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBqRqYtqP0_arZe","美中貿易戰休兵美股大漲！台股可望慶祝行情","美中貿易戰休兵美股大漲！台股可望慶祝行情-民視新聞網","美中貿易戰持續超過一年，讓全球經濟跟著動盪，如今傳出好消息，美國總統川普宣布，雙方達成第一階段貿易協議，中國將大量採購美國農產品，美國也將暫緩新一波關稅制裁，好消息讓美股11號激勵大漲，台股週一開盤也有...."
"https://www.facebook.com/ftvnews53/posts/10157296810180901","1570952967","希望日本平安 #淡水蝙蝠俠","1571021804","https://www.facebook.com/ftvglobalnews/?ref=nf&hc_ref=ARRFekhV_IJ-fzBoH5zjNx556rDqb9zyp6uTdlfufMUDbKsx8bOpVAuobSzb3wBEwGw&__xts__%5B0%5D=68.ARDpBI6hiP9YcGU_K1RlC896whm4T-Bx1dVDCMAupC8Lz8860MKclUEXBHdUz6K5HrUVcr3tEba1M1VwmzTUCZDJ_CwxoEMQipRZSnR4K6eljxALDKnD2rRAO2atvzoU2NQT3aM-zt_Sqiz3OY6pzjoKRDw41r8ZnQ1Av5uIB4AggQYuBTSMZcwBZfjGhrsYezhwdNVosrAXAANG_bSgA6qgrY_rWnXI0XHO4NvjZOcTcduHjSWlq_C5tzfu39ziN-9iwa8bMyMHWwAoa9ubONzOum4WlhbuJBtczgUXWlRwFSK0uFddgivQlYpLwmRY1PtJQ0pm5gQdRYTUtWgX13fLLcf9-1ShLWJWZM-2zwfyWbAKVplqrftKY82sC_M2AeBrSshzjmBzkkXZ8XJ35eiAEy8s-OQFU6fW68ysFGHd0D2bZFLkAXFQPKQf72o-a01gzIrMPSsfOLYN53n0MGr4Pys59JlPBcXu4GWHLB6eb9U&__tn__=%3CH-R","https://scontent.fbkk7-2.fna.fbcdn.net/v/t1.0-1/p32x32/42680696_1958597170863684_1375397138342608896_n.jpg?_nc_cat=104&_nc_oc=AQlg4FLg1WvHlCDsHyPF7v1baJK-kc8XNQF-VUqYXpzC15vcy982PGkec3SeOq4bsBg&_nc_ht=scontent.fbkk7-2.fna&oh=939aab49766433d35ef392f6d0c08338&oe=5E271A95","民視全球新聞","民視全球新聞",""
"https://www.facebook.com/ftvnews53/posts/10157296198585901","1570941000","晚上也有金針花可以看

 #士林黑寡婦","1571021805","https://www.facebook.com/OhHappyTaiwan/?ref=nf&hc_ref=ARRVwzx67y0MeiKDo4wVLDP4KiCFrScW9tO7XMHRitlrw2l45wPndh7QPrpaTgMeiPg&__xts__%5B0%5D=68.ARBM9DIUb6xb1xTPsIgSo54IA7RNUCkxhwuBNNDEhU4W5-x6T-RX88Xs_-8fTYKf_LZRuNCStADVRyDGT2uq_3g0LIBNUUBaBKcshxi8hYFziJaYKK0Y1WV1Mtk9ljSpMUK4IuR-l7Z6fXi_yp17KB_u3mKET9iei7oCnFH21pj3ZFeuSzi5VxZHTMGVp5UVgNv4O6cfKA2_JeOQiLL0z7CTINS2fzN2dPyhF3DtiiYJJ-dTgH9uEsLktmIVrFEMhYS8Wj5WJgmNgG5PWEkrAqOKNGEeGFSVJ_lIHnw6x2KSK30-pUpR-V77nv0XIZmCpDSBXQ7zWIlsNVhkZRitz1WiRJDBUAnpkRhOqzPG8ztxMNbFtH4PdycxiUG5tcaiNRWX7VsqqpGu8ltMgYigTviF3cDNI_FM-x0VOjyK7ZfxvGlGF9KHUCBqEuEX87LpRsxbDhskCRUXaxuhGIEJ3K8b2xGkFa4MB1Tya9Atsf34&__tn__=%3CH-R","https://scontent.fpnh3-1.fna.fbcdn.net/v/t1.0-1/p32x32/26195340_493701847696672_8722978191693661776_n.png?_nc_cat=100&_nc_oc=AQmu-drEeW6C3xKNsindJCq9aEPjW28k8E1p6bR-mP2huaC0EOw_47V9yYIMHSeZHF8&_nc_ht=scontent.fpnh3-1.fna&oh=1c821891096c6f749a2c83b98d71d214&oe=5E1ACF21","Oh憨吉","Oh憨吉",""
"https://www.facebook.com/ftvnews53/posts/10157294183190901","1570887900","治療成功率達98%以上 #大安金鋼狼

 💬國內C肝患者逾40萬 衛福部新藥救「肝苦人」
#C肝 #肝炎 #C型肝炎 #患者 #肝苦人

 🉐還沒追蹤ig就落伍了✨ https://goo.gl/eWnXSZ","1571021805","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ftvnews.com.tw%2Fnews%2Fdetail%2F2019A12P09M1&h=AT2xqyjkkwSM0Xo_uJnGuc3tRfwW1mDoUWqfHrAZHwxErRKpazXIK4XQg103PQn0L65kQqsHJlv3hlZKYSasE-1hm5UgTk1XdFZh57bfYEQwTeRq4zJNfvO7NO81ysGBKGbWOsqmhiNBFG1QhxYUxxx3LFmJQlIsRPjV4URUehc3OkcaUoBU5Mxw4gcCiPnAn2Njbu0SYFRULwfExDp2hWc_GrRllwAULqKJ1LrjQGqkx6N2UuHYO7OZ4UTFAtqnnigx704FRnJWHswsJ174z3ms2Fq19M5lTrsjMQnVc13fJLQ1Mb6TBDaBEdLK9i0rDrcumfFn-h77BYrlilqQ3NksyPe1N0ryy6PsNlcn-S8Py5c4uxzhURZHoLybY2B0lv5D2TvqHTHF6P6UHSO1PA-YF3HyVrClGqs6ZyOVtP7InZUR4D_T28aNUboMz237OzootFdAK5AGiKcgRsyt1LM6_keukKi6TPXgLj9xLhgKmWl_rfbRS-M0UAsjfuwf1K9btaXVgBJHpIr4C7WWhmxh_bDly1SYpnm7ftQ6fx6XOMORqbsOxBR7B_CemsZLAxumIfeMd7xiHyupZ1SqjBDIP6dnSec45iMf6Aex8YF_Rvz6t0xPsYgedJDCmnAeTkwtkYd5","https://external-frt3-1.xx.fbcdn.net/safe_image.php?d=AQBZZfzUX4aSZKUJ&w=540&h=282&url=https%3A%2F%2Fnewsimg.ftv.com.tw%2Fmanasystem%2FFileData%2FNews%2Fe4f1ab40-318d-4cea-a323-9f95017a7db1.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCMcKIt2SA6SLTq","國內C肝患者逾40萬 衛福部新藥救「肝苦人」","國內C肝患者逾40萬 衛福部新藥救「肝苦人」-民視新聞網","在台灣罹患C型肝炎人數超過40萬，等同於有40萬個家庭因此受苦，而且每年增加人數逼近7千人，患者主要集中在雲嘉南地區。為了徹底解決問題，衛福部喊出「2025年根除C肝計畫」，今年開始全面開放C型肝炎口服新藥，救救「肝..."
"https://www.facebook.com/ftvnews53/posts/10157297585980901","1570977900","#今日時事重點
更多最新消息看這裡➡https://goo.gl/hL88JL

 👉反送中／抗議禁蒙面法18區遍地開花 港人籲國際助香港捍衛民主
👉韓國瑜急下戰帖求辯論 蔡總統：不知道他在急什麼？
👉哈吉貝肆虐日本至少30死 安倍：11萬人徹夜救災
👉美國、德國民間挺台力道強！先後通過連署「承認台灣」
👉柯文哲曝好體力密訣是「吃安非他命」？急忙澄清：開玩笑

 🉐優質網路節目看這邊🎥 https://goo.gl/hMeBPJ","1571021805","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ftvnews.com.tw%2Fnews%2Fdetail%2F2019A13W0013&h=AT0WgFQLMMoentLVaNDbgfOdcd0Ek2M1YfXAXevlSOE5yjLUQ0EZ8PU5_T6O90ugyAcrTMrLFLgr16lj2mY_3xxhlKKUsv6Ac1PAgagkvfw6ewhyx8M3FmfNtjgHhYOYj1P-ML2m88GHqwS1WP9YsXcedgT5Eo_K9Cx6oQ8ohbfI4PnkpDFCcqFxCKqGYeF18rGEPqtcl9mOmfNt4fH0fSxKhA7JBp3EITI2fiIuGRZtgHiACYt9cb64qrgHQVdd19suoz7Qu66xz-SPVULBusW-yyjQU80iK8QUg9Qb-ZLHEzrHGu1mziPTVi9agvLGuPCFpYXUIzN3xFXdXK4b0CPL6_r2DdkdkjxjP_kJsypn7SizY2ANykOD9A0aFUdT7SGM3zZogBp5NDcT9woyg-laI_X83BDUzH4ETjxe1Ii63l7oAliAuuZRIxFMiZOB1BaH0GJDv40u5CRbnV8q5eIygxyGF6nfT_ZbHqlPJgng3wlMrCDMMmKu9B4hdCoQmxQ83iheOFBPUN0nlZnVmTQ2r43a5QDW13EMv4LNp65P6PMkV2f_1YewMKX5Hjsit-Guis9acKz7Sw49mScnBCyPuH0e1RcO58rR5ML20Zf90Yovge0Q85DYky-w3ChFoQJeLNbW","https://external-cdt1-1.xx.fbcdn.net/safe_image.php?d=AQBFXjDNMSG1pmnD&w=540&h=282&url=https%3A%2F%2Fnewsimg.ftv.com.tw%2Fmanasystem%2FFileData%2FNews%2F7d85ad9a-a9ae-47b4-92e0-4f3a6fad9c94.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQC9wMijxtjdPOyy","夜線／抗議禁蒙面法遍地開花 港人籲國際助香港捍衛民主","夜線／抗議禁蒙面法遍地開花 港人籲國際助香港捍衛民主-民視新聞網","點擊標題可觀看完整報導；更多最新消息請鎖定民視【2300夜線新聞】！"
