url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/coataiwan/posts/2401510930173730","1571468402","生活農達人～料理界的紅寶石-紅藜

 🖖文末有-創意紅藜食譜!!

 
紅藜正式名稱為臺灣藜
主要分布在臺東、屏東和花蓮
注重養生的人們 將其應用在許多地方
食品 >肉粽、蒸排骨、薯餅
飲品 >米酒、茶包
保健 >養生膠囊、酵素
清潔 >香皂、乳液、面膜

 
🔶色彩豐富
*全株富含多樣色素來源
紅、橘、紫、黃千變萬化
👉是插花或庭園觀賞好素材

 
🔶營養豐富
👉高量蛋白質 >與小麥相當
👉膳食纖維 >燕麥的3倍
👉鈣 >稻米的50倍
👉鐵 >甘藷的11倍

 
🔶什麼人可以多吃紅藜？
⭐減重民眾 >易飽，不再攝取過多熱量
⭐母親與兒童 >易軟，微量元素、蛋白質多
⭐銀髮族 >易咀嚼，補充流失肌肉
⭐想維持腸道好環境 >膳食纖維助順暢

 
⛔因為紅藜中有豐富磷、鉀
患有腎臟病的民眾 須謹慎食用！

 
創意食譜推薦-奶油絲瓜蛤俐盅
>> https://reurl.cc/722EYd
更多臺灣藜資訊
>> https://reurl.cc/4gglYK

 💛即時收到農業資訊請加入農委會LINE帳號
👉https://pse.is/JVNYL

 #生活農達人 #臺灣藜","1571493498","/coataiwan/photos/a.1661824860809011/2401510550173768/?type=3&eid=ARDuSpl52AhxY2rRC6NuidwkzbmVTjyfy2P543sb98v_dJAv-8jRcatgEz46DjrTpMrI9wRmp9O3-zjx&__xts__%5B0%5D=68.ARBLT3-BY6uEVl4WB8i-zwmzg657DJf7Pf6yzbkuk-vtos_-bgj-Sq88FShbVfbw24UMJEcHroisFywf9AwGISvRx1AFas1PVJ-_5ZKwlHug_WbCRfOUXsS5SkzXaE8RQKpnWjdcbxm90R6YywBP1Ro_wNN0Pt4Fla4259y7Dq8a6u1S7lgeK1l4yakB075LsKGslFdC2Z-bWJVNf2_eOOEvlo6SKUMVEnWuyGgLRkbYR7FA5NNqvrtr54jgDqQ7fvr5qjzOsIvsN_tmZoru4YnL-laebF44sgubQ4ODIBkHegiS1nvl03s-fkdOWoNnOhlNwU_h5eFbGQa8XrV7DKsKUkae&__tn__=EHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p526x296/70988450_2401510560173767_1074305448263286784_n.jpg?_nc_cat=111&_nc_oc=AQk3EbGLg2y2BG9JNpDumuyQBqCmPdVLswmwpVEfy13uEUaQppfODUvXf9ffJbB_Fe4&_nc_ht=scontent-hkg3-1.xx&oh=f2a7dce1c3f97cbd0256c0d9fa6f27a1&oe=5E2EF6BE","undefined","",""
"https://www.facebook.com/coataiwan/posts/2408078909516932","1570330801","＃逐步提升漁工權益
＃產業勞權 ＃共創雙贏

 
近來南方澳大橋坍塌的意外事件 QQ
失蹤的 6 位漁工皆已尋獲
我們一定會全力協助漁工和船主 📣
爭取最大的權益和應有的賠償
讓此意外事件圓滿落幕 🙏
🔰 南方澳漁船無法出海作業補償方案
https://reurl.cc/vndYeo","1571493498","/ChiChung.agri/photos/a.519546758536127/671647936659341/?type=3&eid=ARCFX1XQ777o_6T02BBCX4JDBSiGY5C0YQe5F2jtykJfR_3udVEA0Tyi503NT9AyZ_uy6b4SqckUe7gP&__xts__%5B0%5D=68.ARA4NysrYqbAr1mNe3Nla3ACkvrej-v0Sce6lXW8OD3KGpZhj4qB80cg_KbXpo4ZIocH5tU_B1vF3U9n7lGHOXc3MJyRVUDjY6pEDsi-94fbMDkOjaVYEs_C8yMgwI5TzQJRcTv8KM0hf7KifLyzUbOb1DevCtb4-8VquorUgtNuNIIbwLRcMc2bb4lY1vhabmu1kWTUObAsL8qAIOfa6l0jw70xx2euxigezE0wQ1YF3BYn34eZ1Lx7mWHAH0pbUDZbXknlgJwgw0XFU3GO2ll9iVqq-sOJqqmB7McARnujGfVN6rKg6oDYwxdRBW07y62Wl6q1vh6Nu6HsWklWQP4VtdkZVEPE-RDBqYjHP3p0AMiCqFXRazqGOA46nFaSha0sudfciNKLuNdnAwlRQQW5I3Sxz-gqHjUFgrpYcIG7bwq6BXfGIOBjKgRLNDGZ_iT6Cf9AhP-jWBKLX-n52gy93Kt-IHuRaOUvjiry88aa84odfgVHnnUssw&__tn__=EHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/72070248_671647943326007_6320376716338397184_n.jpg?_nc_cat=104&_nc_oc=AQk4WxHxhOW611bhe-jpvotqsgVmJ4Sju55oJPvUysxk_rckEE8QXUpDet6suUaVRIk&_nc_ht=scontent-nrt1-1.xx&oh=154b15448728495575b33dade9332846&oe=5E647D48","undefined","陳吉仲",""
"https://www.facebook.com/coataiwan/posts/2416578252000331","1571130001","柑橘不再受凍啦🍊桃園農改場有妙招✔


行政院農業委員會桃園區農業改良場
利用 ☑ 簡易氣象站 ☑ 溫濕度記錄器
監測海梨柑與椪柑受到寒害的氣象條件
開發 ✨ 低資材成本柑橘禦寒技術 ❗❗
盼能降低農民損失👏👏

 
農友可將
⭕ 99%的礦物油乳劑稀釋500倍 
⭕ 或 95%礦物油乳劑稀釋750倍
均勻噴灑在果實上！！！
就能有效預防寒害造成果皮凍傷～
一起對抗氣候變遷！
👍 桃園場還有研發可耐高溫小白菜
👍 耐旱的水稻新品系等
有興趣的農友可以繼續關注喔😀😀

 
詳細資訊看這邊🔽
https://is.gd/6AFklh","1571493499","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.agriharvest.tw%2Ftheme_data.php%3Ftheme%3Darticle%26sub_theme%3Darticle%26id%3D3733%26from%3Dfb%26fbclid%3DIwAR3Tpu7mgZiS25semNxXs3jUfhPayF_wKmdC2Tu40SiT3UWzj2IpQ0UyBXs&h=AT18sG2Nt7pWF83h1-nCEb4-1vhPDxl5dKek8dnRuB-DOm7adcx29O_QZ6NeKXY7NzDwzMjkUI4QOqcUjHOeDXst2NK6O9Cq8LBAQqWaT8GOG8pIr8iXl5__Mw9-l8EM-zsjdrrlbzHcgcb06NMdLfixs_OPwUr6AGuHd5M0_YsSO9d1XbiAB-sgDvhEAWZhyIaNcGGzX9DzIJkARW4uFnwV-GofaUxiwIjG-tj1_Ztf2Xl57yA_EkkM12Rtbkn61-Ds7Yo5i6oJ7RKJkIiURkZSy0ODsorXk8mZQj75z6-Wit_KILP6HrDW3JxTipKyWR4c4SfY5HrUXWqvAqLS0-k78its7m4iErotCMjPMT9_yh80W6lKojYDBFBz8VmiSpNu1iBFyyuj-px1OzcLeve860QoZK8grl-Bb9BLgh1qk0-W6_cb4t-FSpFR5uNuj_H9byjQPY091VN0sX4-Jdq582FmpbesnzrM8Nsn7twapiFgog_Yk_UOtYjEORRI06Gtgkm6Juv2XVfW_n2fCEYLDRkRl7h78QhAJR_YVKPzy7KtRK1dbw1JHUoW4HWksILoomlxt076xmIcuOUocus9AdEeK3Hz_RGtx3_OUpp5akUQRDDs0PKTIH-LKDr-Pdvu3X84GL_pvQDRg0k","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQBO2CB6yofpYFDs&w=540&h=282&url=https%3A%2F%2Fwww.agriharvest.tw%2Ffiles%2Farticle%2F3733%2FA01_1_s.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDdc1mIrgqcRQj6","No photo description available.","讓柑橘不受凍　桃園農改場有妙招｜農傳媒","氣候變遷帶給農業的挑戰日趨嚴峻，8日桃園農業改良場辦理「北部地區因應氣候變遷之農業技術研發成果發表會」，會中不只是介紹桃園場近年在水稻、雜糧、蔬菜及果樹等育種策略和成果，也向農民介紹一套低資材成本的柑....."
"https://www.facebook.com/coataiwan/posts/2419640251694131","1571378644","【Yahoo論壇】總統會換人 而不換的永遠是國債","1571493499","https://l.facebook.com/l.php?u=http%3A%2F%2Fsc.piee.pw%2FM9PS3&h=AT2hNZgxRkT_j0RO3pELN1rOKQ5xOOs3waHyPHnLeBPReRBqac331Is08iWw8a7PEC-33ZS-KUhHdxqyeCk64bUtRX4cAvEV4fz8e5Z5wzl0ZY0SPwhtkN9_QC0IVYm8-rnPVQU_5vi63CpyU4Ewe9mNnbz3Q9DOg4chOlfA0Phqqw","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQDGCVMF0E_h8Sl6&w=540&h=282&url=http%3A%2F%2Fcdn.illu.es%2Fstatic%2Fimages%2FCC2F2B44-D513-67B7-BB61-58B940237DE3.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQD4x0qRwD0Ebgts","【Yahoo論壇】總統會換人 而不換的永遠是國債 - Yahoo奇摩新聞","【Yahoo論壇】總統會換人 而不換的永遠是國債 - Yahoo奇摩新聞","讀者投書：古芳瑜（業務助理）"
"https://www.facebook.com/coataiwan/posts/2418496345141855","1571276633","神豬比賽是虐待動物，二十一世紀的臺灣不需要這種不合時宜的傳統，請政府制止神豬比賽。","1571493499","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/coataiwan/posts/2405622616429228","1570244401","🚂 里山動物彩繪列車旅遊一條龍
👉10月6日上午7點
自嘉義民雄發車10點6分行駛至潮州
建議可轉乘高雄客運605觀光公車
接駁至林後四林平地森林園區
上午在園區遊覽
下午再參加 #林後四林園區 的
「#人工猛禽棲架講習與實作活動」
詳情請見👉https://reurl.cc/rlQNGk
其他班次請看👉https://reurl.cc/oDeO2M","1571493499","/twforest/photos/pcb.1278628658975860/1278626532309406/?type=3&__tn__=HH-R&eid=ARA7btJxVvYWbe63m3mIQnvfChbjNIanpT56kBsbpleZvRtc6Jdkxx7rsft_07f2hi8rUtYKyfLMWZaY&__xts__%5B0%5D=68.ARA8FYfpQ-BxJte6Z6Bnvdn-m9bOOWVtEVHH9drbJ2wvAbTSzK4TE4ZqVCS0QNBBF-BWJbDcu6_j3q70Ox6roc8tjYNdhgdZTIxobvvz5jCAD278Q1ZsM6Mln_OOCNgYhVkVqQ_Vf5h58cwraoLQ5UkDgdaOs7iaKTnwIepKl5E8MVujm7r9HHcBFfFy8HNlOgfcqCA6FClRdi9OlA3IKJUnQyY-BXXPL5qOT6UCvPq_1Q7jOg11oievdODLhQRelgdUWRS9F0WIGWJ1pdHe_DqM7TJeOaV9_kR6hR1L06Rh48WDRJYgsOgX_z909gQ1bY1UHbCRkjG5w7un_zI6nahpe7PEKOtNpzFtvxx2MKdaqY42MzoIBtLl5c884eoHfsuYM2ei5_8ykJuOpaBNIGADE9KbFE55oj-TEJbtMda74RgwKPNAAMAaORPBbAuoj5YtBHwLGTPp_BHSyGSUwdoEq6KH0X50b3f-En5xSvHt460xXhbdrWC32Ghy","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p370x247/71113346_1278626535642739_1497162222848180224_n.jpg?_nc_cat=109&_nc_oc=AQnVaCii1uzOMEqHB-b4GLrx84SAPX8fcg9WWo9C8pipwoN5gRuuM7DisX9VpXTIQmE&_nc_ht=scontent-nrt1-1.xx&oh=d8ed45e0108986e724222ac6c6c34a4e&oe=5E17C965","undefined","林務局-森活情報站",""
"https://www.facebook.com/coataiwan/posts/2418551518469671","1571281639","2019國慶花車的照片/影片 (有農委會的花車) http://bit.ly/2OQz7jk
BILLY SHYU","1571493499","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F2OQz7jk&h=AT0xLdVQp1Xp5vZPesipJPhqqDqiWOeldg8heyhqkNFLUJJpTviiFR8LLS2kaFpkSaGwyvfCnMJutYFHOBXBJuDGjre0dllOVnbgxWy84vU0aR_kaIDFozWeirmTzSTL2HDyl_VAIDeeFPLuHNzSx8uz7NVhGJzwpiEONPn-IrYZ1Q","https://external-sin6-1.xx.fbcdn.net/safe_image.php?w=540&h=282&url=http%3A%2F%2Fwww.visiontimes.com%2Fuploads%2F2019%2F10%2F73044989_10206402289333415_4122209280264765440_o-950x550.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBHLof1PIxa-ktZ","43748","Taiwan’s Double Tenth National Day Celebration 2019 - Vision Times","Marking the 108th anniversary of the founding of the Republic of China, the Taiwanese government held the Double Tenth National Day celebration in Taipei City on Oct. 10, 2019. Presided over by Legislative Speaker Su Jia-chyuan (蘇嘉全), the National Day celebration was…"
"https://www.facebook.com/coataiwan/posts/2410415985949891","1571302800","生活農達人～終極抗氧化戰力榜

 
最強芭樂，戰力指數爆表💥
>>>> 一次打18條香腸❗❗

 
培根、香腸、火腿等等肉類加工品
為了防肉毒桿菌～
不得不適量添加亞硝酸鹽
吃多對身體不好怎麼辦 ?
真的很愛吃怎麼辦~多吃高抗氧化力水果吧😃

 水果飽含某些「清除自由基」的成分！
☑維生素Ｃ、Ｅ
☑多酚類（茶多酚、還原糖）
☑多醣類（膳食纖維）
☑有機酸類（檸檬酸、蘋果酸）
☑類黃酮（胡蘿蔔素）
這些物質含量越高的水果
「亞硝酸鹽清除力」就越好喔！

 
農業試驗所鳳山分所
針對29種水果取樣、測試
於是最強抗氧化力水果榜出爐啦～
NO.1 珍珠芭樂🔸
NO.2 帝王芭樂🔸
NO.3 紅心芭樂🔸
NO.4 木瓜🔹
NO.5 鳳梨🔹

 
光是芭樂就佔據前三名耶~(崇拜的眼神)
番石榴(芭樂)的維生素C和多酚類
含量明顯高於其他水果
☝吃一顆番石榴
☝約可清除13~18條中式香腸的亞硝酸鹽
(↑依品種大小而異) 真的好厲害！

※但並不是吃了這些水果
就可以100%代謝亞硝酸鹽喔！
平常食用這些肉類加工品還是要適量啦～
身體健康金重要啊🤗🤗

 
更多排毒水果資訊> https://reurl.cc/jddmrM

 💛即時收到農業資訊請加入農委會LINE帳號
👉https://pse.is/JVNYL

 #生活農達人 #高抗氧化力水果","1571493499","/coataiwan/photos/a.1661824860809011/2410415819283241/?type=3&eid=ARBPhJyKx3gLMQQZ9gSrAYc55GUjnRbsdgv4Kc-iE6trMD1nC4Z0vyxtK5Od984ulYtNDmeCKHVp-3Vk&__xts__%5B0%5D=68.ARBYNo8JUzWnsjfA3kmn5RHP-2zQZCPPCdxxjVh9PTku4n2Z38fA9_btXnt8FxtmFrnXNYVozo0qvJQmNAsonG_eK48ucwKuNelpcp1eOTqiYPuM1b_Gfc0BpAS_JZ7gL6ML2RGayqF0dyQ2tLmfoC4Ki3Der4L7dVj_MS5Y2oGPc01RphfCL3ZhqLaSnka4QH7KgsbKpzmFdJKtt1fsj6c6wPJW6p8elRa5V3TqhkShK1Kq_vAds-LFciV5qoVlge40z_Vuyjkj74dVWk9uKZsNKmpiWGFpu0zLWHiuOhZObYKQeuT-9IP6_rvyP_O8tvhDyPrztrccKOI4RoCJvMNL0LHI&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71589692_2410415825949907_3579307534101512192_n.jpg?_nc_cat=109&_nc_oc=AQmodXNdGFZ_uttatlxkYqByx2Ex-RrDHnQgeG0UYFKm7_z13q1sa2UDGyiQgt_26WA&_nc_ht=scontent-sin2-2.xx&oh=a23f10449701b9b766e4893744fa200b&oe=5E1E4764","undefined","",""
"https://www.facebook.com/coataiwan/posts/2401446640180159","1570417201","農賀小學堂～農業有保險 從農不走險 

 
保障農民有三保是哪三保呢 👀
🔹 農民健康保險
🔹 農民職業災害保險
🔹 農業(農產物)保險
這 3 個你都有 get 到了嗎 ❓
今天小編開講要來介紹
✨ 小豬換大豬的農業保險 ✨

 🔔 目前已開發哪些品項呢 ❓
https://reurl.cc/Qp7Z60
🔔 有哪些不同的保險型態 ❓
https://reurl.cc/EK2GLg
📣 天災現金救助 + 保險費補助雙重補貼
超級好康快來了解看看～
108 / 7 / 18 行政院通過「農業保險法」草案
108 / 7 / 22 報送立法院審查
讓農民不再看天吃飯囉 🤗🤗🤗

 
🔔農業保險法草案 3 大優點
☑ 擴大保障
天然災害、疫病、蟲害
☑ 分散危險
成立農業保險基金運用共保/再保
☑ 政府補助
農委會最高補助保險費50%
更多優點看這邊 > 
https://reurl.cc/5goMNV


 還有一個振奮人心的新技術～
➡ 科技勘損 ⬅
藉由航拍套疊地籍圖層資料
影像判讀分析災損技術
以無人機空拍影像判釋災損情形
⭕ 節省勘損人力
⭕ 也會提供客觀的評估

 💛即時收到農業資訊請加入農委會LINE帳號
👉https://pse.is/JVNYL

 #農賀小學堂 #農業保險法草案","1571493499","/coataiwan/photos/a.1661824860809011/2401446353513521/?type=3&eid=ARAdx_MNic1nCvHhf3mx4mFHVFGQaaByYuC8wKJ_nEeH6MR_asxq_g8rwBfWlvUmoP41OjPpSYDXM5HW&__xts__%5B0%5D=68.ARA9TP75PyvvxGNWR_e5yGtb0pkguqGC3F8XPdzHYqk2vfU7AS6ejyxMEXAgO0hVAwBgmUIUmes4dFGvwc9WrS6DLCUAHs8CU_Go0v3gI3UHxPsNCm9WDSdjKcw7aESv8G-5qp3mKeOSs9418FB1iBe27QlXVfSzP5LDVNLnrh1YmrwS_aeJ2hA7hmOpAXE2L-TbWPo3hJHgyBQ_tncHCSLmVYE69K67cPlwKXmRDvcOAIrvoULOlkmCOXli1v0vtDr86cJDeZaEhQtUDVv7IFhGnTpRGvfp99J1F4MjA6YyOKRNfvH_rptUhKYoiT9lklvxMeS40anT7NQtPXjyNBwLWdAX&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/71118937_2401446363513520_6317080805680087040_n.png?_nc_cat=101&_nc_oc=AQkimLPM9AyuD6a3JculInp8lQkhqXsUV6rP0BDqELjBJ9Rsi7FkLuvZQsJkE6KXE5A&_nc_ht=scontent-sin6-1.xx&oh=d0c12d7839fc0de64a65c5c0fcc011af&oe=5E648CAF","undefined","",""
"https://www.facebook.com/coataiwan/posts/2400443080280515","1569470400","小編帶你一起來做柚子醬😎


你也有跟小編一樣的煩惱嗎～
中秋節收到的柚子堆滿辦公桌
都不曉得怎麼上班了呢_(:з」∠)_
靈機一動忽然想到💡
那就來做柚子醬好惹！


大家請準備好以下材料
🔸柚子(建議2顆以上 煮出來的量比較夠)
🔸二號砂糖
柚子和砂糖比例為3:1
要多少量請自行測量~
🔸檸檬少許
🔸蜂蜜少許


材料準備好了嗎?
來～邊看圖片邊和小編一起動手做吧
1⃣將柚子去頭去尾 見到果肉
2⃣將柚子外皮一刀劃開
3⃣撥開整顆柚子
4⃣取出柚子肉(可用湯匙輔助)
5⃣搗碎柚子肉並加入二砂(比例為柚子3:二砂1)
6⃣密封後放冰箱靜置一天
7⃣隔天取出以小火煮到稠狀
用木匙攪拌可以避免黏鍋~
8⃣最後加入檸檬汁和蜂蜜調整風味
9⃣現泡的最美味~趕緊和親朋好友分享!


如果要保存果醬 請記得
☑以熱水消毒有鐵蓋的玻璃瓶
☑消毒後讓瓶子完全乾燥
☑將果醬倒入瓶子 趁果醬還熱熱的
將瓶子倒放 等待完全冷卻後再放回正
這樣才會形成真空狀態!


大家是不是還有其他創意柚子吃法呢
趕快拍照上來和小編分享
偷偷和你們說～
小編覺得最好吃的柚子
就是別人剝好的柚子啦🤣🤣🤣","1571493500","/coataiwan/photos/pcb.2400443080280515/2400442616947228/?type=3&__tn__=HH-R&eid=ARBs7jUdpze5hKl07RZSCMWgDYYMzgg-yvtjPb9sxacyAplkOM0N_SZsrlC1Z5v9yJc3FIW2B8FcRQaC&__xts__%5B0%5D=68.ARAC3ax4RL2jPJZsSLxLcmO1-hbgqLm3UJBHNhY12j9kHP6IUkroCs_gNDBxSktsfoPqWSQLgjlL2d1wqR7qJYmzEZ7W46a0ngSB6ZBcwHkorjWNc5Q8Haf4DbL3lFM1qNzksCfYxo21SdgSEp2mVvZFWc3juo-6TvABjW0wBjqM2Bw42gQ2nrmOEf4OYHe1Or5qknb3rwZHL1xPrRNVkuiMKpQ9o52GfnfMPw70-cQsvANqYii2sGxepcRRJ8P0JB7Rl4aeKUDppTO-dpYqKHR-4d8y7-au-v9dJXhPQVYTj_ktgtw9HtS8jrC6QmKalx2iv4e9AavWzhHm33J9LfZYonpb","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/71285297_2400442620280561_6294512792649072640_n.jpg?_nc_cat=100&_nc_oc=AQkea3LfWrDYdMR2cKNP7FPrgTNJ5C1HWWWybYw076P6WMGJyWOHXK0NChghCiaL6CQ&_nc_ht=scontent-sin2-2.xx&oh=6dbe462b4d4eca077b0f6c2684ddcb55&oe=5E2FF216","undefined","9",""
