url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/MedPartnerTW/posts/2114405265337529","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579166077,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/MedPartnerTW/posts/2125715447539844","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579166069,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/MedPartnerTW/posts/2120997744678281","1558609374","最近這類訴求 #負離子 的產品還是一直傳來，但這類產品不但是不應該宣稱療效，近期消保單位檢測還發現 #輻射超標 的情形。

 請大家看到這類產品千萬要提高警覺，不然真的是會花大錢傷身體啊！

 延伸閱讀：負離子逆轉動脈硬化？現場破解直擊

 https://www.medpartner.club/titanium-energy-efficacy-myth/

 Photo credit: 三立新聞",1579166070,"/MedPartnerTW/photos/a.1008049345973132/2120997694678286/?type=3&eid=ARBhfMmK6GDpL0I4SPmiByqbkF2tfkJLT9866RLdACLQTJLH8K6JwpcN-L3VORTP_YdGPjPGw7RYM2w2&__xts__%5B0%5D=68.ARABnja23ckA0RKRcM8qvGLVN5SMOsAAB-p8x4BJEE3jRdBHmwZz2bp4LMZxTKG3TxLrNNMVzM_F8cRDSl0yBLqTUyOSEVaxf84cZjDVPo5m67via9KK3S-m60pJn5vGyc2oMS-wnwr7gsncX7iNPiYRcel6PiUc5MYY1xRAhvPvxJ7LqUdnzbgz7h3_M_H0phH471BZJbUDQJv2AkOBjalA67vidFF7nx1JRfViOivoweTL2Z9CYiWHfcLHCkXu9TsFi1MqGs1UM50DEHXFAmzTvsLvzWO1dJJhaLPdYMRoQENVXjHbKcrNdCjq68ff9WV3MSUKm15CFxc03ZsYmAEX1g&__tn__=EHH-R","https://scontent.fkiv1-1.fna.fbcdn.net/v/t1.0-0/s526x296/60841786_2120997698011619_7652192696974442496_n.jpg?_nc_cat=105&_nc_oc=AQltxNY8APxsvgUydF7PHXlqWq3d1BDWAbUKBoCH9hyaFkSUnbI6qP1fFI2zMt7-RbM&_nc_ht=scontent.fkiv1-1.fna&_nc_tp=1002&oh=690037cad8af02e5f15578e5dfca0454&oe=5E987A57",undefined,"",""
"https://www.facebook.com/MedPartnerTW/posts/2107424239368965","1557914401","【#Gogoro3 真的 #比較環保 嗎？】從材質特性到回收方法完整剖析！

上個星期 Gogoro 發布了最新的電動車款 Gogoro
3，主打使用較環保的材質製作車殼。有訂閱夥伴向我們提了這個有趣的問題：「真的比較環保嗎？」，因此團隊特別去進行了一些關於材質特性、回收方式的調查，結果還挺有趣的喔！

歡迎大家一起來看看這台新的電動機車，到底有沒有比較環保吧～

本篇文章由 gogoro #完全沒有贊助 製作XD


延伸閱讀：
♻ 隱形眼鏡用完該怎麼丟？可以回收嗎？
https://www.medpartner.club/contact-lenses-recycling-scheme/

--

📙 我們出書囉！來看看我們的血淚結晶 http://bit.ly/2DstDFn

--

❤️讓我們一起為台灣拼出全球第一的中文醫療保健新媒體！
美的好朋友 #訂閱集資計畫 ▶︎ https://tinyurl.com/yak2hmkw
現在就動手，讓我們成為彼此的夥伴吧！

🌟更多實用的醫藥保健資訊：
https://www.medpartner.club

 🌟跟我們一起邁向 YouTube 20 萬訂閱：
http://bit.ly/subMedPartner

 🌟立即用 Line 輕鬆查詢醫藥營養資訊：
http://line.me/ti/p/%40MedPartner","1571073312","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.medpartner.club%2Fgogoro-3-environment-friendly-issue%2F&h=AT0kC2gpqBHdON14LcsrNPcYz77l2v-r0dROH8kG-cMMmBarwr_Rtes3iOaCyWoy8rd7LYIpvC7p-bgmHG3Ar0nZPImwjfW0_pPnupRjroO3YOtPCPwEo2YEL7swjKhlfG2gFwRiOwXFI4VDQrOKBXIB5mezFSZXBKVLVdTEsuLVK-8yyE_yMr6aSEUQmP6rIBq3sm1a9_rQFA_hRbTfG4Mxs8ja-XBO9NGo2BkixGQBCl5dY3MszGGVrvd7QT2YBDVIWESM_XwlmSOq7R9ITQ-n4cwkq13QdRxIBPR8MpcQVfiQegdJOwoe2x8Qxp6tl3UCLYfWy_TjVkAK910HxIi834NufUEveufAF7cidhHW1ecsry8ZN37D4Z3saaE3K1a_X_xcqyHyX_flHwFc8nlMBYhe8xjUfFOutJ0vrShiD8epzSw501DoFFMne6OTmcrmkTmPtdmBiG7x9-zWUSOzoAVxj4FDSZ51qzxCWMCEFlkaTRkovdUgMyBrYo35ObTWsW8RaKi4gzg-KCIhKMshuCQQ7hQekDj9VMsUrA9YbCe9HOR1E9XyJpM2PyVd2yEfeWup7zvLKn99LE4rHkHC6b163s-2n6bk3OqHiXqnuxtuGkcZSffA5aUtT5svdSH1mElkt3Gq_4pF","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQA2xRn13PqZvBkN&w=540&h=282&url=https%3A%2F%2Fwww.medpartner.club%2Fwp-content%2Fuploads%2F2019%2F05%2Fgogoro3_FB%E9%A1%AF%E5%9C%96-1.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBo4y7y-pcnSMAv","No photo description available.","Gogoro 3新車比較環保嗎？從材質及政策完整思考吧！ | 美的好朋友","Gogoro新產品Gogoro3號稱使用更環保的車殼，然而新的車殼有比較環保嗎？這篇文章為你完整分析Gogoro3環保材質為何、有什麼優勢，未來報廢時又該如何回收。"
"https://www.facebook.com/MedPartnerTW/posts/2044094549035268","1554372000","今天兒童節，分享一個把玩具玩到上科學期刊的 #台灣之光：台大應用力學所副教授陳建甫，用 #指尖陀螺 （你沒看錯，就是那個玩具）成功分離血清，被刊登在知名期刊
Analytical Chemistry 上啦！

小時候大家可能都有向媽媽拿 10 塊買零食玩具的經驗，這位陳博士，在看到自己的外甥玩戰鬥陀螺時，突然想到，也許可以針對這些這類會旋轉的玩具做些 #離心力 
的研究。

後來陳博士發現，戰鬥陀螺轉得不夠快，因此找了市面上其他會旋轉的玩具，發現指尖陀螺可以 #有效分離出血清！

這乍聽之下，好像不是什麼了不起的事，但實際上可能具有重大價值！

血清可以被用來診斷許多疾病，但通常需要分離的機器。如果是在醫療資源不足、電力不足的地區，或者是戰爭中突然失去電力供應的情形下，分離血清就會變成一件困難的事。

陳博士使用指尖陀螺，可以僅用 1 滴血（大概只要 0.01-0.02 c.c.），放在細塑膠管內，利用指尖陀螺產生的離心力，就可以在 3 分鐘內將血清分離出來。

美國化學學會 （American Chemistry Society） 的 YouTube
頻道還為此製作了一支影片，向大眾說明運作原理。歡迎大家去朝聖留言，幫這位台灣之光加油打氣喔！（影片在留言第一則）

你小時候也曾經夢想當個科學家嗎？其實很多科學的發現，就在我們的日常生活中，只是我們沒有注意到而已啊！謹以此文，向所有已經長大，但仍保持童心的研究者們致上最大敬意！


--

📙 我們出書囉！來看看我們的血淚結晶 http://bit.ly/2DstDFn

--

❤️讓我們一起為台灣拼出全球第一的中文醫療保健新媒體！
美的好朋友 #訂閱集資計畫 ▶︎ https://tinyurl.com/yak2hmkw
現在就動手，讓我們成為彼此的夥伴吧！

🌟更多實用的醫藥保健資訊：
https://www.medpartner.club

 🌟跟我們一起邁向 YouTube 20 萬訂閱：
http://bit.ly/subMedPartner

 🌟立即用 Line 輕鬆查詢醫藥營養資訊：
http://line.me/ti/p/%40MedPartner","1571073313","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/MedPartnerTW/posts/2124024904375565","1558764665","看到誇大的謠言請檢舉，勿亂傳！傳疫情跟食安的假消息，接下來可能罰到 #300萬喔！立法院24日三讀通過 #食安法以及傳染病防治法修正案
，網路轉傳貼文、散播食安的假消息，最高可以罰100萬元；散播流行疫情的假消息，造成公眾權益受損，最高可罰300萬。

 如果看到奇怪的資訊，特別是食安跟疫情相關的，請務必要查證，避免在不清楚的狀況下就轉傳。

 這類謠言對社會的運作有很大的傷害，說實在的，罰這些錢都不一定能彌補相關的損失，大家面對各種資訊時，還是要多注意啊！

 資料來源：疾病管制署",1579166071,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/MedPartnerTW/posts/2107161242728598","1558087201","國小低年級的時候，學校裡有一位年紀差不多的同學，他的臉上可能是因為燒燙傷，有一片很大面積的疤痕。因為他長得很不一樣，很多人不太敢跟他接觸，甚至會對他嘲笑、辱罵。應該不只是我，很多人都曾遇過這樣的朋友。

有一天我鼓起勇氣（那時候真的是鼓起勇氣，當年根本沒有臉部平權的教育，對一個不到十歲的小朋友，跟臉部有這麼大面積疤痕的人說話是真的會怕）跟他聊了天，到底聊什麼根本就忘了，但我記得他回應了我一個很大的微笑，那一瞬間，似乎疤痕沒這麽可怕了。

暑假過後，這位同學沒有再回來學校，我也不知道他去了哪裡。一直到後來我對燒燙傷，以及顱顏相關疾病與缺損有更多的理解之後，我不時會想起當年的那位同學。

如果再有一次機會，說不定我們會成為好朋友。如果這個世界友善一點，也說不定他能跟我們一起順利把書念完。但這一切現在說，其實都太晚了。

同樣的事情，不應該繼續發生在任何人身上。每個人都長得不一樣，每個人也都經歷過不同的人生，但每個人都值得公平的對待和尊重。如果這個社會有更多 #臉部平權 
的觀念，那世界應該會很不一樣。

現在平權的觀念已經比較普及了，但到底該怎麼做，其實許多朋友是不清楚的。陽光基金會提出每年 5 月 17
日為「臉部平權日」，也提出與顏損者互動的「三不」與「三要」：

❌ 不要盯著看：多看兩眼會讓顏損朋友不舒服，覺得自己好像是「怪物」，建議你，看過一眼就算了，就像你對任何迎面而來的人一樣，這就是一種尊重！

❌ 不要問敏感問題：簡單的點頭招呼、話家常就足夠，如果我們真的要表達友善，請先忍住心頭的好奇，讓對方先熟悉你再說吧！

❌ 不要給建議：除非他自己詢問，否則不要貿然給建議，給建議這樣的舉止，可能只是提醒他們「你需要幫助，因為你長得不一樣」。

⭕️ 要有平常心：顏損朋友最困擾的就是他不可抹滅的記號，他們本身也很討厭被別人特殊化，所以把他們當成普通人即可。

⭕️ 要有同理心：試想，如果我們就是顏損者，會希望別人怎麼對待？試著同理他們的狀況，就比較能理解和體諒。

⭕️ 要有耐心與愛心：和顏損朋友相處，試著了解他，也分享你自己；就跟一般朋友往來一樣，找出共同的興趣、話題。

希望大家一起分享這些觀念，讓社會上每一個不一樣的人，都能獲得一樣的尊重與對待：）

 #臉部平權 #FaceEquality2019
陽光基金會 臉部平權FaceEquality","1571073313","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/MedPartnerTW/posts/2108846915893364","1557978072","明天立院表決第一案就是 #同婚法案，早上08:30我們會在台北車站M8出口出發，步行到立法院，和大家一起為同志朋友們站出來，見證表決的一刻，大家也來一起度過
5/17 #國際不再恐同日 吧！

 
MedPartner的全職夥伴們，明天就帶著筆電直接到立法院外面就地工作啦。提醒明天要一起上街頭的各位朋友們，記得帶好防曬工具、帶好水壺補充水分，另外也要注意可能會有雷雨，雨傘也要帶著喔。

 等了這麼多年，最終決戰日一定要在現場見證啊～我們明天不見不散！會睡過頭、起不來的，趕快跟朋友約一約，找人負責叫你起床啊～～～

 （本篇開放大家tag朋友一起去，或者是負責叫你起床XD）","1571073313","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/MedPartnerTW/posts/2119443948166994","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579166074,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/MedPartnerTW/posts/2106255256152530","1557891000","這次有可能飛行超過 ＃100公里 直接侵入台灣的 #秋行軍蟲 問題，真的不能小看，因為防堵的難度可能比非洲豬瘟還高，所以團隊夥伴才會拼著在 24 小時內，在昨晚
6 點前完成一個圖文的懶人包，就是希望有更多人了解，讓台灣平安渡過這一關。

很多人在喊防疫人員加油，防疫人員很辛苦沒錯，但邊境檢疫可能是不夠的，即使檢疫人員擋下了所有的可疑危害，這隻蟲可以飛超過
#100公里，而台灣海峽跟中國最近的地方只有 130 公里，如果在六月的風勢配合下，直接飛過來台灣都有可能。

料敵從寬，禦敵從嚴。雖然相關的風險還沒能準確評估，但大家有更多的認識，對防疫絕對是好事。這也是為什麼這次懶人包有一個重點，是放在希望民眾學會「#辨識
」。如果真的發現了這個蟲害時，我們才有機會第一時間處理。

另外昨天的懶人包，我們特別提到的「生物防治」，還有健全台灣的「生態系」的概念。這件事情其實最重要，但也最困難。

很多害蟲，在它原本生活的地方，並不構成太多危害，因為他有足夠的天敵。但移入新的環境，要是缺乏天敵，可能就會對原生種的生物造成可怕的危害。

這次的秋行軍蟲，在台灣還「不知道」有沒有天敵，農委會僅表示針對同樣夜蛾科，目前有農藥可以使用。

但如果台灣有多元、穩固的生態系時，就不容易出現特定的生物大爆發，引發災情的現象了。這就是我們做環境保護、生態保護的重要原因。

這次面臨的危機，真的不是光靠檢疫人員跟護國神犬可以處理的，一定要全民動起來，大家都不攜帶生鮮蔬果、植株返國，也都能學會辨識害蟲並且通報，我們才能一起挺過這關啊～


--

📙 我們出書囉！來看看我們的血淚結晶 http://bit.ly/2DstDFn

--

❤️讓我們一起為台灣拼出全球第一的中文醫療保健新媒體！
美的好朋友 #訂閱集資計畫 ▶︎ https://tinyurl.com/yak2hmkw
現在就動手，讓我們成為彼此的夥伴吧！

🌟更多實用的醫藥保健資訊：
https://www.medpartner.club

 🌟跟我們一起邁向 YouTube 20 萬訂閱：
http://bit.ly/subMedPartner

 🌟立即用 Line 輕鬆查詢醫藥營養資訊：
http://line.me/ti/p/%40MedPartner","1571073313","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.medpartner.club%2Ffall-armyworm-introduction-infographics%2F%3Ffbclid%3DIwAR0oJb8y57H38xy0o91160CCQCK9LPecxsejrOjIYuOpbcbNRDrtfZMVBBs&h=AT0H5yeosTuXO6MQimu56HGW8C43adiv-pc1cj3P_ytan4xezUB7KbmiG36Hv9h700tEOnHmP1qmsTH0rGjO9Y3zgjpiTRKq2CwAy6MmMcXV_4iwWnVIJUj7ZYlEbjrzzAT43ggdPkdmXmEnTUBVsbWoCW9zecNH7SvPyX5yEIN028X5u2CSU7tMb8CjyaPWMmujnqddx9GQaBFPg5P0fWSO_v24-H4UDofr93u4T8QvfrKE9HXgEAvn5MUdVh6mGFVHMsKCkTAT21OsW6GGOU00U9Aqw9whyXuIpz6ttKRIx78XTq39Gn7qwdaQR3p2SutMbXAeDyguW3OXYF3Sf9398nKkk_SQjLgzB4IvdGwcp2lSPnPIG3WUb5ZDYrutr3PQHA2SiTIho10TjiqcsnU2riO0ymgdOoVGflfExLzPYoVLnj9mA05xdVyszCL2mE8OQbvnnogqdazRpOcszmh47EYb2RN3n6OagghAZM4ZBL7uLa9_iyTETk5MvcB6xCvba7w4i0zlWwqfTF2WMloYiXxFThdtdmPtCKpYXP3_aWs5QmaBnWbi19P3pq0QnTTC7lScww5_vmSQ24DfDXOoCmhvnXmRmrcYzFqJGMpam4QPj_VytWOM2Pgkv7SkrRS8_m8DBcmF5qjZ","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQB0by6ZC1QiN4ck&w=540&h=282&url=https%3A%2F%2Fwww.medpartner.club%2Fwp-content%2Fuploads%2F2019%2F05%2F%E7%A7%8B%E8%A1%8C%E8%BB%8D%E8%9F%B2_%E7%89%B9%E8%89%B2%E5%9C%96%E7%89%87.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBF02gMv9_h_-pt","Image may contain: text","秋行軍蟲是什麼？3分鐘全民防疫懶人包 | 美的好朋友","秋行軍蟲來勢洶洶，已席捲中國南方各省。只有邊境防疫很可能檔不住秋行軍蟲進到台灣。這份簡短的懶人包將會教你如何辨識秋行軍蟲行軍蟲以及所有相關資訊！"
